A.bg content.tsv
Level	Esperanto	bg	en-us	Grupo	Alternativoj	Pronoco
level	plu lavis, ne plu manĝis	допълнително измити, яде повече	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	вече няма да чете	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	И аз получих	I also received	grupo	alternativoj	prononco
level	devas fermi	трябва да затвори	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	Трябва да затворя добре	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	затвори плътно вратата	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	спокойно, спокойно	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	чу, но не се вслуша	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	чу спокоен звук	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	при мен има 4 джоба	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	десет дни след последния урок	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	между двете маси	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	три писма, шест листа	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	от глава до пети	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	четири, четвърти, квартет, четвърт	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	къде отиде триото	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	пет пръста на двете ръце	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	сам, собствения си джоб	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	слагам, сглобявам, съединение	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	сложи в собствения си джоб	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	двеста нации в света	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	взех, отнесох	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	взе седем от собствените си девет книги	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	да напусна, изоставен	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	остави ме сам и спокоен	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	хиляда осемстотин осемдесет и седем (1887)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	чаша чай	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	някой изми осем чаши	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	две хиляди и деветнадесета (2019)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	той се изми	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	нечие тяло, нечие собствено притежание	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	на масата котката спеше	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	котката скочи на масата	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	в залата, в залата	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	падна в ръката му	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	да работим, да разработваме	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	да разработи за тази книга	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	знае, иска да знае, любопитство	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	двуезичен, двуезичие	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	чуди се за триезичен обучаем	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	отиде, върна се	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	котките се върнаха в (собствените) си домове	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	в чантата, в чантата	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	сложи го в чантата си	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	крак, разходки, пешеходец	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	десет дни вървяха	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	да взема, да извадя	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	красиви цветя, взех красиви цветя	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	извади само красиви цветя	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	отвориха, но веднага затвориха	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	откри международна среща	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	публикувани и разпространени	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	издателят публикува двадесет и три книги	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	се върна и отново видя собствения си син	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	през две хиляди двадесет и трета година (2023 г.)	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	един господин влезе (в) магазина	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	магазинът за автомобили	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	там той вижда една дама	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	Уважаеми дами и господа	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	това ме зарадва (харесва ми)	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	дамата му хареса (той хареса дамата)	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	видя красивата дама	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	кой го зарадва? (кой хареса?)	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	жената, която ми хареса	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	този, който влезе в къщата	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	човекът, който го е дарил	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	той даде пръстен на жена си	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	тя хареса пръстена	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	съпругата, която хареса пръстена	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	в магазина работи продавач	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	продавач на автомобили	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	– попитал господинът продавача	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	коя кола харесваш	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	коя кола ще избереш	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	Избрах тази кола	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	по-добре е	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	по-добре от това	better than this	grupo	alternativoj	prononco
level	plej bona el ili	най-добрият от тях	best of them	grupo	alternativoj	prononco
level	estas la plej bona	е най-добрият	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	коя кола е най-добрата?	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	тази кола е по-добра	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	този е най-добрият	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	видя всички коли	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	най-доброто от всички	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	бързо ли е	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	по-бързо от другите	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	също е силен	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	о, да, разбира се!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	е много силен	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	със сигурност е силно	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	също е скъпо	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	най-скъпият от всички	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	евтино, но силно	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	съжалява и е жалък (заслужава си да съжаляваш)	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	за съжаление няма да купя	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	е жалко нещо	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	той си купи нова кола	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	защото нямам пари	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	старата ми кола	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	най-евтиният от всички	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	Аз ще карам до там	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	пак ще кара с него	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	цял ден	all day long	grupo	alternativoj	prononco
level	dum li diris tion	докато той каза това	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	той я погледна отново	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	но продавачът каза	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	би било по-добре, че ~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	вижте тази дама	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	това също е много скъпо	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	Аз съм нейният съпруг	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	колко струва пътуването ти?	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	слушай песента на жена си	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	не забравяйте, че струва много	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	два часа помагаше на продавача	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	за повече от три години	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	покривам, покривам, разкривам (откривам)	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	причината, която той все още не е открил	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	защо започна да изпращаш писма?	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	в продължение на осем месеца той живее там	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	нямаше време да слуша	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	колата вече беше пълна	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	какво ядеш	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	какво е времето?	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	каква кола имаш	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	какви бяха нейните писма?	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	къде се намираме?	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	къде отиваш?	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	на кого го даде?	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	мъжът, с когото сте пътували	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	по-голям от колата	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	най-високият от тези хора	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	той седеше на вечеря	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	тя пише, докато той чете	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	тук, в тази стая	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	този господин	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	новина, която си струва да се чуе	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	книгата наистина си заслужава да бъде прочетена	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	жалко нещо	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	за съжаление не мога	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	Вие сте добре дошъл. за мен беше удоволствие	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	малко хубаво момиче е много красиво	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	всички приятели я обичат	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	преди три месеца	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	нещо лошо й се случи	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	тя падна заради кола	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	се разболя и температурата се повиши	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	майка каза, че трябва да си почине	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	тя трябва да остане вкъщи	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	тя ще повика лекар	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	в девет часа	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	сутринта дойде в осем часа	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	в седем утре вечер	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	показа ръцете си	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	рокля, облича се	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	облечете се и стоплете тялото си	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	у дома веднага се съблече и изкъпа	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	лекар прегледа всичко	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	погледна внимателно и накрая каза	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	останете вкъщи за една седмица	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	иска да си спокоен	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	след една седмица	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	ще се почувстваш по-добре	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	пийте много чай	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	ще дойде да те види отново	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	нека и той е спокоен	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	здрав човек, здрав човек	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	се погрижи за себе си	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	всичко ми беше полезно наведнъж	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	забелязах, че ужасното нещо е близо	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	помолен да го забележи веднага	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	смяташе, че не е необходимо	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	живееше наблизо и това беше полезно	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	страната ни се ужаси днес	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	скъпи деца от всички семейства	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	веднъж вчера, два пъти утре	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	днес семействата имат нужда от деца	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	надяваше се, че ще бъде добре утре	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	той се чувстваше (беше) много спокоен	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	три малки издигнаха планината	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	важни хора не поискаха помощ	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	отиде до там, за да помогне	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	останете вкъщи, ако температурата е висока	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	температурата остана същата днес	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	обадете се на лекаря в девет	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	покажете го на Вашия лекар	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	да покаже крака си	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	нося тази риза	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	през уикенда всичко ще се успокои	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	под чашата за чай какво намери?	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	Искам сутрешен чай	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	надявах се на спокойна вечер	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	иска да научиш	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	настоя да отида	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	в колко часа?	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	в шест ще дойде	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	либретото беше очарователно	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	Бъди тих	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	нека мълчи	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	той също	he too	grupo	alternativoj	prononco
level	mi deziras	искам (желание)	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	Желая (желая) това ~	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	че научавате	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	Искам да научиш	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	- настоява бащата	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	баща настоява, че ~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	че отивам	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	бащата настоява да отида	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	в колко часа	at what hour	grupo	alternativoj	prononco
level	je kioma horo vi venos?	в колко часа идваш	what time do you come?	grupo	alternativoj	prononco
level	je la kvina	в пет часа)	at five (o'clock)	grupo	alternativoj	prononco
level	je la kvina horo	в пет часа	at five o'clock	grupo	alternativoj	prononco
level	kiel li fartas?	как се справя	how does he doing?	grupo	alternativoj	prononco
level	kiel vi fartis lastatempe?	как си напоследък?	how have you been lately?	grupo	alternativoj	prononco
level	etaj libroj belas	малките книжки са красиви	little books are beautiful	grupo	alternativoj	prononco
level	libreto, belaj libroj	брошура, красиви книги	a booklet, beautiful books	grupo	alternativoj	prononco
level	bela, beleta, belega	красива, малко красива, много красива	beautiful, a little pretty, very beautiful	grupo	alternativoj	prononco
level	varma, varmeta, varmega	топло, хладко, много горещо	warm, lukewarm, very hot	grupo	alternativoj	prononco
level	librego, libreto	голяма книга, книжка	a big book, a booklet	grupo	alternativoj	prononco
level	bona, bonega, bonege	добре, страхотно, добре	good, great, well	grupo	alternativoj	prononco
level	riĉa, riĉiĝi, riĉulo	богат, стана богат, богат човек	rich, become rich, a rich person	grupo	alternativoj	prononco
level	trankvila, trankviliĝi, trankviliĝu	спокоен, да се успокоя, успокой се	calm, to calm down, calm down	grupo	alternativoj	prononco
level	sana, resaniĝi, resaniĝis	здрав, да се излекува, стана излекуван	healthy, to become healed, became healed	grupo	alternativoj	prononco
level	edzo, edziĝo, geedziĝis	съпруг, брак, женен	a husband, marriage, married	grupo	alternativoj	prononco
level	leterportisto	пощальон	a letter postman	grupo	alternativoj	prononco
level	hejmlando	родина	a homeland	grupo	alternativoj	prononco
level	iom, iomete	донякъде, малко	somewhat, a little	grupo	alternativoj	prononco
level	ni bonege vespermanĝis	вечеряхме страхотно	we had a great dinner	grupo	alternativoj	prononco
level	espereble, prizorgu vin	надявам се, погрижете се за себе си	hopefully, take care of yourself	grupo	alternativoj	prononco
level	mi zorgis pri la altkvalita loĝejo	Грижех се за висококачественото жилище	I cared about the high-quality housing	grupo	alternativoj	prononco
level	pripensu dufoje, multfoje	помислете два пъти, много пъти	think twice, many times	grupo	alternativoj	prononco
level	kiu deprenis la libreton?	кой свали книжката?	who took down the booklet?	grupo	alternativoj	prononco
level	kato, kiu nomiĝas Cezaro	котка на име Цезар	a cat named Caesar	grupo	alternativoj	prononco
level	kuko, kiu estas sur la tablo	торта, която е на масата	a cake which is on the table	grupo	alternativoj	prononco
level	manĝu kukon, kiu estas sur la tablo	яжте торта, която е на масата	eat a cake that is on the table	grupo	alternativoj	prononco
level	fariĝis varmega kaj ruĝiĝis	стана горещо и се изчерви	became hot and blushed	grupo	alternativoj	prononco
level	patro volas, ke lia infano manĝu	баща иска детето му да яде	a father wants his child to eat	grupo	alternativoj	prononco
level	en malgranda ĉambro	в малка стая	in a small room	grupo	alternativoj	prononco
level	ni loĝas en ~	живеем в ~	we live in ~	grupo	alternativoj	prononco
level	mi fariĝis maltrankvila	Станах тревожен	I became anxious	grupo	alternativoj	prononco
level	tiam, kiam mi vidis vin	по това време, когато те видях	at that time when I saw you	grupo	alternativoj	prononco
level	ĉiuj rimarkis tion	всички забелязаха това	everyone noticed that	grupo	alternativoj	prononco
level	tion, ke ŝi estas belega	фактът, че е красива	the fact that she is beautiful	grupo	alternativoj	prononco
level	ĉu vi deziras, ke ~ ?	искаш ли това ~? (дезири)	do you want that ~ ? (deziri)	grupo	alternativoj	prononco
level	ke mi montru al vi	че мога да ти покажа	that I may show you	grupo	alternativoj	prononco
level	ĉu vi deziras, ke mi montru?	искаш ли да ти покажа	do you want me to show?	grupo	alternativoj	prononco
level	mian plej novan libron	най-новата ми книга (цел)	my newest book (objective)	grupo	alternativoj	prononco
level	morgaŭ matene, kion vi volas?	утре сутрин, какво искаш?	tomorrow morning, what do you want?	grupo	alternativoj	prononco
level	matenmanĝis malfrue	закусих късно	had breakfast late	grupo	alternativoj	prononco
level	kiam Marko alvenos?	кога ще пристигне Марк?	when will Mark arrive?	grupo	alternativoj	prononco
level	je la kvina aŭ je la oka horo	в пет или осем часа	at five or eight o'clock	grupo	alternativoj	prononco
level	kiam vi rimarkis, ke ~ ?	кога забеляза това ~ ?	when did you notice that ~ ?	grupo	alternativoj	prononco
level	la tuta familio nomas min bonfarulo	цялото семейство ме наричат благодетел	the whole family calls me a benefactor	grupo	alternativoj	prononco
level	utila por vi	полезни за вас	useful for you	grupo	alternativoj	prononco
level	ĉu la libreto estis utila?	полезна ли беше книжката?	was the booklet useful?	grupo	alternativoj	prononco
level	tiu libreto, kiun mi sendis	книжката, която изпратих	the booklet, which I sent	grupo	alternativoj	prononco
level	matene dormis tre longe	сутринта спа дълго време	in the morning slept for a long time	grupo	alternativoj	prononco
level	kiam li vidis la sunon	когато видя слънцето	when he saw the sun	grupo	alternativoj	prononco
level	subite li eksaltis	изведнъж той скочи	suddenly he jumped up	grupo	alternativoj	prononco
level	li estis ĉiam frua	винаги беше подранил	he was always early	grupo	alternativoj	prononco
level	ĉiam li malfruas	той винаги закъснява	he is always late	grupo	alternativoj	prononco
level	tiam, kiam li devas iri	по това време, когато трябва да си ходи	at that time, when he has to go	grupo	alternativoj	prononco
level	iri al la lernejo	да отида на училище	to go to the school	grupo	alternativoj	prononco
level	li scias, ke ~	той знае, че ~	he knows, that ~	grupo	alternativoj	prononco
level	li scias tion, ke ~	той знае факта, че ~	he knows the fact, that ~	grupo	alternativoj	prononco
level	tion, ke la instruisto malŝatas abelon	фактът, че учителят мрази пчелите	the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias tion, ke la instruisto malŝatas abelon	знае факта, че учителят мрази пчелите	knows the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias, ke la instruisto malŝatas tion	знае, че учителят мрази това	knows that the teacher hates that	grupo	alternativoj	prononco
level	sed hodiaŭ li trinkis la kafon	но днес изпи кафето	but today he drank the coffee	grupo	alternativoj	prononco
level	li rapide surmetas la vestaĵon	бързо облича дрехите	he quickly puts on the clothes	grupo	alternativoj	prononco
level	li ne volas malfrui	той не иска да закъснява	he doesn't want to be late	grupo	alternativoj	prononco
level	rapidege kun la libroj en la mano	много бързо с книгите в ръка	very quickly with the books in hand	grupo	alternativoj	prononco
level	poste li kuris kaj saltis	по-късно той тичаше и скачаше	later he ran and jumped	grupo	alternativoj	prononco
level	li kuris kaj saltis	той тичаше и скачаше	he ran and jumped	grupo	alternativoj	prononco
level	laŭ la strato	по улицата	along the street	grupo	alternativoj	prononco
level	la homoj rigardis lin	хората го погледнаха	the people looked at him	grupo	alternativoj	prononco
level	rigardis lin kaj diris	погледна го и каза	looked at him and said	grupo	alternativoj	prononco
level	saĝa kaj malsaĝa	мъдър и глупав	wise and foolish	grupo	alternativoj	prononco
level	kia malsaĝa knabo!	какво глупаво момче!	what a foolish boy!	grupo	alternativoj	prononco
level	estis antaŭ lernejo	беше пред училище	was in front of a school	grupo	alternativoj	prononco
level	baldaŭ	скоро	soon	grupo	alternativoj	prononco
level	li estis antaŭ ~	той беше пред ~	he was in front of ~	grupo	alternativoj	prononco
level	iri kaj eniri	да отида и да вляза	to go and to enter	grupo	alternativoj	prononco
level	li volis eniri	искаше да влезе	he wanted to enter	grupo	alternativoj	prononco
level	eniri la lernejon	да влезе в училището	to enter into the school	grupo	alternativoj	prononco
level	sed tamen	но обаче	but however	grupo	alternativoj	prononco
level	sed li ne povis	но не можа	but he couldn't	grupo	alternativoj	prononco
level	fermi kaj fermita	да затвори и затвори	to close and closed	grupo	alternativoj	prononco
level	ĝi estis fermita	беше затворено	it was closed	grupo	alternativoj	prononco
level	nek ~ nek ~	нито ~ нито ~	neither ~ nor ~	grupo	alternativoj	prononco
level	nek instruisto nek gelernantoj	нито учител, нито ученички	neither a teacher nor male-and-female students	grupo	alternativoj	prononco
