C.tr content.tsv
Level	Esperanto	tr	en-us	Grupo	Alternativoj	Pronoco
level	ial	bazı sebeplerden dolayı	for some reason	grupo	alternativoj	prononco
level	obei	itaat etmek	to obey	grupo	alternativoj	prononco
level	filino	Bir kızı	a daughter	grupo	alternativoj	prononco
level	fulmo	bir şimşek, bir el feneri	a lightning, a flashlight	grupo	alternativoj	prononco
level	junulino	genç bir kadın, genç bir kadın kişi	a young woman, a young female person	grupo	alternativoj	prononco
level	knabino	bir kız, bir kız	a girl, a lass	grupo	alternativoj	prononco
level	leĝo	bir yasa, bir kural	a law, a rule	grupo	alternativoj	prononco
level	simila	benzer, benzer	similar, alike	grupo	alternativoj	prononco
level	edzino	bir eş	a wife	grupo	alternativoj	prononco
level	globo	küre, küre, küre, küre	globe, a globe, a ball, a sphere	grupo	alternativoj	prononco
level	kulpa	suçlu	guilty	grupo	alternativoj	prononco
level	svelta	İnce dilimleyici	slim, slender	grupo	alternativoj	prononco
level	ombrelo	bir şemsiye	an umbrella	grupo	alternativoj	prononco
level	ordinara	sıradan, sıradan, olağan	ordinary, common, usual	grupo	alternativoj	prononco
level	plaĉi (al ~)	memnun etmek, memnun etmek (~)	to please, to be pleasing (to ~)	grupo	alternativoj	prononco
level	regiono	bölge	a region	grupo	alternativoj	prononco
level	danci	dans etmek	to dance	grupo	alternativoj	prononco
level	kompati	şefkat duymak, acımak	to have compassion for, to feel pity for	grupo	alternativoj	prononco
level	kruĉo	bir kavanoz, bir tencere, bir sürahi, bir cruse, bir sürahi	a jar, a pot,a jug, a cruse, a pitcher	grupo	alternativoj	prononco
level	reĝo	kral, kral	king, a king	grupo	alternativoj	prononco
level	animo	ruh	a soul	grupo	alternativoj	prononco
level	religio	Bir din	a religion	grupo	alternativoj	prononco
level	ŝtato	bir devlet, bir millet	a state, a nation	grupo	alternativoj	prononco
level	komuniki	iletişim kurmak	to communicate	grupo	alternativoj	prononco
level	promesi	söz vermek	to promise	grupo	alternativoj	prononco
level	noti	Not etmek, yazmak	to note, to write down	grupo	alternativoj	prononco
level	daŭrigi	uzatmak, sürdürmek, sürdürmek, sürdürmek	to prolong, to proceed, to sustain, to maintain	grupo	alternativoj	prononco
level	ĝui	eğlenmek	to enjoy	grupo	alternativoj	prononco
level	sekve	dolayısıyla, dolayısıyla, dolayısıyla	therefore, consequently, thus	grupo	alternativoj	prononco
level	peza	ağır, külfetli	heavy, burdensome	grupo	alternativoj	prononco
level	aranĝi	düzenlemek için	to arrange	grupo	alternativoj	prononco
level	teruro	bir terör, korku, korku	a terror, fear, fright	grupo	alternativoj	prononco
level	mastro	bir usta, bir sahip, bir patron	a master, an owner, a boss	grupo	alternativoj	prononco
level	magazeno	depo, büyük mağaza	warehouse, a department store	grupo	alternativoj	prononco
level	amuzi	eğlendirmek, eğlendirmek	to amuse, to entertain	grupo	alternativoj	prononco
level	ofico	bir ofis (görev, görev), işlev, iş	an office (duty, task), function, job	grupo	alternativoj	prononco
level	metro	Bir metre	a meter	grupo	alternativoj	prononco
level	vasta	engin, kapsamlı, geniş	vast, extensive, spacious	grupo	alternativoj	prononco
level	dorso	arka (vücudun)	back (of body)	grupo	alternativoj	prononco
level	brusto	göğüs, göğüs, göğüs (vücut)	breast, a breast, a chest (body)	grupo	alternativoj	prononco
level	estimi	saygı duymak, saygı duymak	to esteem, to respect	grupo	alternativoj	prononco
level	trafi	çarpmak, saldırmak, karşıya geçmek	to hit, to strike, to run accross	grupo	alternativoj	prononco
level	kopii	kopyalamak	to copy	grupo	alternativoj	prononco
level	senco	bir anlam, bir anlam	a meaning, a sense	grupo	alternativoj	prononco
level	sumo	(sayıların) toplamı	a sum (of numbers)	grupo	alternativoj	prononco
level	foresti	yok olmak, uzakta olmak, yok olmak	to be absent, to be away, to be missing	grupo	alternativoj	prononco
level	gvidanto	bir lider, bir rehber	a leader, a guide	grupo	alternativoj	prononco
level	Esperanto	Esperanto, umut eden biri	Esperanto, someone who hopes	grupo	alternativoj	prononco
level	manĝante	yemek yerken	while eating	grupo	alternativoj	prononco
level	plano	bir plan	a plan	grupo	alternativoj	prononco
level	prepari	hazırlamak	to prepare	grupo	alternativoj	prononco
level	spirito	ruh, bir ruh	spirit, a spirit	grupo	alternativoj	prononco
level	hotelo	Bir otel	a hotel	grupo	alternativoj	prononco
level	ripeti	tekrarlamak için	to repeat	grupo	alternativoj	prononco
level	parolante	konuşurken	while speaking	grupo	alternativoj	prononco
level	pendi	asılmak, sarkmak	to hang, to droop	grupo	alternativoj	prononco
level	serioza	cidden	serious	grupo	alternativoj	prononco
level	klini	eğilmek, eğilmek, eğilmek	to bend, to tilt, to incline	grupo	alternativoj	prononco
level	moki	alay etmek, alay etmek, alay etmek	to make fun of, to mock, to scoff at	grupo	alternativoj	prononco
level	membro	Bir üye	a member	grupo	alternativoj	prononco
level	greno	tahıl (mısır, pirinç, buğday), bir tahıl	grain (corn, rice, wheat), a grain	grupo	alternativoj	prononco
level	kriante	bağırmak, ağlamak	shouting, crying	grupo	alternativoj	prononco
level	truo	bir delik, bir yuva	a hole, a burrow	grupo	alternativoj	prononco
level	supozi	varsaymak, tahmin etmek, zannetmek	to suppose, to guess, to presume	grupo	alternativoj	prononco
level	malpli	daha az, daha az	less, fewer	grupo	alternativoj	prononco
level	sekvanta	takip, sonraki	following, next	grupo	alternativoj	prononco
level	spiri	nefes almak	to breathe	grupo	alternativoj	prononco
level	trinkinte	içki içtikten sonra	after having drink	grupo	alternativoj	prononco
level	lango	bir dil	a tongue	grupo	alternativoj	prononco
level	biero	bira, bira, bir bira	beer, ale, a beer	grupo	alternativoj	prononco
level	bileto	bir bilet, bir fatura	a ticket, a bill	grupo	alternativoj	prononco
level	precipe	esas olarak, esas olarak, esas olarak, her şeyden önce	chiefly, mainly, principally, above all	grupo	alternativoj	prononco
level	elektro	elektrik	electricity	grupo	alternativoj	prononco
level	korbo	bir sepet	a basket	grupo	alternativoj	prononco
level	ŝlosi	kilitlemek için	to lock	grupo	alternativoj	prononco
level	sendinto	gönderen (gönderen biri)	a sender (someone who has sent)	grupo	alternativoj	prononco
level	triangulo	üçgen, üçgen	triangle, a triangle	grupo	alternativoj	prononco
level	odori	kokmak, koku yaymak, kötü kokmak	to smell, to give off an odour, to reek	grupo	alternativoj	prononco
level	kurso	bir kurs, bir sınıf	a course, a class	grupo	alternativoj	prononco
level	supre	yukarıda, üstte, üstte	above, on top, overhead	grupo	alternativoj	prononco
level	lernanto	bir öğrenci, bir öğrenci	a student, a learner	grupo	alternativoj	prononco
level	verko	bir çalışma (yazma)	a work (of writing)	grupo	alternativoj	prononco
level	lernantino	kadın öğrenci (öğrenci)	a female learner (student)	grupo	alternativoj	prononco
level	venonta	gelecek, sonraki	upcoming, next	grupo	alternativoj	prononco
level	jupo	bir etek	a skirt	grupo	alternativoj	prononco
level	kuzo	kuzen (erkek)	a cousin (male)	grupo	alternativoj	prononco
level	aŭtobuso	bir otobüs (=buso)	a bus (=buso)	grupo	alternativoj	prononco
level	kvadrato	Bir kare	a square	grupo	alternativoj	prononco
level	produkto	ürün	a product	grupo	alternativoj	prononco
level	produkti	üretmek, katlanmak	to produce, to bear	grupo	alternativoj	prononco
level	banko	bir banka	a bank	grupo	alternativoj	prononco
level	donaco	bir hediye, bir hediye	a gift, a present	grupo	alternativoj	prononco
level	gardi	korumak, muhafaza etmek, bakmak	to guard, to keep, to look after	grupo	alternativoj	prononco
level	fiksa	sabit	fixed	grupo	alternativoj	prononco
level	volonte	isteyerek (kalpten)	willingly (from heart)	grupo	alternativoj	prononco
level	laŭta	yüksek sesle	loud	grupo	alternativoj	prononco
level	fadeno	bir iplik	a thread	grupo	alternativoj	prononco
level	gusto	bir tat	a taste	grupo	alternativoj	prononco
level	leginte	okuduktan sonra	after reading	grupo	alternativoj	prononco
level	enironte	girmek üzereyken	while about to enter	grupo	alternativoj	prononco
level	dato	tarih, tarih	date, a date	grupo	alternativoj	prononco
level	fundo	alt, temel	bottom, foundation	grupo	alternativoj	prononco
level	radiko	kök	a root	grupo	alternativoj	prononco
level	bonvole -u	lütfen (~u)	please (~u)	grupo	alternativoj	prononco
level	signifo	bir anlam, bir önem	a meaning, a significance	grupo	alternativoj	prononco
level	fiksi	düzeltmek, tutturmak	to fix, to fasten	grupo	alternativoj	prononco
level	vana	boşuna, faydasız	vain, useless	grupo	alternativoj	prononco
level	vaporo	buhar, buhar	steam, vapor	grupo	alternativoj	prononco
level	rakonto	bir anlatı, bir hikaye	a narrative, a story	grupo	alternativoj	prononco
level	bonvolu -i	lütfen (~i)	please (~i)	grupo	alternativoj	prononco
level	figuro	bir şekil, bir resim, bir resim	a figure, a picture, an image	grupo	alternativoj	prononco
level	arĝento	gümüş	silver	grupo	alternativoj	prononco
level	ĝirafo	bir zürafa	a giraffe	grupo	alternativoj	prononco
level	ĉarma	alımlı	charming	grupo	alternativoj	prononco
level	rulo	bir rulo, bir koşu	a roll, a run	grupo	alternativoj	prononco
level	gitaro	gitar	a guitar	grupo	alternativoj	prononco
level	miliardo	bir milyar	a billion	grupo	alternativoj	prononco
level	eterna	sonsuz, sonsuz	eternal, everlasting	grupo	alternativoj	prononco
level	ĵurnalo (tag-)	Gazete	a newspaper	grupo	alternativoj	prononco
level	memoro	bir anı	a memory	grupo	alternativoj	prononco
level	ruli	yuvarlanmak, bir programı çalıştırmak	to roll, to run a program	grupo	alternativoj	prononco
level	larmo	gözyaşı, gözyaşı	tear, a tear	grupo	alternativoj	prononco
level	inko	bir mürekkep	an ink	grupo	alternativoj	prononco
level	majstro	Usta, maestro, usta (birinin sanatının)	Master, a maestro, a master (of one's art)	grupo	alternativoj	prononco
level	leono	bir aslan	a lion	grupo	alternativoj	prononco
level	tiom da ~	şu kadar ~, şu kadar ~, şu kadar ~	so much of ~, that much of ~, that many of ~	grupo	alternativoj	prononco
level	ventro	göbek, karın, karın	belly, abdomen, tummy	grupo	alternativoj	prononco
level	placo	bir meydan, bir meydan	a squre, a plaza	grupo	alternativoj	prononco
level	fidi	güvenmek, inanmak	to trust, to have faith in	grupo	alternativoj	prononco
level	iom da ~	az miktarda ~, bazıları	small amount of ~, some	grupo	alternativoj	prononco
level	babili	sohbet etmek, gevezelik etmek, gevezelik etmek	to chat, to babble, to chatter	grupo	alternativoj	prononco
level	kavo	mağara, oyuk	a cave, a cavity	grupo	alternativoj	prononco
level	ioma	bazılarının, bazılarının	of some amout, some	grupo	alternativoj	prononco
level	ŝultro	bir omuz	a shoulder	grupo	alternativoj	prononco
level	adiaŭ	elveda, elveda, elveda	goodbye, adieu, farewell	grupo	alternativoj	prononco
level	rezigni	vazgeçmek, vazgeçmek, teslim olmak, vazgeçmek	to resign, to give up, to surrender, to abandon	grupo	alternativoj	prononco
level	sekreto	bir sır	a secret	grupo	alternativoj	prononco
level	droni	boğmak için	to drown	grupo	alternativoj	prononco
level	celi	amaç edinmek, hedeflemek, niyet etmek	to aim, to target, to intend	grupo	alternativoj	prononco
level	restoracio	bir restoran	a restaurant	grupo	alternativoj	prononco
level	turo	bir kule	a tower	grupo	alternativoj	prononco
level	sablo	kum, bir kum	sand, a sand	grupo	alternativoj	prononco
level	tondro	gök gürültüsü	a thunder	grupo	alternativoj	prononco
level	ies	birinin	someone's	grupo	alternativoj	prononco
level	tapiŝo	bir halı, bir kilim	a carpet, a rug	grupo	alternativoj	prononco
level	bezonata	ihtiyaç duyulan, gerekli, istenen	needed, required, wanted	grupo	alternativoj	prononco
level	ilustrita	resimli	illustrated	grupo	alternativoj	prononco
level	razi	Tıraş etmek	to shave	grupo	alternativoj	prononco
level	standardo	bir pankart, bir bayrak	a banner, a flag	grupo	alternativoj	prononco
level	mentono	çene, çene	chin, a chin	grupo	alternativoj	prononco
level	valizo	bir bavul, bir valiz	a suitcase, a valise	grupo	alternativoj	prononco
level	okupata	meşgul olmak, meşgul olmak	(being) occupied, busy	grupo	alternativoj	prononco
level	suko	meyve suyu, bir öz	juice, a sap	grupo	alternativoj	prononco
level	komunumo	topluluk	a community	grupo	alternativoj	prononco
level	fontano	bir çeşme	a fountain	grupo	alternativoj	prononco
level	konato	tanınan bir kişi, bir tanıdık	a person known, an aquaintance	grupo	alternativoj	prononco
level	okupita	(bulunmuş) meşgul, meşgul, nişanlı	(having been) occupied, busy, engaged	grupo	alternativoj	prononco
level	esti okupita	meşgul olmak, meşgul olmak, meşgul olmak	to be occupied, to be involved, to engage upon	grupo	alternativoj	prononco
level	pino	bir çam ağacı	a pine tree	grupo	alternativoj	prononco
level	konstruota	(inşa edilecek)	(will be) constructed	grupo	alternativoj	prononco
level	kaptita	(yakalandık), esir	(having been) caught, captive	grupo	alternativoj	prononco
level	kaptota	(yakalanacak)	(will be) captured	grupo	alternativoj	prononco
level	rezulti	sonuçlanmak	to result	grupo	alternativoj	prononco
level	kaptito	bir mahkum (yakalanmıştı)	a prisoner (had been caught)	grupo	alternativoj	prononco
level	komputi	hesaplamak	to compute	grupo	alternativoj	prononco
level	batite	(dövüldükten) sonra	after (having been) beaten	grupo	alternativoj	prononco
level	kovrita	kapalı	covered	grupo	alternativoj	prononco
level	teatro	bir tiyatro	a theatre	grupo	alternativoj	prononco
level	sezono	sezon, sezon	season, a season	grupo	alternativoj	prononco
level	kelnero	garson	a waiter	grupo	alternativoj	prononco
level	tabelo	bir tablo, bir çizelge, bir indeks	a table, a tabulation, an index	grupo	alternativoj	prononco
level	publiko	kamu, halk insanları	public, public people	grupo	alternativoj	prononco
level	apogi	desteklemek, sürdürmek	to support, to uphold	grupo	alternativoj	prononco
level	distri	dikkatini dağıtmak, dikkatini dağıtmak, eğlendirmek	to distract, to divert, to entertain	grupo	alternativoj	prononco
level	patrino	anne	a mother	grupo	alternativoj	prononco
level	distanco	uzaklık	a distance	grupo	alternativoj	prononco
level	aparte	ayrı ayrı	apart, separately	grupo	alternativoj	prononco
level	originala	orijinal	original	grupo	alternativoj	prononco
level	bicikli	bisiklete binmek, bisiklete binmek	to bicycle, to ride a bike	grupo	alternativoj	prononco
level	regulo	bir kural, bir düzenleme	a rule, a regulation	grupo	alternativoj	prononco
level	troa	aşırı, yersiz	excessive, undue	grupo	alternativoj	prononco
level	tre agrable!	çok güzel!	very nice!	grupo	alternativoj	prononco
level	balanci	sallanmak, sallanmak	to swing, to rock	grupo	alternativoj	prononco
level	ŝtrumpo	bir çorap	a stocking	grupo	alternativoj	prononco
level	kontroli	kontrol etmek, denetlemek, denetlemek	to check, to audit, to check up on	grupo	alternativoj	prononco
level	pasto	bir macun, bir hamur	a paste, a dough	grupo	alternativoj	prononco
level	rektangulo	dikdörtgen, dikdörtgen	rectangle, a rectangle	grupo	alternativoj	prononco
level	falsa	sahte, sahte, sahte, sahte, düzmece	false, counterfeit, fake, forged, spurious	grupo	alternativoj	prononco
level	ŝerci	şaka yapmak, şaka yapmak	to joke, to jest	grupo	alternativoj	prononco
level	problemo	bir sorun, bir sorun	a problem, a trouble	grupo	alternativoj	prononco
level	kulturi	kültüre (toprak, toprak)	to culture (soil, land)	grupo	alternativoj	prononco
level	lernejo	bir okul, bir öğrenme yeri	a school, a learning place	grupo	alternativoj	prononco
level	manĝejo	yemek yeri, restoran, yemek odası, kantin	an eating place, a restaurant, a dining room, a canteen	grupo	alternativoj	prononco
level	flago	bir bayrak, bir pankart	a flag, a banner	grupo	alternativoj	prononco
level	universala	evrensel, genel, dünya çapında	universal, general, worldwide	grupo	alternativoj	prononco
level	vendejo	bir mağaza, bir dükkan	a store, a shop	grupo	alternativoj	prononco
level	parko	bir park	a park	grupo	alternativoj	prononco
level	kesto	bir sandık, bir kutu, bir kasa	a chest, a box, a case	grupo	alternativoj	prononco
level	preĝejo	bir kilise, bir kirk	a church, a kirk	grupo	alternativoj	prononco
level	ataki	saldırmak	to attack	grupo	alternativoj	prononco
level	fako	bir dal, bir disiplin, bir uzmanlık, bir bölüm	a branch, a discipline, a specialty, a compartment	grupo	alternativoj	prononco
level	librovendejo	bir kitapçı, bir kitapçı	a bookshop, a bookstore	grupo	alternativoj	prononco
level	fama	ünlü	famous	grupo	alternativoj	prononco
level	kafejo	bir kafe, bir kahve dükkanı	a cafe, a coffee shop	grupo	alternativoj	prononco
level	kuseno	bir yastık, bir atma yastığı	a cushion, a throw pillow	grupo	alternativoj	prononco
level	desegni	tasarlamak, tasvir etmek, çizmek	to design, to delineate, to draw	grupo	alternativoj	prononco
level	konveni	uygun olmak, uygun olmak	to be appropriate, to be suitable	grupo	alternativoj	prononco
level	akceptejo	bir resepsiyon masası	a reception desk	grupo	alternativoj	prononco
level	necesejo	bir tuvalet, bir tuvalet	a toilet, a restroom	grupo	alternativoj	prononco
level	sporto	spor, bir spor	sport, a sport	grupo	alternativoj	prononco
level	fridujo	bir buzdolabı, bir buzdolabı	a fridge, a refrigerator	grupo	alternativoj	prononco
level	rubujo	çöp kutusu, çöp kutusu, çöp kutusu	a trash bin, a bin, a trash can	grupo	alternativoj	prononco
level	defendi	savunmak için	to defend	grupo	alternativoj	prononco
level	eduki	eğitmek	to educate	grupo	alternativoj	prononco
level	hejti	ısınmak, ısınmak	to heat up, to warm up	grupo	alternativoj	prononco
level	listo	bir liste	a list	grupo	alternativoj	prononco
level	kondiĉo	bir durum	a condition	grupo	alternativoj	prononco
level	poste	daha sonra, daha sonra, sonraki	later, afterwards, next	grupo	alternativoj	prononco
level	brakumi	kucaklamak, sarılmak	to embrace, to hug	grupo	alternativoj	prononco
level	ĝoja	neşeli, memnun, mutlu	joyfull, glad, happy	grupo	alternativoj	prononco
level	malvarmumo	soğuk algınlığı (yakalanmış)	a cold (caught)	grupo	alternativoj	prononco
level	salono	bir oturma odası, bir salon, bir salon	a sitting room, a lounge, a salon	grupo	alternativoj	prononco
level	konsisti	içermek	to consist	grupo	alternativoj	prononco
level	hejme	evde	at home	grupo	alternativoj	prononco
level	spezo	bir ciro	a turnover	grupo	alternativoj	prononco
level	kalendaro	Takvim	a calendar	grupo	alternativoj	prononco
level	imagi	hayal etmek	to imagine	grupo	alternativoj	prononco
level	fidela	sadık, güvenilir	faithful, trustworthy	grupo	alternativoj	prononco
level	partopreni	katılmak, katılmak	to participate, to take part	grupo	alternativoj	prononco
level	kastelo	bir kale, bir hisar	a castle, a citadel	grupo	alternativoj	prononco
level	-op-	(suffix) sayılardan oluşan bir grup	(suffix)  a group in numbers	grupo	alternativoj	prononco
level	ĉeesti	katılmak, orada bulunmak	to attend, to be present at	grupo	alternativoj	prononco
level	televido	televizyon, televizyon	TV, television	grupo	alternativoj	prononco
level	studento	öğrenci (üniversite)	a student (university)	grupo	alternativoj	prononco
level	impreso	bir izlenim	an impression	grupo	alternativoj	prononco
level	pupo	bir oyuncak bebek, bir kukla	a doll, a puppet	grupo	alternativoj	prononco
level	konstanta	sürekli, sürekli, daimi	constant, continual, permanent	grupo	alternativoj	prononco
level	ebena	düz, düzgün, düzgün, düz	flat, even, plane, level	grupo	alternativoj	prononco
level	jaraĝa	~ yaşında	~ years old	grupo	alternativoj	prononco
level	blovi	üflemek	to blow	grupo	alternativoj	prononco
level	konfesi	itiraf etmek, itiraf etmek	to confess, to admit	grupo	alternativoj	prononco
level	ekstere	dışarıda, yurt dışında	outside, abroad	grupo	alternativoj	prononco
level	remi	kürek çekmek	to row	grupo	alternativoj	prononco
level	kaserolo	bir güveç, bir tava, bir tencere	a casserole, a pan, a saucepan	grupo	alternativoj	prononco
level	gepatroj	(ebeveynlerin ikisi de	(both) parents	grupo	alternativoj	prononco
level	geedziĝi	evlenmek, evlenmek	to get married, to marry	grupo	alternativoj	prononco
level	vundo	bir yara, bir yara	a wound, an injury	grupo	alternativoj	prononco
level	scienco	bilim, bir bilim	science, a science	grupo	alternativoj	prononco
level	monero	bir jeton	a coin	grupo	alternativoj	prononco
level	kompari	karşılaştırmak	to compare	grupo	alternativoj	prononco
level	arko	bir yay (bir eğrinin)	an arc (of a curve)	grupo	alternativoj	prononco
level	sperta	deneyimli, uzman	experienced, expert	grupo	alternativoj	prononco
level	sankta	kutsal, kutsal	holy, sacred	grupo	alternativoj	prononco
level	lavujo	bir lavabo	a washbasin	grupo	alternativoj	prononco
level	trajno	Bir tren	a train	grupo	alternativoj	prononco
level	domaĝo	yazık, üzücü bir şey	a pity, something regrettable	grupo	alternativoj	prononco
level	akra	keskin, aşındırıcı	sharp, abrasive	grupo	alternativoj	prononco
level	meriti	hak etmek, layık olmak, layık olmak	to deserve, to merit, to be worthy of	grupo	alternativoj	prononco
level	ekparoli	konuşmaya başlamak	to start speaking	grupo	alternativoj	prononco
level	ekscii	tanımak, farkına varmak, öğrenmek	to get to know, to realise, to learn	grupo	alternativoj	prononco
level	semo	bir tohum	a seed	grupo	alternativoj	prononco
level	reveni	geri dönmek, geri dönmek	to come back, to return	grupo	alternativoj	prononco
level	lupo	bir kurt	a wolf	grupo	alternativoj	prononco
level	elefanto	bir fil	an elephant	grupo	alternativoj	prononco
level	karoto	havuç	a carrot	grupo	alternativoj	prononco
level	haŭto	bir deri, bir deri	skin, a skin	grupo	alternativoj	prononco
level	palaco	bir saray	a palace	grupo	alternativoj	prononco
level	eksidi	oturmak için	to get sit down	grupo	alternativoj	prononco
level	mamo	(bir kadının) memesi, meme	a breast (of a woman), boob	grupo	alternativoj	prononco
level	urso	bir ayı	a bear	grupo	alternativoj	prononco
level	vulpo	bir tilki	a fox	grupo	alternativoj	prononco
level	kuracisto	(tıp) doktor, doktor	a (medical) doctor, a physician	grupo	alternativoj	prononco
level	kurteno	bir perde, perde, peçe	a curtain, a screen, a veil	grupo	alternativoj	prononco
level	venki	fethetmek, fethetmek, yenmek, yenmek	to conquer, to conquest, to win, to overcome	grupo	alternativoj	prononco
level	soldato	Bir asker	a soldier	grupo	alternativoj	prononco
level	trunko	bir gövde, bir şaft, bir gövde	a trunk, a shaft, a torso	grupo	alternativoj	prononco
level	ŝtelisto	Bir hırsız	a thief	grupo	alternativoj	prononco
level	miksi	karıştırmak, harmanlamak, karıştırmak	to mix, to blend, to shuffle	grupo	alternativoj	prononco
level	preciza	kesin, doğru	precise, accurate	grupo	alternativoj	prononco
level	instruisto	bir öğretmen, bir eğitmen	a teacher, an instructor	grupo	alternativoj	prononco
level	tedi	deliğe	to bore	grupo	alternativoj	prononco
level	gaso	gaz	gas	grupo	alternativoj	prononco
level	fervora	ciddi, istekli, ateşli, tutkulu	earnest, eager, fervent, impassioned	grupo	alternativoj	prononco
level	diablo	bir şeytan	a devil	grupo	alternativoj	prononco
level	densa	yoğun, kalın, konsantre	dense, thick, concentrated	grupo	alternativoj	prononco
level	stranga	tuhaf, tuhaf, tuhaf	strange, odd, peculiar	grupo	alternativoj	prononco
level	savi	kurtarmak, kurtarmak	to save, to rescue	grupo	alternativoj	prononco
level	vico	dönüş, dönüş (sırayla)	turn, a turn (in a sequence)	grupo	alternativoj	prononco
level	kilometro	bir kilometre	a kilometer	grupo	alternativoj	prononco
level	puni	cezalandırmak	to punish	grupo	alternativoj	prononco
level	prunto	Bir kredi	a loan	grupo	alternativoj	prononco
level	planto	bitki, bitki	plant, a plant	grupo	alternativoj	prononco
level	praktiko	alıştırma, alıştırma	practice, a practice	grupo	alternativoj	prononco
level	kune	birlikte	together	grupo	alternativoj	prononco
level	temperaturo	sıcaklık	temperature	grupo	alternativoj	prononco
level	nepo	bir torun	a grandson	grupo	alternativoj	prononco
level	kunveni	toplanmak, toplanmak, buluşmak	to convene, to gather, to meet	grupo	alternativoj	prononco
level	tono	bir ton	a tone	grupo	alternativoj	prononco
level	plata	düz	flat	grupo	alternativoj	prononco
level	ekskursi	affetmek, pikniğe gitmek, gezmek	to excurse, to go on a picnic, to jaunt	grupo	alternativoj	prononco
level	ripari	tamir etmek, düzeltmek	to repair, to fix	grupo	alternativoj	prononco
level	dramo	bir drama	a drama	grupo	alternativoj	prononco
level	sovaĝa	vahşi, vahşi	savage, wild	grupo	alternativoj	prononco
level	progresi	ilerlemek	to progress	grupo	alternativoj	prononco
level	sonĝo	bir rüya	a dream	grupo	alternativoj	prononco
level	legomo	bir sebze	a vegetable	grupo	alternativoj	prononco
level	proksimuma	yaklaşık	approximate	grupo	alternativoj	prononco
level	mapo	bir harita	a map	grupo	alternativoj	prononco
level	foje (iu foje)	bazen (bazen)	sometimes (some times)	grupo	alternativoj	prononco
level	aŭtoritato	bir otorite	an authority	grupo	alternativoj	prononco
level	distribui	dağıtmak	to distribute	grupo	alternativoj	prononco
level	distingi	ayırt etmek	to distinguish	grupo	alternativoj	prononco
level	speciala	özel	special	grupo	alternativoj	prononco
level	boli	kaynatmak	to boil	grupo	alternativoj	prononco
level	osto	kemik	a bone	grupo	alternativoj	prononco
level	rekomendi	tavsiye etmek	to recommend	grupo	alternativoj	prononco
level	postmorgaŭ	yarından sonraki gün	the day after tomorrow	grupo	alternativoj	prononco
level	komplezi	iyilik yapmak, nazik davranmak, mecbur etmek	to oblige, to be kind as to, to do a favor	grupo	alternativoj	prononco
level	ĝentila	nazik, kibar, nazik, iyi huylu	gentle, polite, courteous, well-mannered	grupo	alternativoj	prononco
level	komforta	rahat	comfortable	grupo	alternativoj	prononco
level	strio	bir şerit, bir ışın	a stripe, a ray	grupo	alternativoj	prononco
level	tolo	bir tuval, bir kumaş, bir keten	a canvas, a cloth, a linen	grupo	alternativoj	prononco
level	ŝnuro	bir ip, bir akor, bir tel	a rope, a chord, a string	grupo	alternativoj	prononco
level	imperio	bir imparatorluk	an empire	grupo	alternativoj	prononco
level	ĉemizo	bir gömlek	a shirt	grupo	alternativoj	prononco
level	anaso	bir ördek	a duck	grupo	alternativoj	prononco
level	organo	bir organ, bir inceleme, resmi bir bülten	an organ, a review, an official bulletin	grupo	alternativoj	prononco
level	longe	uzun, uzun bir süre	long, for a long time	grupo	alternativoj	prononco
level	biskvito	bisküvi, kurabiye, kraker	a biscuit, a cookie, a cracker	grupo	alternativoj	prononco
level	panjo	anne, anne, anne	mom, a mom, mommy	grupo	alternativoj	prononco
level	paĉjo	baba, baba, baba	dad, a dad, daddy	grupo	alternativoj	prononco
level	mendi	sipariş vermek, rezervasyon yaptırmak	to order, to book	grupo	alternativoj	prononco
level	lingva	dilsel	linguistic	grupo	alternativoj	prononco
level	biciklo	bir bisiklet, bir bisiklet	a bike, a bicycle	grupo	alternativoj	prononco
level	imiti	taklit etmek	to imitate	grupo	alternativoj	prononco
level	abelo	arı	a bee	grupo	alternativoj	prononco
level	konfidi	güvenmek, emanet etmek	to confide, to entrust	grupo	alternativoj	prononco
level	ferio (feria tago)	tatil, tatil (=libertago)	holiday, a holiday (=libertago)	grupo	alternativoj	prononco
level	kisi	öpmek	to kiss	grupo	alternativoj	prononco
level	nokte	gece vakti, gece vakti, geceleyin	at night, night-time, by night	grupo	alternativoj	prononco
level	transdoni	devretmek, devretmek, teslim etmek	to give over, to transfer, to hand over	grupo	alternativoj	prononco
level	litero	bir karakter, bir mektup	a character, a letter	grupo	alternativoj	prononco
level	maŝino	makine	a machine	grupo	alternativoj	prononco
level	haveno	bir liman, bir liman	a harbor, a port	grupo	alternativoj	prononco
level	graso	yağ, yağ	grease, fat	grupo	alternativoj	prononco
level	klopodi	teşebbüs etmek, teşebbüs etmek, amaçlamak, üstlenmek	to endeavor, to attempt, to aim, to undertake	grupo	alternativoj	prononco
level	ŝanco	bir şans, bir fırsat	a chance, an opportunity	grupo	alternativoj	prononco
level	ŝiri	yırtmak, yırtmak	to tear, to rip	grupo	alternativoj	prononco
level	mantelo	bir palto, bir manto, bir pelerin	a coat, a manteau, a cloak	grupo	alternativoj	prononco
level	programo	bir program	a program	grupo	alternativoj	prononco
level	volvi	sarmak, sarmak, sarmak, sarmak	to wrap, to roll, to wind, to roll up	grupo	alternativoj	prononco
level	prunte	kiralık	on loan	grupo	alternativoj	prononco
