B.ur content.tsv
Level	Esperanto	ur	en-us	Grupo	Alternativoj	Pronoco
level	nu, "kongreso" ne sonas tre interese	ٹھیک ہے، &quot;کانگریس&quot; بہت دلچسپ نہیں لگتی	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	لیکن یہ (دلچسپ) ہے	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	کچھ بورنگ سست کانگریس کے بارے میں مت سوچو	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	یہ صرف ~ کے بارے میں ہے	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	یہ صرف نوجوانوں سے ملنے کے بارے میں ہے	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	کئی ممالک کے نوجوانوں سے ملاقات	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	300 سے 400 لوگ ہوں گے۔	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	وہاں شاید 300 سے 400 لوگ ہوں گے۔	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	تقریباً ہر کوئی	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	اور تقریباً ہر کوئی ایسپرانٹو بولے گا۔	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	اچھا نہیں بولتا	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	ٹھیک ہے، لیکن میں ایسپرانٹو اچھی طرح نہیں بولتا	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	اس سے کوئی فرق نہیں پڑتا	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	~ میں حصہ لینا ممکن ہے۔	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	وہاں ایسپرانٹو کورسز میں حصہ لینے کے لیے	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	عام طور پر	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	عام طور پر دو سطحیں ہیں	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	وہ لوگ جو پہلے ہی زبان سیکھ چکے تھے۔	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	beginners کے لئے ایک	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	اور دوسرا ان لوگوں کے لیے جو پہلے ہی زبان سیکھ چکے ہیں۔	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	جی ہاں، کیا؟	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	آپ نے کہا، &quot;عام طور پر&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	اوہ، IJK ہر سال ہوتا ہے۔	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	دوسرے ملک میں ہر بار	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	اس وجہ سے، ہر IJK مختلف ہے۔	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	لیکن پروگرام بھی ہیں	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	پروگرام جو اکثر واپس آتے ہیں۔	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	لیکن ایسے پروگرام بھی ہیں جو اکثر واپس آتے ہیں۔	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	مثال کے طور پر	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	مثال کے طور پر، کھیل اور تاش کھیلنا تقریباً ہمیشہ ممکن ہوتا ہے۔	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	رات بھر دوستوں کے ساتھ باتیں کرنا	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	آگ کے گرد گانا اور ناچنا	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	کنسرٹس میں حصہ لینے کے لیے، وغیرہ	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	ٹھیک ہے، میں یہ گھر پر بھی کر سکتا ہوں۔	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	ٹھیک ہے، لیکن	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	لیکن IJK کے دوران اہم چیز ~ ہے۔	but the important thing during IJK is ~	grupo	alternativoj	prononco
level	venas de multaj diversaj landoj	بہت سے مختلف ممالک سے آتا ہے	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	یہ ہے کہ شرکاء مختلف ممالک سے آتے ہیں۔	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	مختلف لوگوں کے اس اختلاط کی وجہ سے	because of that mix of different people	grupo	alternativoj	prononco
level	estas bona etoso, kiu tre plaĉas al mi	یہ ایک اچھا ماحول ہے جو مجھے بہت پسند ہے۔	it's a good atmosphere that I like very much	grupo	alternativoj	prononco
level	bone, sonas interese	ٹھیک ہے، دلچسپی کی طرح لگتا ہے	all right, sounds like interest	grupo	alternativoj	prononco
level	mi pripensos	میں سوچوں گا۔	I will think about	grupo	alternativoj	prononco
level	certe	یقینا	for sure	grupo	alternativoj	prononco
level	tamen, problemo estas ~	تاہم، ایک مسئلہ ~ ہے۔	however, a problem is ~	grupo	alternativoj	prononco
level	tiom da mono	اتنا پیسہ	that much money	grupo	alternativoj	prononco
level	mi ne havas tiom da mono nun	میرے پاس ابھی اتنے پیسے نہیں ہیں۔	I don't have that much money right now	grupo	alternativoj	prononco
level	problemo estas ke mi ne havas tiom da mono	مسئلہ یہ ہے کہ میرے پاس اتنے پیسے نہیں ہیں۔	problem is I don't have that much money	grupo	alternativoj	prononco
level	mi komprenas, sed ne estus multe-koste	میں سمجھتا ہوں، لیکن اس کی قیمت زیادہ نہیں ہوگی۔	I understand, but it wouldn't cost much	grupo	alternativoj	prononco
level	ne estus multe-koste, mia-krede	یہ زیادہ مہنگا نہیں ہوگا، مجھے یقین ہے۔	it would not be much expensive, I believe	grupo	alternativoj	prononco
level	tabelo de kotizo de programeroj	پروگراموں کی فیس کی ایک میز	a table of fees of programs	grupo	alternativoj	prononco
level	jen, se vi rigardas la kotiztabelon	یعنی، اگر آپ شیئر/فیس ٹیبل کو دیکھیں	that is, if you look at the share/fees table	grupo	alternativoj	prononco
level	la kotiztabelo de la IJK-invitilo	IJK-دعوت نامہ کا حصہ/فیس ٹیبل	the share/fees table of IJK-invitation	grupo	alternativoj	prononco
level	vi vidas, ke ~	آپ کو وہ مل گیا ~	you find that ~	grupo	alternativoj	prononco
level	temas pri entute nur 50 eŭroj	یہ کل میں صرف 50 یورو ہے۔	it's only 50 euros in total	grupo	alternativoj	prononco
level	vi vidas, ke por vi temas pri entute nur 50 eŭroj	آپ نے دیکھا کہ آپ کے لیے یہ کل صرف 50 یورو ہے۔	you see that for you it's only 50 euros in total	grupo	alternativoj	prononco
level	se ni dormas surplanke	اگر ہم فرش پر سوتے ہیں۔	if we sleep on the floor	grupo	alternativoj	prononco
level	en ordo	بالکل ٹھیک	all right	grupo	alternativoj	prononco
level	bone, tio sonas en ordo	ٹھیک ہے، یہ ٹھیک لگتا ہے	well, that sounds fine	grupo	alternativoj	prononco
level	sed kio pri la vojaĝo	لیکن سفر کے بارے میں کیا	but what about the travel	grupo	alternativoj	prononco
level	trajno kostus ĉirkaŭ 70 eŭrojn	ایک ٹرین کی قیمت لگ بھگ 70 یورو ہوگی۔	a train would cost around 70 euros	grupo	alternativoj	prononco
level	ĉu tio eblus por vi?	کیا یہ آپ کے لیے ممکن ہو گا؟	would that be possible for you?	grupo	alternativoj	prononco
level	espereble	امید ہے	hopefully	grupo	alternativoj	prononco
level	sed daŭrus sufiĉe longe per trajno	لیکن ٹرین کے ذریعے کافی دیر تک چلے گا۔	but would last long enough by train	grupo	alternativoj	prononco
level	jes, sed ni povas halti en unu aŭ du urboj	ہاں، لیکن ہم ایک یا دو شہروں میں رک سکتے ہیں۔	yes, but we can stop in one or two cities	grupo	alternativoj	prononco
level	dum la vojo	راستے میں	along the way	grupo	alternativoj	prononco
level	kaj la tranoktado?	اور رات کا قیام؟	and the night stay?	grupo	alternativoj	prononco
level	ĉu vi pagus por ĝi?	کیا آپ اس کے لیے ادائیگی کریں گے؟	would you pay for it?	grupo	alternativoj	prononco
level	ne, ne mi, sed ne estas problemo	نہیں، میں نہیں، لیکن یہ کوئی مسئلہ نہیں ہے۔	no, not me, but it's not a problem	grupo	alternativoj	prononco
level	ĉu vere, ke tio ne estas problemo?	کیا واقعی یہ کوئی مسئلہ نہیں ہے؟	is it really that this is not a problem?	grupo	alternativoj	prononco
level	kiel vi planas solvi tion?	آپ اسے کیسے حل کرنے کی منصوبہ بندی کرتے ہیں؟	how do you plan to solve that?	grupo	alternativoj	prononco
level	montris la oran kronon	سنہری تاج دکھایا	showed the golden crown	grupo	alternativoj	prononco
level	nu, mi baldaŭ montros al vi	ٹھیک ہے، میں آپ کو جلد ہی دکھاؤں گا۔	well, I will show you soon	grupo	alternativoj	prononco
level	sed unue pli da teo	لیکن پہلے مزید چائے	but first more tea	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas?	کیا آپ بھی چاہتے ہیں؟	do you want too?	grupo	alternativoj	prononco
level	jes, dankon	ہاں آپ کا شکریہ	yes, thank you	grupo	alternativoj	prononco
level	en la sama kafejo	اسی کیفے میں	in the same cafe'	grupo	alternativoj	prononco
level	io daŭras, daŭrigas tion	کچھ چلتا ہے، اسے جاری رکھتا ہے۔	something goes on, keeps (doing) that on	grupo	alternativoj	prononco
level	plano, plani, planado	ایک منصوبہ، منصوبہ بندی، منصوبہ بندی	a plan, to plan, planning	grupo	alternativoj	prononco
level	ŝi kaj li daŭrigas la planadon	وہ اور وہ منصوبہ بندی جاری رکھتے ہیں۔	she and he continue the planning	grupo	alternativoj	prononco
level	bonvolu, jen via teo	براہ کرم، یہ رہی آپ کی چائے	please, here's your tea	grupo	alternativoj	prononco
level	mi dume rigardis la invitilon	اسی دوران میں نے دعوت نامہ پر نظر ڈالی۔	meanwhile I looked at the invitation	grupo	alternativoj	prononco
level	rigardis la invitilon por IJK	IJK کی دعوت کو دیکھا	looked at the invitation of IJK	grupo	alternativoj	prononco
level	mi multon komprenas, sed ne ĉion	میں بہت کچھ سمجھتا ہوں، لیکن سب نہیں۔	I understand much, but not all	grupo	alternativoj	prononco
level	bone bone, nur demandu	ٹھیک ہے، بس پوچھو	all right all right, just ask	grupo	alternativoj	prononco
level	jen la aferoj	یہاں چیزیں ہیں	here are the things	grupo	alternativoj	prononco
level	klaraj aferoj	صاف چیزیں	clear things	grupo	alternativoj	prononco
level	la aferoj kiuj estas malklaraj	وہ چیزیں جو مبہم ہیں۔	the things that are confusing	grupo	alternativoj	prononco
level	estas malklaraj por mi	مجھے الجھا رہے ہیں	are confusing to me	grupo	alternativoj	prononco
level	aliĝi, aliĝilo	شامل ہونے کے لیے، ایک رجسٹریشن فارم	to join, a registration form	grupo	alternativoj	prononco
level	TEJO (la organizo)	ورلڈ ایسپرانٹو یوتھ آرگنائزیشن	The World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo (la TEJO-birdo)	پیپو، ایک پرندہ جو TEJO کی نمائندگی کرتا ہے۔	Pepo, a bird that represents the TEJO	grupo	alternativoj	prononco
level	loĝi, loĝejo	ٹھہرنے کی جگہ، ٹھہرنے کی جگہ	to stay, a place to stay (a lodging)	grupo	alternativoj	prononco
level	amasloĝejo	بڑے پیمانے پر لوگوں کے لئے ایک قیام	a lodging for mass people	grupo	alternativoj	prononco
level	aliĝilo estas ilo por al-iĝi	رجسٹریشن فارم رجسٹریشن کا ایک ٹول ہے۔	a registration form is a tool for registering	grupo	alternativoj	prononco
level	aliĝilo en kiu vi skribas vian nomon, adreson ktp	ایک رکنیت کا فارم جس میں آپ اپنا نام، پتہ وغیرہ لکھتے ہیں۔	a membership form in which you write your name, address, etc	grupo	alternativoj	prononco
level	longa, mallongigo	طویل، ایک مخفف	long, an abbreviation	grupo	alternativoj	prononco
level	mallongigo de Tutmonda Esperantista Junulara Organizo	ورلڈ ایسپرانٹو یوتھ آرگنائزیشن کا مخفف	an abbreviation of the World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo estas la amuza birdo de TEJO	پیپو TEJO کا مضحکہ خیز پرندہ ہے۔	Pepo is the funny bird of TEJO	grupo	alternativoj	prononco
level	amasloĝejo estas ejo kie amaso de homoj loĝas	ایک اجتماعی رہائش ایک ایسی جگہ ہے جہاں بہت سے لوگ ٹھہرتے ہیں۔	a mass-lodging is a place where a lot of people stay	grupo	alternativoj	prononco
level	dormo, dormigilo, dormosako	ایک نیند، ایک نیند کی گولی، ایک سلیپنگ بیگ	a sleep, a sleeping pill, a sleeping bag	grupo	alternativoj	prononco
level	kutime oni bezonas dormosakon tie	عام طور پر وہاں ایک سلیپنگ بیگ کی ضرورت ہوتی ہے۔	usually one needs a sleeping bag there	grupo	alternativoj	prononco
level	vi klarigis tro rapide	آپ نے بہت جلدی وضاحت کی۔	you explained too quickly	grupo	alternativoj	prononco
level	mi ne kaptis ĉion	میں نے سب کچھ نہیں پکڑا۔	I didn't catch everything	grupo	alternativoj	prononco
level	ne tre gravas	اتنا اہم نہیں ہے	is not that important	grupo	alternativoj	prononco
level	mi pensas ke ne tre gravas nun	میرے خیال میں اب یہ بہت اہم نہیں ہے۔	I think it's not very important now	grupo	alternativoj	prononco
level	poste ni povas pli paroli	بعد میں ہم مزید بات کر سکتے ہیں	later we can talk more	grupo	alternativoj	prononco
level	pli paroli pri la IJK-invitilo	IJK دعوت کے بارے میں مزید بات کرنے کے لیے	more to talk about the IJK invitation	grupo	alternativoj	prononco
level	do, vi volas plani la vojaĝon nun, ĉu?	تو آپ ابھی سفر کی منصوبہ بندی کرنا چاہتے ہیں، ٹھیک ہے؟	so you want to plan the travel now, right?	grupo	alternativoj	prononco
level	jes, volonte	جی ہاں، خوشی سے	yes, gladly	grupo	alternativoj	prononco
level	tiel vi vidos ke ~	تو آپ دیکھیں گے کہ ~	so you will see that ~	grupo	alternativoj	prononco
level	kostos tiom multe	اتنی لاگت آئے گی	will cost that much	grupo	alternativoj	prononco
level	vidos ke la vojaĝo ne kostos tiom multe	دیکھیں گے کہ سفر پر اتنا خرچ نہیں آئے گا۔	will see that the travel will not cost that much	grupo	alternativoj	prononco
level	mi volas scii	میں جاننا چاہتا ہوں	I want to know	grupo	alternativoj	prononco
level	mi scivolas pri ~	میں ~ کے بارے میں جاننا چاہتا ہوں۔	I want to know about ~	grupo	alternativoj	prononco
level	kiel vi solvos la tranoktadon	آپ رات کے قیام کو کیسے حل کریں گے۔	how you will solve the night-staying	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	کیونکہ میرے پاس پیسے نہیں ہیں۔	because I don't have money	grupo	alternativoj	prononco
level	junulara gastejo	یوتھ ہاسٹل	a youth hostel	grupo	alternativoj	prononco
level	havas monon por hotelo aŭ junulargastejo	ہوٹل یا یوتھ ہاسٹل کے لیے پیسے ہیں۔	has money for a hotel or a youth-hostel	grupo	alternativoj	prononco
level	jen la solvo!	یہاں حل ہے	here's the solution	grupo	alternativoj	prononco
level	pasporto	ایک پاسپورٹ	a passport	grupo	alternativoj	prononco
level	Pasporta Servo	پاسپورٹ سروس، Esperantists' Home Stay	Passport Service, Esperantists' Home Stay	grupo	alternativoj	prononco
level	libreto kun la nomo "Pasporta Servo"	&quot;پاسپورٹ سروس&quot; کے نام کے ساتھ کتابچہ	booklet with the name "Passport Service"	grupo	alternativoj	prononco
level	servo por kio?	کس کے لیے خدمت؟	service for what?	grupo	alternativoj	prononco
level	por homoj kiel ni	ہم جیسے لوگوں کے لیے	for people like us	grupo	alternativoj	prononco
level	sperti, spertulo	تجربہ کرنا، ایک ماہر	to experience, an expert	grupo	alternativoj	prononco
level	homoj kiuj ŝatas vojaĝi kaj sperti landojn	وہ لوگ جو ممالک کا سفر کرنا اور تجربہ کرنا پسند کرتے ہیں۔	people who like to travel and experience countries	grupo	alternativoj	prononco
level	enspezi kaj elspezi	کمانے اور خرچ کرنے کے لیے	to earn and to spend	grupo	alternativoj	prononco
level	sen elspezi multe da mono	بہت سارے پیسے خرچ کیے بغیر	without spending a lot of money	grupo	alternativoj	prononco
level	servo, la servo, tiu servo	ایک خدمت، خدمت، وہ خدمت	a service, the service, that service	grupo	alternativoj	prononco
level	bone, kaj kiel funkcias tiu servo?	ٹھیک ہے، اور یہ سروس کیسے کام کرتی ہے؟	well, and how does that service work?	grupo	alternativoj	prononco
level	mi vidas ke en la libreto estas ~	میں دیکھ رہا ہوں کہ کتابچے میں ~ ہے۔	I see that in the booket there is ~	grupo	alternativoj	prononco
level	multe da adresoj	بہت سے پتے	lots of addresses	grupo	alternativoj	prononco
level	estas multe da adresoj de pluraj landoj	کئی ممالک سے کئی پتے ہیں۔	there are many addresses from several countries	grupo	alternativoj	prononco
level	ĝuste, jes!	ٹھیک ہے، ہاں!	right, yes!	grupo	alternativoj	prononco
level	je via dispono	آپ کے اختیار میں	at your disposal	grupo	alternativoj	prononco
level	ili ĉiuj	وہ سب، وہ سب	they all, all of them	grupo	alternativoj	prononco
level	fakte ili ĉiuj estas je via dispono!	درحقیقت وہ سب آپ کے اختیار میں ہیں!	in fact they are all at your disposal!	grupo	alternativoj	prononco
level	signifis, signifo	مطلب، معنی	meant, meaning	grupo	alternativoj	prononco
level	"je mia dispono", kion signifas tio?	&quot;میرے اختیار میں&quot;، اس کا کیا مطلب ہے؟	"at my disposal", what does that mean?	grupo	alternativoj	prononco
level	signifas ke ~	اس کا مطلب ہے ~	means that ~	grupo	alternativoj	prononco
level	gasti, gasto, gastigi	مہمان، مہمان، مہمان کی میزبانی کرنا	to guest, a guest, to host a guest	grupo	alternativoj	prononco
level	estas preta, pretas, pretiĝu!	تیار ہے، تیار ہے، تیار ہو جاؤ!	is ready, is prepared, get ready!	grupo	alternativoj	prononco
level	homoj ĉe tiuj adresoj pretas gastigi vin	ان پتوں پر لوگ آپ کی میزبانی کے لیے تیار ہیں۔	people at those addresses are ready to host you	grupo	alternativoj	prononco
level	koni, konata, konatiĝi	جاننا (ایک شخص)، جانا جاتا ہے، جانا جاتا ہے۔	to know (a person), known, to get to be known	grupo	alternativoj	prononco
level	kaj helpi vin konatiĝi kun ilia regiono	اور ان کے علاقے سے واقفیت حاصل کرنے میں آپ کی مدد کریں۔	and help you get acquainted with their region	grupo	alternativoj	prononco
level	signifas ke homoj pretas gastigi vin kaj helpi	اس کا مطلب ہے کہ لوگ آپ کی میزبانی اور مدد کرنے کو تیار ہیں۔	means people are willing to host you and help	grupo	alternativoj	prononco
level	sonas interese!	دلچسپ معلوم ہونا!	sounds interesting!	grupo	alternativoj	prononco
level	do	تو	so	grupo	alternativoj	prononco
level	oni loĝas en la hejmo de aliaj Esperantistoj, ĉu?	کوئی دوسرے Esperantists کے گھر میں رہتا ہے، ٹھیک ہے؟	somebody stays in the home of other Esperantists, right?	grupo	alternativoj	prononco
level	pluraj spertoj per Pasporta Servo	پاسپورٹ سروس کے ساتھ کئی تجربات	several experiences with Passport Service	grupo	alternativoj	prononco
level	mi havis plurajn interesajn spertojn	مجھے کئی دلچسپ تجربات ہوئے۔	I had several interesting experiences	grupo	alternativoj	prononco
level	mi uzis ĝin en tri kontinentoj	میں نے اسے تین براعظموں میں استعمال کیا ہے۔	I have used it on three continents	grupo	alternativoj	prononco
level	malbone funkcias	(یہ) خراب کام کرتا ہے۔	(it) works poorly	grupo	alternativoj	prononco
level	kaj ĝis nun funkciis tre bone	اور اب تک (اس نے) بہت اچھا کام کیا ہے۔	and so far (it) has worked very well	grupo	alternativoj	prononco
level	bonege! kien ni iru?	زبردست! ہم کہاں جا رہے ہیں؟	great! where are we going?	grupo	alternativoj	prononco
level	do, mia plano estas ke ni ~	تو، میرا منصوبہ یہ ہے کہ ہم ~	so, my plan is that we ~	grupo	alternativoj	prononco
level	venas, alvenis	آتا ہے، پہنچا ہے۔	comes, arrived	grupo	alternativoj	prononco
level	post sukcesa vojaĝo	کامیاب سفر کے بعد	after a successful trip	grupo	alternativoj	prononco
level	post uzado de Pasporta Servo en du urboj	دو شہروں میں پاسپورٹ سروس استعمال کرنے کے بعد	after using Passport Service in two cities	grupo	alternativoj	prononco
level	ili alvenas post sukcesa vojaĝo	وہ کامیاب سفر کے بعد پہنچتے ہیں۔	they arrive after a successful trip	grupo	alternativoj	prononco
level	jen, vidu!	دیکھو، دیکھو!	behold, look!	grupo	alternativoj	prononco
level	tie estas granda Esperanto-flago	وہاں ایک بڑا ایسپرانٹو جھنڈا ہے۔	there's a big Esperanto flag over there	grupo	alternativoj	prononco
level	ŝildo kun la teksto "Bonvenon al IJK!"	متن کے ساتھ ایک نشان &quot;IJK میں خوش آمدید!&quot;	a sign with the text "Welcome to IJK!"	grupo	alternativoj	prononco
level	jes, kaj sub ĝi estas ~	ہاں، اور اس کے نیچے ~ ہے۔	yes, and below it there is ~	grupo	alternativoj	prononco
level	hu ra!	ہورے!	Hooray!	grupo	alternativoj	prononco
level	ni do finfine alvenis	تو ہم آخر میں پہنچ گئے	so we finally arrived	grupo	alternativoj	prononco
level	mi estas tre laca kaj malsata	میں بہت تھکا ہوا اور بھوکا ہوں۔	I am very tired and hungry	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas ~	کیا آپ کو لگتا ہے کہ ہم کر سکتے ہیں ~؟	do you think we can ~ ?	grupo	alternativoj	prononco
level	manĝi ion	کچھ کھانے کے لیے	to eat something	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas tuj ion manĝi?	کیا آپ کو لگتا ہے کہ ہم ابھی کچھ کھا سکتے ہیں؟	do you think we can eat something right away?	grupo	alternativoj	prononco
level	mi dubas pri tio	مجھے اس پر شک ہے	I doubt that	grupo	alternativoj	prononco
level	unue ni devas akceptiĝi	ہم سب سے پہلے قبول کیا جانا چاہئے	we must first be accepted	grupo	alternativoj	prononco
level	devas akceptiĝi ĉe la akceptejo	استقبالیہ ڈیسک پر قبول کرنا ضروری ہے۔	must be accepted at the reception desk	grupo	alternativoj	prononco
level	kaj tio povas daŭri longe	اور یہ ایک طویل وقت تک چل سکتا ہے	and that can last a long time	grupo	alternativoj	prononco
level	daŭri longe miasperte	میرے تجربے میں طویل عرصے تک رہنے کے لئے	to last long in my experience	grupo	alternativoj	prononco
level	ho ve!	افسوس!	alas!	grupo	alternativoj	prononco
level	ĉu tio estas la vico por la akceptejo?	کیا یہ استقبال کے لیے لائن ہے؟	is that the line for the reception?	grupo	alternativoj	prononco
level	mi timas ke jes	مجھے تو ڈر لگتا ہے۔	I'm afraid so	grupo	alternativoj	prononco
level	ne estas tute perfekte fari ~	کرنا ~ مکمل طور پر کامل نہیں ہے۔	to do ~ is not totally perfect	grupo	alternativoj	prononco
level	tute perfekte alveni vespere	شام کو پہنچنے کے لیے بالکل موزوں ہے۔	is totally perfect to arrive in the evening	grupo	alternativoj	prononco
level	ni povas babili kun homoj	ہم لوگوں کے ساتھ بات چیت کر سکتے ہیں۔	we can chat with people	grupo	alternativoj	prononco
level	sed ni povas babili kun homoj en la vico	لیکن ہم لائن میں لوگوں کے ساتھ چیٹ کر سکتے ہیں۔	but we can chat with people in line	grupo	alternativoj	prononco
level	jen, mi vidas amikon de rusio!	دیکھو، میں روس کا ایک دوست دیکھ رہا ہوں!	behold, I see a friend of Russia!	grupo	alternativoj	prononco
level	mi estas malsata, mi volas manĝi	مجھے بھوک لگی ہے، میں کھانا چاہتا ہوں۔	I'm hungry, I want to eat	grupo	alternativoj	prononco
level	post ĉirkaŭ 2 horoj	تقریبا 2 گھنٹے کے بعد	after about 2 hours	grupo	alternativoj	prononco
level	en la vico kun novaj kaj malnovaj amikoj	نئے اور پرانے دوستوں کے مطابق	in line with new and old friends	grupo	alternativoj	prononco
level	LKK (Loka Kongresa Komitato)	مقامی کانگریس کمیٹی	local congress commitee	grupo	alternativoj	prononco
level	LKK-ano	مقامی کانگریس کمیٹی کا رکن	a member in the local congress commitee	grupo	alternativoj	prononco
level	bonvenon, kiu vi estas?	خوش آمدید، آپ کون ہیں؟	welcome, who are you?	grupo	alternativoj	prononco
level	de kiu lando?	کونسے ملک سے؟	from which country?	grupo	alternativoj	prononco
level	ĉu vi antaŭpagis?	کیا آپ نے پہلے سے ادائیگی کی؟	did you prepay?	grupo	alternativoj	prononco
level	bonvolu montri	براہ مہربانی دکھائیں	please show	grupo	alternativoj	prononco
level	se jes, bonvolu montri la kvitancon	اگر ایسا ہے تو براہ کرم رسید دکھائیں۔	if so, please show the receipt	grupo	alternativoj	prononco
level	ĉu vi estas TEJO-membro?	کیا آپ TEJO کے رکن ہیں؟	are you a member of TEJO?	grupo	alternativoj	prononco
level	membriĝi ĉe la budo	بوتھ پر ممبر بننے کے لیے	to become a member at a booth	grupo	alternativoj	prononco
level	se ne, vi povas membriĝi ĉe la venonta budo	اگر نہیں، تو آپ اگلے بوتھ میں شامل ہو سکتے ہیں۔	if not, you can join at the next booth	grupo	alternativoj	prononco
level	jen kvitancoj de antaŭpagoj	پیشگی ادائیگیوں کی رسیدیں یہ ہیں۔	here are receipts of advance payments	grupo	alternativoj	prononco
level	membrokartoj kaj niaj pasportoj	ممبرشپ کارڈ اور ہمارے پاسپورٹ	membership cards and our passports	grupo	alternativoj	prononco
level	tre bone	بہت اچھا	very good	grupo	alternativoj	prononco
level	do, mi vidas ke vi loĝos en amasloĝejo	لہذا، میں دیکھ رہا ہوں کہ آپ بڑے پیمانے پر رہائش (حادثے کی جگہ) میں رہیں گے	so, I see you will live in a mass-lodging (crash space)	grupo	alternativoj	prononco
level	kaj manĝos en la junulargastejo	اور یوتھ ہاسٹل میں کھائیں گے۔	and will eat in the youth hostel	grupo	alternativoj	prononco
level	ĉu ĝustas tiuj informoj?	کیا وہ معلومات درست ہیں؟	are those information correct?	grupo	alternativoj	prononco
level	jes, perfekte	جی ہاں، کامل	yes, perfect	grupo	alternativoj	prononco
level	sako kun programo, mapo ktp	پروگرام، نقشہ وغیرہ کے ساتھ ایک بیگ	a bag with program, map etc	grupo	alternativoj	prononco
level	vi povas pagi kaj ricevi sakon kun programo, mapo ktp	آپ پروگرام، نقشہ وغیرہ کے ساتھ ایک بیگ ادا اور وصول کر سکتے ہیں۔	you can pay and receive a bag with program, map etc	grupo	alternativoj	prononco
level	ĉe la ruĝa budo, tie	ریڈ بوتھ پر، وہاں	at the red booth, there	grupo	alternativoj	prononco
level	bone, dankon	اچھاآپ کا شکریہ	good, thank you	grupo	alternativoj	prononco
level	aspektas laca sed sana	تھکا ہوا لیکن صحت مند لگتا ہے	looks tired but healthy	grupo	alternativoj	prononco
level	tiuj personoj vere aspektis lacaj	وہ لوگ واقعی تھکے ہوئے لگ رہے تھے۔	those people really looked tired	grupo	alternativoj	prononco
level	kaj ne estis tre afablaj	اور بہت مہربان نہیں تھے۔	and were not very kind	grupo	alternativoj	prononco
level	vi pravas	آپ صحیح ہیں	you are right	grupo	alternativoj	prononco
level	sed memoru ke ~	لیکن یاد رکھیں ~	but remember that ~	grupo	alternativoj	prononco
level	laboras dum ok horoj	8 گھنٹے کام کر رہے ہیں۔	are working for 8 hours	grupo	alternativoj	prononco
