A.fr content.tsv
Level	Esperanto	fr	en-us	Grupo	Alternativoj	Pronoco
level	falis el la mano	est tombé des mains	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	sur la table, sur la table	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	il est tombé sur la table	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	demandé pardon	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	je cherchais cinq livres	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	désolé, je cherchais mon livre.	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	mais tu sais bien	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	n'est pas sur ma table	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	tes livres ne sont pas sur ma table	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	encore donné, rendu	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	rends-moi la lettre	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	reçu une bonne leçon	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	encore lavé, mangé plus	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	je ne lirai plus	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	j'ai aussi reçu	I also received	grupo	alternativoj	prononco
level	devas fermi	doit fermer	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	je dois bien fermer	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	a bien fermé la porte	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	calme-toi, calme-toi	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	entendu mais n'a pas écouté	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	j'ai entendu un son calme	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	chez moi, il y a 4 poches	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	dix jours après le dernier cours	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	entre les deux tables	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	trois lettres, six papiers	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	de la tête aux pieds	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	quatre, quatrième, un quatuor, un quart	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	où est passé le trio	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	cinq doigts dans les deux mains	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	tout seul, sa propre poche	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	mettre, assembler, un composé	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	mettre dans sa propre poche	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	deux cents nations dans le monde	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	pris, emporté	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	a pris sept de ses neuf livres	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	partir, abandonné	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	laisse-moi tranquille et calme	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	mille huit cent quatre vingt sept (1887)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	une tasse de thé	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	quelqu'un a lavé huit tasses	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	deux mille dix-neuf (2019)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	il s'est lavé	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	son corps, sa propre possession	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	sur la table, le chat dormait	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	le chat a sauté sur la table	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	dans le hall, dans le hall	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	est tombé entre ses mains	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	travailler, élaborer	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	élaborer pour ce livre	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	sait, veut savoir, curiosité	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	bilingue, bilinguisme	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	s'interroge sur un apprenant trilingue	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	je suis parti, je suis revenu	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	les chats sont rentrés chez eux	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	dans le sac, dans le sac	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	mets-le dans ton sac	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	un pied, des promenades, un piéton	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	pendant dix jours, ils ont marché	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	prendre, retirer	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	belles fleurs, j'ai pris de belles fleurs	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	il n'a sorti que de belles fleurs	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	ouvert, mais immédiatement fermé	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	a ouvert une réunion internationale	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	publié et distribué	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	l'éditeur a publié vingt-trois livres	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	je suis revenu et j'ai revu son propre fils	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	en l'an deux mille vingt-trois (2023)	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	un monsieur est entré (dans) le magasin	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	le magasin de voitures	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	là, il voit une dame	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	chers mesdames et messieurs	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	ça m'a plu (j'aime ça)	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	la dame lui plaisait (il aimait la dame)	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	j'ai vu la belle dame	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	qui lui a plu ? (qui aimait-il ?)	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	la femme qui m'a plu	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	celui qui est entré dans la maison	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	l'homme qui l'a donné	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	il a donné une bague à sa femme	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	elle a aimé la bague	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	la femme qui aimait la bague	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	un vendeur travaille dans le magasin	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	un vendeur de voitures	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	le monsieur a demandé au vendeur	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	quelle voiture aimes-tu ?	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	quelle voiture choisirez-vous ?	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	J'ai choisi cette voiture	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	il est préférable	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	meilleur que ça	better than this	grupo	alternativoj	prononco
level	plej bona el ili	le meilleur d'entre eux	best of them	grupo	alternativoj	prononco
level	estas la plej bona	est le meilleur	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	quelle voiture est la meilleure ?	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	cette voiture est meilleure	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	Celui-ci est le meilleur	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	j'ai vu toutes les voitures	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	le meilleur de tous	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	est-ce rapide ?	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	plus vite que les autres	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	est aussi fort	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	Oh oui bien sûr!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	est très fort	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	c'est sûr que c'est fort	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	c'est aussi cher	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	le plus cher de tous	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	pas cher mais solide	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	se sent désolé et a pitié (ça vaut la peine d'être désolé)	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	malheureusement je n'achèterai pas	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	c'est une chose malheureuse	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	il a acheté une nouvelle voiture	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	parce que je n'ai pas d'argent	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	ma vieille voiture	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	le moins cher de tous	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	je vais y conduire	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	je conduirai toujours avec	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	toute la journée	all day long	grupo	alternativoj	prononco
level	dum li diris tion	pendant qu'il disait ça	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	il la regarda à nouveau	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	mais le vendeur a dit	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	ce serait mieux que ~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	regarde cette dame	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	c'est aussi très cher	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	je suis son mari	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	combien a coûté ton voyage ?	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	écoute la chanson de ta femme	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	n'oublie pas que ça coûte cher	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	il a aidé le vendeur pendant deux heures	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	depuis plus de trois ans	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	couvrir, couvrir, découvrir (découvrir)	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	la raison qu'il n'a pas encore découverte	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	pourquoi as-tu commencé à envoyer des lettres ?	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	il y a vécu huit mois	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	je n'ai pas eu le temps d'écouter	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	la voiture était déjà pleine	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	Qu'est-ce que tu manges	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	Quel temps fait-il?	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	quel type de voiture avez-vous?	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	comment étaient ses lettres ?	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	Où sommes-nous?	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	Où vas-tu?	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	à qui l'as-tu donné ?	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	l'homme avec qui tu as voyagé	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	plus gros que la voiture	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	le plus grand de ces gens	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	il était assis à dîner	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	elle écrit pendant qu'il lit	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	ici, dans cette pièce	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	ce monsieur	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	une nouvelle qui mérite d'être écoutée	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	le livre vaut vraiment la peine d'être lu	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	une chose malheureuse	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	malheureusement, je ne peux pas	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	je vous en prie. le plaisir était pour moi	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	petite jolie fille est très belle	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	tous les amis l'aiment	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	il ya trois mois	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	quelque chose de grave lui est arrivé	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	elle est tombée à cause d'une voiture	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	est tombé malade et la température a augmenté	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	mère a dit qu'elle devrait se reposer	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	elle doit rester à la maison	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	elle appellera un médecin	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	à neuf heures	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	le matin est arrivé à huit heures	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	demain soir à sept heures	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	a montré ses mains	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	s'habiller, s'habiller	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	habille-toi et réchauffe ton corps	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	à la maison, je me suis immédiatement déshabillé et j'ai pris une douche	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	un médecin a tout regardé	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	j'ai regardé attentivement et j'ai finalement dit	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	rester à la maison pendant une semaine	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	veut que tu sois calme	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	Après une semaine	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	vous vous sentirez mieux	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	boire beaucoup de thé	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	je reviendrai te voir	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	qu'il soit calme aussi	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	homme en bonne santé, personne en bonne santé	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	pris soin de soi	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	tout cela m'a été utile d'un coup	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	j'ai remarqué que cette chose horrible est proche	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	demandé de le remarquer immédiatement	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	je pensais que ce n'était pas nécessaire	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	habitait à proximité, et c'était utile	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	notre pays est devenu terrifié aujourd'hui	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	chers enfants de toutes les familles	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	une fois hier, deux fois demain	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	aujourd'hui les familles ont besoin d'enfants	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	j'espérais qu'il irait bien demain	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	il se sentait (a été) très calme	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	trois petits ont élevé la montagne	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	les personnes importantes n'ont pas demandé d'aide	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	j'y suis allé pour aider	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	rester à la maison si la température est élevée	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	la température est restée similaire aujourd'hui	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	appelle le médecin à neuf heures	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	montre-le à ton médecin	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	pour montrer ton pied	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	porte cette chemise	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	le week-end, tout se calmera	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	sous la tasse de thé, qu'as-tu trouvé ?	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	Je veux le thé du matin	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	j'espérais une soirée tranquille	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	veut que tu apprennes	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	a insisté pour que j'y aille	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	à quelle heure?	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	à six heures, il viendra	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	le livret était charmant	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	Soyez silencieux	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	laisse-le se taire	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	lui aussi	he too	grupo	alternativoj	prononco
level	mi deziras	je veux (désir)	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	Je souhaite (désir) que ~	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	que tu apprennes	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	Je veux que tu apprennes	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	le père insiste	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	mon père insiste sur le fait que ~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	que je vais	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	mon père insiste pour que j'y aille	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	à quelle heure	at what hour	grupo	alternativoj	prononco
level	je kioma horo vi venos?	à quelle heure viens-tu ?	what time do you come?	grupo	alternativoj	prononco
level	je la kvina	à cinq heure)	at five (o'clock)	grupo	alternativoj	prononco
level	je la kvina horo	à cinq heure	at five o'clock	grupo	alternativoj	prononco
level	kiel li fartas?	comment va-t-il ?	how does he doing?	grupo	alternativoj	prononco
level	kiel vi fartis lastatempe?	comment vas-tu ces derniers temps?	how have you been lately?	grupo	alternativoj	prononco
level	etaj libroj belas	les petits livres sont beaux	little books are beautiful	grupo	alternativoj	prononco
level	libreto, belaj libroj	un livret, de beaux livres	a booklet, beautiful books	grupo	alternativoj	prononco
level	bela, beleta, belega	beau, un peu joli, très beau	beautiful, a little pretty, very beautiful	grupo	alternativoj	prononco
level	varma, varmeta, varmega	tiède, tiède, très chaud	warm, lukewarm, very hot	grupo	alternativoj	prononco
level	librego, libreto	un gros livre, un livret	a big book, a booklet	grupo	alternativoj	prononco
level	bona, bonega, bonege	bien, super, eh bien	good, great, well	grupo	alternativoj	prononco
level	riĉa, riĉiĝi, riĉulo	riche, devenir riche, une personne riche	rich, become rich, a rich person	grupo	alternativoj	prononco
level	trankvila, trankviliĝi, trankviliĝu	calmer, se calmer, se calmer	calm, to calm down, calm down	grupo	alternativoj	prononco
level	sana, resaniĝi, resaniĝis	en bonne santé, être guéri, est devenu guéri	healthy, to become healed, became healed	grupo	alternativoj	prononco
level	edzo, edziĝo, geedziĝis	un mari, mariage, marié	a husband, marriage, married	grupo	alternativoj	prononco
level	leterportisto	un facteur de lettres	a letter postman	grupo	alternativoj	prononco
level	hejmlando	une patrie	a homeland	grupo	alternativoj	prononco
level	iom, iomete	un peu, un peu	somewhat, a little	grupo	alternativoj	prononco
level	ni bonege vespermanĝis	nous avons eu un excellent dîner	we had a great dinner	grupo	alternativoj	prononco
level	espereble, prizorgu vin	j'espère, prends soin de toi	hopefully, take care of yourself	grupo	alternativoj	prononco
level	mi zorgis pri la altkvalita loĝejo	Je me souciais du logement de haute qualité	I cared about the high-quality housing	grupo	alternativoj	prononco
level	pripensu dufoje, multfoje	réfléchis à deux fois, plusieurs fois	think twice, many times	grupo	alternativoj	prononco
level	kiu deprenis la libreton?	qui a retiré le livret ?	who took down the booklet?	grupo	alternativoj	prononco
level	kato, kiu nomiĝas Cezaro	un chat nommé César	a cat named Caesar	grupo	alternativoj	prononco
level	kuko, kiu estas sur la tablo	un gâteau qui est sur la table	a cake which is on the table	grupo	alternativoj	prononco
level	manĝu kukon, kiu estas sur la tablo	manger un gâteau qui est sur la table	eat a cake that is on the table	grupo	alternativoj	prononco
level	fariĝis varmega kaj ruĝiĝis	est devenu chaud et a rougi	became hot and blushed	grupo	alternativoj	prononco
level	patro volas, ke lia infano manĝu	un père veut que son enfant mange	a father wants his child to eat	grupo	alternativoj	prononco
level	en malgranda ĉambro	dans une petite pièce	in a small room	grupo	alternativoj	prononco
level	ni loĝas en ~	nous vivons dans ~	we live in ~	grupo	alternativoj	prononco
level	mi fariĝis maltrankvila	je suis devenu anxieux	I became anxious	grupo	alternativoj	prononco
level	tiam, kiam mi vidis vin	à ce moment-là où je t'ai vu	at that time when I saw you	grupo	alternativoj	prononco
level	ĉiuj rimarkis tion	tout le monde a remarqué que	everyone noticed that	grupo	alternativoj	prononco
level	tion, ke ŝi estas belega	le fait qu'elle soit belle	the fact that she is beautiful	grupo	alternativoj	prononco
level	ĉu vi deziras, ke ~ ?	tu veux ça ~ ? (deziri)	do you want that ~ ? (deziri)	grupo	alternativoj	prononco
level	ke mi montru al vi	que je puisse te montrer	that I may show you	grupo	alternativoj	prononco
level	ĉu vi deziras, ke mi montru?	tu veux que je montre ?	do you want me to show?	grupo	alternativoj	prononco
level	mian plej novan libron	mon dernier livre (objectif)	my newest book (objective)	grupo	alternativoj	prononco
level	morgaŭ matene, kion vi volas?	demain matin, que veux-tu ?	tomorrow morning, what do you want?	grupo	alternativoj	prononco
level	matenmanĝis malfrue	pris le petit déjeuner tard	had breakfast late	grupo	alternativoj	prononco
level	kiam Marko alvenos?	quand Mark arrivera-t-il ?	when will Mark arrive?	grupo	alternativoj	prononco
level	je la kvina aŭ je la oka horo	à cinq ou huit heures	at five or eight o'clock	grupo	alternativoj	prononco
level	kiam vi rimarkis, ke ~ ?	quand as-tu remarqué ça ~ ?	when did you notice that ~ ?	grupo	alternativoj	prononco
level	la tuta familio nomas min bonfarulo	toute la famille m'appelle bienfaiteur	the whole family calls me a benefactor	grupo	alternativoj	prononco
level	utila por vi	utile pour vous	useful for you	grupo	alternativoj	prononco
level	ĉu la libreto estis utila?	le livret a-t-il été utile ?	was the booklet useful?	grupo	alternativoj	prononco
level	tiu libreto, kiun mi sendis	le livret que j'ai envoyé	the booklet, which I sent	grupo	alternativoj	prononco
level	matene dormis tre longe	le matin, j'ai dormi longtemps	in the morning slept for a long time	grupo	alternativoj	prononco
level	kiam li vidis la sunon	quand il a vu le soleil	when he saw the sun	grupo	alternativoj	prononco
level	subite li eksaltis	tout à coup il s'est levé	suddenly he jumped up	grupo	alternativoj	prononco
level	li estis ĉiam frua	il était toujours en avance	he was always early	grupo	alternativoj	prononco
level	ĉiam li malfruas	il est toujours en retard	he is always late	grupo	alternativoj	prononco
level	tiam, kiam li devas iri	à ce moment-là, quand il doit partir	at that time, when he has to go	grupo	alternativoj	prononco
level	iri al la lernejo	aller à l'école	to go to the school	grupo	alternativoj	prononco
level	li scias, ke ~	il sait que ~	he knows, that ~	grupo	alternativoj	prononco
level	li scias tion, ke ~	il connaît le fait que ~	he knows the fact, that ~	grupo	alternativoj	prononco
level	tion, ke la instruisto malŝatas abelon	le fait que le professeur déteste les abeilles	the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias tion, ke la instruisto malŝatas abelon	sait que le professeur déteste les abeilles	knows the fact that the teacher hates bees	grupo	alternativoj	prononco
