A.sv content.tsv
Level	Esperanto	sv	en-us	Grupo	Alternativoj	Pronoco
level	sed vi bone scias	men du vet väl	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	finns inte på mitt bord	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	dina böcker ligger inte på mitt bord	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	åter gav, återvände	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	lämna tillbaka brevet till mig	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	fick en bra lektion	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	ytterligare tvättade, åt mer	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	kommer inte att läsa längre	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	Jag fick också	I also received	grupo	alternativoj	prononco
level	devas fermi	måste stänga	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	Jag måste stänga bra	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	stängde dörren ordentligt	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	lugn, lugn	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	hörde men lyssnade inte	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	hörde ett lugnt ljud	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	hos mig finns det 4 fickor	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	tio dagar efter sista lektionen	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	mellan de två borden	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	tre bokstäver, sex papper	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	från topp till fot	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	fyra, fjärde, en kvartett, en kvart	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	vart tog trion vägen	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	fem fingrar i båda händerna	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	för sig själv, sin egen ficka	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	sätta, sätta ihop, en förening	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	stoppa i sin egen ficka	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	tvåhundra nationer i världen	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	tog, tog bort	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	tog sju av sina egna nio böcker	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	att lämna, övergiven	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	lämna mig ifred och lugn	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	tusen åtta hundra åttiosju (1887)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	en kopp te	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	någon tvättade åtta koppar	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	tvåtusen nitton (2019)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	han tvättade sig	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	sin kropp, sin egen ägodel	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	på bordet sov katten	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	katten hoppade upp på bordet	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	i hallen, in i hallen	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	föll i hans hand	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	att arbeta, att utarbeta	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	att utveckla för den boken	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	vet, vill veta, nyfikenhet	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	tvåspråkighet, tvåspråkighet	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	undrar om en trespråkig elev	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	gick, återvände	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	katterna återvände till sina (egna) hem	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	i väskan, i väskan	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	lägg den i din väska	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	en fot, promenader, en fotgängare	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	i tio dagar gick de	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	att ta, att ta ut	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	vackra blommor, tog vackra blommor	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	han tog bara fram vackra blommor	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	öppnade, men stängdes omedelbart	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	öppnade ett internationellt möte	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	publiceras och distribueras	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	förlaget gav ut tjugotre böcker	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	återvände och såg sin egen son igen	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	år två tusen och tjugotre (2023)	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	en herre gick in (in i) butiken	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	butiken av bilar	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	där ser han en dam	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	kära damer och herrar	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	det gladde mig (jag gillar det)	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	damen gladde honom (han gillade damen)	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	såg den vackra damen	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	vem gjorde honom nöjd? (vem gillade han?)	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	kvinnan, som gladde mig	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	den som gick in i huset	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	mannen som donerade den	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	han gav en ring till sin fru	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	hon gillade ringen	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	frun som gillade ringen	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	en säljare jobbar i butiken	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	en försäljare av bilar	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	frågade herren försäljaren	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	vilken bil gillar du?	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	vilken bil kommer du att välja?	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	Jag valde den bilen	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	det är bättre	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	bättre än det här	better than this	grupo	alternativoj	prononco
level	plej bona el ili	bäst av dem	best of them	grupo	alternativoj	prononco
level	estas la plej bona	är bäst	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	vilken bil är bäst?	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	den här bilen är bättre	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	den här är bäst	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	såg alla bilar	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	det bästa av allt	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	är det snabbt?	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	snabbare än andra	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	är också stark	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	åh ja, självklart!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	är mycket stark	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	visst är den stark	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	är också dyrt	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	den dyraste av alla	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	billig men stark	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	tycker synd om och är medlidande (värt att tycka synd om)	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	jag kommer tyvärr inte köpa	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	är en olycklig sak	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	han köpte en ny bil	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	eftersom jag inte har pengar	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	min gamla bil	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	den billigaste av alla	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	Jag kör dit	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	kommer fortfarande köra med den	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	hela dagen	all day long	grupo	alternativoj	prononco
level	dum li diris tion	medan han sa det	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	han tittade på henne igen	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	men försäljaren sa	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	det vore bättre att ~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	titta på den här damen	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	det är också väldigt dyrt	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	Jag är hennes man	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	hur mycket kostade din resa?	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	lyssna på din frus sång	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	glöm inte att det kostar mycket	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	han hjälpte säljaren i två timmar	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	i mer än tre år	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	täcka, täcka, avslöja (upptäcka)	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	anledningen har han ännu inte upptäckt	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	varför började du skicka brev?	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	i åtta månader bodde han där	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	hade inte tid att lyssna	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	bilen var redan full	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	vad äter du	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	hur är vädret?	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	Vad för slags bil har du?	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	hur var hennes brev?	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	var är vi?	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	vart ska du till?	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	till vem gav du den?	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	mannen som du reste med	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	större än bilen	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	den högsta av dessa människor	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	han satt på middag	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	hon skriver medan han läser	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	här, i det här rummet	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	denna herre	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	en nyhet värd att lyssna på	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	boken är verkligen läsvärd	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	en olycklig sak	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	tyvärr kan jag inte	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	Varsågod. det var mitt nöje	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	liten söt flicka är mycket vacker	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	alla vänner älskar henne	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	tre månader sedan	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	något dåligt hände henne	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	hon ramlade på grund av en bil	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	blev sjuk och temperaturen steg	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	mamma sa att hon skulle vila	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	hon måste stanna hemma	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	hon kommer att ringa en läkare	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	klockan nio	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	på morgonen kom klockan åtta	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	klockan sju i morgon kväll	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	visade sina händer	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	klänning, klär på sig	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	klä på dig och värm din kropp	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	hemma klädde genast av och duschade	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	en läkare tittade på allt	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	tittade noggrant och sa till sist	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	stanna hemma en vecka	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	vill att du ska vara lugn	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	efter en vecka	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	du kommer att må bättre	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	drick mycket te	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	kommer att träffa dig igen	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	låt honom också vara lugn	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	frisk man, frisk person	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	tog hand om sig själv	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	det hela var nyttigt för mig på en gång	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	märkte att det hemska är nära	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	bad att märka det omedelbart	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	trodde att det inte var nödvändigt	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	bodde i närheten, och det var nyttigt	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	vårt land blev livrädd idag	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	kära barn från alla familjer	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	en gång igår, två gånger imorgon	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	idag behöver familjer barn	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	hoppades att han skulle må bra imorgon	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	han kände sig (har varit) väldigt lugn	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	tre små höjde berget	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	viktiga personer bad inte om hjälp	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	gick dit för att hjälpa till	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	stanna hemma om temperaturen är hög	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	Temperaturen var densamma idag	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	ring läkaren vid nio	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	visa det för din läkare	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	att visa din fot	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	bär denna skjorta	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	i helgen kommer allt att lugna sig	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	vad hittade du under tekoppen?	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	Jag vill ha morgonte	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	hoppas på en lugn kväll	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	vill att du lär dig	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	insisterade på att jag skulle gå	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	vilken tid?	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	vid sex kommer han	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	librettot var charmigt	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	var tyst	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	låt honom vara tyst	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	han också	he too	grupo	alternativoj	prononco
level	mi deziras	jag vill (längta)	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	Jag önskar (önskar) att ~	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	att du lär dig	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	Jag vill att du ska lära dig	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	insisterar pappa	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	far insisterar på att ~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	att jag går	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	pappa insisterar på att jag ska gå	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	vilken tid	at what hour	grupo	alternativoj	prononco
level	je kioma horo vi venos?	vilken tid kommer du?	what time do you come?	grupo	alternativoj	prononco
level	je la kvina	klockan fem)	at five (o'clock)	grupo	alternativoj	prononco
level	je la kvina horo	klockan fem	at five o'clock	grupo	alternativoj	prononco
level	kiel li fartas?	hur mår han?	how does he doing?	grupo	alternativoj	prononco
level	kiel vi fartis lastatempe?	hur har du haft det på sistone?	how have you been lately?	grupo	alternativoj	prononco
level	etaj libroj belas	små böcker är vackra	little books are beautiful	grupo	alternativoj	prononco
level	libreto, belaj libroj	ett häfte, vackra böcker	a booklet, beautiful books	grupo	alternativoj	prononco
level	bela, beleta, belega	vacker, lite vacker, mycket vacker	beautiful, a little pretty, very beautiful	grupo	alternativoj	prononco
level	varma, varmeta, varmega	varm, ljummen, mycket varm	warm, lukewarm, very hot	grupo	alternativoj	prononco
level	librego, libreto	en stor bok, ett häfte	a big book, a booklet	grupo	alternativoj	prononco
level	bona, bonega, bonege	bra, bra, bra	good, great, well	grupo	alternativoj	prononco
level	riĉa, riĉiĝi, riĉulo	rik, bli rik, en rik person	rich, become rich, a rich person	grupo	alternativoj	prononco
level	trankvila, trankviliĝi, trankviliĝu	lugna, lugna ner sig, lugna ner sig	calm, to calm down, calm down	grupo	alternativoj	prononco
level	sana, resaniĝi, resaniĝis	frisk, att bli helad, blev helad	healthy, to become healed, became healed	grupo	alternativoj	prononco
level	edzo, edziĝo, geedziĝis	en man, äktenskap, gift	a husband, marriage, married	grupo	alternativoj	prononco
level	leterportisto	en brevbrevbärare	a letter postman	grupo	alternativoj	prononco
level	hejmlando	ett hemland	a homeland	grupo	alternativoj	prononco
level	iom, iomete	något, lite	somewhat, a little	grupo	alternativoj	prononco
level	ni bonege vespermanĝis	vi hade en fantastisk middag	we had a great dinner	grupo	alternativoj	prononco
level	espereble, prizorgu vin	förhoppningsvis, ta hand om dig själv	hopefully, take care of yourself	grupo	alternativoj	prononco
level	mi zorgis pri la altkvalita loĝejo	Jag brydde mig om de högkvalitativa bostäderna	I cared about the high-quality housing	grupo	alternativoj	prononco
level	pripensu dufoje, multfoje	tänk två gånger, många gånger	think twice, many times	grupo	alternativoj	prononco
level	kiu deprenis la libreton?	vem tog ner häftet?	who took down the booklet?	grupo	alternativoj	prononco
level	kato, kiu nomiĝas Cezaro	en katt som heter Caesar	a cat named Caesar	grupo	alternativoj	prononco
level	kuko, kiu estas sur la tablo	en tårta som står på bordet	a cake which is on the table	grupo	alternativoj	prononco
level	manĝu kukon, kiu estas sur la tablo	äta en tårta som står på bordet	eat a cake that is on the table	grupo	alternativoj	prononco
level	fariĝis varmega kaj ruĝiĝis	blev het och rodnade	became hot and blushed	grupo	alternativoj	prononco
level	patro volas, ke lia infano manĝu	en pappa vill att hans barn ska äta	a father wants his child to eat	grupo	alternativoj	prononco
level	en malgranda ĉambro	i ett litet rum	in a small room	grupo	alternativoj	prononco
level	ni loĝas en ~	vi bor i ~	we live in ~	grupo	alternativoj	prononco
level	mi fariĝis maltrankvila	Jag blev orolig	I became anxious	grupo	alternativoj	prononco
level	tiam, kiam mi vidis vin	på den tiden när jag såg dig	at that time when I saw you	grupo	alternativoj	prononco
level	ĉiuj rimarkis tion	alla märkte det	everyone noticed that	grupo	alternativoj	prononco
level	tion, ke ŝi estas belega	det faktum att hon är vacker	the fact that she is beautiful	grupo	alternativoj	prononco
level	ĉu vi deziras, ke ~ ?	vill du ha det ~ ? (deziri)	do you want that ~ ? (deziri)	grupo	alternativoj	prononco
level	ke mi montru al vi	att jag kan visa dig	that I may show you	grupo	alternativoj	prononco
level	ĉu vi deziras, ke mi montru?	vill du att jag ska visa?	do you want me to show?	grupo	alternativoj	prononco
level	mian plej novan libron	min senaste bok (mål)	my newest book (objective)	grupo	alternativoj	prononco
level	morgaŭ matene, kion vi volas?	imorgon bitti, vad vill du?	tomorrow morning, what do you want?	grupo	alternativoj	prononco
level	matenmanĝis malfrue	åt frukost sent	had breakfast late	grupo	alternativoj	prononco
level	kiam Marko alvenos?	när kommer Mark?	when will Mark arrive?	grupo	alternativoj	prononco
level	je la kvina aŭ je la oka horo	klockan fem eller åtta	at five or eight o'clock	grupo	alternativoj	prononco
level	kiam vi rimarkis, ke ~ ?	när märkte du att ~ ?	when did you notice that ~ ?	grupo	alternativoj	prononco
level	la tuta familio nomas min bonfarulo	hela familjen kallar mig en välgörare	the whole family calls me a benefactor	grupo	alternativoj	prononco
level	utila por vi	användbar för dig	useful for you	grupo	alternativoj	prononco
level	ĉu la libreto estis utila?	var häftet användbart?	was the booklet useful?	grupo	alternativoj	prononco
level	tiu libreto, kiun mi sendis	häftet, som jag skickade	the booklet, which I sent	grupo	alternativoj	prononco
level	matene dormis tre longe	på morgonen sov länge	in the morning slept for a long time	grupo	alternativoj	prononco
level	kiam li vidis la sunon	när han såg solen	when he saw the sun	grupo	alternativoj	prononco
level	subite li eksaltis	plötsligt hoppade han upp	suddenly he jumped up	grupo	alternativoj	prononco
level	li estis ĉiam frua	han var alltid tidig	he was always early	grupo	alternativoj	prononco
level	ĉiam li malfruas	han är alltid sen	he is always late	grupo	alternativoj	prononco
level	tiam, kiam li devas iri	på den tiden, när han måste gå	at that time, when he has to go	grupo	alternativoj	prononco
level	iri al la lernejo	att gå till skolan	to go to the school	grupo	alternativoj	prononco
level	li scias, ke ~	han vet, att ~	he knows, that ~	grupo	alternativoj	prononco
level	li scias tion, ke ~	han vet det faktum, att ~	he knows the fact, that ~	grupo	alternativoj	prononco
level	tion, ke la instruisto malŝatas abelon	det faktum att läraren hatar bin	the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias tion, ke la instruisto malŝatas abelon	vet det faktum att läraren hatar bin	knows the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias, ke la instruisto malŝatas tion	vet att läraren hatar det	knows that the teacher hates that	grupo	alternativoj	prononco
level	sed hodiaŭ li trinkis la kafon	men idag drack han kaffet	but today he drank the coffee	grupo	alternativoj	prononco
level	li rapide surmetas la vestaĵon	han tar snabbt på sig kläderna	he quickly puts on the clothes	grupo	alternativoj	prononco
level	li ne volas malfrui	han vill inte komma försent	he doesn't want to be late	grupo	alternativoj	prononco
level	rapidege kun la libroj en la mano	mycket snabbt med böckerna i handen	very quickly with the books in hand	grupo	alternativoj	prononco
level	poste li kuris kaj saltis	senare sprang han och hoppade	later he ran and jumped	grupo	alternativoj	prononco
level	li kuris kaj saltis	han sprang och hoppade	he ran and jumped	grupo	alternativoj	prononco
level	laŭ la strato	längs med gatan	along the street	grupo	alternativoj	prononco
level	la homoj rigardis lin	folket tittade på honom	the people looked at him	grupo	alternativoj	prononco
level	rigardis lin kaj diris	tittade på honom och sa	looked at him and said	grupo	alternativoj	prononco
level	saĝa kaj malsaĝa	klok och dåraktig	wise and foolish	grupo	alternativoj	prononco
level	kia malsaĝa knabo!	vilken dum pojke!	what a foolish boy!	grupo	alternativoj	prononco
level	estis antaŭ lernejo	var framför en skola	was in front of a school	grupo	alternativoj	prononco
