A.ne content.tsv
Level	Esperanto	ne	en-us	Grupo	Alternativoj	Pronoco
level	akcidento okazis poste	पछि दुर्घटना भयो	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	तपाईलाई थाहा छ यो कहिले भयो?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	विषयमा थाहा छ	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	अझै एउटा कुरा बाँकी छ	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	तपाईं वा उनी, कुनै पनि व्यक्ति	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	एक गायक जस्तै, एक हस्ताक्षरकर्ता को रूप मा	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	एक पेशेवर गायक जस्तै गाए	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	एक ठाउँ, जहाँ उनी बस्थे	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	तपाईलाई कारको बारेमा कसरी थाहा छ?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	राम्रो, छिटो कार हेर्नुहोस्	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	चिनी बिनाको रस	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	उनीसँग द्रुत गाडी छ	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	धेरै बलियो	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	उसले धेरै कडा खोल्यो	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	ड्राइभ (यात्रा) धेरै छिटो	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	एक चम्चा संग खायो	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	हामी कडा शंका गर्छौं	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	उहाँबाट एक साँचो पत्र	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	पाँच फोटो सहितको प्रेम पत्र	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	फर्किए, फर्केका मानिसहरू	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	छ वटा पत्र पनि फर्काए	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	फोटो हेर्न मन लाग्यो	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	विद्यालयबाट फर्किए	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	बहिनी कहिले फर्कने?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	फेरि पढ्न मन लाग्यो	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	बनेको (गयो), बन्यो	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	छिटो रातो भयो	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	एउटा कोठामा, एउटा कोठामा	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	उभिएर बसे	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	फोटोको अगाडि उभिए	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	मसँग त्यो छ	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	तिम्रो हातमा के छ?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	अगाडि वा पछाडि?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	अघि वा पछि?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	त्यहाँ ढोका पछाडि	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	अरू, अरू मानिसहरू	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	अरूबाट पत्रहरू	letters from others	grupo	alternativoj	prononco
level	falis el la mano	हातबाट खसेको छ	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	टेबलमा, टेबलमा	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	यो टेबुलमा खस्यो	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	माफी मागे	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	पाँचवटा किताब खोज्दै थिए	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	माफ गर्नुहोस्, म मेरो किताब खोज्दै थिएँ।	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	तर तिमीलाई राम्रोसँग थाहा छ	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	मेरो टेबलमा छैन	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	तिम्रो किताब मेरो टेबलमा छैन	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	फेरि दियो, फिर्ता गर्यो	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	मलाई पत्र फिर्ता गर	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	राम्रो पाठ प्राप्त भयो	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	अझै धोए, थप खाए	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	अब पढ्ने छैन	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	मैले पनि पाए	I also received	grupo	alternativoj	prononco
level	devas fermi	बन्द गर्नुपर्छ	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	मैले राम्रोसँग बन्द गर्नुपर्छ	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	ढोका बलियो बन्द	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	शान्त, शान्त	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	सुने तर सुनेनन्	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	शान्त आवाज सुने	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	म मा, त्यहाँ 4 जेब छन्	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	अन्तिम पाठको दस दिन पछि	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	दुई टेबल बीच	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	तीन अक्षरहरू, छवटा पत्रहरू	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	टाउको देखि खुट्टा सम्म	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	चार, चौथो, एक चौथाई, एक चौथाई	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	कहाँ गए तीनै जना	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	दुवै हातमा पाँच औंलाहरू	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	आफैले, आफ्नै खल्तीबाट	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	राख्नुहोस्, एकसाथ राख्नुहोस्, एक कम्पाउन्ड	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	आफ्नै खल्तीमा राख्ने	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	संसारमा दुई सय राष्ट्रहरू	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	लगे, लगे	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	आफ्ना नौवटा पुस्तकहरूमध्ये सातवटा लिए	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	छोड्नु, त्याग्नु	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	मलाई एक्लै र शान्त छोड्नुहोस्	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	हजार आठ सय ८७ (१८८७)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	एक कप चिया	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	कसैले आठ कप धोए	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	दुई हजार उन्नीस (२०१९)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	उसले आफैलाई धोए	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	कसैको शरीर, आफ्नै सम्पत्ति	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	टेबुलमा, बिरालो सुत्यो	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	बिरालो टेबुलमा हाम फाल्यो	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	हलमा, हलमा	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	उनको हातमा पर्यो	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	काम गर्न, विस्तार गर्न	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	त्यो पुस्तकको लागि विस्तृत गर्न	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	थाहा छ, जान्न चाहन्छ, जिज्ञासा	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	द्विभाषी, द्विभाषीवाद	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	एक त्रिभाषी शिक्षार्थीको बारेमा आश्चर्य	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	गयो, फर्कियो	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	बिरालाहरू आफ्नो (आफ्नै) घर फर्किए	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	झोलामा, झोलामा	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	आफ्नो झोला मा राख्नुहोस्	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	एक खुट्टा, हिड्ने, एक पैदल यात्री	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	दश दिनसम्म तिनीहरू हिँडे	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	लिनु, बाहिर निकाल्नु	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	सुन्दर फूलहरू, सुन्दर फूलहरू लिए	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	उनले केवल सुन्दर फूलहरू निकाले	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	खोलियो, तर तुरुन्तै बन्द	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	एक अन्तर्राष्ट्रिय सम्मेलन खोल्यो	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	प्रकाशित र वितरित	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	प्रकाशकले तेईसवटा पुस्तक प्रकाशित गरेका छन्	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	फर्किएर आफ्नै छोरालाई फेरि देखे	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	वर्ष दुई हजार तेईस (२०२३)	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	एक सज्जन पसलमा प्रवेश गरे	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	कार को पसल	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	त्यहाँ उसले एउटी महिलालाई देख्छ	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	प्रिय महिला र सज्जनहरू	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	त्यो मलाई खुसी लाग्यो (मलाई त्यो मन पर्छ)	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	महिलाले उसलाई खुसी बनाइन् (उहाँले महिलालाई मन पराउनुभयो)	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	सुन्दर महिला देखे	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	उसलाई कसले खुशी तुल्यायो? (कसलाई मन पर्यो?)	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	मलाई खुसी पार्ने महिला	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	जो घर भित्र पस्यो	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	यो दान गर्ने मानिस	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	उनले आफ्नी श्रीमतीलाई औंठी दिए	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	उसलाई औंठी मन पर्यो	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	श्रीमती जसलाई औंठी मन पर्यो	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	एक सेल्सम्यान पसलमा काम गर्छन्	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	कार को एक विक्रेता	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	भाइले सेल्सम्यानलाई सोधे	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	तपाईलाई कुन कार मन पर्छ?	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	तपाई कुन कार रोज्नुहुन्छ?	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	मैले त्यो कार रोजें	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	यो राम्रो छ	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	यो भन्दा राम्रो	better than this	grupo	alternativoj	prononco
level	plej bona el ili	तिनीहरू मध्ये सबै भन्दा राम्रो	best of them	grupo	alternativoj	prononco
level	estas la plej bona	सबै भन्दा राम्रो छ	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	कुन कार राम्रो छ?	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	यो कार राम्रो छ	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	यो सबै भन्दा राम्रो छ	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	सबै कारहरू देखे	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	सबै भन्दा राम्रो	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	यो छिटो छ?	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	अरु भन्दा छिटो	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	पनि बलियो छ	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	ओ हो, अवश्य!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	धेरै बलियो छ	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	पक्कै पनि बलियो छ	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	महँगो पनि छ	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	सबै भन्दा महँगो	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	सस्तो तर बलियो	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	खेद महसुस गर्छ र दयालु छ (माफ गर्न लायक)	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	दुर्भाग्यवश म किन्ने छैन	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	दुर्भाग्यपूर्ण कुरा हो	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	उसले नयाँ कार किन्यो	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	किनभने मसँग पैसा छैन	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	मेरो पुरानो कार	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	सबै भन्दा सस्तो	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	म त्यहाँ ड्राइभ गर्छु	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	अझै पनि यसको साथ ड्राइभ गर्नेछ	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	दिनभरी	all day long	grupo	alternativoj	prononco
level	dum li diris tion	जब उनले त्यो भने	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	उसले फेरि उसलाई हेर्यो	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	तर सेल्सम्यानले भने	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	यो राम्रो हुनेछ ~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	यो महिलालाई हेर्नुहोस्	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	त्यो पनि धेरै महँगो छ	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	म उनको श्रीमान हुँ	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	तपाईको यात्रामा कति खर्च भयो?	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	आफ्नो श्रीमतीको गीत सुन्नुहोस्	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	नबिर्सनुहोस् कि यो धेरै खर्च हुन्छ	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	उसले सेल्सम्यानलाई दुई घण्टासम्म मद्दत गर्यो	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	तीन वर्ष भन्दा बढीको लागि	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	आवरण, आवरण, खुलासा (खोज)	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	कारण उनले अहिलेसम्म पत्ता लगाएका छैनन्	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	तिमीले किन चिठी पठाउन थाल्यौ ?	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	आठ महिना उनी त्यहाँ बसे	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	सुन्न समय थिएन	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	गाडी पहिले नै भरिएको थियो	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	तिमी के खाँदै छौ	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	मौसम कस्तो छ?	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	तपाईसँग कस्तो कार छ?	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	उनको पत्र कस्तो थियो?	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	हामी कहाँ छौ?	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	तिमी कहाँ जान लागेको?	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	तिमीले कसलाई दियौ?	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	तिमी संग यात्रा गरेको मान्छे	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	कार भन्दा ठूलो	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	ती मानिसहरू मध्ये सबैभन्दा अग्लो	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	ऊ खानामा बसिरहेको थियो	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	उनी पढ्दा लेख्छिन्	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	यहाँ, यो कोठामा	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	यो सज्जन	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	सुन्न लायक समाचार	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	पुस्तक साँच्चै पढ्न लायक छ	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	दुर्भाग्यपूर्ण कुरा	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	दुर्भाग्यवश, म सक्दिन	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	तपाईलाई स्वागत छ। यो मेरो खुशी थियो	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	सानो सुन्दर केटी धेरै सुन्दर छ	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	सबै साथीहरूले उसलाई माया गर्छन्	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	तीन महिना अघि	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	उसलाई केहि नराम्रो भयो	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	उनी कारको कारण लडे	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	बिरामी भयो र तापमान बढ्यो	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	आमाले आराम गर्नुपर्छ भन्नुभयो	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	उनी घरमा बस्नु पर्छ	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	उसले डाक्टरलाई बोलाउनेछ	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	नौ बजे	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	बिहान आठ बजे आयो	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	भोलि साँझ सात बजे	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	हात देखाए	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	पोशाक, लुगा लगाइँदैछ	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	लुगा लगाउनुहोस् र आफ्नो शरीर न्यानो गर्नुहोस्	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	घरमा तुरुन्तै लुगा फुकालेर नुहाइयो	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	डाक्टरले सबै कुरा हेरे	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	राम्ररी हेर्यो र अन्तमा भन्यो	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	एक हप्ता घर बस्नुहोस्	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	तपाईं शान्त हुन चाहनुहुन्छ	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	एक हप्ता पछि	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	तपाईले राम्रो महसुस गर्नुहुनेछ	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	धेरै चिया पिउनुहोस्	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	तिमीलाई फेरि भेट्न आउनेछ	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	उसलाई पनि शान्त हुन दिनुहोस्	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	स्वस्थ मानिस, स्वस्थ व्यक्ति	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	आफ्नो ख्याल राखे	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	सबै कुरा एकैचोटि मेरो लागि उपयोगी थियो	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	थाहा भयो कि भयानक चीज नजिक छ	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	तुरुन्त ध्यान दिन आग्रह गरे	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	आवश्यक छैन भन्ने ठाने	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	नजिकै बस्नुभयो, र त्यो उपयोगी थियो	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	आज हाम्रो देश आतंकित भएको छ	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	सबै परिवारबाट प्यारा बच्चाहरु	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	हिजो एक पटक, भोलि दुई पटक	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	आज परिवारलाई छोराछोरी चाहिन्छ	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	भोलि राम्रो हुनेछ भन्ने आशा थियो	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	उसले धेरै शान्त महसुस गरिरहेको थियो	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	तीन सानाले पहाड उठाए	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	महत्त्वपूर्ण व्यक्तिहरूले मद्दत मागेनन्	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	मद्दत गर्न त्यहाँ गए	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	तापक्रम उच्च छ भने घरमै बस्नुहोस्	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	आज पनि तापक्रम उस्तै रह्यो	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	नौ बजे डाक्टरलाई बोलाउनुहोस्	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	आफ्नो डाक्टरलाई देखाउनुहोस्	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	आफ्नो खुट्टा देखाउन	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	यो शर्ट लगाउनुहोस्	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	सप्ताहन्तमा सबै कुरा शान्त हुनेछ	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	चियाको कप मुनि के भेट्टाउनुभयो ?	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	मलाई बिहानको चिया चाहिएको छ	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	शान्त साँझको आशामा	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	तपाइँ सिक्न चाहनुहुन्छ	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	म जान आग्रह गरे	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	कुन घण्टामा?	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	छ बजे ऊ आउनेछ	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	लिब्रेटो आकर्षक थियो	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	चुप लाग	be quiet	grupo	alternativoj	prononco
