A.fi content.tsv
Level	Esperanto	fi	en-us	Grupo	Alternativoj	Pronoco
level	staris kaj sidis	seisoi ja istui	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	siellä seisoi kuvan edessä	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	minulla on se	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	mitä sinulla on kädessäsi?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	edessä vai takana?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	ennen vai jälkeen?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	siellä oven takana	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	muut, muut ihmiset	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	kirjeitä muilta	letters from others	grupo	alternativoj	prononco
level	falis el la mano	putosi kädestä	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	pöydälle, pöydälle	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	se putosi pöydälle	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	pyysi anteeksi	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	etsi viittä kirjaa	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	anteeksi, etsin kirjaani.	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	mutta tiedät hyvin	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	ei ole pöydälläni	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	kirjasi eivät ole pöydälläni	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	taas antoi, palautti	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	palauta kirje minulle	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	sai hyvän opetuksen	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	pesty edelleen, söi enempää	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	ei lue enää	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	Sain myös	I also received	grupo	alternativoj	prononco
level	devas fermi	on suljettava	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	Minun on suljettava hyvin	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	sulki oven tiukasti	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	rauhoitu, rauhoitu	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	kuuli mutta ei kuunnellut	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	kuuli rauhallisen äänen	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	minulla on 4 taskua	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	kymmenen päivää viimeisen oppitunnin jälkeen	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	kahden pöydän välissä	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	kolme kirjainta, kuusi paperia	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	kiireestä kantapäähän	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	neljä, neljäs, kvartetti, neljännes	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	minne kolmikko katosi	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	viisi sormea molemmissa käsissä	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	itse, omasta taskusta	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	laittaa, koota, yhdiste	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	laittaa omaan taskuun	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	kaksisataa kansakuntaa maailmassa	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	otti, vei pois	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	otti seitsemän omasta yhdeksästä kirjastaan	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	lähteä, hylätty	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	jätä minut rauhaan ja rauhaan	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	tuhat kahdeksansataakahdeksankymmentäseitsemän (1887)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	kuppi teetä	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	joku pesi kahdeksan kuppia	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	kaksituhattayhdeksäntoista (2019)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	hän pesi itsensä	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	ruumis, oma omaisuus	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	pöydällä kissa nukkui	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	kissa hyppäsi pöydälle	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	saliin, saliin	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	putosi hänen käteensä	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	työstää, kehittää	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	tarkentamaan tuota kirjaa	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	tietää, haluaa tietää, uteliaisuus	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	kaksikielisyys, kaksikielisyys	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	ihmettelee kolmikielistä oppijaa	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	meni, palasi	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	kissat palasivat (omiin) koteihinsa	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	pussiin, pussiin	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	laita se laukkuun	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	jalka, kävelee, jalankulkija	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	kymmenen päivää he kävelivät	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	ottaa, ottaa pois	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	kauniita kukkia, otti kauniita kukkia	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	hän otti esiin vain kauniita kukkia	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	avattiin, mutta suljettiin heti	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	avasi kansainvälisen kokouksen	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	julkaistu ja jaettu	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	kustantaja julkaisi kaksikymmentäkolme kirjaa	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	palasi ja näki jälleen oman poikansa	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	vuonna kaksituhattakaksikymmentäkolme (2023)	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	herrasmies astui (sisään) kauppaan	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	autojen kauppa	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	siellä hän näkee naisen	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	hyvät naiset ja herrat	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	se miellytti minua (pidän siitä)	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	nainen miellytti häntä (hän piti naisesta)	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	nähnyt kauniin naisen	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	kuka miellytti häntä? (kenestä hän piti?)	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	nainen, joka miellytti minua	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	se joka tuli taloon	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	sen lahjoittanut mies	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	hän antoi sormuksen vaimolleen	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	hän piti sormuksesta	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	vaimo, joka piti sormuksesta	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	myyjä työskentelee kaupassa	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	autojen myyjä	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	herrasmies kysyi myyjältä	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	mistä autosta pidät?	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	minkä auton valitset?	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	Valitsin sen auton	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	se on parempi	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	parempi kuin tämä	better than this	grupo	alternativoj	prononco
level	plej bona el ili	paras niistä	best of them	grupo	alternativoj	prononco
level	estas la plej bona	on paras	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	mikä auto on paras?	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	tämä auto on parempi	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	tämä on paras	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	nähnyt kaikki autot	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	kaikista paras	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	onko se nopea?	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	nopeammin kuin muut	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	on myös vahva	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	Tottakai!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	on erittäin vahva	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	varmasti se on vahva	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	on myös kallista	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	kallein kaikista	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	halpa mutta vahva	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	pahoittelee ja on sääli (pahoittelun arvoinen)	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	valitettavasti en osta	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	on valitettava asia	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	hän osti uuden auton	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	koska minulla ei ole rahaa	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	vanha autoni	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	halvin kaikista	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	Ajan sinne	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	ajetaan silti sen kanssa	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	koko päivän	all day long	grupo	alternativoj	prononco
level	dum li diris tion	kun hän sen sanoi	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	hän katsoi häntä uudelleen	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	mutta myyjä sanoi	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	olisi parempi, että ~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	katso tätä naista	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	se on myös erittäin kallista	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	Olen hänen miehensä	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	paljonko matkasi maksoi?	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	kuuntele vaimosi laulua	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	älä unohda, että se maksaa paljon	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	hän auttoi myyjää kaksi tuntia	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	yli kolmen vuoden ajan	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	peittää, peittää, paljastaa (löytää)	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	syytä, jota hän ei ole vielä löytänyt	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	miksi aloit lähettää kirjeitä?	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	kahdeksan kuukautta hän asui siellä	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	ei ehtinyt kuunnella	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	auto oli jo täynnä	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	mitä sinä syöt	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	millainen sää on?	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	millainen auto sinulla on?	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	millaisia hänen kirjeensä olivat?	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	missä olemme?	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	minne olet menossa?	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	kenelle annoit sen?	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	mies, jonka kanssa matkustit	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	isompi kuin auto	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	pisin niistä ihmisistä	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	hän istui päivällisellä	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	hän kirjoittaa, kun hän lukee	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	täällä, tässä huoneessa	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	tämä herrasmies	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	kuuntelemisen arvoinen uutinen	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	kirja on todella lukemisen arvoinen	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	onneton juttu	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	valitettavasti en voi	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	olet tervetullut. ilo oli minun puolellani	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	pieni kaunis tyttö on erittäin kaunis	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	kaikki ystävät rakastavat häntä	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	kolme kuukautta sitten	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	hänelle tapahtui jotain pahaa	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	hän kaatui auton takia	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	sairastui ja lämpötila nousi	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	äiti sanoi, että hänen pitäisi levätä	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	hänen täytyy jäädä kotiin	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	hän soittaa lääkärille	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	kello yhdeksän	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	aamu tuli kello kahdeksan	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	huomenna illalla seitsemältä	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	näytti kätensä	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	pukeutuu, pukeutuu	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	pukeudu ja lämmitä kehoasi	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	kotona heti riisuttu ja suihkussa	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	lääkäri katsoi kaiken	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	katsoi läpikotaisin ja sanoi lopulta	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	pysy kotona viikon	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	haluaa sinun olevan rauhallinen	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	viikon kuluttua	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	tulet voimaan paremmin	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	juo paljon teetä	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	tulee tapaamaan sinua uudelleen	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	anna hänenkin olla rauhallinen	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	terve mies, terve ihminen	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	piti itsestään huolta	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	koko juttu oli minulle heti hyödyllinen	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	huomasi, että kauhea asia on lähellä	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	pyysi huomaamaan sen välittömästi	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	ajatteli, että se ei ollut välttämätöntä	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	asui lähellä, ja siitä oli hyötyä	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	maamme kauhistui tänään	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	rakkaat lapset kaikista perheistä	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	kerran eilen, kahdesti huomenna	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	nykyään perheet tarvitsevat lapsia	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	toivoi hänen olevan terve huomenna	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	hän tunsi (on ollut) hyvin rauhallinen	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	kolme pientä nosti vuoren	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	tärkeät ihmiset eivät pyytäneet apua	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	käveli sinne auttamaan	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	pysy kotona, jos lämpötila on korkea	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	lämpötila pysyi samana tänään	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	soita lääkärille yhdeksältä	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	näytä se lääkärillesi	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	näyttämään jalkasi	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	käytä tätä paitaa	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	viikonloppuna kaikki rauhoittuu	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	mitä löysit teekupin alta?	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	Haluan aamuteetä	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	toivoi rauhallista iltaa	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	haluaa sinun oppivan	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	vaati, että menen	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	mihin aikaan?	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	kuudelta hän tulee	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	libretto oli viehättävä	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	ole hiljaa	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	anna hänen olla hiljaa	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	hän myös	he too	grupo	alternativoj	prononco
level	mi deziras	haluan (halun)	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	Toivon (halu), että ~	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	että opit	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	Haluan sinun oppivan	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	isä vaatii	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	isä vaatii, että ~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	että menen	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	isä vaatii, että menen	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	mihin aikaan	at what hour	grupo	alternativoj	prononco
level	je kioma horo vi venos?	mihin aikaan tulet?	what time do you come?	grupo	alternativoj	prononco
level	je la kvina	kello viisi)	at five (o'clock)	grupo	alternativoj	prononco
level	je la kvina horo	kello viisi	at five o'clock	grupo	alternativoj	prononco
level	kiel li fartas?	miten hän voi?	how does he doing?	grupo	alternativoj	prononco
level	kiel vi fartis lastatempe?	Miten olet voinut lähiaikoina?	how have you been lately?	grupo	alternativoj	prononco
level	etaj libroj belas	pienet kirjat ovat kauniita	little books are beautiful	grupo	alternativoj	prononco
level	libreto, belaj libroj	kirjanen, kauniita kirjoja	a booklet, beautiful books	grupo	alternativoj	prononco
level	bela, beleta, belega	kaunis, vähän kaunis, erittäin kaunis	beautiful, a little pretty, very beautiful	grupo	alternativoj	prononco
level	varma, varmeta, varmega	lämmin, haalea, erittäin kuuma	warm, lukewarm, very hot	grupo	alternativoj	prononco
level	librego, libreto	iso kirja, kirjanen	a big book, a booklet	grupo	alternativoj	prononco
level	bona, bonega, bonege	hyvä, hieno, hyvä	good, great, well	grupo	alternativoj	prononco
level	riĉa, riĉiĝi, riĉulo	rikas, rikastu, rikas ihminen	rich, become rich, a rich person	grupo	alternativoj	prononco
level	trankvila, trankviliĝi, trankviliĝu	rauhoittua, rauhoittua, rauhoittua	calm, to calm down, calm down	grupo	alternativoj	prononco
level	sana, resaniĝi, resaniĝis	terve, parantua, parantua	healthy, to become healed, became healed	grupo	alternativoj	prononco
level	edzo, edziĝo, geedziĝis	aviomies, avioliitto, naimisissa	a husband, marriage, married	grupo	alternativoj	prononco
level	leterportisto	kirjepostimies	a letter postman	grupo	alternativoj	prononco
level	hejmlando	kotimaa	a homeland	grupo	alternativoj	prononco
level	iom, iomete	jonkin verran, vähän	somewhat, a little	grupo	alternativoj	prononco
level	ni bonege vespermanĝis	meillä oli hieno illallinen	we had a great dinner	grupo	alternativoj	prononco
level	espereble, prizorgu vin	toivottavasti pidä itsestäsi huolta	hopefully, take care of yourself	grupo	alternativoj	prononco
level	mi zorgis pri la altkvalita loĝejo	Pidin laadukkaasta asunnosta	I cared about the high-quality housing	grupo	alternativoj	prononco
level	pripensu dufoje, multfoje	ajattele kahdesti, monta kertaa	think twice, many times	grupo	alternativoj	prononco
level	kiu deprenis la libreton?	kuka otti kirjasen?	who took down the booklet?	grupo	alternativoj	prononco
level	kato, kiu nomiĝas Cezaro	kissa nimeltä Caesar	a cat named Caesar	grupo	alternativoj	prononco
level	kuko, kiu estas sur la tablo	kakku, joka on pöydällä	a cake which is on the table	grupo	alternativoj	prononco
level	manĝu kukon, kiu estas sur la tablo	syödä kakkua, joka on pöydällä	eat a cake that is on the table	grupo	alternativoj	prononco
level	fariĝis varmega kaj ruĝiĝis	tuli kuuma ja punastui	became hot and blushed	grupo	alternativoj	prononco
level	patro volas, ke lia infano manĝu	isä haluaa lapsensa syövän	a father wants his child to eat	grupo	alternativoj	prononco
level	en malgranda ĉambro	pienessä huoneessa	in a small room	grupo	alternativoj	prononco
level	ni loĝas en ~	asumme ~	we live in ~	grupo	alternativoj	prononco
level	mi fariĝis maltrankvila	Minusta tuli ahdistunut	I became anxious	grupo	alternativoj	prononco
level	tiam, kiam mi vidis vin	siihen aikaan kun näin sinut	at that time when I saw you	grupo	alternativoj	prononco
level	ĉiuj rimarkis tion	kaikki huomasivat sen	everyone noticed that	grupo	alternativoj	prononco
level	tion, ke ŝi estas belega	se, että hän on kaunis	the fact that she is beautiful	grupo	alternativoj	prononco
level	ĉu vi deziras, ke ~ ?	haluatko sen ~? (deziri)	do you want that ~ ? (deziri)	grupo	alternativoj	prononco
level	ke mi montru al vi	että voin näyttää sinulle	that I may show you	grupo	alternativoj	prononco
level	ĉu vi deziras, ke mi montru?	haluatko että näytän?	do you want me to show?	grupo	alternativoj	prononco
level	mian plej novan libron	uusin kirjani (tavoite)	my newest book (objective)	grupo	alternativoj	prononco
level	morgaŭ matene, kion vi volas?	huomenna aamulla, mitä haluat?	tomorrow morning, what do you want?	grupo	alternativoj	prononco
level	matenmanĝis malfrue	söi aamiaisen myöhään	had breakfast late	grupo	alternativoj	prononco
level	kiam Marko alvenos?	milloin Mark tulee?	when will Mark arrive?	grupo	alternativoj	prononco
level	je la kvina aŭ je la oka horo	viiden tai kahdeksan aikaan	at five or eight o'clock	grupo	alternativoj	prononco
level	kiam vi rimarkis, ke ~ ?	milloin huomasit sen ~ ?	when did you notice that ~ ?	grupo	alternativoj	prononco
level	la tuta familio nomas min bonfarulo	koko perhe kutsuu minua hyväntekijäksi	the whole family calls me a benefactor	grupo	alternativoj	prononco
level	utila por vi	hyödyllinen sinulle	useful for you	grupo	alternativoj	prononco
level	ĉu la libreto estis utila?	oliko kirjasta hyötyä?	was the booklet useful?	grupo	alternativoj	prononco
