A.mr content.tsv
Level	Esperanto	mr	en-us	Grupo	Alternativoj	Pronoco
level	vi aŭ ŝi, ajna homo	तुम्ही किंवा ती, कोणतीही व्यक्ती	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	गायकाप्रमाणे, स्वाक्षरीकर्ता म्हणून	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	व्यावसायिक गायकाप्रमाणे गायले	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	एक जागा, जिथे ती राहत होती	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	तुम्हाला कारबद्दल कसे माहिती आहे?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	बरं, वेगवान कार पहा	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	साखर नसलेला रस	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	त्याच्याकडे वेगवान वाहन आहे	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	खूप जोरदार	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	त्याने खूप जोरात उघडले	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	खूप वेगाने गाडी चालवली (प्रवास)	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	चमच्याने खाल्ले	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	आम्हाला तीव्र शंका आहे	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	त्याचे खरे पत्र	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	पाच फोटो असलेले प्रेमपत्र	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	परत आले, परत आलेले लोक	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	तसेच सहा पत्रे परत आली	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	फोटो बघायचा होता	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	शाळेतून परत आले	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	बहीण कधी परत येईल?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	पुन्हा वाचायचे होते	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	केले (केले), झाले	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	वेगाने लाल झाले	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	एका खोलीत, खोलीत	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	उभे राहून बसले	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	फोटो समोर उभा राहिला	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	माझ्याकडे ते आहे	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	तुझ्या हातात काय आहे?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	समोर की मागे?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	आधी किंवा नंतर?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	तिथे दाराच्या मागे	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	इतर, इतर लोक	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	इतरांकडून पत्रे	letters from others	grupo	alternativoj	prononco
level	falis el la mano	हातातून पडले	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	टेबलावर, टेबलावर	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	ते टेबलावर पडले	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	क्षमा मागितली	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	पाच पुस्तके शोधत होतो	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	माफ करा, मी माझे पुस्तक शोधत होतो.	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	पण तुला चांगले माहीत आहे	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	माझ्या टेबलावर नाही	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	तुझी पुस्तके माझ्या टेबलावर नाहीत	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	पुन्हा दिले, परत केले	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	पत्र मला परत कर	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	चांगला धडा मिळाला	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	आणखी धुतले, आणखी खाल्ले	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	यापुढे वाचणार नाही	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	मलाही मिळाले	I also received	grupo	alternativoj	prononco
level	devas fermi	बंद करावे लागेल	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	मला चांगले बंद करावे लागेल	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	दार घट्ट बंद केले	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	शांत, शांत	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	ऐकले पण ऐकले नाही	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	एक शांत आवाज ऐकला	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	माझ्याकडे 4 पॉकेट्स आहेत	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	शेवटच्या धड्यानंतर दहा दिवस	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	दोन टेबलांच्या दरम्यान	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	तीन अक्षरे, सहा कागद	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	डोक्यापासून पायापर्यंत	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	चार, चौथा, एक चौकडी, एक चतुर्थांश	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	तिघे कुठे गेले	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	दोन्ही हातात पाच बोटे	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	स्वतःच्या, स्वतःच्या खिशातून	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	ठेवा, एकत्र ठेवा, एक संयुग	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	स्वतःच्या खिशात टाकणे	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	जगातील दोनशे राष्ट्रे	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	घेतले, काढून घेतले	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	स्वत:च्या नऊपैकी सात पुस्तकं घेतली	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	सोडून देणे, सोडून देणे	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	मला एकटे सोडा आणि शांत राहा	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	हजार आठशे ऐंशी (1887)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	एक कप चहा	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	कोणीतरी आठ कप धुतले	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	दोन हजार एकोणीस (२०१९)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	त्याने स्वतःला धुतले	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	एखाद्याचे शरीर, स्वतःच्या मालकीचे	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	टेबलावर, मांजर झोपली	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	मांजर टेबलावर उडी मारली	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	हॉलमध्ये, हॉलमध्ये	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	त्याच्या हातात पडला	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	काम करणे, विस्तृत करणे	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	त्या पुस्तकासाठी विस्ताराने	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	माहित आहे, जाणून घ्यायचे आहे, कुतूहल आहे	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	द्विभाषिक, द्विभाषिकता	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	त्रिभाषी शिकणाऱ्याबद्दल आश्चर्य	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	गेले, परत आले	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	मांजरी त्यांच्या (स्वतःच्या) घरी परतल्या	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	पिशवीत, पिशवीत	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	ते तुमच्या पिशवीत टाका	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	एक पाय, चालणे, एक पादचारी	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	दहा दिवस ते चालले	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	घेणे, बाहेर काढणे	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	सुंदर फुले, सुंदर फुले घेतली	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	त्याने फक्त सुंदर फुले काढली	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	उघडले, पण लगेच बंद	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	एक आंतरराष्ट्रीय बैठक उघडली	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	प्रकाशित आणि वितरित	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	प्रकाशकाने तेवीस पुस्तके प्रकाशित केली	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	परत आले आणि स्वतःचा मुलगा पुन्हा पाहिला	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	वर्ष दोन हजार तेवीस (२०२३) मध्ये	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	एका गृहस्थाने दुकानात प्रवेश केला	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	गाड्यांचे दुकान	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	तेथे त्याला एक स्त्री दिसते	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	प्रिय महिला व सदगृहस्थांनो	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	ते मला आवडले (मला ते आवडते)	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	स्त्रीने त्याला प्रसन्न केले (त्याला ती स्त्री आवडली)	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	सुंदर स्त्री पाहिली	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	त्याला कोण प्रसन्न केले? (त्याला कोण आवडले?)	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	ती स्त्री, जिने मला प्रसन्न केले	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	ज्याने घरात प्रवेश केला	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	ज्या माणसाने ते दान केले	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	त्याने आपल्या पत्नीला अंगठी दिली	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	तिला अंगठी आवडली	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	अंगठी आवडलेली पत्नी	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	एक सेल्समन दुकानात काम करतो	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	कारचा विक्रेता	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	त्या गृहस्थाने सेल्समनला विचारले	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	तुम्हाला कोणती गाडी आवडते?	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	तुम्ही कोणती गाडी निवडाल?	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	मी ती गाडी निवडली	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	ते चांगले आहे	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	यापेक्षा चांगले	better than this	grupo	alternativoj	prononco
level	plej bona el ili	त्यापैकी सर्वोत्तम	best of them	grupo	alternativoj	prononco
level	estas la plej bona	सर्वोत्तम आहे	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	कोणती कार सर्वोत्तम आहे?	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	ही कार चांगली आहे	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	हे सर्वोत्तम आहे	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	सर्व गाड्या पाहिल्या	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	सर्वांत उत्तम	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	ते जलद आहे का?	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	इतरांपेक्षा वेगवान	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	देखील मजबूत आहे	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	अरे हो, नक्कीच!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	खूप मजबूत आहे	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	नक्कीच ते मजबूत आहे	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	महाग देखील आहे	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	सर्व सर्वात महाग	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	स्वस्त पण मजबूत	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	दिलगीर आहे आणि दयाळू आहे (खेद वाटण्यासारखे आहे)	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	दुर्दैवाने मी खरेदी करणार नाही	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	एक दुर्दैवी गोष्ट आहे	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	त्याने एक नवीन कार घेतली	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	कारण माझ्याकडे पैसे नाहीत	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	माझी जुनी कार	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	सर्वांत स्वस्त	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	मी तिथे गाडी चालवतो	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	तरीही त्याच्याबरोबर गाडी चालवेल	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	दिवसभर	all day long	grupo	alternativoj	prononco
level	dum li diris tion	तो म्हणाला तेव्हा	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	त्याने पुन्हा तिच्याकडे पाहिले	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	पण सेल्समन म्हणाला	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	ते चांगले होईल ~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	या बाईकडे पहा	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	ते देखील खूप महाग आहे	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	मी तिचा नवरा आहे	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	तुमच्या सहलीचा खर्च किती आहे?	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	तुमच्या पत्नीचे गाणे ऐका	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	याची खूप किंमत आहे हे विसरू नका	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	त्याने दोन तास सेल्समनला मदत केली	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	तीन वर्षांहून अधिक काळ	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	कव्हर, कव्हर, उघडा (शोधा)	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	त्याचे कारण अद्याप सापडलेले नाही	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	तू पत्रे का पाठवू लागलीस?	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	आठ महिने तो तेथे राहिला	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	ऐकायला वेळ नव्हता	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	गाडी आधीच भरलेली होती	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	तुम्ही काय खात आहात	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	हवामान कसे आहे?	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	तुमच्याकडे कोणत्या प्रकारची कार आहे?	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	तिची पत्रे कशी होती?	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	आपण कुठे आहोत?	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	तू कुठे चाललास?	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	तू ते कोणाला दिलेस?	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	ज्या माणसासोबत तुम्ही प्रवास केला होता	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	कारपेक्षा मोठे	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	त्या लोकांपैकी सर्वात उंच	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	तो जेवायला बसला होता	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	तो वाचत असताना ती लिहिते	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	येथे, या खोलीत	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	हे गृहस्थ	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	ऐकण्यासारखी बातमी	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	पुस्तक खरोखर वाचण्यासारखे आहे	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	एक दुर्दैवी गोष्ट	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	दुर्दैवाने, मी करू शकत नाही	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	तुमचे स्वागत आहे. मला आनंद वाटला	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	लहान सुंदर मुलगी खूप सुंदर आहे	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	सर्व मित्र तिच्यावर प्रेम करतात	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	तीन महिन्यांपूर्वी	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	तिच्यासोबत काहीतरी वाईट घडले	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	ती एका कारमुळे पडली	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	आजारी पडले आणि तापमान वाढले	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	आई म्हणाली तिने आराम करावा	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	तिला घरी राहावे लागेल	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	ती डॉक्टरांना कॉल करेल	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	ठीक नऊ वाजता	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	सकाळी आठ वाजता आले	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	उद्या संध्याकाळी सात वाजता	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	हात दाखवले	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	ड्रेस, कपडे घालत आहे	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	कपडे घाला आणि आपले शरीर उबदार करा	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	घरी लगेच कपडे उतरवले आणि आंघोळ केली	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	डॉक्टरांनी सर्व काही पाहिले	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	बारकाईने पाहिले आणि शेवटी सांगितले	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	एक आठवडा घरी रहा	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	तुम्ही शांत व्हावे असे वाटते	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	एका आठवड्यानंतर	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	तुम्हाला बरे वाटेल	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	भरपूर चहा प्या	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	पुन्हा भेटायला येईल	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	त्यालाही शांत होऊ दे	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	निरोगी माणूस, निरोगी व्यक्ती	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	स्वतःची काळजी घेतली	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	संपूर्ण गोष्ट माझ्यासाठी एकाच वेळी उपयुक्त होती	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	लक्षात आले की भयानक गोष्ट जवळ आली आहे	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	त्याची त्वरित दखल घेण्यास सांगितले	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	ते आवश्यक नाही असे वाटले	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	जवळपास राहत होते, आणि ते उपयुक्त होते	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	आज आपला देश भयभीत झाला आहे	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	सर्व कुटुंबातील प्रिय मुले	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	काल एकदा, उद्या दोनदा	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	आज कुटुंबांना मुलांची गरज आहे	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	उद्या तो बरा होईल अशी आशा होती	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	तो खूप शांत वाटत होता	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	तीन लहान मुलांनी डोंगर उभा केला	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	महत्त्वाच्या लोकांनी मदत मागितली नाही	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	मदतीसाठी तिथे गेला	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	तापमान जास्त असल्यास घरी रहा	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	तापमान आजही असेच राहिले	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	नऊ वाजता डॉक्टरांना कॉल करा	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	तुमच्या डॉक्टरांना दाखवा	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	तुमचा पाय दाखवण्यासाठी	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	हा शर्ट घाला	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	शनिवार व रविवार सर्व काही शांत होईल	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	चहाच्या कपाखाली तुला काय सापडले?	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	मला सकाळचा चहा हवा आहे	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	शांत संध्याकाळची आशा	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	तुम्ही शिकावे अशी इच्छा आहे	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	मी जाण्याचा आग्रह धरला	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	किती वाजता?	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	सहा वाजता तो येईल	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	लिब्रेटो मोहक होते	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	शांत रहा	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	त्याला शांत राहू द्या	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	तो देखील	he too	grupo	alternativoj	prononco
level	mi deziras	मला पाहिजे (इच्छा)	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	माझी इच्छा (इच्छा) आहे की ~	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	की तुम्ही शिका	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	तुम्ही शिकावे अशी माझी इच्छा आहे	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	वडील आग्रह करतात	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	वडील आग्रह करतात की ~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	की मी जातो	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	वडील मला जाण्याचा आग्रह करतात	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	कोणत्या तासाला	at what hour	grupo	alternativoj	prononco
level	je kioma horo vi venos?	तू किती वाजता येतोस?	what time do you come?	grupo	alternativoj	prononco
level	je la kvina	पाच वाजता)	at five (o'clock)	grupo	alternativoj	prononco
