A.ar content.tsv
Level	Esperanto	ar	en-us	Grupo	Alternativoj	Pronoco
level	faris, fariĝis	صنع (فعل)، أصبح	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	أصبح أحمر بسرعة	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	في غرفة، في غرفة	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	وقفت وجلست	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	وقفت هناك أمام الصورة	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	عندي هذا	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	ماذا لديك في يدك؟	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	في الأمام أم في الخلف؟	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	قبل او بعد؟	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	هناك خلف الباب	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	الآخرين، أشخاص آخرين	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	رسائل من الآخرين	letters from others	grupo	alternativoj	prononco
level	falis el la mano	سقطت من اليد	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	على الطاولة، على الطاولة	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	سقطت على الطاولة	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	طلب العفو	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	كنت أبحث عن خمسة كتب	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	آسف، كنت أبحث عن كتابي.	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	لكنك تعلم جيدًا	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	ليس على طاولتي	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	كتبك ليست على طاولتي	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	أعطى مرة أخرى، عاد	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	أعد الرسالة لي	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	تلقى درسا جيدا	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	مزيد من غسلها، أكل أي أكثر من ذلك	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	لن يقرأ بعد الآن	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	تلقيت أيضا	I also received	grupo	alternativoj	prononco
level	devas fermi	يجب أن يغلق	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	لا بد لي من إغلاق جيد	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	أغلق الباب بإحكام	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	اهدأ، اهدأ	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	سمعت ولكن لم تستمع	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	سمعت صوتا هادئا	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	في وجهي، هناك 4 جيوب	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	بعد عشرة أيام من الدرس الأخير	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	بين الجدولين	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	ثلاثة أحرف وستة أوراق	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	من الرأس إلى القدم	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	أربعة، رابع، رباعي، ربع	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	أين ذهب الثلاثي	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	خمسة أصابع في كلتا يديه	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	بنفسه، وجيبه الخاص	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	وضع، تجميع، مركب	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	وضعه في جيبه الخاص	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	مائتي دولة في العالم	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	أخذ، أخذ بعيدا	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	أخذ سبعة من كتبه التسعة	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	للمغادرة، المهجورة	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	اتركني وشأني وهادئًا	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	ألف وثمانمائة وسبعة وثمانون (1887)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	كوب شاي	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	شخص ما غسل ثمانية أكواب	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	ألفين وتسعة عشر (2019)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	اغتسل	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	جسد المرء، ملكيته الخاصة	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	على الطاولة، نام القط	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	قفزت القطة على الطاولة	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	في القاعة، في القاعة	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	سقطت في يده	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	للعمل، للتفصيل	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	لتوضيح ذلك الكتاب	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	يعرف، يريد أن يعرف، الفضول	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	ثنائية اللغة، ثنائية اللغة	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	عجائب حول المتعلم ثلاثي اللغات	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	ذهب، عاد	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	عادت القطط إلى منازلهم	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	في الحقيبة، في الحقيبة	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	ضعه في حقيبتك	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	قدم، يمشي، أحد المشاة	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	مشوا لمدة عشرة أيام	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	ليأخذ، ليخرج	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	زهور جميلة، أخذت زهور جميلة	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	لقد أخرج الزهور الجميلة فقط	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	فتحت، ولكن أغلقت على الفور	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	افتتح اجتماعا دوليا	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	تم نشرها وتوزيعها	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	أصدر الناشر ثلاثة وعشرين كتابًا	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	عاد ورأى ابنه مرة أخرى	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	في عام ألفين وثلاثة وعشرين (2023)	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	دخل رجل (في) المتجر	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	مخزن السيارات	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	هناك يرى سيدة	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	السيدات والسادة الأعزاء	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	هذا أسعدني (أنا أحب ذلك)	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	أسعدته السيدة (كان يحب السيدة)	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	رأى السيدة الجميلة	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	من أسعده؟ (من كان يحب؟)	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	المرأة التي أسعدتني	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	الذي دخل المنزل	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	الرجل الذي تبرع بها	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	أعطى خاتما لزوجته	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	لقد أحببت الخاتم	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	الزوجة التي أعجبت بالخاتم	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	بائع يعمل في المتجر	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	بائع سيارات	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	سأل الرجل البائع	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	أي سيارة تحب؟	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	أي سيارة سوف تختار؟	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	اخترت تلك السيارة	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	انه أفضل	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	أفضل من هذا	better than this	grupo	alternativoj	prononco
level	plej bona el ili	أفضل منهم	best of them	grupo	alternativoj	prononco
level	estas la plej bona	هو الأفضل	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	أي سيارة هي الأفضل؟	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	هذه السيارة أفضل	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	هذا هو الأفضل	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	رأى جميع السيارات	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	الأفضل على الإطلاق	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	هل هو سريع؟	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	أسرع من غيرها	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	هو أيضا قوي	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	نعم بالتأكيد!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	هو قوي جدا	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	بالتأكيد أنها قوية	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	باهظ الثمن أيضًا	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	أغلى من كل شيء	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	رخيصة ولكنها قوية	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	يشعر بالأسف ويثير الشفقة (يستحق الشعور بالأسف)	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	لسوء الحظ لن أشتري	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	هو شيء مؤسف	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	اشترى سيارة جديدة	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	لانني لا املك مال	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	سيارتي القديمة	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	أرخص للجميع	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	سأقود السيارة إلى هناك	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	سوف لا تزال تقود معها	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	طوال اليوم	all day long	grupo	alternativoj	prononco
level	dum li diris tion	بينما قال ذلك	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	نظر إليها مرة أخرى	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	لكن البائع قال	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	سيكون من الأفضل أن ~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	انظر إلى هذه السيدة	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	وهذا أيضًا مكلف للغاية	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	أنا زوجها	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	كم تكلفة رحلتك؟	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	استمع إلى أغنية زوجتك	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	لا تنس أنه يكلف الكثير	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	لقد ساعد البائع لمدة ساعتين	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	لأكثر من ثلاث سنوات	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	غطاء، غطاء، كشف (اكتشف)	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	والسبب لم يكتشف بعد	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	لماذا بدأت بإرسال الرسائل؟	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	وعاش هناك لمدة ثمانية أشهر	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	لم يكن لدي الوقت للاستماع	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	كانت السيارة ممتلئة بالفعل	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	ماذا تأكل	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	ما هو حال الطقس؟	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	ما نوع السيارة التي تملكها؟	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	كيف كانت رسائلها؟	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	أين نحن؟	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	إلى أين أنت ذاهب ل؟	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	لمن أعطيته؟	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	الرجل الذي سافرت معه	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	أكبر من السيارة	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	أطول هؤلاء الناس	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	كان يجلس على العشاء	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	تكتب بينما يقرأ	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	هنا، في هذه الغرفة	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	هذا السيد	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	خبر يستحق الاستماع	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	الكتاب حقا يستحق القراءة	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	شيء مؤسف	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	لسوء الحظ، لا أستطيع	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	مرحباً بك. بكل سرور	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	فتاة جميلة صغيرة جميلة جدا	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	كل الأصدقاء يحبونها	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	قبل ثلاثة اشهر	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	حدث شيء سيء لها	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	سقطت بسبب سيارة	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	مرضت وارتفعت درجة الحرارة	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	قالت الأم أنها يجب أن ترتاح	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	عليها البقاء في المنزل	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	سوف تتصل بالطبيب	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	الساعة التاسعة	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	في الصباح جاء في الساعة الثامنة	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	في السابعة مساء الغد	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	أظهر يديه	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	اللباس، هو ارتداء الملابس	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	ارتدي ملابسك وقم بتدفئة جسمك	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	في المنزل على الفور خلع ملابسه واستحم	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	نظر الطبيب إلى كل شيء	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	بدا من خلال وقال أخيرا	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	البقاء في المنزل لمدة أسبوع	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	يريد منك أن تكون هادئا	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	بعد اسبوع واحد	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	ستشعر بتحسن	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	اشرب الكثير من الشاي	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	سوف يأتي لرؤيتك مرة أخرى	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	دعه يكون هادئا أيضا	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	رجل سليم، شخص سليم	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	اعتنى بنفسه	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	كان الأمر برمته مفيدًا لي في الحال	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	لاحظت أن الشيء الرهيب قريب	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	طلبت أن ألاحظ ذلك على الفور	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	يعتقد أن ذلك ليس ضروريا	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	عاش في مكان قريب، وكان ذلك مفيدا	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	بلادنا أصبحت مرعوبة اليوم	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	أبنائي الأعزاء من جميع العائلات	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	مرة بالأمس ومرتين غدا	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	اليوم تحتاج العائلات إلى الأطفال	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	وأعرب عن أمله في أن يكون جيدا غدا	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	كان يشعر (كان) هادئًا جدًا	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	ثلاثة صغار رفعوا الجبل	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	الأشخاص المهمون لم يطلبوا المساعدة	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	مشى هناك للمساعدة	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	البقاء في المنزل إذا كانت درجة الحرارة مرتفعة	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	ظلت درجة الحرارة مماثلة اليوم	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	اتصل بالطبيب في الساعة التاسعة	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	اعرضه على طبيبك	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	لإظهار قدمك	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	ارتداء هذا القميص	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	في عطلة نهاية الأسبوع سوف يهدأ كل شيء	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	تحت فنجان الشاي ماذا وجدت؟	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	أريد شاي الصباح	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	يأمل في أمسية هادئة	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	يريد أن تتعلم	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	أصر على أن أذهب	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	في اي ساعه؟	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	في السادسة سيأتي	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	كان النص ساحرًا	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	كن هادئاً	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	دعه يصمت	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	هو ايضا	he too	grupo	alternativoj	prononco
level	mi deziras	أريد (الرغبة)	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	أتمنى (الرغبة) أن ~	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	أن تتعلم	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	أريدك أن تتعلم	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	يصر الأب	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	يصر الأب على أن ~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	أن أذهب	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	يصر الأب على أن أذهب	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	في اي ساعه	at what hour	grupo	alternativoj	prononco
level	je kioma horo vi venos?	وقت ما أتيت؟	what time do you come?	grupo	alternativoj	prononco
level	je la kvina	عند الساعة الخامسة)	at five (o'clock)	grupo	alternativoj	prononco
level	je la kvina horo	عند الساعة الخامسة	at five o'clock	grupo	alternativoj	prononco
level	kiel li fartas?	كيف يفعل؟	how does he doing?	grupo	alternativoj	prononco
level	kiel vi fartis lastatempe?	كيف حالك مؤخرا؟	how have you been lately?	grupo	alternativoj	prononco
level	etaj libroj belas	الكتب الصغيرة جميلة	little books are beautiful	grupo	alternativoj	prononco
level	libreto, belaj libroj	كتيب، كتب جميلة	a booklet, beautiful books	grupo	alternativoj	prononco
level	bela, beleta, belega	جميلة، جميلة قليلا، جميلة جدا	beautiful, a little pretty, very beautiful	grupo	alternativoj	prononco
level	varma, varmeta, varmega	دافئ، فاتر، حار جداً	warm, lukewarm, very hot	grupo	alternativoj	prononco
level	librego, libreto	كتاب كبير، كتيب	a big book, a booklet	grupo	alternativoj	prononco
level	bona, bonega, bonege	جيد، عظيم، حسنا	good, great, well	grupo	alternativoj	prononco
level	riĉa, riĉiĝi, riĉulo	غني، أصبح غنيا، شخصا غنيا	rich, become rich, a rich person	grupo	alternativoj	prononco
level	trankvila, trankviliĝi, trankviliĝu	اهدأ، اهدأ، اهدأ	calm, to calm down, calm down	grupo	alternativoj	prononco
level	sana, resaniĝi, resaniĝis	أصحاء، ليُشفى، يُشفى	healthy, to become healed, became healed	grupo	alternativoj	prononco
level	edzo, edziĝo, geedziĝis	الزوج، الزواج، متزوج	a husband, marriage, married	grupo	alternativoj	prononco
level	leterportisto	ساعي بريد الرسالة	a letter postman	grupo	alternativoj	prononco
level	hejmlando	وطن	a homeland	grupo	alternativoj	prononco
level	iom, iomete	إلى حد ما، قليلا	somewhat, a little	grupo	alternativoj	prononco
level	ni bonege vespermanĝis	كان لدينا عشاء رائع	we had a great dinner	grupo	alternativoj	prononco
level	espereble, prizorgu vin	نأمل أن تعتني بنفسك	hopefully, take care of yourself	grupo	alternativoj	prononco
level	mi zorgis pri la altkvalita loĝejo	لقد اهتمت بالسكن عالي الجودة	I cared about the high-quality housing	grupo	alternativoj	prononco
level	pripensu dufoje, multfoje	فكر مرتين، عدة مرات	think twice, many times	grupo	alternativoj	prononco
level	kiu deprenis la libreton?	من أنزل الكتيب؟	who took down the booklet?	grupo	alternativoj	prononco
level	kato, kiu nomiĝas Cezaro	قطة اسمها قيصر	a cat named Caesar	grupo	alternativoj	prononco
level	kuko, kiu estas sur la tablo	الكعكة التي على الطاولة	a cake which is on the table	grupo	alternativoj	prononco
level	manĝu kukon, kiu estas sur la tablo	تناول الكعكة الموجودة على الطاولة	eat a cake that is on the table	grupo	alternativoj	prononco
level	fariĝis varmega kaj ruĝiĝis	أصبح ساخنا وأحمر الخدود	became hot and blushed	grupo	alternativoj	prononco
level	patro volas, ke lia infano manĝu	الأب يريد أن يأكل طفله	a father wants his child to eat	grupo	alternativoj	prononco
level	en malgranda ĉambro	في غرفة صغيرة	in a small room	grupo	alternativoj	prononco
level	ni loĝas en ~	نحن نعيش في ~	we live in ~	grupo	alternativoj	prononco
level	mi fariĝis maltrankvila	أصبحت قلقة	I became anxious	grupo	alternativoj	prononco
level	tiam, kiam mi vidis vin	في ذلك الوقت عندما رأيتك	at that time when I saw you	grupo	alternativoj	prononco
level	ĉiuj rimarkis tion	لاحظ الجميع ذلك	everyone noticed that	grupo	alternativoj	prononco
level	tion, ke ŝi estas belega	حقيقة أنها جميلة	the fact that she is beautiful	grupo	alternativoj	prononco
level	ĉu vi deziras, ke ~ ?	هل تريد ذلك ~؟ (دزيري)	do you want that ~ ? (deziri)	grupo	alternativoj	prononco
level	ke mi montru al vi	لكي أعرض لكم	that I may show you	grupo	alternativoj	prononco
