A.it content.tsv
Level	Esperanto	it	en-us	Grupo	Alternativoj	Pronoco
level	sur la tablo, sur la tablon	sul tavolo, sul tavolo	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	è caduto sul tavolo	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	chiesto perdono	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	Stavo cercando cinque libri	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	scusa, stavo cercando il mio libro.	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	ma lo sai bene	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	non è sul mio tavolo	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	i tuoi libri non sono sul mio tavolo	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	ancora una volta ha dato, restituito	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	restituiscimi la lettera	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	ricevuto una bella lezione	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	ulteriormente lavato, mangiato altro	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	non leggerò più	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	Ho anche ricevuto	I also received	grupo	alternativoj	prononco
level	devas fermi	deve chiudere	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	Devo chiudere bene	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	chiuse ermeticamente la porta	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	calma, calmati	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	sentito ma non ascoltato	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	sentito un suono calmo	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	per me ci sono 4 tasche	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	dieci giorni dopo l'ultima lezione	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	tra i due tavoli	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	tre lettere, sei documenti	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	dalla testa ai piedi	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	quattro, quarto, un quartetto, un quarto	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	dove sono finiti i tre?	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	cinque dita in entrambe le mani	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	da solo, di tasca propria	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	mettere insieme, un composto	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	mettere in tasca	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	duecento nazioni del mondo	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	preso, tolto	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	ha preso sette dei suoi nove libri	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	partire, abbandonato	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	lasciami in pace e tranquillo	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	milleottocentottantasette (1887)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	una tazza di tè	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	qualcuno ha lavato otto tazze	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	duemiladiciannove (2019)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	si è lavato	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	il proprio corpo, il proprio possesso	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	sul tavolo dormiva il gatto	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	il gatto saltò sul tavolo	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	nel corridoio, nel corridoio	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	gli cadde in mano	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	lavorare, elaborare	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	elaborare per quel libro	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	sa, vuole sapere, curiosità	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	bilingue, bilinguismo	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	si interroga su uno studente trilingue	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	andato, tornato	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	i gatti tornarono alle loro (proprie) case	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	nella borsa, nella borsa	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	mettilo nella borsa	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	un piede, cammina, un pedone	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	per dieci giorni camminarono	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	prendere, togliere	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	bellissimi fiori, ho preso dei bellissimi fiori	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	tirò fuori solo bellissimi fiori	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	aperto, ma subito chiuso	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	ha aperto un incontro internazionale	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	pubblicato e distribuito	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	l'editore ha pubblicato ventitré libri	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	tornò e rivide il proprio figlio	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	nell'anno duemilaventitré (2023)	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	un signore è entrato nel negozio	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	il negozio di automobili	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	lì vede una signora	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	cari signore e signori	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	mi ha fatto piacere (mi piace)	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	la signora gli è piaciuta (la signora gli piaceva)	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	ho visto la bella signora	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	chi gli è piaciuto? (chi gli piaceva?)	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	la donna, che mi ha fatto piacere	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	colui che è entrato in casa	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	l'uomo che lo ha donato	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	ha dato un anello a sua moglie	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	l'anello le piaceva	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	la moglie a cui piaceva l'anello	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	un venditore lavora nel negozio	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	un venditore di automobili	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	chiese il signore al venditore	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	quale macchina ti piace?	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	quale macchina sceglierai?	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	Ho scelto quella macchina	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	è meglio	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	meglio di questo	better than this	grupo	alternativoj	prononco
level	plej bona el ili	il migliore di loro	best of them	grupo	alternativoj	prononco
level	estas la plej bona	è il migliore	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	quale macchina è la migliore?	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	questa macchina è migliore	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	questo è il migliore	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	ho visto tutte le macchine	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	il meglio di tutto	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	è veloce?	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	più veloce di altri	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	è anche forte	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	Oh si, certamente!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	è molto forte	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	certamente è forte	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	è anche costoso	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	il più caro di tutti	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	economico ma forte	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	si sente dispiaciuto ed è pietoso (vale la pena dispiacersi)	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	purtroppo non lo comprerò	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	è una cosa spiacevole	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	ha comprato una macchina nuova	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	perché non ho soldi	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	la mia vecchia macchina	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	il più economico di tutti	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	Ci andrò io	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	guiderò ancora con esso	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	tutto il giorno	all day long	grupo	alternativoj	prononco
level	dum li diris tion	mentre lo diceva	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	la guardò di nuovo	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	ma il venditore ha detto	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	sarebbe meglio che ~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	guarda questa signora	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	anche quello è molto costoso	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	Sono suo marito	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	quanto ti è costato il viaggio?	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	ascolta la canzone di tua moglie	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	non dimenticare che costa molto	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	aiutò il venditore per due ore	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	per più di tre anni	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	coprire, coprire, scoprire (scoprire)	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	il motivo non l'ha ancora scoperto	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	perché hai iniziato a mandare lettere?	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	per otto mesi visse lì	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	non ho avuto il tempo di ascoltare	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	la macchina era già piena	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	cosa stai mangiando	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	che tempo fa?	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	che tipo di macchina hai?	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	com'erano le sue lettere?	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	Dove siamo?	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	dove stai andando?	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	a chi l'hai regalato?	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	l'uomo con cui hai viaggiato	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	più grande dell'auto	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	il più alto di quelle persone	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	era seduto a cena	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	lei scrive mentre lui legge	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	qui, in questa stanza	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	questo signore	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	una notizia che vale la pena ascoltare	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	il libro merita davvero di essere letto	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	una cosa sfortunata	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	purtroppo non posso	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	Prego. è stato un piacere	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	la piccola bella ragazza è molto bella	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	tutti gli amici la adorano	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	tre mesi fa	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	le è successo qualcosa di brutto	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	è caduta a causa di un'auto	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	si ammalò e la temperatura salì	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	la madre ha detto che avrebbe dovuto riposare	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	deve restare a casa	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	chiamerà un medico	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	alle nove in punto	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	la mattina arrivò alle otto	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	domani sera alle sette	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	mostrò le mani	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	vestirsi, si sta vestendo	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	vestiti e riscalda il tuo corpo	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	a casa subito si spogliò e fece la doccia	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	un medico ha esaminato tutto	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	guardò attentamente e alla fine disse	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	restare a casa per una settimana	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	vuole che tu sia calmo	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	dopo una settimana	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	ti sentirai meglio	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	bere molto tè	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	verrà a trovarti ancora	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	lasciamo stare tranquillo anche lui	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	uomo sano, persona sana	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	prendersi cura di se stessi	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	tutto mi è stato utile subito	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	ho notato che quella cosa orribile è vicina	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	chiesto di notarlo immediatamente	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	pensato che non fosse necessario	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	abitavo lì vicino, e questo era utile	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	il nostro Paese oggi è terrorizzato	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	cari bambini di tutte le famiglie	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	una volta ieri, due volte domani	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	oggi le famiglie hanno bisogno di bambini	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	speravo che sarebbe stato bene domani	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	si sentiva (è stato) molto calmo	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	tre piccoli sollevarono la montagna	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	le persone importanti non chiedevano aiuto	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	siamo andati lì per aiutare	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	restare a casa se la temperatura è alta	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	la temperatura è rimasta simile oggi	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	chiama il dottore alle nove	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	mostratelo al vostro medico	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	per mostrare il tuo piede	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	indossa questa maglietta	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	nel fine settimana tutto si calmerà	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	sotto la tazza da tè cosa hai trovato?	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	Voglio il tè del mattino	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	speravo in una serata tranquilla	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	vuole che tu impari	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	ha insistito perché andassi	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	a che ora?	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	alle sei verrà	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	il libretto era affascinante	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	silenzio	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	lascialo stare zitto	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	anche lui	he too	grupo	alternativoj	prononco
level	mi deziras	Voglio (desiderio)	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	Vorrei (desidero) che ~	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	che impari	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	Voglio che tu impari	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	insiste il padre	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	il padre insiste sul fatto che ~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	che vado	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	papà insiste perché vada	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	a che ora	at what hour	grupo	alternativoj	prononco
level	je kioma horo vi venos?	a che ora vieni?	what time do you come?	grupo	alternativoj	prononco
level	je la kvina	alle cinque in punto)	at five (o'clock)	grupo	alternativoj	prononco
level	je la kvina horo	alle cinque in punto	at five o'clock	grupo	alternativoj	prononco
level	kiel li fartas?	come sta?	how does he doing?	grupo	alternativoj	prononco
level	kiel vi fartis lastatempe?	come sei stato ultimamente?	how have you been lately?	grupo	alternativoj	prononco
level	etaj libroj belas	i piccoli libri sono belli	little books are beautiful	grupo	alternativoj	prononco
level	libreto, belaj libroj	un libretto, bellissimi libri	a booklet, beautiful books	grupo	alternativoj	prononco
level	bela, beleta, belega	bello, un po' carino, molto bello	beautiful, a little pretty, very beautiful	grupo	alternativoj	prononco
level	varma, varmeta, varmega	caldo, tiepido, molto caldo	warm, lukewarm, very hot	grupo	alternativoj	prononco
level	librego, libreto	un grande libro, un opuscolo	a big book, a booklet	grupo	alternativoj	prononco
level	bona, bonega, bonege	bene, benissimo, bene	good, great, well	grupo	alternativoj	prononco
level	riĉa, riĉiĝi, riĉulo	ricco, diventare ricco, una persona ricca	rich, become rich, a rich person	grupo	alternativoj	prononco
level	trankvila, trankviliĝi, trankviliĝu	calmare, calmarsi, calmarsi	calm, to calm down, calm down	grupo	alternativoj	prononco
level	sana, resaniĝi, resaniĝis	sano, per guarire, diventò guarito	healthy, to become healed, became healed	grupo	alternativoj	prononco
level	edzo, edziĝo, geedziĝis	un marito, matrimonio, sposato	a husband, marriage, married	grupo	alternativoj	prononco
level	leterportisto	un postino delle lettere	a letter postman	grupo	alternativoj	prononco
level	hejmlando	una patria	a homeland	grupo	alternativoj	prononco
level	iom, iomete	un po', un po'	somewhat, a little	grupo	alternativoj	prononco
level	ni bonege vespermanĝis	abbiamo cenato benissimo	we had a great dinner	grupo	alternativoj	prononco
level	espereble, prizorgu vin	si spera, abbi cura di te	hopefully, take care of yourself	grupo	alternativoj	prononco
level	mi zorgis pri la altkvalita loĝejo	Mi importava degli alloggi di alta qualità	I cared about the high-quality housing	grupo	alternativoj	prononco
level	pripensu dufoje, multfoje	pensarci due volte, molte volte	think twice, many times	grupo	alternativoj	prononco
level	kiu deprenis la libreton?	chi ha preso il libretto?	who took down the booklet?	grupo	alternativoj	prononco
level	kato, kiu nomiĝas Cezaro	un gatto di nome Cesare	a cat named Caesar	grupo	alternativoj	prononco
level	kuko, kiu estas sur la tablo	una torta che è sul tavolo	a cake which is on the table	grupo	alternativoj	prononco
level	manĝu kukon, kiu estas sur la tablo	mangiare una torta che è sul tavolo	eat a cake that is on the table	grupo	alternativoj	prononco
level	fariĝis varmega kaj ruĝiĝis	divenne accaldato e arrossì	became hot and blushed	grupo	alternativoj	prononco
level	patro volas, ke lia infano manĝu	un padre vuole che suo figlio mangi	a father wants his child to eat	grupo	alternativoj	prononco
level	en malgranda ĉambro	in una piccola stanza	in a small room	grupo	alternativoj	prononco
level	ni loĝas en ~	viviamo in ~	we live in ~	grupo	alternativoj	prononco
level	mi fariĝis maltrankvila	Sono diventato ansioso	I became anxious	grupo	alternativoj	prononco
level	tiam, kiam mi vidis vin	in quel momento in cui ti ho visto	at that time when I saw you	grupo	alternativoj	prononco
level	ĉiuj rimarkis tion	lo hanno notato tutti	everyone noticed that	grupo	alternativoj	prononco
level	tion, ke ŝi estas belega	il fatto che sia bella	the fact that she is beautiful	grupo	alternativoj	prononco
level	ĉu vi deziras, ke ~ ?	lo vuoi ~? (deziri)	do you want that ~ ? (deziri)	grupo	alternativoj	prononco
level	ke mi montru al vi	che posso mostrarti	that I may show you	grupo	alternativoj	prononco
level	ĉu vi deziras, ke mi montru?	vuoi che ti mostri?	do you want me to show?	grupo	alternativoj	prononco
level	mian plej novan libron	il mio ultimo libro (obiettivo)	my newest book (objective)	grupo	alternativoj	prononco
level	morgaŭ matene, kion vi volas?	domani mattina, cosa vuoi?	tomorrow morning, what do you want?	grupo	alternativoj	prononco
level	matenmanĝis malfrue	fatto colazione tardi	had breakfast late	grupo	alternativoj	prononco
level	kiam Marko alvenos?	quando arriverà Marco?	when will Mark arrive?	grupo	alternativoj	prononco
level	je la kvina aŭ je la oka horo	alle cinque o alle otto	at five or eight o'clock	grupo	alternativoj	prononco
level	kiam vi rimarkis, ke ~ ?	quando l'hai notato ~?	when did you notice that ~ ?	grupo	alternativoj	prononco
level	la tuta familio nomas min bonfarulo	tutta la famiglia mi chiama benefattore	the whole family calls me a benefactor	grupo	alternativoj	prononco
level	utila por vi	utile per te	useful for you	grupo	alternativoj	prononco
level	ĉu la libreto estis utila?	il libretto è stato utile?	was the booklet useful?	grupo	alternativoj	prononco
level	tiu libreto, kiun mi sendis	il libretto che ho spedito	the booklet, which I sent	grupo	alternativoj	prononco
level	matene dormis tre longe	la mattina dormì a lungo	in the morning slept for a long time	grupo	alternativoj	prononco
level	kiam li vidis la sunon	quando vide il sole	when he saw the sun	grupo	alternativoj	prononco
level	subite li eksaltis	all'improvviso balzò in piedi	suddenly he jumped up	grupo	alternativoj	prononco
level	li estis ĉiam frua	era sempre in anticipo	he was always early	grupo	alternativoj	prononco
level	ĉiam li malfruas	è sempre in ritardo	he is always late	grupo	alternativoj	prononco
level	tiam, kiam li devas iri	in quel momento, quando deve andare	at that time, when he has to go	grupo	alternativoj	prononco
level	iri al la lernejo	andare a scuola	to go to the school	grupo	alternativoj	prononco
level	li scias, ke ~	lo sa, che ~	he knows, that ~	grupo	alternativoj	prononco
level	li scias tion, ke ~	sa il fatto che ~	he knows the fact, that ~	grupo	alternativoj	prononco
level	tion, ke la instruisto malŝatas abelon	il fatto che l'insegnante odia le api	the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias tion, ke la instruisto malŝatas abelon	sa il fatto che l'insegnante odia le api	knows the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias, ke la instruisto malŝatas tion	sa che l'insegnante lo odia	knows that the teacher hates that	grupo	alternativoj	prononco
level	sed hodiaŭ li trinkis la kafon	ma oggi ha bevuto il caffè	but today he drank the coffee	grupo	alternativoj	prononco
level	li rapide surmetas la vestaĵon	si veste velocemente	he quickly puts on the clothes	grupo	alternativoj	prononco
level	li ne volas malfrui	non vuole arrivare in ritardo	he doesn't want to be late	grupo	alternativoj	prononco
