C.fa content.tsv
Level	Esperanto	fa	en-us	Grupo	Alternativoj	Pronoco
level	ventro	شکم، شکم، شکم	belly, abdomen, tummy	grupo	alternativoj	prononco
level	placo	یک میدان، یک میدان	a squre, a plaza	grupo	alternativoj	prononco
level	fidi	اعتماد کردن، ایمان داشتن به	to trust, to have faith in	grupo	alternativoj	prononco
level	iom da ~	مقدار کمی از ~، مقداری	small amount of ~, some	grupo	alternativoj	prononco
level	babili	چت کردن، حرف زدن، حرف زدن	to chat, to babble, to chatter	grupo	alternativoj	prononco
level	kavo	یک غار، یک حفره	a cave, a cavity	grupo	alternativoj	prononco
level	ioma	برخی از آنها، برخی	of some amout, some	grupo	alternativoj	prononco
level	ŝultro	یک شانه	a shoulder	grupo	alternativoj	prononco
level	adiaŭ	خداحافظ، خداحافظ، خداحافظ	goodbye, adieu, farewell	grupo	alternativoj	prononco
level	rezigni	استعفا دادن، تسلیم شدن، تسلیم شدن، رها کردن	to resign, to give up, to surrender, to abandon	grupo	alternativoj	prononco
level	sekreto	یک راز	a secret	grupo	alternativoj	prononco
level	droni	غرق شدن	to drown	grupo	alternativoj	prononco
level	celi	هدف قرار دادن، هدف قرار دادن، قصد داشتن	to aim, to target, to intend	grupo	alternativoj	prononco
level	restoracio	رستوران	a restaurant	grupo	alternativoj	prononco
level	turo	یک برج	a tower	grupo	alternativoj	prononco
level	sablo	شن، ماسه	sand, a sand	grupo	alternativoj	prononco
level	tondro	یک رعد و برق	a thunder	grupo	alternativoj	prononco
level	ies	مال کسی	someone's	grupo	alternativoj	prononco
level	tapiŝo	یک فرش، یک قالیچه	a carpet, a rug	grupo	alternativoj	prononco
level	bezonata	مورد نیاز، مورد نیاز، خواسته	needed, required, wanted	grupo	alternativoj	prononco
level	ilustrita	نشان داده شده است	illustrated	grupo	alternativoj	prononco
level	razi	تراشیدن	to shave	grupo	alternativoj	prononco
level	standardo	یک بنر، یک پرچم	a banner, a flag	grupo	alternativoj	prononco
level	mentono	چانه، یک چانه	chin, a chin	grupo	alternativoj	prononco
level	valizo	یک چمدان، یک طاقچه	a suitcase, a valise	grupo	alternativoj	prononco
level	okupata	(بودن) مشغول، مشغول	(being) occupied, busy	grupo	alternativoj	prononco
level	suko	آب میوه، شیره	juice, a sap	grupo	alternativoj	prononco
level	komunumo	جامعه	a community	grupo	alternativoj	prononco
level	fontano	یک چشمه	a fountain	grupo	alternativoj	prononco
level	konato	یک فرد شناخته شده، یک آشنا	a person known, an aquaintance	grupo	alternativoj	prononco
level	okupita	(بودن) مشغول، مشغول، مشغول	(having been) occupied, busy, engaged	grupo	alternativoj	prononco
level	esti okupita	مشغول شدن، درگیر شدن، درگیر شدن	to be occupied, to be involved, to engage upon	grupo	alternativoj	prononco
level	pino	یک درخت کاج	a pine tree	grupo	alternativoj	prononco
level	konstruota	(خواهد شد) ساخته شود	(will be) constructed	grupo	alternativoj	prononco
level	kaptita	(گرفتار) اسیر	(having been) caught, captive	grupo	alternativoj	prononco
level	kaptota	(گرفته خواهد شد).	(will be) captured	grupo	alternativoj	prononco
level	rezulti	به نتیجه برسد	to result	grupo	alternativoj	prononco
level	kaptito	یک زندانی (گرفتار شده بود)	a prisoner (had been caught)	grupo	alternativoj	prononco
level	komputi	برای محاسبه	to compute	grupo	alternativoj	prononco
level	batite	پس از (از) کتک خوردن	after (having been) beaten	grupo	alternativoj	prononco
level	kovrita	تحت پوشش	covered	grupo	alternativoj	prononco
level	teatro	یک تئاتر	a theatre	grupo	alternativoj	prononco
level	sezono	فصل، یک فصل	season, a season	grupo	alternativoj	prononco
level	kelnero	یک پیشخدمت	a waiter	grupo	alternativoj	prononco
level	tabelo	یک جدول، یک جدول، یک فهرست	a table, a tabulation, an index	grupo	alternativoj	prononco
level	publiko	عمومی، مردم عمومی	public, public people	grupo	alternativoj	prononco
level	apogi	حمایت کردن، حمایت کردن	to support, to uphold	grupo	alternativoj	prononco
level	distri	منحرف کردن، منحرف کردن، سرگرم کردن	to distract, to divert, to entertain	grupo	alternativoj	prononco
level	patrino	یک مادر	a mother	grupo	alternativoj	prononco
level	distanco	یک فاصله	a distance	grupo	alternativoj	prononco
level	aparte	جدا، جدا	apart, separately	grupo	alternativoj	prononco
level	originala	اصلی	original	grupo	alternativoj	prononco
level	bicikli	دوچرخه سواری، دوچرخه سواری	to bicycle, to ride a bike	grupo	alternativoj	prononco
level	regulo	یک قانون، یک قانون	a rule, a regulation	grupo	alternativoj	prononco
level	troa	بیش از حد، ناروا	excessive, undue	grupo	alternativoj	prononco
level	tre agrable!	بسیار خوب!	very nice!	grupo	alternativoj	prononco
level	balanci	تاب خوردن، تکان دادن	to swing, to rock	grupo	alternativoj	prononco
level	ŝtrumpo	یک جوراب ساق بلند	a stocking	grupo	alternativoj	prononco
level	kontroli	بررسی کردن، حسابرسی کردن، بررسی کردن	to check, to audit, to check up on	grupo	alternativoj	prononco
level	pasto	یک خمیر، یک خمیر	a paste, a dough	grupo	alternativoj	prononco
level	rektangulo	مستطیل، مستطیل	rectangle, a rectangle	grupo	alternativoj	prononco
level	falsa	نادرست، تقلبی، جعلی، جعلی، جعلی	false, counterfeit, fake, forged, spurious	grupo	alternativoj	prononco
level	ŝerci	شوخی کردن، شوخی کردن	to joke, to jest	grupo	alternativoj	prononco
level	problemo	یک مشکل، یک مشکل	a problem, a trouble	grupo	alternativoj	prononco
level	kulturi	به فرهنگ (خاک، زمین)	to culture (soil, land)	grupo	alternativoj	prononco
level	lernejo	یک مدرسه، یک مکان آموزشی	a school, a learning place	grupo	alternativoj	prononco
level	manĝejo	یک مکان غذاخوری، یک رستوران، یک اتاق غذاخوری، یک غذاخوری	an eating place, a restaurant, a dining room, a canteen	grupo	alternativoj	prononco
level	flago	یک پرچم، یک بنر	a flag, a banner	grupo	alternativoj	prononco
level	universala	جهانی، عمومی، جهانی	universal, general, worldwide	grupo	alternativoj	prononco
level	vendejo	یک فروشگاه، یک مغازه	a store, a shop	grupo	alternativoj	prononco
level	parko	پارک	a park	grupo	alternativoj	prononco
level	kesto	یک سینه، یک جعبه، یک جعبه	a chest, a box, a case	grupo	alternativoj	prononco
level	preĝejo	یک کلیسا، یک کرک	a church, a kirk	grupo	alternativoj	prononco
level	ataki	حمله کردن	to attack	grupo	alternativoj	prononco
level	fako	یک شاخه، یک رشته، یک تخصص، یک محفظه	a branch, a discipline, a specialty, a compartment	grupo	alternativoj	prononco
level	librovendejo	یک کتابفروشی، یک کتابفروشی	a bookshop, a bookstore	grupo	alternativoj	prononco
level	fama	معروف	famous	grupo	alternativoj	prononco
level	kafejo	یک کافه، یک کافی شاپ	a cafe, a coffee shop	grupo	alternativoj	prononco
level	kuseno	یک کوسن، یک بالش پرتاب	a cushion, a throw pillow	grupo	alternativoj	prononco
level	desegni	طراحی کردن، ترسیم کردن، ترسیم کردن	to design, to delineate, to draw	grupo	alternativoj	prononco
level	konveni	مناسب بودن، مناسب بودن	to be appropriate, to be suitable	grupo	alternativoj	prononco
level	akceptejo	یک میز پذیرش	a reception desk	grupo	alternativoj	prononco
level	necesejo	یک توالت، یک سرویس بهداشتی	a toilet, a restroom	grupo	alternativoj	prononco
level	sporto	ورزش، ورزش	sport, a sport	grupo	alternativoj	prononco
level	fridujo	یک یخچال، یک یخچال	a fridge, a refrigerator	grupo	alternativoj	prononco
level	rubujo	سطل زباله، سطل زباله، سطل زباله	a trash bin, a bin, a trash can	grupo	alternativoj	prononco
level	defendi	به دفاع از	to defend	grupo	alternativoj	prononco
level	eduki	آموزش دادن	to educate	grupo	alternativoj	prononco
level	hejti	گرم شدن، گرم شدن	to heat up, to warm up	grupo	alternativoj	prononco
level	listo	یک لیست	a list	grupo	alternativoj	prononco
level	kondiĉo	یک شرط	a condition	grupo	alternativoj	prononco
level	poste	بعد، بعد، بعد	later, afterwards, next	grupo	alternativoj	prononco
level	brakumi	در آغوش گرفتن، در آغوش گرفتن	to embrace, to hug	grupo	alternativoj	prononco
level	ĝoja	شاد، خوشحال، خوشحال	joyfull, glad, happy	grupo	alternativoj	prononco
level	malvarmumo	سرماخوردگی (گرفتار)	a cold (caught)	grupo	alternativoj	prononco
level	salono	یک اتاق نشیمن، یک سالن، یک سالن	a sitting room, a lounge, a salon	grupo	alternativoj	prononco
level	konsisti	شامل شدن	to consist	grupo	alternativoj	prononco
level	hejme	در خانه	at home	grupo	alternativoj	prononco
level	spezo	یک گردش مالی	a turnover	grupo	alternativoj	prononco
level	kalendaro	یک تقویم	a calendar	grupo	alternativoj	prononco
level	imagi	تصور کنید	to imagine	grupo	alternativoj	prononco
level	fidela	وفادار، قابل اعتماد	faithful, trustworthy	grupo	alternativoj	prononco
level	partopreni	شرکت کردن، شرکت کردن	to participate, to take part	grupo	alternativoj	prononco
level	kastelo	یک قلعه، یک ارگ	a castle, a citadel	grupo	alternativoj	prononco
level	-op-	(suffix) یک گروه به تعداد	(suffix)  a group in numbers	grupo	alternativoj	prononco
level	ĉeesti	حضور داشتن، حضور در	to attend, to be present at	grupo	alternativoj	prononco
level	televido	تلویزیون، تلویزیون	TV, television	grupo	alternativoj	prononco
level	studento	یک دانشجو (دانشگاه)	a student (university)	grupo	alternativoj	prononco
level	impreso	یک اثر	an impression	grupo	alternativoj	prononco
level	pupo	یک عروسک، یک عروسک	a doll, a puppet	grupo	alternativoj	prononco
level	konstanta	ثابت، مستمر، دائمی	constant, continual, permanent	grupo	alternativoj	prononco
level	ebena	مسطح، مسطح، مسطح، تراز	flat, even, plane, level	grupo	alternativoj	prononco
level	jaraĝa	~ ساله	~ years old	grupo	alternativoj	prononco
level	blovi	دمیدن	to blow	grupo	alternativoj	prononco
level	konfesi	اعتراف کردن، اعتراف کردن	to confess, to admit	grupo	alternativoj	prononco
level	ekstere	خارج، خارج از کشور	outside, abroad	grupo	alternativoj	prononco
level	remi	ردیف کردن	to row	grupo	alternativoj	prononco
level	kaserolo	یک قابلمه، یک تابه، یک قابلمه	a casserole, a pan, a saucepan	grupo	alternativoj	prononco
level	gepatroj	(هر دو) والدین	(both) parents	grupo	alternativoj	prononco
level	geedziĝi	ازدواج کردن، ازدواج کردن	to get married, to marry	grupo	alternativoj	prononco
level	vundo	یک زخم، یک جراحت	a wound, an injury	grupo	alternativoj	prononco
level	scienco	علم، یک علم	science, a science	grupo	alternativoj	prononco
level	monero	یک سکه	a coin	grupo	alternativoj	prononco
level	kompari	برای مقایسه	to compare	grupo	alternativoj	prononco
level	arko	یک قوس (یک منحنی)	an arc (of a curve)	grupo	alternativoj	prononco
level	sperta	با تجربه، متخصص	experienced, expert	grupo	alternativoj	prononco
level	sankta	مقدس، مقدس	holy, sacred	grupo	alternativoj	prononco
level	lavujo	یک دستشویی	a washbasin	grupo	alternativoj	prononco
level	trajno	قطار	a train	grupo	alternativoj	prononco
level	domaĝo	حیف، چیزی تاسف بار	a pity, something regrettable	grupo	alternativoj	prononco
level	akra	تیز، ساینده	sharp, abrasive	grupo	alternativoj	prononco
level	meriti	سزاوار بودن، لیاقت داشتن، شایسته بودن	to deserve, to merit, to be worthy of	grupo	alternativoj	prononco
level	ekparoli	برای شروع صحبت کردن	to start speaking	grupo	alternativoj	prononco
level	ekscii	دانستن، درک کردن، آموختن	to get to know, to realise, to learn	grupo	alternativoj	prononco
level	semo	یک دانه	a seed	grupo	alternativoj	prononco
level	reveni	برگشتن، برگشتن	to come back, to return	grupo	alternativoj	prononco
level	lupo	یک گرگ	a wolf	grupo	alternativoj	prononco
level	elefanto	یک فیل	an elephant	grupo	alternativoj	prononco
level	karoto	یک هویج	a carrot	grupo	alternativoj	prononco
level	haŭto	پوست، یک پوست	skin, a skin	grupo	alternativoj	prononco
level	palaco	یک کاخ	a palace	grupo	alternativoj	prononco
level	eksidi	برای نشستن	to get sit down	grupo	alternativoj	prononco
level	mamo	سینه (زن)، سینه	a breast (of a woman), boob	grupo	alternativoj	prononco
level	urso	یک خرس	a bear	grupo	alternativoj	prononco
level	vulpo	یک روباه	a fox	grupo	alternativoj	prononco
level	kuracisto	یک پزشک (پزشکی)، یک پزشک	a (medical) doctor, a physician	grupo	alternativoj	prononco
level	kurteno	یک پرده، یک پرده، یک حجاب	a curtain, a screen, a veil	grupo	alternativoj	prononco
level	venki	تسخیر کردن، تسخیر کردن، برنده شدن، غلبه کردن	to conquer, to conquest, to win, to overcome	grupo	alternativoj	prononco
level	soldato	یک سرباز	a soldier	grupo	alternativoj	prononco
level	trunko	یک تنه، یک شفت، یک تنه	a trunk, a shaft, a torso	grupo	alternativoj	prononco
level	ŝtelisto	یک دزد	a thief	grupo	alternativoj	prononco
level	miksi	مخلوط کردن، مخلوط کردن، به هم زدن	to mix, to blend, to shuffle	grupo	alternativoj	prononco
level	preciza	دقیق، دقیق	precise, accurate	grupo	alternativoj	prononco
level	instruisto	یک معلم، یک مربی	a teacher, an instructor	grupo	alternativoj	prononco
level	tedi	به مته سوراخ	to bore	grupo	alternativoj	prononco
level	gaso	گاز	gas	grupo	alternativoj	prononco
level	fervora	جدی، مشتاق، پرشور، پرشور	earnest, eager, fervent, impassioned	grupo	alternativoj	prononco
level	diablo	یک شیطان	a devil	grupo	alternativoj	prononco
level	densa	متراکم، ضخیم، متمرکز	dense, thick, concentrated	grupo	alternativoj	prononco
level	stranga	عجیب، غریب، عجیب و غریب	strange, odd, peculiar	grupo	alternativoj	prononco
level	savi	نجات دادن، نجات دادن	to save, to rescue	grupo	alternativoj	prononco
level	vico	چرخش، چرخش (در یک دنباله)	turn, a turn (in a sequence)	grupo	alternativoj	prononco
level	kilometro	یک کیلومتر	a kilometer	grupo	alternativoj	prononco
level	puni	مجازات کردن	to punish	grupo	alternativoj	prononco
level	prunto	یک وام	a loan	grupo	alternativoj	prononco
level	planto	گیاه، گیاه	plant, a plant	grupo	alternativoj	prononco
level	praktiko	تمرین، تمرین	practice, a practice	grupo	alternativoj	prononco
level	kune	با یکدیگر	together	grupo	alternativoj	prononco
level	temperaturo	درجه حرارت	temperature	grupo	alternativoj	prononco
level	nepo	یک نوه	a grandson	grupo	alternativoj	prononco
level	kunveni	گردهم آمدن، گرد آمدن، ملاقات کردن	to convene, to gather, to meet	grupo	alternativoj	prononco
level	tono	یک لحن	a tone	grupo	alternativoj	prononco
level	plata	تخت	flat	grupo	alternativoj	prononco
level	ekskursi	گردش، رفتن به پیک نیک، گردش	to excurse, to go on a picnic, to jaunt	grupo	alternativoj	prononco
level	ripari	تعمیر کردن، تعمیر کردن	to repair, to fix	grupo	alternativoj	prononco
level	dramo	یک درام	a drama	grupo	alternativoj	prononco
level	sovaĝa	وحشی، وحشی	savage, wild	grupo	alternativoj	prononco
level	progresi	برای پیشرفت	to progress	grupo	alternativoj	prononco
level	sonĝo	یک رویا	a dream	grupo	alternativoj	prononco
level	legomo	سبزی	a vegetable	grupo	alternativoj	prononco
level	proksimuma	تقریبی	approximate	grupo	alternativoj	prononco
level	mapo	نقشه	a map	grupo	alternativoj	prononco
level	foje (iu foje)	گاهی (بعضی وقت ها)	sometimes (some times)	grupo	alternativoj	prononco
level	aŭtoritato	یک مرجع	an authority	grupo	alternativoj	prononco
level	distribui	برای توزیع	to distribute	grupo	alternativoj	prononco
level	distingi	برای تشخیص	to distinguish	grupo	alternativoj	prononco
level	speciala	خاص	special	grupo	alternativoj	prononco
level	boli	جوشیدن	to boil	grupo	alternativoj	prononco
level	osto	یک استخوان	a bone	grupo	alternativoj	prononco
level	rekomendi	برای توصیه	to recommend	grupo	alternativoj	prononco
level	postmorgaŭ	پس فردا	the day after tomorrow	grupo	alternativoj	prononco
level	komplezi	ملزم كردن، احسان كردن، احسان كردن	to oblige, to be kind as to, to do a favor	grupo	alternativoj	prononco
level	ĝentila	ملایم، مودب، مودب، خوش اخلاق	gentle, polite, courteous, well-mannered	grupo	alternativoj	prononco
level	komforta	راحت	comfortable	grupo	alternativoj	prononco
level	strio	یک نوار، یک پرتو	a stripe, a ray	grupo	alternativoj	prononco
level	tolo	یک بوم، یک پارچه، یک کتانی	a canvas, a cloth, a linen	grupo	alternativoj	prononco
level	ŝnuro	یک طناب، یک وتر، یک سیم	a rope, a chord, a string	grupo	alternativoj	prononco
level	imperio	یک امپراتوری	an empire	grupo	alternativoj	prononco
level	ĉemizo	یک پیراهن	a shirt	grupo	alternativoj	prononco
level	anaso	یک اردک	a duck	grupo	alternativoj	prononco
level	organo	یک ارگان، یک بررسی، یک بولتن رسمی	an organ, a review, an official bulletin	grupo	alternativoj	prononco
level	longe	طولانی، برای مدت طولانی	long, for a long time	grupo	alternativoj	prononco
level	biskvito	یک بیسکویت، یک کلوچه، یک کراکر	a biscuit, a cookie, a cracker	grupo	alternativoj	prononco
level	panjo	مامان، مادر، مامان	mom, a mom, mommy	grupo	alternativoj	prononco
level	paĉjo	بابا، بابا، بابا	dad, a dad, daddy	grupo	alternativoj	prononco
level	mendi	سفارش دادن، رزرو کردن	to order, to book	grupo	alternativoj	prononco
level	lingva	وابسته به زبانشناسی	linguistic	grupo	alternativoj	prononco
level	biciklo	یک دوچرخه، یک دوچرخه	a bike, a bicycle	grupo	alternativoj	prononco
level	imiti	تقلید کردن	to imitate	grupo	alternativoj	prononco
level	abelo	یک زنبور عسل	a bee	grupo	alternativoj	prononco
level	konfidi	اعتماد کردن، امانت گذاشتن	to confide, to entrust	grupo	alternativoj	prononco
level	ferio (feria tago)	تعطیلات، تعطیلات (=لیبرتاگو)	holiday, a holiday (=libertago)	grupo	alternativoj	prononco
level	kisi	برای بوسیدن	to kiss	grupo	alternativoj	prononco
level	nokte	در شب، شب، در شب	at night, night-time, by night	grupo	alternativoj	prononco
level	transdoni	واگذار کردن، انتقال دادن، واگذار کردن	to give over, to transfer, to hand over	grupo	alternativoj	prononco
level	litero	یک شخصیت، یک نامه	a character, a letter	grupo	alternativoj	prononco
level	maŝino	یک ماشین	a machine	grupo	alternativoj	prononco
level	haveno	یک بندر، یک بندر	a harbor, a port	grupo	alternativoj	prononco
level	graso	چربی، چربی	grease, fat	grupo	alternativoj	prononco
level	klopodi	تلاش کردن، تلاش کردن، هدف گرفتن، انجام دادن	to endeavor, to attempt, to aim, to undertake	grupo	alternativoj	prononco
level	ŝanco	یک فرصت، یک فرصت	a chance, an opportunity	grupo	alternativoj	prononco
level	ŝiri	پاره کردن، پاره کردن	to tear, to rip	grupo	alternativoj	prononco
level	mantelo	مانتو، مانتو، مانتو	a coat, a manteau, a cloak	grupo	alternativoj	prononco
level	programo	یک برنامه	a program	grupo	alternativoj	prononco
level	volvi	پیچیدن، غلتیدن، باد کردن، پیچیدن	to wrap, to roll, to wind, to roll up	grupo	alternativoj	prononco
level	prunte	به صورت قرضی	on loan	grupo	alternativoj	prononco
level	naskiĝtago	یک تولد	a birthday	grupo	alternativoj	prononco
level	karbo	زغال سنگ	coal	grupo	alternativoj	prononco
level	proponi	پیشنهاد دادن، پیشنهاد دادن	to propose, to offer	grupo	alternativoj	prononco
level	muzeo	یک موزه	a museum	grupo	alternativoj	prononco
level	metalo	فلز، یک فلز	metal, a metal	grupo	alternativoj	prononco
level	streĉi	کشش دادن، سفت کردن	to strech, to tighten	grupo	alternativoj	prononco
level	gustumi	برای طعم دادن، برای نمونه	to taste, to sample	grupo	alternativoj	prononco
level	atenti	مراقبت کردن، توجه کردن، مراقب بودن	to take care, to pay attention, to watch out for	grupo	alternativoj	prononco
level	presi	برای چاپ	to print	grupo	alternativoj	prononco
level	tabulo	یک تخته، یک تخته، یک تبلت	a board, a plank, a tablette	grupo	alternativoj	prononco
level	tute	کاملاً، کاملاً، کاملاً	totally, completely, entirely	grupo	alternativoj	prononco
level	serio	یک سری	a series	grupo	alternativoj	prononco
level	universitato	دانشگاه	a university	grupo	alternativoj	prononco
level	situacio	یک موقعیت، شرایط، یک شرط	a situation, circumstances, a condition	grupo	alternativoj	prononco
level	paro	یک جفت، یک زوج	a pair, a couple	grupo	alternativoj	prononco
level	metio	صنایع دستی، صنایع دستی	craft, handicraft	grupo	alternativoj	prononco
level	meblo	یک تکه مبلمان	a piece of furniture	grupo	alternativoj	prononco
level	oleo	روغن، یک روغن	oil, an oil	grupo	alternativoj	prononco
level	scivola	کنجکاو، کنجکاو	curious, inquisitive	grupo	alternativoj	prononco
level	ĉu ne?	اینطور نیست؟ آنها نیستند؟	isn't it? aren't they?	grupo	alternativoj	prononco
level	nepra	ضروری، کاملا ضروری	essential, absolutely necessary	grupo	alternativoj	prononco
level	kapabli	توانستن، توانا بودن	to be able to, to be capable of	grupo	alternativoj	prononco
level	ŝranko	یک کمد، یک کمد، یک کمد، یک بوفه	a locker, a cupboard, a closet, a sideboard	grupo	alternativoj	prononco
level	po ~	در هر، به میزان، توسط	per, at the rate of, by	grupo	alternativoj	prononco
level	direktoro	یک کارگردان، یک مدیر	a director, a manager	grupo	alternativoj	prononco
level	ve!	افسوس!	Alas!	grupo	alternativoj	prononco
level	eviti	اجتناب کردن، فرار کردن	to avoid, to evade	grupo	alternativoj	prononco
level	posedi	داشتن، داشتن	to possess, to own	grupo	alternativoj	prononco
level	rubriko	یک عنوان، یک بخش، یک عنوان، یک ستون	a heading, a section, a rubric, a column	grupo	alternativoj	prononco
level	krimo	یک جرم	a crime	grupo	alternativoj	prononco
level	akiri	به دست آوردن، به دست آوردن، به دست آوردن، به دست آوردن	to acquire, to attain, to obtain, to get	grupo	alternativoj	prononco
level	fuŝi	به هم ریختن، به هم ریختن، به هم ریختن، به هم ریختن	to mess, to bungle, to botch, to screw up	grupo	alternativoj	prononco
level	virino	یک زن	a woman	grupo	alternativoj	prononco
level	viŝi	پاک کردن، حذف کردن، پاک کردن	to wipe, to delete, ti wipe off	grupo	alternativoj	prononco
level	flanke	در کنار	at the side	grupo	alternativoj	prononco
level	oferti	پیشنهاد کردن، پیشنهاد دادن، پیشنهاد دادن، پیشنهاد دادن	to propose, to bid, to make an offer of, to offer	grupo	alternativoj	prononco
level	muŝo	مگس (حشره)	a fly (insect)	grupo	alternativoj	prononco
level	subite	ناگهان، یکدفعه	suddenly, all of a sudden	grupo	alternativoj	prononco
level	spegulo	یک آینه، یک شیشه	a mirror, a looking glass	grupo	alternativoj	prononco
level	taŭga	مناسب	suitable	grupo	alternativoj	prononco
level	neniel	به هیچ وجه، به هیچ وجه، به هیچ وجه	in no way, by no means, not at all	grupo	alternativoj	prononco
level	persona	شخصی	personal	grupo	alternativoj	prononco
level	rado	یک چرخ	a wheel	grupo	alternativoj	prononco
level	najbaro	یک همسایه	a neighbor	grupo	alternativoj	prononco
level	tremi	لرزیدن، لرزیدن، لرزیدن	to tremble, to quiver, to shiver	grupo	alternativoj	prononco
level	familia ĉambro	یک اتاق خانوادگی، یک اتاق نشیمن	a family room, a living room	grupo	alternativoj	prononco
level	poto	یک دیگ، یک کوزه	a pot, a jug	grupo	alternativoj	prononco
level	pasigi	خرج کردن، گذشتن	to spend, to pass	grupo	alternativoj	prononco
level	akompani	همراهی کند	to accompany	grupo	alternativoj	prononco
level	noto	یک یادداشت، نمره (مدرسه)، علامت	a note, (school) grade, mark	grupo	alternativoj	prononco
level	brovo	یک ابرو	an eyebrow	grupo	alternativoj	prononco
level	infanĉambro	یک اتاق کودک	a child room	grupo	alternativoj	prononco
level	vigla	متحرک، سریع	animated, brisk	grupo	alternativoj	prononco
level	simio	یک میمون	a monkey	grupo	alternativoj	prononco
level	pilko	یک توپ	a ball	grupo	alternativoj	prononco
level	konscii	آگاه بودن، آگاه بودن	to be concious, to be aware of	grupo	alternativoj	prononco
level	honoro	افتخار، افتخار	honor, an honour	grupo	alternativoj	prononco
level	inaŭguro	افتتاحیه، افتتاحیه	inauguration, an inauguration	grupo	alternativoj	prononco
level	bebo	نوزادی	a baby	grupo	alternativoj	prononco
level	rajti	مجاز بودن، حق داشتن	to be allowed, to have the right to	grupo	alternativoj	prononco
level	apetito	یک اشتها	an appetite	grupo	alternativoj	prononco
level	klubo	یک باشگاه، یک جامعه	a club, a society	grupo	alternativoj	prononco
level	soifi	تشنه بودن، تشنه بودن	to thirst, to be thirsty	grupo	alternativoj	prononco
level	muso	یک موش	a mouse	grupo	alternativoj	prononco
level	nevo	یک برادرزاده	a nephew	grupo	alternativoj	prononco
level	vespermanĝo	یک شام، یک شام، یک شام	a dinner, a supper, evening meal	grupo	alternativoj	prononco
level	matene	در صبح	in the morning	grupo	alternativoj	prononco
level	trompi	فریب دادن، فریب دادن	to deceive, to cheat	grupo	alternativoj	prononco
level	farmi	مزرعه دادن، مزرعه اجاره دادن	to farm, to lease a farm	grupo	alternativoj	prononco
level	cifero	رقم، یک رقم، رمز، یک رقم	digit, a digit, cipher, a figure	grupo	alternativoj	prononco
level	honesta	صادقانه	honest	grupo	alternativoj	prononco
level	tagmezo	ظهر، ظهر	noon, midday	grupo	alternativoj	prononco
level	romano	رمان	a novel	grupo	alternativoj	prononco
level	rato	یک موش	a rat	grupo	alternativoj	prononco
level	antaŭtagmeze	قبل از ظهر (صبح)	before noon (in the morning)	grupo	alternativoj	prononco
level	fosi	کندن، کندن، بیل زدن	to dig, to grub, to spade	grupo	alternativoj	prononco
level	foso	یک گودال، قطب	a pit, pole	grupo	alternativoj	prononco
level	posttagmeze	بعد از ظهر	in the afternoon	grupo	alternativoj	prononco
level	fiera	مغرور	proud	grupo	alternativoj	prononco
level	bari	بستن، مانع شدن	to bar, to obstruct	grupo	alternativoj	prononco
level	oscedi	خمیازه کشیدن	to yawn	grupo	alternativoj	prononco
level	poento	یک نقطه، یک دویدن	a point, a run	grupo	alternativoj	prononco
level	minaci	تهدید کردن، تهدید کردن، ارعاب کردن، تهدید کردن	to minace, to threaten, to intimidate, to menace	grupo	alternativoj	prononco
level	armo	اسلحه، اسلحه خانه	arms, armory	grupo	alternativoj	prononco
level	parenco	خویشاوند، خویشاوند، خویشاوند	relative, a relative, a kinsman	grupo	alternativoj	prononco
level	rikolti	درو کردن، درو کردن، به دست آوردن	to harvest, to reap, to garner	grupo	alternativoj	prononco
level	duŝo	دوش، دوش	shower, a shower	grupo	alternativoj	prononco
level	mueli	آسیاب کردن	to grind	grupo	alternativoj	prononco
level	fabelo	یک افسانه، یک داستان قبل از خواب	a fairy tale, a bedtime story	grupo	alternativoj	prononco
level	publika	عمومی، برای عموم آزاد است	public, open to public	grupo	alternativoj	prononco
level	baro	یک مانع، یک مانع	a barrier, an obstruction	grupo	alternativoj	prononco
level	kubuto	یک آرنج	an elbow	grupo	alternativoj	prononco
level	flughaveno	یک فرودگاه	an airport	grupo	alternativoj	prononco
level	spico	یک ادویه	a spice	grupo	alternativoj	prononco
level	kubo	یک مکعب، یک تاس	a cube, a dice	grupo	alternativoj	prononco
level	transirejo	یک گذرگاه، یک چهارراه	a crossing, a crossway	grupo	alternativoj	prononco
level	lastanokte	(در) دیشب	(at) last night	grupo	alternativoj	prononco
level	pafi	شلیک کردن، شلیک کردن	to shoot, to fire	grupo	alternativoj	prononco
level	aprobi	به تایید	to approve	grupo	alternativoj	prononco
level	kutime	به طور معمول، معمولا	ordinarily, usually	grupo	alternativoj	prononco
level	reala	واقعی	real	grupo	alternativoj	prononco
level	kolekti	برای جمع آوری	to collect	grupo	alternativoj	prononco
level	okulvitroj	عینک، عینک، عینک	eye-glasses, spectacles, glasses	grupo	alternativoj	prononco
level	rolo	نقش، نقش، بخشی	role, a role, a part	grupo	alternativoj	prononco
level	rifuzi	امتناع کردن	to refuse	grupo	alternativoj	prononco
level	riproĉi	سرزنش کردن، سرزنش کردن، سرزنش کردن، سرزنش کردن	to reproach, to reprimand, to rebuke, to scold	grupo	alternativoj	prononco
level	fakturo	یک فاکتور، یک قبض	an invoice, a bill	grupo	alternativoj	prononco
level	sun-floro	یک گل آفتابگردان	a sun-flower	grupo	alternativoj	prononco
