C.da content.tsv
Level	Esperanto	da	en-us	Grupo	Alternativoj	Pronoco
level	serpento	en slange	a snake	grupo	alternativoj	prononco
level	klare	klart	clearly	grupo	alternativoj	prononco
level	alveni	at ankomme, at få	to arrive, to get	grupo	alternativoj	prononco
level	aldoni	at tilføje	to add	grupo	alternativoj	prononco
level	vesti (sin)	klæde sig (selv), tage på	to dress (oneself), to put on	grupo	alternativoj	prononco
level	vosto	en hale	a tail	grupo	alternativoj	prononco
level	alporti	at bringe, at hente	to bring, to fetch	grupo	alternativoj	prononco
level	vestiblo	en lobby (drager kjole af), entré, forstue	a lobby (putting dress off), entrance hall, vestibule	grupo	alternativoj	prononco
level	korno	et horn, tuder, klaxon	a horn, hooter, klaxon	grupo	alternativoj	prononco
level	avara	grådig, grådig	greedy, avarious	grupo	alternativoj	prononco
level	ebla	muligt, i stand	possible, able	grupo	alternativoj	prononco
level	eble	måske, muligvis, måske	perhaps, possibly, maybe	grupo	alternativoj	prononco
level	balai	at feje	to sweep	grupo	alternativoj	prononco
level	kompreneble	selvfølgelig (forståeligt nok)	of course (understandably)	grupo	alternativoj	prononco
level	glitkuri	at skøjte, at glide-løbe	to skate, to sliding-run	grupo	alternativoj	prononco
level	sketi (glitkuri)	at skøjte (skøjteløb)	to skate (ice skating)	grupo	alternativoj	prononco
level	ŝvito	sved, sved, sved	sweat, a sweat, perspiration	grupo	alternativoj	prononco
level	nenies	ingens, ingens	nobody's, no-one's	grupo	alternativoj	prononco
level	simili	at ligne, at ligne	to look similar, to resemble	grupo	alternativoj	prononco
level	kameno	en pejs, en ildsted	a fireplace, a hearth	grupo	alternativoj	prononco
level	portebla	transportabel	portable	grupo	alternativoj	prononco
level	memkomprenebla	tydeligt, selvfølgelig	evident, of course	grupo	alternativoj	prononco
level	prezidanto	en formand, en præsident	a chairman, a president	grupo	alternativoj	prononco
level	pluraj	flere	several	grupo	alternativoj	prononco
level	kongresnumero	et registreringsnummer i en kongres	a registering number in a congress	grupo	alternativoj	prononco
level	UK (U.K.)	den universelle kongres (af esperanto)	the Universal Congress (of Esperanto)	grupo	alternativoj	prononco
level	surda	døv	deaf	grupo	alternativoj	prononco
level	UEA (U.E.A)	den Universelle Esperanto-Forening	the Universal Esperanto-Association	grupo	alternativoj	prononco
level	ordi	at ordne, at gøre tingene i orden	to arrange, to make things in order	grupo	alternativoj	prononco
level	fraŭlino	en lavet, ugift kvinde, frk.	a maden, unmarried woman, Miss.	grupo	alternativoj	prononco
level	ringo	en ring	a ring	grupo	alternativoj	prononco
level	pasaĝerŝipo	et passagerskib	a passenger ship	grupo	alternativoj	prononco
level	kongreslibro	en kongresbog	a congress book	grupo	alternativoj	prononco
level	beko	et næb, en regning	a beak, a bill	grupo	alternativoj	prononco
level	libroservo	en boghandel (i en kongres)	a bookshop (in a congress)	grupo	alternativoj	prononco
level	libroŝranko	en boghylde	a book shelf	grupo	alternativoj	prononco
level	kapkuseno	en pude	a pillow	grupo	alternativoj	prononco
level	cindro	aske, aske	ash, cinder	grupo	alternativoj	prononco
level	artikolo	en artikel (magasin, avis)	an article (magazine, newspaper)	grupo	alternativoj	prononco
level	nombri	at tælle, at tælle	to number, to count	grupo	alternativoj	prononco
level	duobla	dobbelt	double	grupo	alternativoj	prononco
level	duoble	to gange, dobbelt	twice, doubly	grupo	alternativoj	prononco
level	dekobla	ti gange	of ten-fold	grupo	alternativoj	prononco
level	ĉapo	en hue	a cap	grupo	alternativoj	prononco
level	dekoblo	ti gange, ti gange	ten-fold, ten times	grupo	alternativoj	prononco
level	kasedo	en kassette	a cassette	grupo	alternativoj	prononco
level	dekoble	ti gange så meget (mange)	ten times as much (many)	grupo	alternativoj	prononco
level	jesuo	Jesus	Jesus	grupo	alternativoj	prononco
level	poluro	polere, polere	polish, polishment	grupo	alternativoj	prononco
level	tusi	at hoste	to cough	grupo	alternativoj	prononco
level	pinglo	nål, nål	pin, needle	grupo	alternativoj	prononco
level	buĝeto	et budget (=budĝeto)	a budget (=budĝeto)	grupo	alternativoj	prononco
level	duono	en halv	an half	grupo	alternativoj	prononco
level	subjekto	et emne	a subject	grupo	alternativoj	prononco
level	pesi	at måle vægt, at veje	to measure weight, to weigh	grupo	alternativoj	prononco
level	ĉiutage	hver dag, dagligt	every day, daily	grupo	alternativoj	prononco
level	lanterno	en lanterne	a lantern	grupo	alternativoj	prononco
level	tagmanĝo	en frokost, middagsmad	a lunch, midday meal	grupo	alternativoj	prononco
level	importi	at importere	to import	grupo	alternativoj	prononco
level	duona	halv(ly)	half(ly)	grupo	alternativoj	prononco
level	dekono	en tiendedel	a tenth	grupo	alternativoj	prononco
level	skrapi	at skrabe, at skrabe	to scrape, to scratch	grupo	alternativoj	prononco
level	kvarono	en fjerdedel, en fjerdedel	a quarter, one fourth	grupo	alternativoj	prononco
level	triono	en tredjedel, en tredjedel	a third, one third	grupo	alternativoj	prononco
level	pezi	at veje (at have en tyngde af en mængde)	to weigh (to have a heaviness of an amount)	grupo	alternativoj	prononco
level	naztuko	et lommetørklæde (=kajertuko)	a handkerchief (=kajertuko)	grupo	alternativoj	prononco
level	bantuko	et badehåndklæde	a bath towel	grupo	alternativoj	prononco
level	littuko	et lagen	a bed sheet	grupo	alternativoj	prononco
level	terure	frygteligt, frygteligt	terribly, awfully	grupo	alternativoj	prononco
level	kvaropo	en firer, en firdobbelt	a foursome, a quadruple	grupo	alternativoj	prononco
level	tualeto	et toilet (påklædning)	a toilet (attire)	grupo	alternativoj	prononco
level	pardono	tilgivelse, benådning, syndsforladelse	forgiveness, pardon, absolution	grupo	alternativoj	prononco
level	kuvo	et kar, et bad, et kar	a tub, a bath, a vat	grupo	alternativoj	prononco
level	vizitadi	at besøge regelmæssigt, at hyppige	to visit regularily, to frequent	grupo	alternativoj	prononco
level	esplori	at udforske, at undersøge	to explore, to investigate	grupo	alternativoj	prononco
level	regali	at regale, at behandle, at underholde	to regale, to treat, to entertain	grupo	alternativoj	prononco
level	diskuti	at diskutere	to discuss	grupo	alternativoj	prononco
level	propagandi	at lave propaganda, at reklamere	to make propaganda, to advertise	grupo	alternativoj	prononco
level	kudrilo	en synål	a sewing needle	grupo	alternativoj	prononco
level	ŝoveli	at skovle	to shovel	grupo	alternativoj	prononco
level	aplaŭdo	et bifald, akklamation	an applause, acclamation	grupo	alternativoj	prononco
level	malsata	sulten	hungry	grupo	alternativoj	prononco
level	esprimi	at udtrykke	to express	grupo	alternativoj	prononco
level	subtaso	en underkop	a saucer	grupo	alternativoj	prononco
level	traduko	en oversættelse	a translation	grupo	alternativoj	prononco
level	kopiilo	en kopimaskine, en kopimaskine	a copying machine, a copier	grupo	alternativoj	prononco
level	provizo	en forsyning, et lager, en forsyning	a provision, a stock, a supply	grupo	alternativoj	prononco
level	traduki	at oversætte	to translate	grupo	alternativoj	prononco
level	terglobo	jordkloden	the earth globe	grupo	alternativoj	prononco
level	breto	en hylde	a shelf	grupo	alternativoj	prononco
level	sekreti	at holde på hemmeligheder	to keep secrets	grupo	alternativoj	prononco
level	ekonomio	økonomi, en økonomi	economy, an economy	grupo	alternativoj	prononco
level	evolui	at udvikle sig	to evolve	grupo	alternativoj	prononco
level	ĉambristo	en husholderske	a housekeeper	grupo	alternativoj	prononco
level	dimanĉe	på søndag	on Sunday	grupo	alternativoj	prononco
level	pruntedoni	at låne	to lend	grupo	alternativoj	prononco
level	veturado	tager på en tur	going on a ride	grupo	alternativoj	prononco
level	ĥoro	et kor, et kor	a choir, a chorus	grupo	alternativoj	prononco
level	pruntepreni	at låne og tage	to borrow and take	grupo	alternativoj	prononco
level	vestaĵo	tøj	clothes	grupo	alternativoj	prononco
level	rapide	hurtigt, hurtigt, hurtigt	rapidly, quickly, swiftly	grupo	alternativoj	prononco
level	urbomezo	et centrum af en by	a center of a city	grupo	alternativoj	prononco
level	tridekjara	30 år gammel	30 years old	grupo	alternativoj	prononco
level	tiuokaze	i det tilfælde	in that case	grupo	alternativoj	prononco
level	sekigi	at tørre	to dry	grupo	alternativoj	prononco
level	varmigi	at gøre varm, at holde varm, at varme	to make warm, to keep warm, to heat	grupo	alternativoj	prononco
level	surloka	på stedet	at the place	grupo	alternativoj	prononco
level	supren	opad	upward	grupo	alternativoj	prononco
level	subakvigi	at synke, at lave synke	to sink, to make sink	grupo	alternativoj	prononco
level	foto	et foto, fotografi	a photo, photograph	grupo	alternativoj	prononco
level	sovaĝejo	et vildnis	a wilderness	grupo	alternativoj	prononco
level	skribotablo	et skrivebord	a writing table	grupo	alternativoj	prononco
level	varmiĝi	at blive varm	to become warm	grupo	alternativoj	prononco
level	klarigi	at forklare, at præcisere	to explain, to clarify	grupo	alternativoj	prononco
level	sentimulo	en frygtløs mand	a fearless man	grupo	alternativoj	prononco
level	krepusko	en tusmørke, en skumring	a twilight, a dusk	grupo	alternativoj	prononco
level	laciga	slid, træt, forårsager træthed	wearing, tiring, causing fatigue	grupo	alternativoj	prononco
level	senkolora	farveløs	colorless	grupo	alternativoj	prononco
level	senbrue	uden støj	without noise	grupo	alternativoj	prononco
level	lernigi	at gøre læring, at undervise	to make learning, to teach	grupo	alternativoj	prononco
level	ŝuldi	at skylde	to owe	grupo	alternativoj	prononco
level	sekreta	hemmelighed	secret	grupo	alternativoj	prononco
level	finigi	at gøre en ende, at afslutte	to make an end, to finish	grupo	alternativoj	prononco
level	salto	et spring	a jump	grupo	alternativoj	prononco
level	finiĝi	at blive færdig, at ende, at komme til en ende	to become finished, to end, to come to an end	grupo	alternativoj	prononco
level	malvarmiĝi	at blive kold	to become cold	grupo	alternativoj	prononco
level	rideto	et smil	a smile	grupo	alternativoj	prononco
level	sidiĝi	at sidde ned	to sit down	grupo	alternativoj	prononco
level	repaciĝo	bliver fredelig igen	becoming peaceful again	grupo	alternativoj	prononco
level	redoni	at give tilbage	to give back	grupo	alternativoj	prononco
level	stariĝi	at rejse sig, at rejse sig, at rejse sig	to get up, to rise, to stand up	grupo	alternativoj	prononco
level	rapidege	meget hurtigt	very quickly	grupo	alternativoj	prononco
level	servo	tjeneste, en tjeneste	service, a service	grupo	alternativoj	prononco
level	konsideri	at overveje	to consider	grupo	alternativoj	prononco
level	promenejo	en promenade	a promenade	grupo	alternativoj	prononco
level	komenciĝi	at komme i gang, at begynde	to get started, to begin	grupo	alternativoj	prononco
level	plibeligi	at forskønne (mere)	to beautify (more)	grupo	alternativoj	prononco
level	perdigi	at gøre for at fare vild	to make to get lost	grupo	alternativoj	prononco
level	ordigi	at lave bestilt	to make ordered	grupo	alternativoj	prononco
level	maristo	en sømand, en sømand, en sømand	a seaman, a sailor, a mariner	grupo	alternativoj	prononco
level	neinteresa	ikke interessant	not interesting	grupo	alternativoj	prononco
level	naturaĵo	en naturlig ting	a natural thing	grupo	alternativoj	prononco
level	fariĝi ~	at blive ~	to become ~	grupo	alternativoj	prononco
level	multpieda	mangefodet	many-footed	grupo	alternativoj	prononco
level	moviĝi	at flytte (væk), at flytte til et andet sted	to move (away), to move into another place	grupo	alternativoj	prononco
level	konatiĝi (kun)	at stifte bekendtskab med (med)	to get acquainted (with)	grupo	alternativoj	prononco
level	morgaŭa	i morgen	tomorrow's	grupo	alternativoj	prononco
level	ekzameni	at undersøge	to examine	grupo	alternativoj	prononco
level	malŝati	at hade, ikke kan lide	to hate, do not like	grupo	alternativoj	prononco
level	plenigi	at fylde op, at udfylde	to fill up, to fill in	grupo	alternativoj	prononco
level	malĝoja	trist	sad	grupo	alternativoj	prononco
level	frosto	frost, en frost, fryse, frysende kold	frost, a frost, freeze, freezing cold	grupo	alternativoj	prononco
level	manplato	palme, en palme	palm, a palm	grupo	alternativoj	prononco
level	maltrankvila	ængstelig	anxious	grupo	alternativoj	prononco
level	respubliko	en republik	a republic	grupo	alternativoj	prononco
level	malseka	våd	wet	grupo	alternativoj	prononco
level	malsaniĝi	at blive syg	to become ill	grupo	alternativoj	prononco
level	aliĝi	at deltage	to join	grupo	alternativoj	prononco
level	malplaĉa	ubehageligt	uncomfortable	grupo	alternativoj	prononco
level	malofte	sjældent	rarely	grupo	alternativoj	prononco
level	malmulto	få	few	grupo	alternativoj	prononco
level	rezignigi	at få til at træde tilbage, at tvinge op	to make to resign, to force resign	grupo	alternativoj	prononco
level	filmo	en film, en film	a film, a motion picture	grupo	alternativoj	prononco
level	malmulte	hos få	in few	grupo	alternativoj	prononco
level	terni	at nyse	to sneeze	grupo	alternativoj	prononco
level	fermigi	at få til at lukke	to make to close	grupo	alternativoj	prononco
level	malkontentigi	At irritere	to annoy	grupo	alternativoj	prononco
level	malfrui	at være forsinket	to be late	grupo	alternativoj	prononco
level	malforta	svag	weak	grupo	alternativoj	prononco
level	fermiĝi	at blive lukket, at blive lukket	to become closed, to be closed	grupo	alternativoj	prononco
level	malfacila	svært	difficult	grupo	alternativoj	prononco
level	alkoholaĵo	spiritus, alkoholholdig drik	liquor, alcoholic beverage	grupo	alternativoj	prononco
level	difini	at definere	to define	grupo	alternativoj	prononco
level	malagrabla	ubehagelig	unpleasant	grupo	alternativoj	prononco
level	anstataŭigi	erstatte, sætte i stedet for, erstatte	to replace, to put in place of, to substitute	grupo	alternativoj	prononco
level	laboristo	en arbejder	a worker	grupo	alternativoj	prononco
level	koncerni	at bekymre sig	to concern	grupo	alternativoj	prononco
level	sciigi	at fortælle, at informere, at dele, at underrette	to let know, to inform, to share, to notify	grupo	alternativoj	prononco
level	planti	at plante	to plant	grupo	alternativoj	prononco
level	politiko	en politik, politik	a policy, politics	grupo	alternativoj	prononco
level	kunporti	at tage med	to bring along	grupo	alternativoj	prononco
level	amikiĝi (kun ~)	at blive venner (med ~)	to make friends (with ~)	grupo	alternativoj	prononco
level	korpoforto	fysisk styrke	physical strength	grupo	alternativoj	prononco
level	klarigo	en forklaring	an explanation	grupo	alternativoj	prononco
level	dividi	at dele, at dele	to divide, to share	grupo	alternativoj	prononco
level	armi	at bevæbne	to arm	grupo	alternativoj	prononco
level	karulino	en skat	a darling	grupo	alternativoj	prononco
level	intervidiĝi	at se hinanden	to see each other	grupo	alternativoj	prononco
level	instruistino	en kvindelig lærer	a female teacher	grupo	alternativoj	prononco
level	ŝlosilo	en nøgle	a key	grupo	alternativoj	prononco
level	ideoriĉa	fantasifulde	imaginative	grupo	alternativoj	prononco
level	falsi	at forfalske, at forfalske, at forfalske, at forfalske	to falsify, to fake, to forge, to counterfeit	grupo	alternativoj	prononco
level	ŝuoj	sko	shoes	grupo	alternativoj	prononco
level	homformo	en form for en person	a form of a person	grupo	alternativoj	prononco
level	scipovi	at vide hvordan	to know how	grupo	alternativoj	prononco
level	haltigi	at forårsage stop	to cause stop	grupo	alternativoj	prononco
level	spezi	at handle penge	to transact money	grupo	alternativoj	prononco
level	grandula	kæmpe's	giant's	grupo	alternativoj	prononco
level	grafino	en grevinde	a countess	grupo	alternativoj	prononco
level	supra	øverst	upper	grupo	alternativoj	prononco
level	gondolisto	en gondolist	a gondolist	grupo	alternativoj	prononco
level	paŭzi	at holde pause, at bryde, at tage et hvil	to pause, to break, to take a rest	grupo	alternativoj	prononco
level	gefrato	søskende	siblings	grupo	alternativoj	prononco
level	sandviĉo	en sandwich	a sandwich	grupo	alternativoj	prononco
level	knedi	at blande, at ælte, at arbejde ind	to mix, to knead, to work into	grupo	alternativoj	prononco
level	fuŝparoli	at tale forkert	to speak wrongly	grupo	alternativoj	prononco
level	ekzerci	at træne, at træne, at bore, at øve	to exercise, to train, to drill, to practice	grupo	alternativoj	prononco
level	fine	i slutningen	at the end	grupo	alternativoj	prononco
level	verŝajne	sandsynligvis, tilsyneladende	probably, apparently	grupo	alternativoj	prononco
level	familiano	et familiemedlem	a family member	grupo	alternativoj	prononco
level	energio	en energi	an energy	grupo	alternativoj	prononco
level	faligi	at forårsage fald, at køre over	to cause falling, to run over	grupo	alternativoj	prononco
level	aparato	et apparat, en maskine, en enhed	an apparatus, machine, device	grupo	alternativoj	prononco
level	informo	en information	an information	grupo	alternativoj	prononco
level	eniri	at gå ind	to go in	grupo	alternativoj	prononco
level	saluton!	Hej!	hello!	grupo	alternativoj	prononco
level	ekvidi	at begynde at se	to start seeing	grupo	alternativoj	prononco
level	balancilo	et sving, en balance	a swing, a balance	grupo	alternativoj	prononco
level	ekstervoje	på vej ud	on the way out	grupo	alternativoj	prononco
level	flugilo	en vinge	a wing	grupo	alternativoj	prononco
level	ekrigardi	at begynde at lede	to start looking	grupo	alternativoj	prononco
level	laŭtparolilo	en højttaler	a speaker	grupo	alternativoj	prononco
level	ekmire	vidunderligt	wonderously	grupo	alternativoj	prononco
level	dumtage	om dagen	at day	grupo	alternativoj	prononco
level	socio	et samfund	a society	grupo	alternativoj	prononco
level	doloriga	forårsager smerte	causing pain	grupo	alternativoj	prononco
level	laborilo	et værktøj til arbejdet	a tool for work	grupo	alternativoj	prononco
level	devojiĝi	at fare vild	to go astray	grupo	alternativoj	prononco
level	banujo	et badekar (=bankuvo)	a bathtub (=bankuvo)	grupo	alternativoj	prononco
level	afiŝo	en plakat, et indlæg, en artikel	a poster, a post, an article	grupo	alternativoj	prononco
level	ellitiĝi	at komme ud af sengen, at stå op	to get out of bed, to get up	grupo	alternativoj	prononco
level	signifi	at betyde, at betyde, at antyde	to mean, to signify, to imply	grupo	alternativoj	prononco
level	tondilo	saks	scissors	grupo	alternativoj	prononco
level	besteto	et lille dyr	a little animal	grupo	alternativoj	prononco
level	pasio	lidenskab	passion	grupo	alternativoj	prononco
level	bedaŭrinde	desværre	unfortunately	grupo	alternativoj	prononco
level	ekdormi	at falde i søvn	to fall asleep	grupo	alternativoj	prononco
level	aĉodora	ildelugtende	bad smelling	grupo	alternativoj	prononco
level	tranĉilo	en kniv	a knife	grupo	alternativoj	prononco
level	rano	en frø	a frog	grupo	alternativoj	prononco
level	arboplena	fuld af træer	full of trees	grupo	alternativoj	prononco
level	vespere	om aftenen	in the evening	grupo	alternativoj	prononco
level	temo	et tema, et emne	a theme, a topic	grupo	alternativoj	prononco
level	antaŭeniri	at gå videre	to go ahead	grupo	alternativoj	prononco
level	kalkulilo	en lommeregner	a calculator	grupo	alternativoj	prononco
level	amikino	en kæreste	a girl friend	grupo	alternativoj	prononco
level	alilanda	udenlandsk	foreign	grupo	alternativoj	prononco
level	kovrilo	et betræk, et tændt, et tæppe	a cover, a lit, a blanket	grupo	alternativoj	prononco
level	menuo	en menu	a menu	grupo	alternativoj	prononco
level	informilo	et nyhedsbrev, en meddelelse	a newsletter, an anouncement	grupo	alternativoj	prononco
level	Venecia	Venedig	Venice	grupo	alternativoj	prononco
level	teroro	en terror	a terror	grupo	alternativoj	prononco
level	doĝo	en doge, en vicekonge	a doge, a viceroy	grupo	alternativoj	prononco
level	kvanto	mængde, mængde	quantity, amount	grupo	alternativoj	prononco
level	batilo	et flagermus (at slå)	a bat (to hit)	grupo	alternativoj	prononco
level	kvalito	kvalitet, ejendom	quality, property	grupo	alternativoj	prononco
level	laŭte	højt, højt	loudly, aloud	grupo	alternativoj	prononco
level	-ut-	(suffiks) betinget passiv	(suffix)  conditional passive	grupo	alternativoj	prononco
level	kristnasko	jul	Christmas	grupo	alternativoj	prononco
level	vivo	et liv	a life	grupo	alternativoj	prononco
level	freneza	skør, sindssyg, gal	crazy, insane, mad	grupo	alternativoj	prononco
level	solvi	at løse, at opløse	to solve, to dissolve	grupo	alternativoj	prononco
level	rilate al	i forhold til	relating to	grupo	alternativoj	prononco
level	fi!	lort!	shit!	grupo	alternativoj	prononco
level	rideti	at smile	to smile	grupo	alternativoj	prononco
level	temas pri	det handler om	it is about	grupo	alternativoj	prononco
level	alilande	i udlandet	abroad	grupo	alternativoj	prononco
level	pli-malpli	mere eller mindre	more or less	grupo	alternativoj	prononco
level	kadro	en ramme, en indstilling, en kader	a frame, a setting, a cadre	grupo	alternativoj	prononco
level	eta	lille, lille (=malgranda)	small, tiny (=malgranda)	grupo	alternativoj	prononco
level	dumil	to tusinde	two thousands	grupo	alternativoj	prononco
level	ŝtormo	en storm	a storm	grupo	alternativoj	prononco
level	elektra	elektrisk, elektrisk	electric, electrical	grupo	alternativoj	prononco
level	ducent	to hundrede	two hundreds	grupo	alternativoj	prononco
level	lageto	en dam	a pond	grupo	alternativoj	prononco
level	tridek	tredive	thirty	grupo	alternativoj	prononco
level	kukurbo	et græskar, en græskar	a pumpkin, a gourd	grupo	alternativoj	prononco
level	varmete	i lunken	in lukewarm	grupo	alternativoj	prononco
level	dek naŭ	nitten	nineteen	grupo	alternativoj	prononco
level	eĥo	et ekko	an echo	grupo	alternativoj	prononco
level	ekrano	en skærm	a screen	grupo	alternativoj	prononco
level	dek sep	sytten	seventeen	grupo	alternativoj	prononco
level	malvarmeta	fedt nok	cool	grupo	alternativoj	prononco
level	dek kvin	femten	fifteen	grupo	alternativoj	prononco
level	oratoro	en taler, en talsmand, en taler	an orator, a spokesman, a speaker	grupo	alternativoj	prononco
level	mansako	en håndtaske (=mansaketo)	a handbag (=mansaketo)	grupo	alternativoj	prononco
level	dek tri	tretten	thirteen	grupo	alternativoj	prononco
level	kristalo	en krystal	a crystal	grupo	alternativoj	prononco
level	cigaredo	en cigaret	a cigarette	grupo	alternativoj	prononco
level	pronomo	et pronomen	a pronoun	grupo	alternativoj	prononco
level	frapeti	at trykke	to tap	grupo	alternativoj	prononco
level	nukso	en nød	a nut	grupo	alternativoj	prononco
level	dek unu	elleve	eleven	grupo	alternativoj	prononco
level	mirinda	fantastisk, fantastisk	amazing, marvelous	grupo	alternativoj	prononco
level	pordego	en portal, en hovedport, en port	a portal, a main gate, a gate	grupo	alternativoj	prononco
level	funkcio	en funktion	a function	grupo	alternativoj	prononco
level	impliki	at implicere, at indvikle, at involvere	to implicate, to entangle, to involve	grupo	alternativoj	prononco
level	tasko	en opgave, et arbejde	a task, a job	grupo	alternativoj	prononco
level	tunelo	en tunnel, en hule	a tunnel, a burrow	grupo	alternativoj	prononco
level	volo	vilje	willingness	grupo	alternativoj	prononco
level	intermanĝeto	en frokost (mellem, lille)	a lunch (intermediate, small)	grupo	alternativoj	prononco
level	interreto	internet, internet	internet, Internet	grupo	alternativoj	prononco
level	tikli	at kilde	to tickle	grupo	alternativoj	prononco
level	vigle	animeret, rask	animatedly, briskly	grupo	alternativoj	prononco
level	bendo	et bånd, et bånd, en strimmel	a band, a tape, a strip	grupo	alternativoj	prononco
level	stulta	dum, tåbelig	stupid, foolish	grupo	alternativoj	prononco
level	haloo	Hej	hello	grupo	alternativoj	prononco
level	himno	en hymne, en hymne	a hymn, an anthem	grupo	alternativoj	prononco
level	taŭgi	at være passende, at passe	to be suitable, to fit	grupo	alternativoj	prononco
level	plenaĝa	voksen, voksen	adult, grown-up	grupo	alternativoj	prononco
level	recenzi	at anmelde, at skrive op	to review, to write up	grupo	alternativoj	prononco
level	gratulo	tillykke	congratulation	grupo	alternativoj	prononco
level	flati	at smigre	to flatter	grupo	alternativoj	prononco
level	komitato	et udvalg	a committee	grupo	alternativoj	prononco
level	frataro	en gruppe gener	a group of bothers	grupo	alternativoj	prononco
level	dorno	en torn	a thorn	grupo	alternativoj	prononco
level	nebulo	tåge, tåge	fog, mist	grupo	alternativoj	prononco
level	fervojo	en jernbane	a railway	grupo	alternativoj	prononco
level	uzado	hvordan man bruger, bruger	how to use, using	grupo	alternativoj	prononco
level	klimato	et klima	a climate	grupo	alternativoj	prononco
level	brakumo	et kram	a hug	grupo	alternativoj	prononco
level	bandaĝo	en forbinding, forbinding	a bandage, dressing	grupo	alternativoj	prononco
level	drato	en ledning	a wire	grupo	alternativoj	prononco
level	unuo	enhed	unit	grupo	alternativoj	prononco
level	materialo	materiale, et materiale	material, a material	grupo	alternativoj	prononco
level	malvarmumi	at blive forkølet	to catch cold	grupo	alternativoj	prononco
level	unue	først og fremmest	first of all	grupo	alternativoj	prononco
level	gramo	et gram	a gram	grupo	alternativoj	prononco
level	turniĝi	at blive vendt	to become turned	grupo	alternativoj	prononco
level	malsano	en sygdom	a disease	grupo	alternativoj	prononco
level	porcio	en portion, en andel	a portion, a share	grupo	alternativoj	prononco
level	armeo	en hær	an army	grupo	alternativoj	prononco
level	bulteno	en bulletin, et nyhedsbrev	a bulletin, a newsletter	grupo	alternativoj	prononco
level	partio	fest, en fest, en kamp, en side	party, a party, a match, a side	grupo	alternativoj	prononco
level	trio	en trio	a trio	grupo	alternativoj	prononco
level	proksimume	cirka, ca	approximately, about	grupo	alternativoj	prononco
level	determini	at bestemme	to determine	grupo	alternativoj	prononco
level	oferi	at ofre, at ofre, at ofre	to sacrifice, to offer, to offer up	grupo	alternativoj	prononco
level	naĝo	svømning, bad	swimming, bathe	grupo	alternativoj	prononco
level	evidenta	indlysende, klar, indlysende	evident, clear, obvious	grupo	alternativoj	prononco
level	tria	tredje	third	grupo	alternativoj	prononco
level	familiara	velkendt, venlig	familiar, friendly	grupo	alternativoj	prononco
level	pastro	en præst, en præst, en præst	a priest, a clergyman, a pastor	grupo	alternativoj	prononco
level	foliumi	at bladre, bladre, bladre igennem	to turn pages, to browse, to leaf through	grupo	alternativoj	prononco
level	sufiĉi	at være tilstrækkelig	to be sufficient	grupo	alternativoj	prononco
level	okulumi	at få øjne til, at glo, at stirre på, at blinke	to make eyes at, to ogle, to stare at, to wink	grupo	alternativoj	prononco
level	ekzakta	eksakt	exact	grupo	alternativoj	prononco
level	konstati	at konstatere, at fastslå at være en kendsgerning	to ascertain, to establish to be a fact	grupo	alternativoj	prononco
level	tombo	en grav, en grav	a tomb, a grave	grupo	alternativoj	prononco
level	sperto	en oplevelse	an experience	grupo	alternativoj	prononco
level	ŝmiri	at smøre, smøre, salve	to grease, to smear, to anoint	grupo	alternativoj	prononco
level	pioniro	en pioner	a pioneer	grupo	alternativoj	prononco
level	emerito	en emeritus, en pensionist, en pensionist	an emeritus, a retiree, a pensioner	grupo	alternativoj	prononco
level	skribilo	et skriveredskab, alt til at skrive	a writing tool, anything for writing	grupo	alternativoj	prononco
level	favora	gunstige	favorable	grupo	alternativoj	prononco
level	kaĉo	en grød, en puré	a porridge, a puree	grupo	alternativoj	prononco
level	senhalte	uden pause	without pause	grupo	alternativoj	prononco
level	horizonto	en horisont	a horizon	grupo	alternativoj	prononco
level	vertikalo	en lodret linje	a vertical line	grupo	alternativoj	prononco
level	protekti	at beskytte	to protect	grupo	alternativoj	prononco
level	fikcio	en fiktion	a fiction	grupo	alternativoj	prononco
level	ventumi	at vifte, at lufte	to fan, to aerate	grupo	alternativoj	prononco
level	obstaklo	en forhindring	an obstacle	grupo	alternativoj	prononco
level	satiĝi	at blive tilfreds	to become satisfied	grupo	alternativoj	prononco
level	kredito	en kredit	a credit	grupo	alternativoj	prononco
level	rompiĝi	at blive knust	to become broken	grupo	alternativoj	prononco
level	dorloti	at forkæle, at kæle for, at kæle, at dote	to pamper, to coddle, to pet, to dote	grupo	alternativoj	prononco
level	epoko	en epoke, en alder, en periode, tid	an epoch, an age, a period, time	grupo	alternativoj	prononco
level	ventumilo	en fan	a fan	grupo	alternativoj	prononco
level	nutri	at nære, at fodre	to nourish, to feed	grupo	alternativoj	prononco
level	maizo	en majs, en majs, en mel	a maize, a corn, a mealies	grupo	alternativoj	prononco
level	influi	at påvirke, at påvirke	to influence, to affect	grupo	alternativoj	prononco
level	reviziti	at besøge igen	to visit again	grupo	alternativoj	prononco
level	graveda	gravid	pregnant	grupo	alternativoj	prononco
level	potenco	en magt	a power	grupo	alternativoj	prononco
level	surprizi	at overraske	to surprise	grupo	alternativoj	prononco
level	minimumo	et minimum	a minimum	grupo	alternativoj	prononco
level	fabo	en bønne, en favabønne, en bondebønne	a bean, a fava bean, a broad bean	grupo	alternativoj	prononco
level	renkontiĝi	at møde	to meet	grupo	alternativoj	prononco
