C.cs content.tsv
Level	Esperanto	cs	en-us	Grupo	Alternativoj	Pronoco
level	sumo	součet (čísel)	a sum (of numbers)	grupo	alternativoj	prononco
level	foresti	být nepřítomen, být pryč, chybět	to be absent, to be away, to be missing	grupo	alternativoj	prononco
level	gvidanto	vůdce, průvodce	a leader, a guide	grupo	alternativoj	prononco
level	Esperanto	Esperanto, někdo, kdo doufá	Esperanto, someone who hopes	grupo	alternativoj	prononco
level	manĝante	během jezení	while eating	grupo	alternativoj	prononco
level	plano	plán	a plan	grupo	alternativoj	prononco
level	prepari	připravit	to prepare	grupo	alternativoj	prononco
level	spirito	duch, duch	spirit, a spirit	grupo	alternativoj	prononco
level	hotelo	hotel	a hotel	grupo	alternativoj	prononco
level	ripeti	opakovat	to repeat	grupo	alternativoj	prononco
level	parolante	při mluvení	while speaking	grupo	alternativoj	prononco
level	pendi	pověsit, spadnout	to hang, to droop	grupo	alternativoj	prononco
level	serioza	vážné	serious	grupo	alternativoj	prononco
level	klini	ohýbat se, naklánět se, naklánět se	to bend, to tilt, to incline	grupo	alternativoj	prononco
level	moki	vysmívat se, vysmívat se, vysmívat se	to make fun of, to mock, to scoff at	grupo	alternativoj	prononco
level	membro	člen	a member	grupo	alternativoj	prononco
level	greno	obilí (kukuřice, rýže, pšenice), obilí	grain (corn, rice, wheat), a grain	grupo	alternativoj	prononco
level	kriante	křik, pláč	shouting, crying	grupo	alternativoj	prononco
level	truo	díra, nora	a hole, a burrow	grupo	alternativoj	prononco
level	supozi	domnívat se, domnívat se, domnívat se	to suppose, to guess, to presume	grupo	alternativoj	prononco
level	malpli	méně, méně	less, fewer	grupo	alternativoj	prononco
level	sekvanta	následující, další	following, next	grupo	alternativoj	prononco
level	spiri	dýchat	to breathe	grupo	alternativoj	prononco
level	trinkinte	po pití	after having drink	grupo	alternativoj	prononco
level	lango	jazyk	a tongue	grupo	alternativoj	prononco
level	biero	pivo, pivo, pivo	beer, ale, a beer	grupo	alternativoj	prononco
level	bileto	lístek, účet	a ticket, a bill	grupo	alternativoj	prononco
level	precipe	hlavně, hlavně, hlavně, především	chiefly, mainly, principally, above all	grupo	alternativoj	prononco
level	elektro	elektřina	electricity	grupo	alternativoj	prononco
level	korbo	koš	a basket	grupo	alternativoj	prononco
level	ŝlosi	zamknout	to lock	grupo	alternativoj	prononco
level	sendinto	odesílatel (někdo, kdo odeslal)	a sender (someone who has sent)	grupo	alternativoj	prononco
level	triangulo	trojúhelník, trojúhelník	triangle, a triangle	grupo	alternativoj	prononco
level	odori	cítit, vydávat zápach, páchnout	to smell, to give off an odour, to reek	grupo	alternativoj	prononco
level	kurso	kurz, třída	a course, a class	grupo	alternativoj	prononco
level	supre	nahoře, nahoře, nad hlavou	above, on top, overhead	grupo	alternativoj	prononco
level	lernanto	student, student	a student, a learner	grupo	alternativoj	prononco
level	verko	dílo (psaní)	a work (of writing)	grupo	alternativoj	prononco
level	lernantino	studentka (studentka)	a female learner (student)	grupo	alternativoj	prononco
level	venonta	nadcházející, další	upcoming, next	grupo	alternativoj	prononco
level	jupo	sukně	a skirt	grupo	alternativoj	prononco
level	kuzo	bratranec (muž)	a cousin (male)	grupo	alternativoj	prononco
level	aŭtobuso	autobus (=buso)	a bus (=buso)	grupo	alternativoj	prononco
level	kvadrato	čtverec	a square	grupo	alternativoj	prononco
level	produkto	produkt	a product	grupo	alternativoj	prononco
level	produkti	vyrábět, nést	to produce, to bear	grupo	alternativoj	prononco
level	banko	banka	a bank	grupo	alternativoj	prononco
level	donaco	dárek, dárek	a gift, a present	grupo	alternativoj	prononco
level	gardi	hlídat, hlídat, hlídat	to guard, to keep, to look after	grupo	alternativoj	prononco
level	fiksa	pevný	fixed	grupo	alternativoj	prononco
level	volonte	dobrovolně (ze srdce)	willingly (from heart)	grupo	alternativoj	prononco
level	laŭta	hlasitý	loud	grupo	alternativoj	prononco
level	fadeno	vlákno	a thread	grupo	alternativoj	prononco
level	gusto	chuť	a taste	grupo	alternativoj	prononco
level	leginte	po přečtení	after reading	grupo	alternativoj	prononco
level	enironte	když se chystáte vstoupit	while about to enter	grupo	alternativoj	prononco
level	dato	datum, datum	date, a date	grupo	alternativoj	prononco
level	fundo	dno, základ	bottom, foundation	grupo	alternativoj	prononco
level	radiko	kořen	a root	grupo	alternativoj	prononco
level	bonvole -u	prosím (~u)	please (~u)	grupo	alternativoj	prononco
level	signifo	význam, význam	a meaning, a significance	grupo	alternativoj	prononco
level	fiksi	opravit, upevnit	to fix, to fasten	grupo	alternativoj	prononco
level	vana	marné, zbytečné	vain, useless	grupo	alternativoj	prononco
level	vaporo	pára, pára	steam, vapor	grupo	alternativoj	prononco
level	rakonto	vyprávění, příběh	a narrative, a story	grupo	alternativoj	prononco
level	bonvolu -i	prosím (~i)	please (~i)	grupo	alternativoj	prononco
level	figuro	postava, obrázek, obrázek	a figure, a picture, an image	grupo	alternativoj	prononco
level	arĝento	stříbrný	silver	grupo	alternativoj	prononco
level	ĝirafo	žirafa	a giraffe	grupo	alternativoj	prononco
level	ĉarma	okouzlující	charming	grupo	alternativoj	prononco
level	rulo	role, běh	a roll, a run	grupo	alternativoj	prononco
level	gitaro	kytara	a guitar	grupo	alternativoj	prononco
level	miliardo	miliarda	a billion	grupo	alternativoj	prononco
level	eterna	věčný, věčný	eternal, everlasting	grupo	alternativoj	prononco
level	ĵurnalo (tag-)	noviny	a newspaper	grupo	alternativoj	prononco
level	memoro	vzpomínka	a memory	grupo	alternativoj	prononco
level	ruli	rolovat, spustit program	to roll, to run a program	grupo	alternativoj	prononco
level	larmo	slza, slza	tear, a tear	grupo	alternativoj	prononco
level	inko	inkoust	an ink	grupo	alternativoj	prononco
level	majstro	Mistr, maestro, mistr (svého umění)	Master, a maestro, a master (of one's art)	grupo	alternativoj	prononco
level	leono	Lev	a lion	grupo	alternativoj	prononco
level	tiom da ~	tolik ~, tolik ~, tolik ~	so much of ~, that much of ~, that many of ~	grupo	alternativoj	prononco
level	ventro	břicho, břicho, bříško	belly, abdomen, tummy	grupo	alternativoj	prononco
level	placo	náměstí, náměstí	a squre, a plaza	grupo	alternativoj	prononco
level	fidi	věřit, věřit	to trust, to have faith in	grupo	alternativoj	prononco
level	iom da ~	malé množství ~, některé	small amount of ~, some	grupo	alternativoj	prononco
level	babili	klábosit, žvatlat, klábosit	to chat, to babble, to chatter	grupo	alternativoj	prononco
level	kavo	jeskyně, dutina	a cave, a cavity	grupo	alternativoj	prononco
level	ioma	některé množství, některé	of some amout, some	grupo	alternativoj	prononco
level	ŝultro	rameno	a shoulder	grupo	alternativoj	prononco
level	adiaŭ	sbohem, sbohem, sbohem	goodbye, adieu, farewell	grupo	alternativoj	prononco
level	rezigni	rezignovat, vzdát se, vzdát se, opustit	to resign, to give up, to surrender, to abandon	grupo	alternativoj	prononco
level	sekreto	tajemství	a secret	grupo	alternativoj	prononco
level	droni	utopit se	to drown	grupo	alternativoj	prononco
level	celi	mířit, mířit, mířit	to aim, to target, to intend	grupo	alternativoj	prononco
level	restoracio	restaurace	a restaurant	grupo	alternativoj	prononco
level	turo	věž	a tower	grupo	alternativoj	prononco
level	sablo	písek, písek	sand, a sand	grupo	alternativoj	prononco
level	tondro	hrom	a thunder	grupo	alternativoj	prononco
level	ies	něčí	someone's	grupo	alternativoj	prononco
level	tapiŝo	koberec, kobereček	a carpet, a rug	grupo	alternativoj	prononco
level	bezonata	potřebný, požadovaný, chtěný	needed, required, wanted	grupo	alternativoj	prononco
level	ilustrita	ilustrovaný	illustrated	grupo	alternativoj	prononco
level	razi	oholit se	to shave	grupo	alternativoj	prononco
level	standardo	prapor, vlajka	a banner, a flag	grupo	alternativoj	prononco
level	mentono	brada, brada	chin, a chin	grupo	alternativoj	prononco
level	valizo	kufr, kufřík	a suitcase, a valise	grupo	alternativoj	prononco
level	okupata	(být) obsazený, zaneprázdněn	(being) occupied, busy	grupo	alternativoj	prononco
level	suko	šťáva, míza	juice, a sap	grupo	alternativoj	prononco
level	komunumo	komunita	a community	grupo	alternativoj	prononco
level	fontano	fontána	a fountain	grupo	alternativoj	prononco
level	konato	známý člověk, známý	a person known, an aquaintance	grupo	alternativoj	prononco
level	okupita	(having been) obsazený, zaneprázdněný, zasnoubený	(having been) occupied, busy, engaged	grupo	alternativoj	prononco
level	esti okupita	být zaměstnán, být zapojen, zapojit se do	to be occupied, to be involved, to engage upon	grupo	alternativoj	prononco
level	pino	borovice	a pine tree	grupo	alternativoj	prononco
level	konstruota	(bude) postaven	(will be) constructed	grupo	alternativoj	prononco
level	kaptita	(byl) chycen, zajat	(having been) caught, captive	grupo	alternativoj	prononco
level	kaptota	(bude) zajat	(will be) captured	grupo	alternativoj	prononco
level	rezulti	za následek	to result	grupo	alternativoj	prononco
level	kaptito	vězeň (byl chycen)	a prisoner (had been caught)	grupo	alternativoj	prononco
level	komputi	vypočítat	to compute	grupo	alternativoj	prononco
level	batite	po (byli) biti	after (having been) beaten	grupo	alternativoj	prononco
level	kovrita	krytý	covered	grupo	alternativoj	prononco
level	teatro	divadlo	a theatre	grupo	alternativoj	prononco
level	sezono	sezóna, sezóna	season, a season	grupo	alternativoj	prononco
level	kelnero	číšník	a waiter	grupo	alternativoj	prononco
level	tabelo	tabulka, tabulka, rejstřík	a table, a tabulation, an index	grupo	alternativoj	prononco
level	publiko	veřejnost, veřejní lidé	public, public people	grupo	alternativoj	prononco
level	apogi	podporovat, podporovat	to support, to uphold	grupo	alternativoj	prononco
level	distri	rozptýlit, odvést, pobavit	to distract, to divert, to entertain	grupo	alternativoj	prononco
level	patrino	matka	a mother	grupo	alternativoj	prononco
level	distanco	vzdálenost	a distance	grupo	alternativoj	prononco
level	aparte	odděleně, odděleně	apart, separately	grupo	alternativoj	prononco
level	originala	originál	original	grupo	alternativoj	prononco
level	bicikli	jezdit na kole, jezdit na kole	to bicycle, to ride a bike	grupo	alternativoj	prononco
level	regulo	pravidlo, nařízení	a rule, a regulation	grupo	alternativoj	prononco
level	troa	přehnané, nepřiměřené	excessive, undue	grupo	alternativoj	prononco
level	tre agrable!	velmi hezké!	very nice!	grupo	alternativoj	prononco
level	balanci	houpat se, houpat se	to swing, to rock	grupo	alternativoj	prononco
level	ŝtrumpo	punčochou	a stocking	grupo	alternativoj	prononco
level	kontroli	kontrolovat, auditovat, kontrolovat	to check, to audit, to check up on	grupo	alternativoj	prononco
level	pasto	pasta, těsto	a paste, a dough	grupo	alternativoj	prononco
level	rektangulo	obdélník, obdélník	rectangle, a rectangle	grupo	alternativoj	prononco
level	falsa	falešný, padělaný, falešný, padělaný, falešný	false, counterfeit, fake, forged, spurious	grupo	alternativoj	prononco
level	ŝerci	žertovat, žertovat	to joke, to jest	grupo	alternativoj	prononco
level	problemo	problém, problém	a problem, a trouble	grupo	alternativoj	prononco
level	kulturi	ke kultuře (půda, půda)	to culture (soil, land)	grupo	alternativoj	prononco
level	lernejo	škola, místo učení	a school, a learning place	grupo	alternativoj	prononco
level	manĝejo	jídelna, restaurace, jídelna, jídelna	an eating place, a restaurant, a dining room, a canteen	grupo	alternativoj	prononco
level	flago	vlajka, prapor	a flag, a banner	grupo	alternativoj	prononco
level	universala	univerzální, všeobecný, celosvětový	universal, general, worldwide	grupo	alternativoj	prononco
level	vendejo	obchod, obchod	a store, a shop	grupo	alternativoj	prononco
level	parko	park	a park	grupo	alternativoj	prononco
level	kesto	truhla, krabice, pouzdro	a chest, a box, a case	grupo	alternativoj	prononco
level	preĝejo	kostel, kostel	a church, a kirk	grupo	alternativoj	prononco
level	ataki	zaútočit	to attack	grupo	alternativoj	prononco
level	fako	obor, obor, specialita, oddíl	a branch, a discipline, a specialty, a compartment	grupo	alternativoj	prononco
level	librovendejo	knihkupectví, knihkupectví	a bookshop, a bookstore	grupo	alternativoj	prononco
level	fama	slavný	famous	grupo	alternativoj	prononco
level	kafejo	kavárna, kavárna	a cafe, a coffee shop	grupo	alternativoj	prononco
level	kuseno	polštář, polštář	a cushion, a throw pillow	grupo	alternativoj	prononco
level	desegni	navrhnout, vytyčit, nakreslit	to design, to delineate, to draw	grupo	alternativoj	prononco
level	konveni	být vhodný, být vhodný	to be appropriate, to be suitable	grupo	alternativoj	prononco
level	akceptejo	recepce	a reception desk	grupo	alternativoj	prononco
level	necesejo	toaleta, toaleta	a toilet, a restroom	grupo	alternativoj	prononco
level	sporto	sport, sport	sport, a sport	grupo	alternativoj	prononco
level	fridujo	lednice, lednice	a fridge, a refrigerator	grupo	alternativoj	prononco
level	rubujo	odpadkový koš, odpadkový koš, odpadkový koš	a trash bin, a bin, a trash can	grupo	alternativoj	prononco
level	defendi	bránit	to defend	grupo	alternativoj	prononco
level	eduki	vzdělávat	to educate	grupo	alternativoj	prononco
level	hejti	zahřát, zahřát	to heat up, to warm up	grupo	alternativoj	prononco
level	listo	seznam	a list	grupo	alternativoj	prononco
level	kondiĉo	podmínkou	a condition	grupo	alternativoj	prononco
level	poste	později, potom, další	later, afterwards, next	grupo	alternativoj	prononco
level	brakumi	obejmout, obejmout	to embrace, to hug	grupo	alternativoj	prononco
level	ĝoja	radostný, šťastný, šťastný	joyfull, glad, happy	grupo	alternativoj	prononco
level	malvarmumo	nachlazení (chycený)	a cold (caught)	grupo	alternativoj	prononco
level	salono	obývací pokoj, salonek, salon	a sitting room, a lounge, a salon	grupo	alternativoj	prononco
level	konsisti	skládat se	to consist	grupo	alternativoj	prononco
level	hejme	doma	at home	grupo	alternativoj	prononco
level	spezo	obrat	a turnover	grupo	alternativoj	prononco
level	kalendaro	kalendář	a calendar	grupo	alternativoj	prononco
level	imagi	představit si	to imagine	grupo	alternativoj	prononco
level	fidela	věrný, důvěryhodný	faithful, trustworthy	grupo	alternativoj	prononco
level	partopreni	zúčastnit se, zúčastnit se	to participate, to take part	grupo	alternativoj	prononco
level	kastelo	hrad, citadela	a castle, a citadel	grupo	alternativoj	prononco
level	-op-	(přípona) skupina v číslech	(suffix)  a group in numbers	grupo	alternativoj	prononco
level	ĉeesti	zúčastnit se, být přítomen	to attend, to be present at	grupo	alternativoj	prononco
level	televido	TV, televize	TV, television	grupo	alternativoj	prononco
level	studento	student (univerzita)	a student (university)	grupo	alternativoj	prononco
level	impreso	dojem	an impression	grupo	alternativoj	prononco
level	pupo	panenka, loutka	a doll, a puppet	grupo	alternativoj	prononco
level	konstanta	stálý, stálý, stálý	constant, continual, permanent	grupo	alternativoj	prononco
level	ebena	plochý, rovný, rovinný, rovný	flat, even, plane, level	grupo	alternativoj	prononco
level	jaraĝa	~ let starý	~ years old	grupo	alternativoj	prononco
level	blovi	foukat	to blow	grupo	alternativoj	prononco
level	konfesi	přiznat se, přiznat se	to confess, to admit	grupo	alternativoj	prononco
level	ekstere	venku, v zahraničí	outside, abroad	grupo	alternativoj	prononco
level	remi	veslovat	to row	grupo	alternativoj	prononco
level	kaserolo	kastrol, pánev, kastrol	a casserole, a pan, a saucepan	grupo	alternativoj	prononco
level	gepatroj	(oba rodiče	(both) parents	grupo	alternativoj	prononco
level	geedziĝi	oženit se, oženit se	to get married, to marry	grupo	alternativoj	prononco
level	vundo	rána, zranění	a wound, an injury	grupo	alternativoj	prononco
level	scienco	věda, věda	science, a science	grupo	alternativoj	prononco
level	monero	mince	a coin	grupo	alternativoj	prononco
level	kompari	srovnávat	to compare	grupo	alternativoj	prononco
level	arko	oblouk (křivka)	an arc (of a curve)	grupo	alternativoj	prononco
level	sperta	zkušený, odborník	experienced, expert	grupo	alternativoj	prononco
level	sankta	svatý, posvátný	holy, sacred	grupo	alternativoj	prononco
level	lavujo	umyvadlo	a washbasin	grupo	alternativoj	prononco
level	trajno	vlak	a train	grupo	alternativoj	prononco
level	domaĝo	škoda, něco politováníhodného	a pity, something regrettable	grupo	alternativoj	prononco
level	akra	ostré, abrazivní	sharp, abrasive	grupo	alternativoj	prononco
level	meriti	zasloužit si, zasloužit se, být toho hoden	to deserve, to merit, to be worthy of	grupo	alternativoj	prononco
level	ekparoli	začít mluvit	to start speaking	grupo	alternativoj	prononco
level	ekscii	poznávat, uvědomovat si, učit se	to get to know, to realise, to learn	grupo	alternativoj	prononco
level	semo	semínko	a seed	grupo	alternativoj	prononco
level	reveni	vrátit se, vrátit se	to come back, to return	grupo	alternativoj	prononco
level	lupo	Vlk	a wolf	grupo	alternativoj	prononco
level	elefanto	slon	an elephant	grupo	alternativoj	prononco
level	karoto	mrkev	a carrot	grupo	alternativoj	prononco
level	haŭto	kůže, kůže	skin, a skin	grupo	alternativoj	prononco
level	palaco	palác	a palace	grupo	alternativoj	prononco
level	eksidi	abych se posadil	to get sit down	grupo	alternativoj	prononco
level	mamo	prso (ženy), prso	a breast (of a woman), boob	grupo	alternativoj	prononco
level	urso	medvěd	a bear	grupo	alternativoj	prononco
level	vulpo	Liška	a fox	grupo	alternativoj	prononco
level	kuracisto	lékař (lékař), lékař	a (medical) doctor, a physician	grupo	alternativoj	prononco
level	kurteno	závěs, paraván, závoj	a curtain, a screen, a veil	grupo	alternativoj	prononco
level	venki	dobýt, dobýt, zvítězit, překonat	to conquer, to conquest, to win, to overcome	grupo	alternativoj	prononco
level	soldato	voják	a soldier	grupo	alternativoj	prononco
level	trunko	kmen, hřídel, trup	a trunk, a shaft, a torso	grupo	alternativoj	prononco
level	ŝtelisto	zloděj	a thief	grupo	alternativoj	prononco
level	miksi	míchat, míchat, míchat	to mix, to blend, to shuffle	grupo	alternativoj	prononco
level	preciza	přesné, přesné	precise, accurate	grupo	alternativoj	prononco
level	instruisto	učitel, instruktor	a teacher, an instructor	grupo	alternativoj	prononco
level	tedi	nudit	to bore	grupo	alternativoj	prononco
level	gaso	plyn	gas	grupo	alternativoj	prononco
level	fervora	vážný, dychtivý, vášnivý, vášnivý	earnest, eager, fervent, impassioned	grupo	alternativoj	prononco
level	diablo	ďábel	a devil	grupo	alternativoj	prononco
level	densa	hustý, hustý, koncentrovaný	dense, thick, concentrated	grupo	alternativoj	prononco
level	stranga	zvláštní, zvláštní, zvláštní	strange, odd, peculiar	grupo	alternativoj	prononco
level	savi	zachránit, zachránit	to save, to rescue	grupo	alternativoj	prononco
level	vico	otočka, otočka (v pořadí)	turn, a turn (in a sequence)	grupo	alternativoj	prononco
level	kilometro	kilometr	a kilometer	grupo	alternativoj	prononco
level	puni	potrestat	to punish	grupo	alternativoj	prononco
level	prunto	půjčka	a loan	grupo	alternativoj	prononco
level	planto	rostlina, rostlina	plant, a plant	grupo	alternativoj	prononco
level	praktiko	praxe, praxe	practice, a practice	grupo	alternativoj	prononco
level	kune	spolu	together	grupo	alternativoj	prononco
level	temperaturo	teplota	temperature	grupo	alternativoj	prononco
level	nepo	vnuk	a grandson	grupo	alternativoj	prononco
level	kunveni	svolat se, shromáždit se, sejít se	to convene, to gather, to meet	grupo	alternativoj	prononco
level	tono	tón	a tone	grupo	alternativoj	prononco
level	plata	byt	flat	grupo	alternativoj	prononco
level	ekskursi	exkurzovat, jít na piknik, procházet se	to excurse, to go on a picnic, to jaunt	grupo	alternativoj	prononco
level	ripari	opravit, opravit	to repair, to fix	grupo	alternativoj	prononco
level	dramo	drama	a drama	grupo	alternativoj	prononco
level	sovaĝa	divoký, divoký	savage, wild	grupo	alternativoj	prononco
level	progresi	k pokroku	to progress	grupo	alternativoj	prononco
level	sonĝo	sen	a dream	grupo	alternativoj	prononco
level	legomo	zelenina	a vegetable	grupo	alternativoj	prononco
level	proksimuma	přibližný	approximate	grupo	alternativoj	prononco
level	mapo	mapa	a map	grupo	alternativoj	prononco
level	foje (iu foje)	někdy (někdy)	sometimes (some times)	grupo	alternativoj	prononco
level	aŭtoritato	autorita	an authority	grupo	alternativoj	prononco
level	distribui	šířit	to distribute	grupo	alternativoj	prononco
level	distingi	rozlišit	to distinguish	grupo	alternativoj	prononco
level	speciala	speciální	special	grupo	alternativoj	prononco
level	boli	vařit	to boil	grupo	alternativoj	prononco
level	osto	kost	a bone	grupo	alternativoj	prononco
level	rekomendi	doporučit	to recommend	grupo	alternativoj	prononco
level	postmorgaŭ	pozítří	the day after tomorrow	grupo	alternativoj	prononco
level	komplezi	zavázat se, být laskavý, udělat laskavost	to oblige, to be kind as to, to do a favor	grupo	alternativoj	prononco
level	ĝentila	jemný, zdvořilý, zdvořilý, dobře vychovaný	gentle, polite, courteous, well-mannered	grupo	alternativoj	prononco
level	komforta	komfortní	comfortable	grupo	alternativoj	prononco
level	strio	pruh, paprsek	a stripe, a ray	grupo	alternativoj	prononco
level	tolo	plátno, plátno, plátno	a canvas, a cloth, a linen	grupo	alternativoj	prononco
level	ŝnuro	lano, struna, struna	a rope, a chord, a string	grupo	alternativoj	prononco
level	imperio	impérium	an empire	grupo	alternativoj	prononco
level	ĉemizo	košile	a shirt	grupo	alternativoj	prononco
level	anaso	kachna	a duck	grupo	alternativoj	prononco
level	organo	varhany, revue, úřední bulletin	an organ, a review, an official bulletin	grupo	alternativoj	prononco
level	longe	dlouho, dlouho	long, for a long time	grupo	alternativoj	prononco
level	biskvito	sušenku, sušenku, sušenku	a biscuit, a cookie, a cracker	grupo	alternativoj	prononco
level	panjo	máma, máma, máma	mom, a mom, mommy	grupo	alternativoj	prononco
level	paĉjo	táta, táta, táta	dad, a dad, daddy	grupo	alternativoj	prononco
level	mendi	objednat, zarezervovat	to order, to book	grupo	alternativoj	prononco
level	lingva	lingvistické	linguistic	grupo	alternativoj	prononco
level	biciklo	kolo, kolo	a bike, a bicycle	grupo	alternativoj	prononco
level	imiti	napodobovat	to imitate	grupo	alternativoj	prononco
level	abelo	včela	a bee	grupo	alternativoj	prononco
level	konfidi	svěřit se, svěřit	to confide, to entrust	grupo	alternativoj	prononco
level	ferio (feria tago)	prázdniny, prázdniny (=libertago)	holiday, a holiday (=libertago)	grupo	alternativoj	prononco
level	kisi	políbit	to kiss	grupo	alternativoj	prononco
level	nokte	v noci, v noci, v noci	at night, night-time, by night	grupo	alternativoj	prononco
level	transdoni	odevzdat, přenést, odevzdat	to give over, to transfer, to hand over	grupo	alternativoj	prononco
level	litero	znak, písmeno	a character, a letter	grupo	alternativoj	prononco
level	maŝino	stroj	a machine	grupo	alternativoj	prononco
level	haveno	přístav, přístav	a harbor, a port	grupo	alternativoj	prononco
level	graso	tuk, tuk	grease, fat	grupo	alternativoj	prononco
level	klopodi	snažit se, pokoušet se, mířit, podnikat	to endeavor, to attempt, to aim, to undertake	grupo	alternativoj	prononco
level	ŝanco	šance, příležitost	a chance, an opportunity	grupo	alternativoj	prononco
level	ŝiri	trhat, trhat	to tear, to rip	grupo	alternativoj	prononco
level	mantelo	kabát, manteau, plášť	a coat, a manteau, a cloak	grupo	alternativoj	prononco
level	programo	program	a program	grupo	alternativoj	prononco
level	volvi	zabalit, svinout, namotat, srolovat	to wrap, to roll, to wind, to roll up	grupo	alternativoj	prononco
level	prunte	na zapůjčení	on loan	grupo	alternativoj	prononco
level	naskiĝtago	narozeniny	a birthday	grupo	alternativoj	prononco
level	karbo	uhlí	coal	grupo	alternativoj	prononco
level	proponi	nabídnout, nabídnout	to propose, to offer	grupo	alternativoj	prononco
level	muzeo	muzeum	a museum	grupo	alternativoj	prononco
level	metalo	kov, kov	metal, a metal	grupo	alternativoj	prononco
level	streĉi	natáhnout, utáhnout	to strech, to tighten	grupo	alternativoj	prononco
level	gustumi	ochutnat, ochutnat	to taste, to sample	grupo	alternativoj	prononco
level	atenti	starat se, dávat pozor, dávat pozor	to take care, to pay attention, to watch out for	grupo	alternativoj	prononco
level	presi	vytisknout	to print	grupo	alternativoj	prononco
level	tabulo	prkno, prkno, tableta	a board, a plank, a tablette	grupo	alternativoj	prononco
level	tute	úplně, úplně, úplně	totally, completely, entirely	grupo	alternativoj	prononco
level	serio	série	a series	grupo	alternativoj	prononco
level	universitato	univerzita	a university	grupo	alternativoj	prononco
level	situacio	situace, okolnosti, stav	a situation, circumstances, a condition	grupo	alternativoj	prononco
level	paro	pár, pár	a pair, a couple	grupo	alternativoj	prononco
level	metio	řemeslo, ruční práce	craft, handicraft	grupo	alternativoj	prononco
level	meblo	kus nábytku	a piece of furniture	grupo	alternativoj	prononco
level	oleo	olej, olej	oil, an oil	grupo	alternativoj	prononco
level	scivola	zvědavý, zvídavý	curious, inquisitive	grupo	alternativoj	prononco
level	ĉu ne?	není to tak? nejsou?	isn't it? aren't they?	grupo	alternativoj	prononco
level	nepra	nezbytné, naprosto nezbytné	essential, absolutely necessary	grupo	alternativoj	prononco
level	kapabli	být schopen, být schopen	to be able to, to be capable of	grupo	alternativoj	prononco
level	ŝranko	skříň, skříň, šatna, příborník	a locker, a cupboard, a closet, a sideboard	grupo	alternativoj	prononco
level	po ~	za, ve výši, podle	per, at the rate of, by	grupo	alternativoj	prononco
level	direktoro	ředitel, manažer	a director, a manager	grupo	alternativoj	prononco
level	ve!	Běda!	Alas!	grupo	alternativoj	prononco
level	eviti	vyhýbat se, vyhýbat se	to avoid, to evade	grupo	alternativoj	prononco
level	posedi	vlastnit, vlastnit	to possess, to own	grupo	alternativoj	prononco
level	rubriko	nadpis, sekce, rubrika, sloupec	a heading, a section, a rubric, a column	grupo	alternativoj	prononco
level	krimo	zločin	a crime	grupo	alternativoj	prononco
level	akiri	získat, získat, získat, získat	to acquire, to attain, to obtain, to get	grupo	alternativoj	prononco
level	fuŝi	zaneřádit, zpackat, zpackat, podělat	to mess, to bungle, to botch, to screw up	grupo	alternativoj	prononco
level	virino	žena	a woman	grupo	alternativoj	prononco
level	viŝi	smazat, smazat, ti vymazat	to wipe, to delete, ti wipe off	grupo	alternativoj	prononco
level	flanke	na straně	at the side	grupo	alternativoj	prononco
level	oferti	nabízet, nabízet, nabízet, nabízet	to propose, to bid, to make an offer of, to offer	grupo	alternativoj	prononco
level	muŝo	moucha (hmyz)	a fly (insect)	grupo	alternativoj	prononco
level	subite	najednou, najednou	suddenly, all of a sudden	grupo	alternativoj	prononco
level	spegulo	zrcadlo, zrcadlo	a mirror, a looking glass	grupo	alternativoj	prononco
level	taŭga	vhodný	suitable	grupo	alternativoj	prononco
level	neniel	v žádném případě, v žádném případě, vůbec ne	in no way, by no means, not at all	grupo	alternativoj	prononco
level	persona	osobní	personal	grupo	alternativoj	prononco
level	rado	kolo	a wheel	grupo	alternativoj	prononco
level	najbaro	soused	a neighbor	grupo	alternativoj	prononco
level	tremi	třást se, chvět se, třást se	to tremble, to quiver, to shiver	grupo	alternativoj	prononco
level	familia ĉambro	rodinný pokoj, obývací pokoj	a family room, a living room	grupo	alternativoj	prononco
level	poto	hrnec, džbán	a pot, a jug	grupo	alternativoj	prononco
level	pasigi	utrácet, míjet	to spend, to pass	grupo	alternativoj	prononco
level	akompani	doprovázet	to accompany	grupo	alternativoj	prononco
level	noto	poznámka, (školní) známka, známka	a note, (school) grade, mark	grupo	alternativoj	prononco
level	brovo	obočí	an eyebrow	grupo	alternativoj	prononco
level	infanĉambro	dětský pokoj	a child room	grupo	alternativoj	prononco
level	vigla	animovaný, svižný	animated, brisk	grupo	alternativoj	prononco
level	simio	opice	a monkey	grupo	alternativoj	prononco
level	pilko	míč	a ball	grupo	alternativoj	prononco
level	konscii	být si vědom, být si vědom	to be concious, to be aware of	grupo	alternativoj	prononco
level	honoro	čest, čest	honor, an honour	grupo	alternativoj	prononco
level	inaŭguro	inaugurace, inaugurace	inauguration, an inauguration	grupo	alternativoj	prononco
level	bebo	dítě	a baby	grupo	alternativoj	prononco
level	rajti	být dovoleno, mít právo	to be allowed, to have the right to	grupo	alternativoj	prononco
level	apetito	chuť k jídlu	an appetite	grupo	alternativoj	prononco
level	klubo	klub, společnost	a club, a society	grupo	alternativoj	prononco
level	soifi	žíznit, mít žízeň	to thirst, to be thirsty	grupo	alternativoj	prononco
level	muso	myš	a mouse	grupo	alternativoj	prononco
