A.eo content.tsv
Level	Esperanto	eo	en-us	Grupo	Alternativoj	Pronoco
level	falis el la mano	falis el la mano	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	sur la tablo, sur la tablon	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	ĝi falis sur la tablon	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	petis pardonon	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	serĉis kvin librojn	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	pardonu, mi serĉis mian libron	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	sed vi bone scias	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	ne estas sur mia tablo	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	viaj libroj ne estas sur mia tablo	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	ree donis, redonis	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	redonu la leteron al mi.	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	ricevis bonan lecionon	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	plu lavis, ne plu manĝis	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	ne plu legos	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	ankaŭ mi ricevis	I also received	grupo	alternativoj	prononco
level	devas fermi	devas fermi	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	mi devas bone fermi	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	bone fermis la pordon	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	trankvila, trankviliĝu	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	aŭdis sed ne aŭskultis	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	aŭdis trankvilan sonon	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	ĉe mi estis kvar poŝoj	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	dek tagoj post la lasta leciono	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	inter la du tabloj	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	tri leteroj, ses paperoj	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	de kapo ĝis piedo	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	kvar, kvara, kvaropo, kvarono	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	kien iris la triopo?	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	kvin fingroj en ambaŭaj manoj	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	si mem, sia poŝo	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	meti, kunmeti, kunmetaĵo	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	metis en sian poŝon	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	du cent nacioj en la mondo	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	prenis, forprenis	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	prenis sep el siaj naŭ libroj	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	lasi, forlasita	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	lasu min sola kaj trankvila	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	mil ok cent ok dek sep	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	taso da teo	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	oni lavis ok tasojn	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	du mil dek naŭ	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	li lavis sin	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	sia korpo, sia propra posedo	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	sur la tablo, la kato dormis	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	la kato saltis sur la tablon	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	en la halo, en la halon	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	enfalis en lian manon	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	labori, ellabori	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	ellabori por tiu libro	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	scias, scivolas, scivolo	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	dulingva, dulingveco	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	scivolas pri trilingva lernanto	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	iris, reiris	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	la katoj reiris al siaj domoj	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	en la sako, en la sakon	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	enmetu ĝin en vian sakon	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	piedo, piediras, piediranto	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	dek-tage ili piediris	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	preni, elpreni	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	belaj floroj, prenis belajn florojn	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	li elprenis nur belajn florojn	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	malfermis, sed tuj fermis	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	malfermis internacian kunvenon	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	eldonis kaj disdonis	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	la eldonisto eldonis dudek tri librojn	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	revenis kaj revidis sian filon	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	en la jaro dumil dudek tri	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	sinjoro eniris la vendejon	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	la vendejo de aŭtoj	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	tie li vidas sinjorinon	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	karaj gesinjoroj	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	tio plaĉis al mi	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	la sinjorino plaĉis al li	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	vidis la belan sinjorinon	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	kiu plaĉis al li?	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	la virino, kiu plaĉis al mi	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	tiu, kiu eniris la domon	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	la viro, kiu donacis ĝin	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	li donacis ringon al lia edzino	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	la ringo plaĉis al ŝi	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	la edzino, al kiu la ringo plaĉis	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	vendisto laboras en la vendejo	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	vendisto de aŭtoj	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	la sinjoro demandis al la vendisto	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	kiu aŭto plaĉas al vi?	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	kiun aŭton vi elektos?	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	mi elektis tiun aŭton	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	ĝi estas pli bona	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	pli bona ol ĉi tio	better than this	grupo	alternativoj	prononco
level	plej bona el ili	plej bona el ili	best of them	grupo	alternativoj	prononco
level	estas la plej bona	estas la plej bona	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	kiu aŭto estas la plej bona?	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	tiu ĉi aŭto estas pli bona	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	tiu ĉi estas la plej bona	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	vidis ĉiujn aŭtojn	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	la plej bona el ĉiuj	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	ĉu ĝi estas rapida?	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	pli rapida ol aliaj	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	estas ankaŭ forta	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	ho jes, kompreneble!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	estas tre forta	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	certe ĝi estas forta	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	estas ankaŭ multekosta	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	la plej multekosta el ĉiuj	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	malmultekosta sed forta	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	bedaŭras kaj bedaŭrindas	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	bedaŭrinde mi ne aĉetos	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	estas bedaŭrinda afero	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	li aĉetis novan aŭton	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	ĉar mi ne havas monon	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	mia malnova aŭto	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	la plej malmultekosta el ĉiuj	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	mi veturos tien	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	ankoraŭ veturos per ĝi	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	dum la tuta tago	all day long	grupo	alternativoj	prononco
level	dum li diris tion	dum li diris tion	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	li denove rigardis ŝin	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	sed la vendisto diris	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	estus pli bone, ke ~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	rigardu tiun ĉi sinjorinon	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	ankaŭ tio estas tre multekosta	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	mi estas ŝia edzo	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	kiom via vojaĝo kostis?	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	aŭskultu la kanton de via edzino	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	ne forgesu, ke ĝi tre multe kostas	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	li helpis la vendiston dum du horoj	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	jam pli ol tri jaroj	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	kovri, kovrilo, malkovri	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	la kialon li ankoraŭ ne malkovris	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	kial vi komencis sendi leterojn?	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	dum ok monatoj li vivis tie	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	ne havis tempon por aŭskulti	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	la aŭto estis jam plena	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	kion vi manĝas?	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	kia estas la vetero?	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	kian aŭton vi havas?	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	kiaj estis ŝiaj leteroj?	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	kie ni estas?	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	kien vi iras?	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	al kiu vi donis ĝin?	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	la viro, kun kiu vi vojaĝis	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	pli granda ol la aŭto	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	la plej alta el tiuj homoj	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	li sidis dum la manĝo	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	ŝi skribas dum li legas	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	ĉi tie, en ĉi tiu ĉambro	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	tiu ĉi sinjoro	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	aŭskultinda novaĵo	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	la libro estas vere leginda	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	bedaŭra afero	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	bedaŭrinde, mi ne povas	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	nedankinde. estis mia plezuro	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	eta belulino ege belas	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	ĉiuj amikoj amas ŝin	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	antaŭ tri monatoj	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	okazis malbono al ŝi	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	ŝi falis pro aŭto	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	malsaniĝis kaj temperaturo altiĝis	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	patrino diris, ke ŝi devas ripozi	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	ŝi devas resti hejme	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	ŝi vokos doktoron	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	je la naŭa horo	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	matene venis je la oka	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	je la sepa morgaŭ vespere	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	montris liajn manojn	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	vesto, vestiĝas	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	vestiĝu kaj varmigu vian korpon	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	hejme tuj malvestis kaj duŝis	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	doktoro rigardis ĉion	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	bone rigardis kaj fine diris	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	unu semajnon restu hejme	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	deziras, ke vi estu trankvila	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	post unu semajno	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	vi fartos pli bone	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	trinku multe da teo	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	venos por revidi vin	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	ankaŭ li estu trankvila	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	sana homo, sanulo	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	zorgis pri si mem	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	tuta afero tuje utilis al mi	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	rimarkis, ke teruraĵo proksimas	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	petis tuj rimarki ĝin	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	pensis, ke tio ne necesas	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	loĝis proksime, kaj tio utilis	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	nia lando hodiaŭ teruriĝis	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	karaj infanoj el ĉiuj familioj	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	unu fojon hieraŭ, du fojojn morgaŭ	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	hodiaŭ familioj bezonas infanojn	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	esperis, ke li fartos bone morgaŭ	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	li fartis ege trankvila	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	tri etuloj altigis la monton	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	gravuloj ne petis helpon	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	piediris tien por helpi	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	restu hejme se temperaturo altas	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	temperaturo restis simila hodiaŭ	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	voku la doktoron je la naŭa	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	montru ĝin al via doktoro	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	por montri vian piedon	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	vestu ĉi tiun ĉemizon	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	semajnfine ĉio trankviliĝos	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	sub la te-taso kion vi trovis?	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	mi deziras matenan teon	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	esperis trankvilan vesperon	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	deziras, ke vi lernu	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	insistis, ke mi iru	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	je kioma horo?	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	je la sesa, li venos	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	la libreto estis ĉarma	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	estu trankvila	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	li estu trankvila	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	ankaŭ li	he too	grupo	alternativoj	prononco
level	mi deziras	mi deziras	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	mi deziras, ke ~	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	ke vi lernu	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	mi deziras, ke vi lernu	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	patro insistas	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	patro insistas, ke ~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	ke mi iru	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	patro insistas, ke mi iru	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	je kioma horo	at what hour	grupo	alternativoj	prononco
level	je kioma horo vi venos?	je kioma horo vi venos?	what time do you come?	grupo	alternativoj	prononco
level	je la kvina	je la kvina	at five (o'clock)	grupo	alternativoj	prononco
level	je la kvina horo	je la kvina horo	at five o'clock	grupo	alternativoj	prononco
level	kiel li fartas?	kiel li fartas?	how does he doing?	grupo	alternativoj	prononco
level	kiel vi fartis lastatempe?	kiel vi fartis lastatempe?	how have you been lately?	grupo	alternativoj	prononco
level	etaj libroj belas	etaj libroj belas	little books are beautiful	grupo	alternativoj	prononco
level	libreto, belaj libroj	libreto, belaj libroj	a booklet, beautiful books	grupo	alternativoj	prononco
level	bela, beleta, belega	bela, beleta, belega	beautiful, a little pretty, very beautiful	grupo	alternativoj	prononco
level	varma, varmeta, varmega	varma, varmeta, varmega	warm, lukewarm, very hot	grupo	alternativoj	prononco
level	librego, libreto	librego, libreto	a big book, a booklet	grupo	alternativoj	prononco
level	bona, bonega, bonege	bona, bonega, bonege	good, great, well	grupo	alternativoj	prononco
level	riĉa, riĉiĝi, riĉulo	riĉa, riĉiĝi, riĉulo	rich, become rich, a rich person	grupo	alternativoj	prononco
level	trankvila, trankviliĝi, trankviliĝu	trankvila, trankviliĝi, trankviliĝu	calm, to calm down, calm down	grupo	alternativoj	prononco
level	sana, resaniĝi, resaniĝis	sana, resaniĝi, resaniĝis	healthy, to become healed, became healed	grupo	alternativoj	prononco
level	edzo, edziĝo, geedziĝis	edzo, edziĝo, geedziĝis	a husband, marriage, married	grupo	alternativoj	prononco
level	leterportisto	leterportisto	a letter postman	grupo	alternativoj	prononco
level	hejmlando	hejmlando	a homeland	grupo	alternativoj	prononco
level	iom, iomete	iom, iomete	somewhat, a little	grupo	alternativoj	prononco
level	ni bonege vespermanĝis	ni bonege vespermanĝis	we had a great dinner	grupo	alternativoj	prononco
level	espereble, prizorgu vin	espereble, prizorgu vin	hopefully, take care of yourself	grupo	alternativoj	prononco
level	mi zorgis pri la altkvalita loĝejo	mi zorgis pri la altkvalita loĝejo	I cared about the high-quality housing	grupo	alternativoj	prononco
level	pripensu dufoje, multfoje	pripensu dufoje, multfoje	think twice, many times	grupo	alternativoj	prononco
level	kiu deprenis la libreton?	kiu deprenis la libreton?	who took down the booklet?	grupo	alternativoj	prononco
level	kato, kiu nomiĝas Cezaro	kato, kiu nomiĝas Cezaro	a cat named Caesar	grupo	alternativoj	prononco
level	kuko, kiu estas sur la tablo	kuko, kiu estas sur la tablo	a cake which is on the table	grupo	alternativoj	prononco
level	manĝu kukon, kiu estas sur la tablo	manĝu kukon, kiu estas sur la tablo	eat a cake that is on the table	grupo	alternativoj	prononco
level	fariĝis varmega kaj ruĝiĝis	fariĝis varmega kaj ruĝiĝis	became hot and blushed	grupo	alternativoj	prononco
level	patro volas, ke lia infano manĝu	patro volas, ke lia infano manĝu	a father wants his child to eat	grupo	alternativoj	prononco
level	en malgranda ĉambro	en malgranda ĉambro	in a small room	grupo	alternativoj	prononco
level	ni loĝas en ~	ni loĝas en ~	we live in ~	grupo	alternativoj	prononco
level	mi fariĝis maltrankvila	mi fariĝis maltrankvila	I became anxious	grupo	alternativoj	prononco
level	tiam, kiam mi vidis vin	tiam, kiam mi vidis vin	at that time when I saw you	grupo	alternativoj	prononco
level	ĉiuj rimarkis tion	ĉiuj rimarkis tion	everyone noticed that	grupo	alternativoj	prononco
level	tion, ke ŝi estas belega	tion, ke ŝi estas belega	the fact that she is beautiful	grupo	alternativoj	prononco
level	ĉu vi deziras, ke ~ ?	ĉu vi deziras, ke ~ ?	do you want that ~ ? (deziri)	grupo	alternativoj	prononco
level	ke mi montru al vi	ke mi montru al vi	that I may show you	grupo	alternativoj	prononco
level	ĉu vi deziras, ke mi montru?	ĉu vi deziras, ke mi montru?	do you want me to show?	grupo	alternativoj	prononco
level	mian plej novan libron	mian plej novan libron	my newest book (objective)	grupo	alternativoj	prononco
level	morgaŭ matene, kion vi volas?	morgaŭ matene, kion vi volas?	tomorrow morning, what do you want?	grupo	alternativoj	prononco
level	matenmanĝis malfrue	matenmanĝis malfrue	had breakfast late	grupo	alternativoj	prononco
level	kiam Marko alvenos?	kiam Marko alvenos?	when will Mark arrive?	grupo	alternativoj	prononco
level	je la kvina aŭ je la oka horo	je la kvina aŭ je la oka horo	at five or eight o'clock	grupo	alternativoj	prononco
level	kiam vi rimarkis, ke ~ ?	kiam vi rimarkis, ke ~ ?	when did you notice that ~ ?	grupo	alternativoj	prononco
level	la tuta familio nomas min bonfarulo	la tuta familio nomas min bonfarulo	the whole family calls me a benefactor	grupo	alternativoj	prononco
level	utila por vi	utila por vi	useful for you	grupo	alternativoj	prononco
level	ĉu la libreto estis utila?	ĉu la libreto estis utila?	was the booklet useful?	grupo	alternativoj	prononco
level	tiu libreto, kiun mi sendis	tiu libreto, kiun mi sendis	the booklet, which I sent	grupo	alternativoj	prononco
level	matene dormis tre longe	matene dormis tre longe	in the morning slept for a long time	grupo	alternativoj	prononco
level	kiam li vidis la sunon	kiam li vidis la sunon	when he saw the sun	grupo	alternativoj	prononco
level	subite li eksaltis	subite li eksaltis	suddenly he jumped up	grupo	alternativoj	prononco
level	li estis ĉiam frua	li estis ĉiam frua	he was always early	grupo	alternativoj	prononco
level	ĉiam li malfruas	ĉiam li malfruas	he is always late	grupo	alternativoj	prononco
level	tiam, kiam li devas iri	tiam, kiam li devas iri	at that time, when he has to go	grupo	alternativoj	prononco
level	iri al la lernejo	iri al la lernejo	to go to the school	grupo	alternativoj	prononco
level	li scias, ke ~	li scias, ke ~	he knows, that ~	grupo	alternativoj	prononco
level	li scias tion, ke ~	li scias tion, ke ~	he knows the fact, that ~	grupo	alternativoj	prononco
