A.th content.tsv
Level	Esperanto	th	en-us	Grupo	Alternativoj	Pronoco
level	fine kaj finfine	ในท้ายที่สุดและในที่สุดในที่สุด	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	เสียงที่แข็งแกร่งของคุณ	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	ด้วยน้ำเสียงที่อ่อนแอ	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	ไม่มีเงิน	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	เกิดอะไรขึ้นที่นั่น?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	อุบัติเหตุเกิดขึ้นในภายหลัง	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	คุณรู้ไหมว่ามันเกิดขึ้นเมื่อไหร่?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	รู้เกี่ยวกับเรื่องนี้	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	ยังมีสิ่งหนึ่งที่ยังคงอยู่	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	คุณหรือเธอบุคคลใด ๆ	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	เหมือนนักร้องในฐานะผู้ลงนาม	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	ร้องเพลงเหมือนนักร้องมืออาชีพ	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	สถานที่ที่เธออาศัยอยู่	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	คุณรู้เรื่องรถได้ยังไง?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	ดูรถเร็วสิ	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	น้ำผลไม้ไม่มีน้ำตาล	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	เขามียานพาหนะที่รวดเร็ว	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	แรงเกินไป	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	เขาเปิดแรงเกินไป	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	ขับรถ (เดินทาง) เร็วเกินไป	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	กินด้วยช้อน	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	เราสงสัยอย่างยิ่ง	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	จดหมายที่แท้จริงจากเขา	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	จดหมายรักพร้อมรูปถ่ายห้าใบ	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	กลับมาคนที่กลับมา	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	จดหมายหกฉบับกลับมาด้วย	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	อยากเห็นรูปถ่าย	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	กลับมาจากโรงเรียน	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	พี่สาวจะกลับมาเมื่อไหร่?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	อยากอ่านอีกครั้ง	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	ทำ (ทำ) กลายเป็น	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	กลายเป็นสีแดงอย่างรวดเร็ว	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	ในห้อง, ในห้อง	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	ยืนและนั่ง	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	ยืนอยู่ตรงหน้ารูปถ่าย	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	ฉันมีสิ่งนั้น	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	คุณมีอะไรอยู่ในมือ?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	ข้างหน้าหรือข้างหลัง?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	ก่อนหรือหลัง?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	ที่นั่นหลังประตู	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	คนอื่น ๆ คนอื่น ๆ	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	จดหมายจากผู้อื่น	letters from others	grupo	alternativoj	prononco
level	falis el la mano	หลุดออกจากมือ	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	บนโต๊ะ, บนโต๊ะ	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	มันตกลงไปบนโต๊ะ	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	ขอการให้อภัย	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	กำลังค้นหาหนังสือห้าเล่ม	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	ขอโทษที ฉันกำลังมองหาหนังสือของฉันอยู่	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	แต่คุณก็รู้ดี	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	ไม่ได้อยู่บนโต๊ะของฉัน	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	หนังสือของคุณไม่ได้อยู่บนโต๊ะของฉัน	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	ให้อีกครั้ง, กลับมา	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	ส่งจดหมายกลับมาให้ฉัน	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	ได้รับบทเรียนที่ดี	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	ล้างต่อก็กินต่อ	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	จะไม่อ่านอีกต่อไป	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	ฉันยังได้รับ	I also received	grupo	alternativoj	prononco
level	devas fermi	ต้องปิด	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	ต้องปิดให้ดี.	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	ปิดประตูอย่างแน่นหนา	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	สงบสติอารมณ์	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	ได้ยินแต่ไม่ได้ฟัง	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	ได้ยินเสียงอันสงบ	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	ที่ฉันมีกระเป๋า 4 ใบ	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	สิบวันหลังจากบทเรียนสุดท้าย	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	ระหว่างสองโต๊ะ	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	ตัวอักษรสามตัวหกเอกสาร	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	ตั้งแต่หัวจรดเท้า	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	สี่, สี่, สี่, หนึ่งในสี่	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	ทั้งสามคนไปไหน	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	ห้านิ้วในมือทั้งสองข้าง	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	ด้วยตัวเองกระเป๋าของตัวเอง	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	ใส่, ประกอบ, ประกอบเข้าด้วยกัน	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	ใส่ไว้ในกระเป๋าของตัวเอง	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	สองร้อยชาติในโลก	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	เอาเอาไป	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	เอาเจ็ดเล่มจากเก้าเล่มของเขาเอง	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	ทิ้งร้าง	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	ทิ้งฉันไว้ตามลำพังและสงบ	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	พันแปดร้อยแปดสิบเจ็ด (พ.ศ. 2430)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	ชาหนึ่งถ้วย	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	มีคนล้างแปดถ้วย	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	สองพันสิบเก้า (2019)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	เขาล้างตัวเอง	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	ร่างกายของตน, ทรัพย์สมบัติของตน	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	บนโต๊ะแมวนอนหลับ	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	แมวกระโดดขึ้นไปบนโต๊ะ	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	ในห้องโถง, เข้าไปในห้องโถง	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	ตกอยู่ในมือของเขา	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	ในการทำงานเพื่ออธิบายรายละเอียด	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	เพื่ออธิบายรายละเอียดเกี่ยวกับหนังสือเล่มนั้น	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	รู้ อยากรู้ อยากรู้อยากเห็น	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	สองภาษา, สองภาษา	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	สิ่งมหัศจรรย์เกี่ยวกับผู้เรียนสามภาษา	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	ไปกลับมา	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	พวกแมวก็กลับบ้าน (ของตัวเอง)	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	ในกระเป๋า, เข้าไปในกระเป๋า	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	ใส่มันลงในกระเป๋าของคุณ	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	เท้า, เดิน, คนเดินเท้า	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	พวกเขาเดินเป็นเวลาสิบวัน	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	ที่จะเอาออกไป	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	ดอกไม้สวยๆ เอาดอกไม้สวยๆ มาฝาก	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	เขาเอาแต่ดอกไม้ที่สวยงามเท่านั้น	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	เปิดแต่ก็ปิดทันที	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	ทรงเปิดการประชุมระดับนานาชาติ	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	เผยแพร่และแจกจ่าย	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	สำนักพิมพ์ตีพิมพ์หนังสือยี่สิบสามเล่ม	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	กลับมาพบบุตรของตนอีก	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	ในปีสองพันยี่สิบสาม (2566)	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	สุภาพบุรุษคนหนึ่งเข้าไปในร้าน	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	ร้านขายรถยนต์	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	ที่นั่นเขาเห็นผู้หญิงคนหนึ่ง	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	ท่านสุภาพสตรีและสุภาพบุรุษที่รัก	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	ที่ทำให้ฉันพอใจ (ฉันชอบสิ่งนั้น)	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	ผู้หญิงพอใจเขา (เขาชอบผู้หญิง)	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	ได้เห็นหญิงสาวสวย	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	ใครทำให้เขาพอใจ? (เขาชอบใคร?)	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	ผู้หญิงที่ทำให้ฉันพอใจ	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	คนที่เข้ามาในบ้าน	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	คนที่บริจาคมัน	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	เขามอบแหวนให้ภรรยาของเขา	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	เธอชอบแหวน	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	ภรรยาที่ชอบแหวน	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	พนักงานขายทำงานในร้านค้า	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	พนักงานขายรถยนต์	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	สุภาพบุรุษถามพนักงานขาย	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	คุณชอบรถคันไหน?	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	คุณจะเลือกรถคันไหน?	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	ฉันเลือกรถคันนั้น	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	มันจะดีกว่า	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	ดีกว่านี้	better than this	grupo	alternativoj	prononco
level	plej bona el ili	ดีที่สุดของพวกเขา	best of them	grupo	alternativoj	prononco
level	estas la plej bona	ที่ดีที่สุดคือ	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	รถคันไหนดีที่สุด?	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	รถคันนี้ดีกว่า	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	อันนี้ดีที่สุด	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	เห็นรถทุกคัน	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	สิ่งที่ดีที่สุด	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	มันเร็วไหม?	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	เร็วกว่าคนอื่นๆ	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	ก็แข็งแกร่งเช่นกัน	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	โอ้ ใช่ แน่นอน!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	มีความแข็งแกร่งมาก	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	แน่นอนว่ามันแข็งแกร่ง	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	ก็มีราคาแพงเช่นกัน	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	แพงที่สุดของทั้งหมด	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	ราคาถูกแต่แข็งแรง	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	รู้สึกเสียใจและสงสาร (ควรค่าแก่การรู้สึกเสียใจ)	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	น่าเสียดายที่ฉันจะไม่ซื้อ	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	เป็นสิ่งที่น่าเสียดาย	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	เขาซื้อรถใหม่	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	เพราะฉันไม่มีเงิน	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	รถเก่าของฉัน	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	ราคาถูกที่สุดของทั้งหมด	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	ฉันจะขับรถไปที่นั่น	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	จะยังคงขับรถไปกับมัน	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	ตลอดวัน	all day long	grupo	alternativoj	prononco
level	dum li diris tion	ในขณะที่เขาพูดอย่างนั้น	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	เขามองดูเธออีกครั้ง	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	แต่คนขายบอกว่า	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	มันจะดีกว่านั้น~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	ดูผู้หญิงคนนี้สิ	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	นั่นก็แพงมากเช่นกัน	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	ฉันเป็นสามีของเธอ	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	ค่าเดินทางของคุณเท่าไหร่?	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	ฟังเพลงของภรรยาคุณ	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	อย่าลืมว่ามันมีค่าใช้จ่ายมาก	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	เขาช่วยพนักงานขายเป็นเวลาสองชั่วโมง	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	เป็นเวลานานกว่าสามปี	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	ปกปิด, ปกปิด, ค้นพบ (ค้นพบ)	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	เหตุผลที่เขายังไม่ค้นพบ	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	ทำไมคุณถึงเริ่มส่งจดหมาย?	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	เขาอาศัยอยู่ที่นั่นเป็นเวลาแปดเดือน	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	ไม่มีเวลาฟัง	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	รถเต็มแล้ว	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	คุณกำลังกินอะไร	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	อากาศเป็นยังไงบ้าง?	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	คุณมีรถแบบไหน?	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	จดหมายของเธอเป็นอย่างไร?	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	เราอยู่ที่ไหน?	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	คุณกำลังจะไปที่ไหน?	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	คุณมอบให้ใคร?	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	ผู้ชายที่คุณร่วมเดินทางด้วย	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	ใหญ่กว่ารถ	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	ที่สูงที่สุดในบรรดาคนเหล่านั้น	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	เขากำลังนั่งทานอาหารเย็น	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	เธอเขียนในขณะที่เขาอ่าน	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	ที่นี่ในห้องนี้	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	สุภาพบุรุษคนนี้	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	ข่าวที่น่าฟัง	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	หนังสือเล่มนี้น่าอ่านจริงๆ	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	สิ่งที่โชคร้าย	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	น่าเสียดายที่ฉันทำไม่ได้	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	ยินดี. มันเป็นความสุขของฉัน	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	สาวสวยตัวเล็กมีความสวยงามมาก	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	เพื่อนทุกคนรักเธอ	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	สามเดือนผ่านไป	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	มีเรื่องเลวร้ายเกิดขึ้นกับเธอ	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	เธอล้มลงเพราะรถชน	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	ป่วยและอุณหภูมิเพิ่มขึ้น	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	แม่บอกว่าเธอควรพักผ่อน	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	เธอต้องอยู่บ้าน	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	เธอจะโทรหาหมอ	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	เวลาเก้าโมง	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	ในตอนเช้ามาถึงตอนแปดโมง	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	พรุ่งนี้เจ็ดโมงเย็น	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	แสดงมือของเขา	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	แต่งตัว กำลังจะแต่งตัว	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	แต่งตัวและอบอุ่นร่างกายของคุณ	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	ที่บ้านไม่ได้แต่งตัวและอาบน้ำทันที	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	แพทย์ตรวจดูทุกอย่าง	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	มองอย่างถี่ถ้วนแล้วจึงพูดในที่สุด	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	อยู่บ้านเป็นเวลาหนึ่งสัปดาห์	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	ต้องการให้คุณสงบ	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	หลังจากผ่านไปหนึ่งสัปดาห์	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	คุณจะรู้สึกดีขึ้น	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	ดื่มชามาก ๆ	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	จะกลับมาพบคุณอีกครั้ง	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	ให้เขาสงบด้วย	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	คนที่มีสุขภาพดีคนที่มีสุขภาพดี	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	ดูแลตัวเอง	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	ทุกสิ่งมีประโยชน์สำหรับฉันทันที	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	สังเกตว่ามีสิ่งน่าสยดสยองอยู่ใกล้ตัว	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	ขอให้สังเกตได้ทันที	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	คิดว่าไม่จำเป็น	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	อาศัยอยู่ใกล้ ๆ และนั่นก็เป็นประโยชน์	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	วันนี้บ้านเราตกตะลึงมาก	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	ลูกที่รักจากทุกครอบครัว	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	เมื่อวานครั้งหนึ่ง พรุ่งนี้สองครั้ง	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	ทุกวันนี้ครอบครัวต้องการลูก	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	หวังว่าพรุ่งนี้เขาจะสบายดี	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	เขารู้สึกสงบมาก	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	เด็กน้อยทั้งสามคนยกภูเขาขึ้นมา	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	คนสำคัญไม่ได้ขอความช่วยเหลือ	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	ก็เดินไปช่วย	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	อยู่บ้านถ้าอุณหภูมิสูง	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	อุณหภูมิยังคงเท่าเดิมในวันนี้	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	โทรหาหมอตอนเก้าโมง	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	แสดงให้แพทย์ของคุณ	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	เพื่อแสดงเท้าของคุณ	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	สวมเสื้อตัวนี้	wear this shirt	grupo	alternativoj	prononco
