A.hu content.tsv
Level	Esperanto	hu	en-us	Grupo	Alternativoj	Pronoco
level	serĉis kvin librojn	öt könyvet keresett	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	bocsánat, a könyvemet kerestem.	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	de jól tudod	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	nincs az asztalomon	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	a könyveid nincsenek az asztalomon	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	ismét adott, visszaadta	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	küldje vissza nekem a levelet	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	jó leckét kapott	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	tovább mosott, többet evett	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	nem fog többé olvasni	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	én is kaptam	I also received	grupo	alternativoj	prononco
level	devas fermi	be kell zárni	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	jól kell zárnom	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	szorosan becsukta az ajtót	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	nyugi, nyugi	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	hallotta, de nem hallgatott	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	nyugodt hangot hallott	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	nálam 4 zseb van	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	tíz nappal az utolsó lecke után	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	a két asztal között	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	három levél, hat papír	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	tetőtől talpig	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	négy, negyedik, kvartett, negyed	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	hova tűnt a trió	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	öt ujj mindkét kezében	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	magától, saját zsebéből	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	összerakni, összerakni, egy vegyületet	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	saját zsebbe tenni	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	kétszáz nemzet a világon	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	elvitte, elvitte	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	hetet vett ki a saját kilenc könyvéből	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	elhagyni, elhagyottan	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	hagyj békén és nyugodj meg	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	ezernyolcszáznyolcvanhét (1887)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	Egy csésze tea	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	valaki elmosott nyolc csészét	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	kétezertizenkilenc (2019)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	megmosakodott	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	az ember teste, saját tulajdona	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	az asztalon a macska aludt	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	a macska az asztalra ugrott	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	az előszobába, a terembe	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	a kezébe esett	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	dolgozni, kidolgozni	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	hogy kidolgozza azt a könyvet	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	tud, tudni akar, kíváncsiság	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	kétnyelvűség, kétnyelvűség	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	csodálkozik egy háromnyelvű tanulóval kapcsolatban	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	ment, visszatért	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	a macskák visszatértek (saját) otthonukba	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	a táskában, a táskában	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	tedd a táskádba	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	egy láb, séták, gyalogos	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	tíz napig sétáltak	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	venni, kivenni	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	gyönyörű virágok, gyönyörű virágokat vettek	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	csak szép virágokat vett elő	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	kinyitották, de azonnal bezárták	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	nemzetközi találkozót nyitott	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	megjelentetik és terjesztik	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	a kiadó huszonhárom könyvet adott ki	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	visszatért, és újra látta a saját fiát	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	a kétezerhuszonharmadik évben (2023)	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	egy úriember lépett be (be) az üzletbe	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	az autók boltja	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	ott meglát egy hölgyet	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	Hölgyeim és Uraim	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	ez tetszett nekem (tetszik)	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	a hölgy tetszett neki (tetszett neki a hölgy)	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	látta a gyönyörű hölgyet	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	ki örült neki? (ki tetszett neki?)	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	a nő, aki tetszett nekem	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	aki belépett a házba	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	a férfi, aki adományozta	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	gyűrűt adott a feleségének	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	tetszett neki a gyűrű	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	a feleség, akinek tetszett a gyűrű	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	egy eladó dolgozik az üzletben	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	autókereskedő	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	– kérdezte az úr az eladótól	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	melyik autó tetszik?	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	melyik autót választod?	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	Azt az autót választottam	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	ez jobb	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	jobb, mint ez	better than this	grupo	alternativoj	prononco
level	plej bona el ili	legjobb közülük	best of them	grupo	alternativoj	prononco
level	estas la plej bona	a legjobb	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	melyik a legjobb autó?	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	ez az autó jobb	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	ez a legjobb	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	látta az összes autót	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	a legjobb az összesközül	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	gyors?	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	gyorsabb, mint mások	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	is erős	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	ó igen, persze!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	nagyon erős	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	biztosan erős	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	szintén drága	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	a legdrágább az összes közül	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	olcsó, de erős	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	sajnálkozik és szánalmas (érdemes sajnálni)	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	sajnos nem veszek	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	szerencsétlen dolog	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	vett egy új autót	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	mert nincs pénzem	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	a régi autóm	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	a legolcsóbb az összes közül	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	Oda fogok vezetni	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	akkor is vezetni fog vele	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	egész nap	all day long	grupo	alternativoj	prononco
level	dum li diris tion	miközben azt mondta	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	újra ránézett	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	de az eladó azt mondta	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	jobb lenne, ha ~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	nézd ezt a hölgyet	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	az is nagyon drága	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	én vagyok a férje	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	mennyibe került az utazásod?	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	hallgasd meg a feleséged dalát	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	ne felejtsd el, hogy sokba kerül	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	két órán keresztül segített az eladónak	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	több mint három évig	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	fedezni, fedni, feltárni (felfedezni)	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	az okot még nem fedezte fel	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	miért kezdtél el leveleket küldeni?	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	nyolc hónapig élt ott	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	nem volt ideje hallgatni	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	a kocsi már tele volt	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	mit eszel	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	milyen az idő?	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	milyen autód van?	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	milyenek voltak a levelei?	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	hol vagyunk?	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	hova mész?	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	kinek adtad?	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	a férfi, akivel együtt utaztál	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	nagyobb, mint az autó	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	a legmagasabb azok közül az emberek közül	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	vacsoránál ült	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	ő ír, miközben ő olvas	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	itt, ebben a szobában	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	ez az úr	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	egy hír, amit érdemes meghallgatni	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	a könyvet tényleg érdemes elolvasni	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	szerencsétlen dolog	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	sajnos nem tudok	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	szívesen. örömömre szolgált	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	kis csinos lány nagyon szép	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	minden barát szereti őt	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	három hónapja	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	valami rossz történt vele	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	egy autó miatt esett el	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	rosszul lett és a hőmérséklet emelkedett	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	anya azt mondta, pihennie kell	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	otthon kell maradnia	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	orvost fog hívni	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	kilenckor	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	reggel nyolckor jött	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	holnap este hétkor	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	- mutatta a kezét	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	öltözködik, öltözik	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	öltözz fel és melegítsd fel a tested	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	otthon azonnal levetkőzött és lezuhanyozott	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	egy orvos mindent megnézett	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	alaposan megnézte, és végül megszólalt	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	maradj otthon egy hétig	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	azt akarja, hogy nyugodt légy	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	egy hét után	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	Jobban fogod érezni magad	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	igyál sok teát	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	újra eljön hozzád	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	legyen ő is nyugodt	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	egészséges ember, egészséges ember	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	vigyázott magára	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	az egész egyből hasznos volt számomra	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	észrevette, hogy közel van a szörnyűség	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	kérte, hogy azonnal vegyék észre	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	úgy gondolta, hogy ez nem szükséges	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	a közelben lakott, és ez hasznos volt	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	országunk ma megrémült	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	kedves gyermekeim minden családból	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	egyszer tegnap, kétszer holnap	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	ma a családoknak gyerekekre van szükségük	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	remélte, holnap jól lesz	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	nagyon nyugodtnak érezte magát (volt).	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	három kicsi emelte a hegyet	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	fontos emberek nem kértek segítséget	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	odament segíteni	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	maradjon otthon, ha magas a hőmérséklet	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	a hőmérséklet ma is hasonló maradt	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	kilenckor hívja az orvost	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	mutasd meg az orvosodnak	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	hogy megmutassa a lábát	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	viseld ezt az inget	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	hétvégén minden megnyugszik	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	mit találtál a teáscsésze alatt?	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	Reggeli teát kérek	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	csendes estét remélt	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	azt akarja, hogy tanulj	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	ragaszkodott hozzá, hogy menjek	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	melyik órában?	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	hatkor jön	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	a librettó bájos volt	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	maradj csöndben	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	hadd maradjon csendben	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	ő is	he too	grupo	alternativoj	prononco
level	mi deziras	akarok (akarom)	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	Azt kívánom (vágyom), hogy ~	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	hogy megtanulod	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	Azt akarom, hogy tanulj	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	apa ragaszkodik hozzá	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	apa ragaszkodik ahhoz, hogy ~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	hogy megyek	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	apa ragaszkodik hozzá, hogy menjek	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	melyik órában	at what hour	grupo	alternativoj	prononco
level	je kioma horo vi venos?	mikor jössz?	what time do you come?	grupo	alternativoj	prononco
level	je la kvina	ötkor)	at five (o'clock)	grupo	alternativoj	prononco
level	je la kvina horo	ötkor	at five o'clock	grupo	alternativoj	prononco
level	kiel li fartas?	hogy van?	how does he doing?	grupo	alternativoj	prononco
level	kiel vi fartis lastatempe?	hogy vagy mostanában?	how have you been lately?	grupo	alternativoj	prononco
level	etaj libroj belas	szépek a kis könyvek	little books are beautiful	grupo	alternativoj	prononco
level	libreto, belaj libroj	egy füzet, gyönyörű könyvek	a booklet, beautiful books	grupo	alternativoj	prononco
level	bela, beleta, belega	szép, kicsit csinos, nagyon szép	beautiful, a little pretty, very beautiful	grupo	alternativoj	prononco
level	varma, varmeta, varmega	meleg, langyos, nagyon meleg	warm, lukewarm, very hot	grupo	alternativoj	prononco
level	librego, libreto	egy nagy könyv, egy füzet	a big book, a booklet	grupo	alternativoj	prononco
level	bona, bonega, bonege	jó, nagyszerű, jól	good, great, well	grupo	alternativoj	prononco
level	riĉa, riĉiĝi, riĉulo	gazdag legyen, gazdag legyen, gazdag ember	rich, become rich, a rich person	grupo	alternativoj	prononco
level	trankvila, trankviliĝi, trankviliĝu	megnyugodni, megnyugodni, megnyugodni	calm, to calm down, calm down	grupo	alternativoj	prononco
level	sana, resaniĝi, resaniĝis	egészséges, meggyógyult, meggyógyult	healthy, to become healed, became healed	grupo	alternativoj	prononco
level	edzo, edziĝo, geedziĝis	férj, házasság, házas	a husband, marriage, married	grupo	alternativoj	prononco
level	leterportisto	egy levélpostás	a letter postman	grupo	alternativoj	prononco
level	hejmlando	egy szülőföld	a homeland	grupo	alternativoj	prononco
level	iom, iomete	valamennyire, kicsit	somewhat, a little	grupo	alternativoj	prononco
level	ni bonege vespermanĝis	remek vacsoránk volt	we had a great dinner	grupo	alternativoj	prononco
level	espereble, prizorgu vin	remélem, vigyázz magadra	hopefully, take care of yourself	grupo	alternativoj	prononco
level	mi zorgis pri la altkvalita loĝejo	A minőségi lakhatás érdekelt	I cared about the high-quality housing	grupo	alternativoj	prononco
level	pripensu dufoje, multfoje	gondold meg kétszer, sokszor	think twice, many times	grupo	alternativoj	prononco
level	kiu deprenis la libreton?	ki vette le a füzetet?	who took down the booklet?	grupo	alternativoj	prononco
level	kato, kiu nomiĝas Cezaro	egy Caesar nevű macska	a cat named Caesar	grupo	alternativoj	prononco
level	kuko, kiu estas sur la tablo	egy tortát, ami az asztalon van	a cake which is on the table	grupo	alternativoj	prononco
level	manĝu kukon, kiu estas sur la tablo	egyél egy tortát, ami az asztalon van	eat a cake that is on the table	grupo	alternativoj	prononco
level	fariĝis varmega kaj ruĝiĝis	felforrósodott és elpirult	became hot and blushed	grupo	alternativoj	prononco
level	patro volas, ke lia infano manĝu	egy apa azt akarja, hogy a gyermeke egyen	a father wants his child to eat	grupo	alternativoj	prononco
level	en malgranda ĉambro	egy kis szobában	in a small room	grupo	alternativoj	prononco
level	ni loĝas en ~	~ban élünk	we live in ~	grupo	alternativoj	prononco
level	mi fariĝis maltrankvila	ideges lettem	I became anxious	grupo	alternativoj	prononco
level	tiam, kiam mi vidis vin	abban az időben, amikor megláttalak	at that time when I saw you	grupo	alternativoj	prononco
level	ĉiuj rimarkis tion	mindenki észrevette	everyone noticed that	grupo	alternativoj	prononco
level	tion, ke ŝi estas belega	az a tény, hogy gyönyörű	the fact that she is beautiful	grupo	alternativoj	prononco
level	ĉu vi deziras, ke ~ ?	ezt akarod ~ ? (deziri)	do you want that ~ ? (deziri)	grupo	alternativoj	prononco
level	ke mi montru al vi	hogy megmutassam	that I may show you	grupo	alternativoj	prononco
level	ĉu vi deziras, ke mi montru?	akarod, hogy megmutassam?	do you want me to show?	grupo	alternativoj	prononco
level	mian plej novan libron	legújabb könyvem (cél)	my newest book (objective)	grupo	alternativoj	prononco
level	morgaŭ matene, kion vi volas?	holnap reggel mit akarsz?	tomorrow morning, what do you want?	grupo	alternativoj	prononco
level	matenmanĝis malfrue	későn reggelizett	had breakfast late	grupo	alternativoj	prononco
level	kiam Marko alvenos?	mikor érkezik Mark?	when will Mark arrive?	grupo	alternativoj	prononco
level	je la kvina aŭ je la oka horo	öt-nyolc órakor	at five or eight o'clock	grupo	alternativoj	prononco
level	kiam vi rimarkis, ke ~ ?	mikor vetted észre, hogy ~ ?	when did you notice that ~ ?	grupo	alternativoj	prononco
level	la tuta familio nomas min bonfarulo	az egész család jótevőnek hív	the whole family calls me a benefactor	grupo	alternativoj	prononco
level	utila por vi	hasznos az Ön számára	useful for you	grupo	alternativoj	prononco
level	ĉu la libreto estis utila?	hasznos volt a füzet?	was the booklet useful?	grupo	alternativoj	prononco
level	tiu libreto, kiun mi sendis	a füzetet, amit elküldtem	the booklet, which I sent	grupo	alternativoj	prononco
level	matene dormis tre longe	reggel sokáig aludt	in the morning slept for a long time	grupo	alternativoj	prononco
level	kiam li vidis la sunon	amikor meglátta a napot	when he saw the sun	grupo	alternativoj	prononco
level	subite li eksaltis	hirtelen felugrott	suddenly he jumped up	grupo	alternativoj	prononco
level	li estis ĉiam frua	mindig korán volt	he was always early	grupo	alternativoj	prononco
level	ĉiam li malfruas	mindig késik	he is always late	grupo	alternativoj	prononco
level	tiam, kiam li devas iri	abban az időben, amikor mennie kell	at that time, when he has to go	grupo	alternativoj	prononco
level	iri al la lernejo	iskolába menni	to go to the school	grupo	alternativoj	prononco
level	li scias, ke ~	tudja, hogy ~	he knows, that ~	grupo	alternativoj	prononco
level	li scias tion, ke ~	tudja a tényt, hogy ~	he knows the fact, that ~	grupo	alternativoj	prononco
level	tion, ke la instruisto malŝatas abelon	az, hogy a tanár utálja a méheket	the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias tion, ke la instruisto malŝatas abelon	tudja, hogy a tanár utálja a méheket	knows the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias, ke la instruisto malŝatas tion	tudja, hogy a tanár utálja ezt	knows that the teacher hates that	grupo	alternativoj	prononco
level	sed hodiaŭ li trinkis la kafon	de ma megitta a kávét	but today he drank the coffee	grupo	alternativoj	prononco
level	li rapide surmetas la vestaĵon	gyorsan felveszi a ruhákat	he quickly puts on the clothes	grupo	alternativoj	prononco
