A.es content.tsv
Level	Esperanto	es	en-us	Grupo	Alternativoj	Pronoco
level	sur la tablo, sur la tablon	sobre la mesa, sobre la mesa	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	cayó sobre la mesa	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	pidió perdón	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	estaba buscando cinco libros	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	Lo siento, estaba buscando mi libro.	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	pero lo sabes bien	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	no está en mi mesa	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	tus libros no están en mi mesa	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	de nuevo dio, devolvió	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	devuélveme la carta	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	recibió una buena lección	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	más lavado, comió más	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	ya no leerá	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	yo también recibí	I also received	grupo	alternativoj	prononco
level	devas fermi	tiene que cerrar	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	tengo que cerrar bien	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	cerró la puerta con fuerza	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	calma, calmate	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	escuchó pero no escuchó	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	escuchó un sonido tranquilo	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	En mi caso hay 4 bolsillos	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	diez días después de la última lección	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	entre las dos mesas	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	tres cartas, seis papeles	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	de la cabeza a los pies	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	cuatro, cuarto, un cuarteto, un cuarto	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	¿Adónde fue el trío?	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	cinco dedos en ambas manos	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	por uno mismo, el propio bolsillo	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	poner, juntar, un compuesto	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	poner en el propio bolsillo	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	doscientas naciones en el mundo	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	tomó, tomó	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	tomó siete de sus nueve libros	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	irse, abandonado	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	déjame en paz y calma	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	mil ochocientos ochenta y siete (1887)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	una taza de té	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	alguien lavó ocho tazas	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	dos mil diecinueve (2019)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	se lavó	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	el cuerpo de uno, la propia posesión	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	sobre la mesa el gato dormía	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	el gato saltó sobre la mesa	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	en el pasillo, en el pasillo	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	cayó en su mano	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	trabajar, elaborar	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	para elaborar para ese libro	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	sabe, quiere saber, curiosidad	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	bilingüe, bilingüismo	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	Preguntas sobre un estudiante trilingüe	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	fue, regresó	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	los gatos regresaron a sus (propios) hogares	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	en la bolsa, en la bolsa	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	ponlo en tu bolso	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	un pie, camina, un peatón	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	durante diez días caminaron	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	tomar, sacar	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	hermosas flores, tomé hermosas flores	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	sacó solo hermosas flores	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	abierto, pero inmediatamente cerrado	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	abrió una reunión internacional	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	publicado y distribuido	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	el editor publicó veintitrés libros	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	Regresó y volvió a ver a su propio hijo.	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	en el año dos mil veintitrés (2023)	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	un señor entró en la tienda	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	la tienda de autos	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	allí ve a una dama	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	queridas damas y caballeros	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	eso me agradó (me gusta eso)	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	la dama le agradó (a él le gustó la dama)	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	vio a la bella dama	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	¿Quién le agradó? (¿a quién le gustó?)	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	la mujer que me complació	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	el que entro a la casa	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	el hombre que lo donó	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	le dio un anillo a su esposa	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	a ella le gustó el anillo	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	la esposa a la que le gustó el anillo	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	un vendedor trabaja en la tienda	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	un vendedor de autos	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	el caballero le pregunto al vendedor	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	¿Qué auto te gusta?	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	¿Qué coche elegirás?	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	elegí ese auto	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	es mejor	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	mejor que esto	better than this	grupo	alternativoj	prononco
level	plej bona el ili	lo mejor de ellos	best of them	grupo	alternativoj	prononco
level	estas la plej bona	es la mejor	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	¿Qué auto es el mejor?	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	este auto es mejor	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	Este es el mejor	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	vi todos los autos	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	el mejor de todos	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	¿Es rápido?	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	más rápido que otros	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	también es fuerte	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	¡Oh si por supuesto!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	es muy fuerte	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	ciertamente es fuerte	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	también es caro	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	el mas caro de todos	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	barato pero fuerte	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	siente pena y tiene lástima (vale la pena sentir pena)	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	lamentablemente no compraré	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	es algo desafortunado	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	compró un auto nuevo	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	porque yo no tengo dinero	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	mi viejo auto	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	el mas barato de todos	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	conduciré hasta allí	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	Todavía conduciré con él.	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	todo el día	all day long	grupo	alternativoj	prononco
level	dum li diris tion	mientras él decía eso	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	él la miró de nuevo	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	pero el vendedor dijo	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	Sería mejor que ~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	mira esta señora	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	eso tambien es muy caro	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	yo soy su marido	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	¿Cuanto costó tu viaje?	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	escucha la canción de tu esposa	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	no olvides que cuesta mucho	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	ayudó al vendedor durante dos horas	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	durante más de tres años	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	cubrir, cubrir, descubrir (descubrir)	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	la razón por la que aún no la ha descubierto	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	¿Por qué empezaste a enviar cartas?	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	durante ocho meses vivió allí	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	no tuve tiempo de escuchar	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	el auto ya estaba lleno	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	Qué estás comiendo	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	¿Como está el clima?	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	¿Que tipo de carro tienes?	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	¿Cómo eran sus cartas?	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	¿Dónde estamos?	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	¿hacia donde te diriges?	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	¿A quién se lo diste?	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	el hombre con el que viajaste	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	más grande que el auto	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	el mas alto de esas personas	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	él estaba sentado en la cena	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	ella escribe mientras el lee	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	aquí, en esta habitación	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	este caballero	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	una noticia que vale la pena escuchar	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	realmente vale la pena leer el libro	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	algo desafortunado	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	lamentablemente no puedo	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	de nada. fue un placer	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	pequeña niña bonita es muy hermosa	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	todos los amigos la aman	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	hace tres meses	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	algo malo le paso a ella	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	ella se cayó a causa de un auto	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	se enfermó y subió la temperatura	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	madre dijo que debería descansar	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	ella tiene que quedarse en casa	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	ella llamará a un médico	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	a las nueve	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	por la mañana llegó a las ocho en punto	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	a las siete de la tarde mañana	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	mostró sus manos	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	vestirse, se está vistiendo	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	vístete y calienta tu cuerpo	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	en casa inmediatamente se desnudó y se duchó	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	un doctor miró todo	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	miró detenidamente y finalmente dijo	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	quédate en casa por una semana	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	quiere que estés tranquilo	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	después de una semana	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	te sentirás mejor	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	bebe mucho té	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	vendré a verte de nuevo	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	déjalo estar tranquilo también	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	hombre sano, persona sana	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	se cuidó a uno mismo	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	todo me fue útil a la vez	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	noté que algo horrible está cerca	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	pidió notarlo inmediatamente	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	pensé que no era necesario	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	Vivía cerca y eso era útil.	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	nuestro país quedó aterrorizado hoy	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	queridos niños de todas las familias	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	una vez ayer, dos mañana	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	hoy las familias necesitan niños	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	esperaba que estuviera bien mañana	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	él se sentía (ha estado) muy tranquilo	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	tres pequeños levantaron la montaña	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	personas importantes no pidieron ayuda	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	caminó allí para ayudar	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	quedarse en casa si la temperatura es alta	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	La temperatura se mantuvo similar hoy	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	llama al doctor a las nueve	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	enséñaselo a tu médico	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	para mostrar tu pie	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	usa esta camisa	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	el fin de semana todo se calmará	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	Debajo de la taza de té ¿qué encontraste?	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	quiero té de la mañana	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	esperaba una noche tranquila	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	quiere que aprendas	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	insistió en que fuera	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	¿A que hora?	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	a las seis vendrá	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	el libreto era encantador	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	tranquilizarse	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	déjalo callar	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	él también	he too	grupo	alternativoj	prononco
level	mi deziras	quiero (deseo)	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	Deseo (deseo) que ~	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	que aprendes	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	quiero que aprendas	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	padre insiste	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	padre insiste en que ~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	que voy	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	padre insiste en que vaya	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	A que hora	at what hour	grupo	alternativoj	prononco
level	je kioma horo vi venos?	¿A qué hora vienes?	what time do you come?	grupo	alternativoj	prononco
level	je la kvina	a las cinco)	at five (o'clock)	grupo	alternativoj	prononco
level	je la kvina horo	a las cinco	at five o'clock	grupo	alternativoj	prononco
level	kiel li fartas?	¿cómo le va?	how does he doing?	grupo	alternativoj	prononco
level	kiel vi fartis lastatempe?	¿como has estado ultimamente?	how have you been lately?	grupo	alternativoj	prononco
level	etaj libroj belas	los libros pequeños son hermosos	little books are beautiful	grupo	alternativoj	prononco
level	libreto, belaj libroj	un folleto, hermosos libros	a booklet, beautiful books	grupo	alternativoj	prononco
level	bela, beleta, belega	hermosa, un poco bonita, muy hermosa	beautiful, a little pretty, very beautiful	grupo	alternativoj	prononco
level	varma, varmeta, varmega	tibio, tibio, muy caliente	warm, lukewarm, very hot	grupo	alternativoj	prononco
level	librego, libreto	un libro grande, un folleto	a big book, a booklet	grupo	alternativoj	prononco
level	bona, bonega, bonege	bueno, genial, bueno	good, great, well	grupo	alternativoj	prononco
level	riĉa, riĉiĝi, riĉulo	rico, hacerse rico, una persona rica	rich, become rich, a rich person	grupo	alternativoj	prononco
level	trankvila, trankviliĝi, trankviliĝu	calmar, calmarse, calmarse	calm, to calm down, calm down	grupo	alternativoj	prononco
level	sana, resaniĝi, resaniĝis	sano, sanarse, sanarse	healthy, to become healed, became healed	grupo	alternativoj	prononco
level	edzo, edziĝo, geedziĝis	un marido, matrimonio, casado	a husband, marriage, married	grupo	alternativoj	prononco
level	leterportisto	un cartero	a letter postman	grupo	alternativoj	prononco
level	hejmlando	una patria	a homeland	grupo	alternativoj	prononco
level	iom, iomete	algo, un poco	somewhat, a little	grupo	alternativoj	prononco
level	ni bonege vespermanĝis	tuvimos una gran cena	we had a great dinner	grupo	alternativoj	prononco
level	espereble, prizorgu vin	ojalá te cuides	hopefully, take care of yourself	grupo	alternativoj	prononco
level	mi zorgis pri la altkvalita loĝejo	Me preocupaba la vivienda de alta calidad.	I cared about the high-quality housing	grupo	alternativoj	prononco
level	pripensu dufoje, multfoje	piénsalo dos veces, muchas veces	think twice, many times	grupo	alternativoj	prononco
level	kiu deprenis la libreton?	¿Quién bajó el folleto?	who took down the booklet?	grupo	alternativoj	prononco
level	kato, kiu nomiĝas Cezaro	un gato llamado césar	a cat named Caesar	grupo	alternativoj	prononco
level	kuko, kiu estas sur la tablo	un pastel que está sobre la mesa	a cake which is on the table	grupo	alternativoj	prononco
level	manĝu kukon, kiu estas sur la tablo	comer un pastel que esta en la mesa	eat a cake that is on the table	grupo	alternativoj	prononco
level	fariĝis varmega kaj ruĝiĝis	se puso caliente y se sonrojó	became hot and blushed	grupo	alternativoj	prononco
level	patro volas, ke lia infano manĝu	un padre quiere que su hijo coma	a father wants his child to eat	grupo	alternativoj	prononco
level	en malgranda ĉambro	en una pequeña habitación	in a small room	grupo	alternativoj	prononco
level	ni loĝas en ~	vivimos en ~	we live in ~	grupo	alternativoj	prononco
level	mi fariĝis maltrankvila	me puse ansioso	I became anxious	grupo	alternativoj	prononco
level	tiam, kiam mi vidis vin	en ese momento cuando te vi	at that time when I saw you	grupo	alternativoj	prononco
level	ĉiuj rimarkis tion	todos notaron eso	everyone noticed that	grupo	alternativoj	prononco
level	tion, ke ŝi estas belega	el hecho de que ella es hermosa	the fact that she is beautiful	grupo	alternativoj	prononco
level	ĉu vi deziras, ke ~ ?	¿Quieres eso ~? (deziri)	do you want that ~ ? (deziri)	grupo	alternativoj	prononco
level	ke mi montru al vi	que puedo mostrarte	that I may show you	grupo	alternativoj	prononco
level	ĉu vi deziras, ke mi montru?	¿Quieres que te lo muestre?	do you want me to show?	grupo	alternativoj	prononco
level	mian plej novan libron	mi libro más nuevo (objetivo)	my newest book (objective)	grupo	alternativoj	prononco
level	morgaŭ matene, kion vi volas?	mañana por la mañana, ¿qué quieres?	tomorrow morning, what do you want?	grupo	alternativoj	prononco
level	matenmanĝis malfrue	desayuné tarde	had breakfast late	grupo	alternativoj	prononco
level	kiam Marko alvenos?	¿Cuándo llegará Marcos?	when will Mark arrive?	grupo	alternativoj	prononco
level	je la kvina aŭ je la oka horo	a las cinco u ocho	at five or eight o'clock	grupo	alternativoj	prononco
level	kiam vi rimarkis, ke ~ ?	¿Cuándo te diste cuenta de eso ~?	when did you notice that ~ ?	grupo	alternativoj	prononco
level	la tuta familio nomas min bonfarulo	toda la familia me llama benefactor	the whole family calls me a benefactor	grupo	alternativoj	prononco
level	utila por vi	útil para ti	useful for you	grupo	alternativoj	prononco
level	ĉu la libreto estis utila?	¿Fue útil el folleto?	was the booklet useful?	grupo	alternativoj	prononco
level	tiu libreto, kiun mi sendis	el folleto que envié	the booklet, which I sent	grupo	alternativoj	prononco
level	matene dormis tre longe	por la mañana dormí mucho tiempo	in the morning slept for a long time	grupo	alternativoj	prononco
level	kiam li vidis la sunon	cuando vio el sol	when he saw the sun	grupo	alternativoj	prononco
level	subite li eksaltis	de repente saltó	suddenly he jumped up	grupo	alternativoj	prononco
level	li estis ĉiam frua	el siempre llegaba temprano	he was always early	grupo	alternativoj	prononco
level	ĉiam li malfruas	Él siempre llega tarde	he is always late	grupo	alternativoj	prononco
level	tiam, kiam li devas iri	en ese momento, cuando tiene que irse	at that time, when he has to go	grupo	alternativoj	prononco
level	iri al la lernejo	ir a la escuela	to go to the school	grupo	alternativoj	prononco
level	li scias, ke ~	él sabe que ~	he knows, that ~	grupo	alternativoj	prononco
level	li scias tion, ke ~	él sabe el hecho de que ~	he knows the fact, that ~	grupo	alternativoj	prononco
level	tion, ke la instruisto malŝatas abelon	el hecho de que el maestro odia a las abejas	the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias tion, ke la instruisto malŝatas abelon	sabe que el maestro odia a las abejas	knows the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias, ke la instruisto malŝatas tion	sabe que el profesor odia eso	knows that the teacher hates that	grupo	alternativoj	prononco
level	sed hodiaŭ li trinkis la kafon	pero hoy se bebió el café	but today he drank the coffee	grupo	alternativoj	prononco
level	li rapide surmetas la vestaĵon	se pone la ropa rápidamente	he quickly puts on the clothes	grupo	alternativoj	prononco
level	li ne volas malfrui	el no quiere llegar tarde	he doesn't want to be late	grupo	alternativoj	prononco
level	rapidege kun la libroj en la mano	muy rapido con los libros en la mano	very quickly with the books in hand	grupo	alternativoj	prononco
