C.ta content.tsv
Level	Esperanto	ta	en-us	Grupo	Alternativoj	Pronoco
level	flui	வழிவதற்கு	to flow	grupo	alternativoj	prononco
level	kudri	தைக்க, தைக்க	to sew, to stitch	grupo	alternativoj	prononco
level	intenci	உத்தேசித்துள்ள	to intend	grupo	alternativoj	prononco
level	konservi	சேமிக்க, பாதுகாக்க, வைத்திருக்க	to save, to conserve, to keep	grupo	alternativoj	prononco
level	ial	சில காரணங்களால்	for some reason	grupo	alternativoj	prononco
level	obei	கீழ்ப்படிய	to obey	grupo	alternativoj	prononco
level	filino	ஒரு மகள்	a daughter	grupo	alternativoj	prononco
level	fulmo	ஒரு மின்னல், ஒரு மின்னல்	a lightning, a flashlight	grupo	alternativoj	prononco
level	junulino	ஒரு இளம் பெண், ஒரு இளம் பெண் நபர்	a young woman, a young female person	grupo	alternativoj	prononco
level	knabino	ஒரு பெண், ஒரு பெண்	a girl, a lass	grupo	alternativoj	prononco
level	leĝo	ஒரு சட்டம், ஒரு விதி	a law, a rule	grupo	alternativoj	prononco
level	simila	ஒத்த, ஒத்த	similar, alike	grupo	alternativoj	prononco
level	edzino	ம னை வி	a wife	grupo	alternativoj	prononco
level	globo	globe, a globe, a ball, a sphere	globe, a globe, a ball, a sphere	grupo	alternativoj	prononco
level	kulpa	குற்ற உணர்வு	guilty	grupo	alternativoj	prononco
level	svelta	மெலிதான, மெல்லிய	slim, slender	grupo	alternativoj	prononco
level	ombrelo	ஒரு குடை	an umbrella	grupo	alternativoj	prononco
level	ordinara	சாதாரண, பொதுவான, வழக்கமான	ordinary, common, usual	grupo	alternativoj	prononco
level	plaĉi (al ~)	தயவுசெய்து, மகிழ்ச்சியாக இருக்க (~)	to please, to be pleasing (to ~)	grupo	alternativoj	prononco
level	regiono	ஒரு பகுதி	a region	grupo	alternativoj	prononco
level	danci	நடனமாட	to dance	grupo	alternativoj	prononco
level	kompati	இரக்கம் வேண்டும், பரிதாபப்பட வேண்டும்	to have compassion for, to feel pity for	grupo	alternativoj	prononco
level	kruĉo	ஒரு ஜாடி, ஒரு பானை, ஒரு குடம், ஒரு குடுவை, ஒரு குடம்	a jar, a pot,a jug, a cruse, a pitcher	grupo	alternativoj	prononco
level	reĝo	ராஜா, ஒரு ராஜா	king, a king	grupo	alternativoj	prononco
level	animo	ஒரு ஆன்மா	a soul	grupo	alternativoj	prononco
level	religio	ஒரு மதம்	a religion	grupo	alternativoj	prononco
level	ŝtato	ஒரு நாடு, ஒரு நாடு	a state, a nation	grupo	alternativoj	prononco
level	komuniki	தொடர்புகொள்ள	to communicate	grupo	alternativoj	prononco
level	promesi	சத்தியம் செய்ய	to promise	grupo	alternativoj	prononco
level	noti	கவனிக்க, எழுத	to note, to write down	grupo	alternativoj	prononco
level	daŭrigi	நீடிக்க, தொடர, தக்கவைக்க, பராமரிக்க	to prolong, to proceed, to sustain, to maintain	grupo	alternativoj	prononco
level	ĝui	அனுபவிக்க	to enjoy	grupo	alternativoj	prononco
level	sekve	எனவே, இதன் விளைவாக, இவ்வாறு	therefore, consequently, thus	grupo	alternativoj	prononco
level	peza	கனமான, பாரமான	heavy, burdensome	grupo	alternativoj	prononco
level	aranĝi	ஒழுங்குபடுத்த	to arrange	grupo	alternativoj	prononco
level	teruro	ஒரு பயங்கரம், பயம், பயம்	a terror, fear, fright	grupo	alternativoj	prononco
level	mastro	ஒரு மாஸ்டர், ஒரு உரிமையாளர், ஒரு முதலாளி	a master, an owner, a boss	grupo	alternativoj	prononco
level	magazeno	கிடங்கு, ஒரு பல்பொருள் அங்காடி	warehouse, a department store	grupo	alternativoj	prononco
level	amuzi	மகிழ்விக்க, மகிழ்விக்க	to amuse, to entertain	grupo	alternativoj	prononco
level	ofico	ஒரு அலுவலகம் (கடமை, பணி), செயல்பாடு, வேலை	an office (duty, task), function, job	grupo	alternativoj	prononco
level	metro	ஒரு மீட்டர்	a meter	grupo	alternativoj	prononco
level	vasta	பரந்த, விரிவான, விசாலமான	vast, extensive, spacious	grupo	alternativoj	prononco
level	dorso	பின்புறம் (உடலின்)	back (of body)	grupo	alternativoj	prononco
level	brusto	மார்பகம், ஒரு மார்பகம், ஒரு மார்பு (உடல்)	breast, a breast, a chest (body)	grupo	alternativoj	prononco
level	estimi	மதிக்க, மதிக்க	to esteem, to respect	grupo	alternativoj	prononco
level	trafi	அடிக்க, அடிக்க, குறுக்கே ஓட	to hit, to strike, to run accross	grupo	alternativoj	prononco
level	kopii	நகலெடுக்க	to copy	grupo	alternativoj	prononco
level	senco	ஒரு பொருள், ஒரு உணர்வு	a meaning, a sense	grupo	alternativoj	prononco
level	sumo	ஒரு தொகை (எண்கள்)	a sum (of numbers)	grupo	alternativoj	prononco
level	foresti	இல்லாமல் இருப்பது, தொலைவில் இருப்பது, காணாமல் போவது	to be absent, to be away, to be missing	grupo	alternativoj	prononco
level	gvidanto	ஒரு தலைவர், ஒரு வழிகாட்டி	a leader, a guide	grupo	alternativoj	prononco
level	Esperanto	எஸ்பெராண்டோ, நம்பிக்கை கொண்ட ஒருவர்	Esperanto, someone who hopes	grupo	alternativoj	prononco
level	manĝante	சாப்பிடும் போது	while eating	grupo	alternativoj	prononco
level	plano	ஒரு திட்டம்	a plan	grupo	alternativoj	prononco
level	prepari	தயார் செய்ய	to prepare	grupo	alternativoj	prononco
level	spirito	ஆவி, ஒரு ஆவி	spirit, a spirit	grupo	alternativoj	prononco
level	hotelo	ஓர் உணவகம்	a hotel	grupo	alternativoj	prononco
level	ripeti	மீண்டும் செய்ய	to repeat	grupo	alternativoj	prononco
level	parolante	பேசும் போது	while speaking	grupo	alternativoj	prononco
level	pendi	தொங்க, தொங்க	to hang, to droop	grupo	alternativoj	prononco
level	serioza	தீவிரமான	serious	grupo	alternativoj	prononco
level	klini	to bend, to tilt, to incline	to bend, to tilt, to incline	grupo	alternativoj	prononco
level	moki	கேலி செய்ய, கேலி செய்ய, கேலி செய்ய	to make fun of, to mock, to scoff at	grupo	alternativoj	prononco
level	membro	ஒரு உறுப்பினர்	a member	grupo	alternativoj	prononco
level	greno	தானியம் (சோளம், அரிசி, கோதுமை), ஒரு தானியம்	grain (corn, rice, wheat), a grain	grupo	alternativoj	prononco
level	kriante	கூச்சல், அழுகை	shouting, crying	grupo	alternativoj	prononco
level	truo	ஒரு துளை, ஒரு துளை	a hole, a burrow	grupo	alternativoj	prononco
level	supozi	ஊகிக்க, ஊகிக்க, ஊகிக்க	to suppose, to guess, to presume	grupo	alternativoj	prononco
level	malpli	குறைவாக, குறைவாக	less, fewer	grupo	alternativoj	prononco
level	sekvanta	தொடர்ந்து, அடுத்தது	following, next	grupo	alternativoj	prononco
level	spiri	சுவாசிக்க	to breathe	grupo	alternativoj	prononco
level	trinkinte	குடித்த பிறகு	after having drink	grupo	alternativoj	prononco
level	lango	ஒரு நாக்கு	a tongue	grupo	alternativoj	prononco
level	biero	பீர், ஆல், ஒரு பீர்	beer, ale, a beer	grupo	alternativoj	prononco
level	bileto	ஒரு டிக்கெட், ஒரு பில்	a ticket, a bill	grupo	alternativoj	prononco
level	precipe	முக்கியமாக, முக்கியமாக, முக்கியமாக, எல்லாவற்றிற்கும் மேலாக	chiefly, mainly, principally, above all	grupo	alternativoj	prononco
level	elektro	மின்சாரம்	electricity	grupo	alternativoj	prononco
level	korbo	ஒரு கூடை	a basket	grupo	alternativoj	prononco
level	ŝlosi	பூட்ட	to lock	grupo	alternativoj	prononco
level	sendinto	அனுப்பியவர் (அனுப்பிய ஒருவர்)	a sender (someone who has sent)	grupo	alternativoj	prononco
level	triangulo	முக்கோணம், ஒரு முக்கோணம்	triangle, a triangle	grupo	alternativoj	prononco
level	odori	மணக்க, மணம் வீச, நாற்றம் வீச	to smell, to give off an odour, to reek	grupo	alternativoj	prononco
level	kurso	ஒரு பாடநெறி, ஒரு வகுப்பு	a course, a class	grupo	alternativoj	prononco
level	supre	மேலே, மேல், மேல்நிலை	above, on top, overhead	grupo	alternativoj	prononco
level	lernanto	ஒரு மாணவர், ஒரு கற்பவர்	a student, a learner	grupo	alternativoj	prononco
level	verko	ஒரு வேலை (எழுதுதல்)	a work (of writing)	grupo	alternativoj	prononco
level	lernantino	ஒரு பெண் கற்பவர் (மாணவர்)	a female learner (student)	grupo	alternativoj	prononco
level	venonta	வரவிருக்கும், அடுத்தது	upcoming, next	grupo	alternativoj	prononco
level	jupo	ஒரு பாவாடை	a skirt	grupo	alternativoj	prononco
level	kuzo	ஒரு உறவினர் (ஆண்)	a cousin (male)	grupo	alternativoj	prononco
level	aŭtobuso	ஒரு பேருந்து (=buso)	a bus (=buso)	grupo	alternativoj	prononco
level	kvadrato	ஒரு சதுரம்	a square	grupo	alternativoj	prononco
level	produkto	ஒரு தயாரிப்பு	a product	grupo	alternativoj	prononco
level	produkti	உற்பத்தி செய்ய, தாங்க	to produce, to bear	grupo	alternativoj	prononco
level	banko	ஒரு வங்கி	a bank	grupo	alternativoj	prononco
level	donaco	ஒரு பரிசு, ஒரு பரிசு	a gift, a present	grupo	alternativoj	prononco
level	gardi	காக்க, காக்க, கவனிக்க	to guard, to keep, to look after	grupo	alternativoj	prononco
level	fiksa	சரி செய்யப்பட்டது	fixed	grupo	alternativoj	prononco
level	volonte	விருப்பத்துடன் (இதயத்தில் இருந்து)	willingly (from heart)	grupo	alternativoj	prononco
level	laŭta	உரத்த	loud	grupo	alternativoj	prononco
level	fadeno	ஒரு நூல்	a thread	grupo	alternativoj	prononco
level	gusto	ஒரு சுவை	a taste	grupo	alternativoj	prononco
level	leginte	படித்த பின்பு	after reading	grupo	alternativoj	prononco
level	enironte	உள்ளே நுழையும் போது	while about to enter	grupo	alternativoj	prononco
level	dato	தேதி, ஒரு தேதி	date, a date	grupo	alternativoj	prononco
level	fundo	கீழே, அடித்தளம்	bottom, foundation	grupo	alternativoj	prononco
level	radiko	ஒரு வேர்	a root	grupo	alternativoj	prononco
level	bonvole -u	தயவுசெய்து (~u)	please (~u)	grupo	alternativoj	prononco
level	signifo	ஒரு அர்த்தம், ஒரு முக்கியத்துவம்	a meaning, a significance	grupo	alternativoj	prononco
level	fiksi	சரி செய்ய, கட்டு	to fix, to fasten	grupo	alternativoj	prononco
level	vana	வீண், பயனற்றது	vain, useless	grupo	alternativoj	prononco
level	vaporo	நீராவி, நீராவி	steam, vapor	grupo	alternativoj	prononco
level	rakonto	ஒரு கதை, ஒரு கதை	a narrative, a story	grupo	alternativoj	prononco
level	bonvolu -i	தயவுசெய்து (~i)	please (~i)	grupo	alternativoj	prononco
level	figuro	ஒரு உருவம், ஒரு படம், ஒரு படம்	a figure, a picture, an image	grupo	alternativoj	prononco
level	arĝento	வெள்ளி	silver	grupo	alternativoj	prononco
level	ĝirafo	ஒரு ஒட்டகச்சிவிங்கி	a giraffe	grupo	alternativoj	prononco
level	ĉarma	வசீகரமான	charming	grupo	alternativoj	prononco
level	rulo	ஒரு ரோல், ஒரு ஓட்டம்	a roll, a run	grupo	alternativoj	prononco
level	gitaro	ஒரு கிடார்	a guitar	grupo	alternativoj	prononco
level	miliardo	ஒரு பில்லியன்	a billion	grupo	alternativoj	prononco
level	eterna	நித்திய, நித்திய	eternal, everlasting	grupo	alternativoj	prononco
level	ĵurnalo (tag-)	ஒரு செய்தித்தாள்	a newspaper	grupo	alternativoj	prononco
level	memoro	ஒரு நினைவு	a memory	grupo	alternativoj	prononco
level	ruli	உருட்ட, ஒரு நிரலை இயக்க	to roll, to run a program	grupo	alternativoj	prononco
level	larmo	கண்ணீர், ஒரு கண்ணீர்	tear, a tear	grupo	alternativoj	prononco
level	inko	ஒரு மை	an ink	grupo	alternativoj	prononco
level	majstro	மாஸ்டர், ஒரு மேஸ்ட்ரோ, ஒரு மாஸ்டர் (ஒருவரின் கலை)	Master, a maestro, a master (of one's art)	grupo	alternativoj	prononco
level	leono	ஒரு சிங்கம்	a lion	grupo	alternativoj	prononco
level	tiom da ~	இவ்வளவு ~, அந்த அளவுக்கு ~, அந்த பல ~	so much of ~, that much of ~, that many of ~	grupo	alternativoj	prononco
level	ventro	வயிறு, வயிறு, வயிறு	belly, abdomen, tummy	grupo	alternativoj	prononco
level	placo	ஒரு சதுரம், ஒரு பிளாசா	a squre, a plaza	grupo	alternativoj	prononco
level	fidi	நம்பிக்கை, நம்பிக்கை	to trust, to have faith in	grupo	alternativoj	prononco
level	iom da ~	சிறிய அளவு ~, சில	small amount of ~, some	grupo	alternativoj	prononco
level	babili	அரட்டை அடிப்பது, பேசுவது, அரட்டை அடிப்பது	to chat, to babble, to chatter	grupo	alternativoj	prononco
level	kavo	ஒரு குகை, ஒரு குழி	a cave, a cavity	grupo	alternativoj	prononco
level	ioma	சில பணம், சில	of some amout, some	grupo	alternativoj	prononco
level	ŝultro	ஒரு தோள்பட்டை	a shoulder	grupo	alternativoj	prononco
level	adiaŭ	விடைபெறுகிறேன், விடைபெறுகிறேன்	goodbye, adieu, farewell	grupo	alternativoj	prononco
level	rezigni	ராஜினாமா செய்ய, விட்டுக்கொடுக்க, சரணடைய, கைவிட	to resign, to give up, to surrender, to abandon	grupo	alternativoj	prononco
level	sekreto	ஒரு ரகசியம்	a secret	grupo	alternativoj	prononco
level	droni	மூழ்கடிக்க	to drown	grupo	alternativoj	prononco
level	celi	இலக்கு, இலக்கு, நோக்கம்	to aim, to target, to intend	grupo	alternativoj	prononco
level	restoracio	ஒரு உணவகம்	a restaurant	grupo	alternativoj	prononco
level	turo	ஒரு கோபுரம்	a tower	grupo	alternativoj	prononco
level	sablo	மணல், ஒரு மணல்	sand, a sand	grupo	alternativoj	prononco
level	tondro	ஒரு இடி	a thunder	grupo	alternativoj	prononco
level	ies	யாரோ ஒருவரின்	someone's	grupo	alternativoj	prononco
level	tapiŝo	ஒரு கம்பளம், ஒரு விரிப்பு	a carpet, a rug	grupo	alternativoj	prononco
level	bezonata	தேவை, தேவை, தேவை	needed, required, wanted	grupo	alternativoj	prononco
level	ilustrita	விளக்கப்பட்டது	illustrated	grupo	alternativoj	prononco
level	razi	சவரம் செய்ய	to shave	grupo	alternativoj	prononco
level	standardo	ஒரு பதாகை, ஒரு கொடி	a banner, a flag	grupo	alternativoj	prononco
level	mentono	கன்னம், ஒரு கன்னம்	chin, a chin	grupo	alternativoj	prononco
level	valizo	ஒரு சூட்கேஸ், ஒரு வாலிஸ்	a suitcase, a valise	grupo	alternativoj	prononco
level	okupata	(இருப்பது) ஆக்கிரமிக்கப்பட்ட, பிஸியாக	(being) occupied, busy	grupo	alternativoj	prononco
level	suko	சாறு, ஒரு சாறு	juice, a sap	grupo	alternativoj	prononco
level	komunumo	ஒரு சமூகம்	a community	grupo	alternativoj	prononco
level	fontano	ஒரு நீரூற்று	a fountain	grupo	alternativoj	prononco
level	konato	தெரிந்தவர், அறிமுகமானவர்	a person known, an aquaintance	grupo	alternativoj	prononco
level	okupita	(இருந்து) ஆக்கிரமிக்கப்பட்ட, பிஸியாக, நிச்சயதார்த்தம்	(having been) occupied, busy, engaged	grupo	alternativoj	prononco
level	esti okupita	ஆக்கிரமிப்பு, ஈடுபாடு, ஈடுபடுதல்	to be occupied, to be involved, to engage upon	grupo	alternativoj	prononco
level	pino	ஒரு பைன் மரம்	a pine tree	grupo	alternativoj	prononco
level	konstruota	(செய்யப்படும்) கட்டப்படும்	(will be) constructed	grupo	alternativoj	prononco
level	kaptita	(இருந்து) பிடிபட்ட, சிறைப்பட்ட	(having been) caught, captive	grupo	alternativoj	prononco
level	kaptota	கைப்பற்றப்படும்	(will be) captured	grupo	alternativoj	prononco
level	rezulti	விளைவாக	to result	grupo	alternativoj	prononco
level	kaptito	ஒரு கைதி (பிடிபட்டார்)	a prisoner (had been caught)	grupo	alternativoj	prononco
level	komputi	கணக்கிட	to compute	grupo	alternativoj	prononco
level	batite	(அடிக்கப்பட்ட) பிறகு	after (having been) beaten	grupo	alternativoj	prononco
level	kovrita	மூடப்பட்ட	covered	grupo	alternativoj	prononco
level	teatro	ஒரு தியேட்டர்	a theatre	grupo	alternativoj	prononco
level	sezono	பருவம், ஒரு பருவம்	season, a season	grupo	alternativoj	prononco
level	kelnero	ஒரு பணியாள்	a waiter	grupo	alternativoj	prononco
level	tabelo	ஒரு அட்டவணை, ஒரு அட்டவணை, ஒரு அட்டவணை	a table, a tabulation, an index	grupo	alternativoj	prononco
level	publiko	பொது, பொது மக்கள்	public, public people	grupo	alternativoj	prononco
level	apogi	ஆதரிக்க, நிலைநிறுத்த	to support, to uphold	grupo	alternativoj	prononco
level	distri	திசைதிருப்ப, திசைதிருப்ப, பொழுதுபோக்கு	to distract, to divert, to entertain	grupo	alternativoj	prononco
level	patrino	ஒரு தாய்	a mother	grupo	alternativoj	prononco
level	distanco	ஒரு தூரம்	a distance	grupo	alternativoj	prononco
level	aparte	தவிர, தனித்தனியாக	apart, separately	grupo	alternativoj	prononco
level	originala	அசல்	original	grupo	alternativoj	prononco
level	bicikli	சைக்கிள் ஓட்டுவதற்கு, பைக் ஓட்டுவதற்கு	to bicycle, to ride a bike	grupo	alternativoj	prononco
level	regulo	ஒரு விதி, ஒரு ஒழுங்குமுறை	a rule, a regulation	grupo	alternativoj	prononco
level	troa	அதிகப்படியான, தேவையற்ற	excessive, undue	grupo	alternativoj	prononco
level	tre agrable!	மிகவும் அருமை!	very nice!	grupo	alternativoj	prononco
level	balanci	ஆடுவதற்கு, ஆடுவதற்கு	to swing, to rock	grupo	alternativoj	prononco
level	ŝtrumpo	ஒரு ஸ்டாக்கிங்	a stocking	grupo	alternativoj	prononco
level	kontroli	சரிபார்க்க, தணிக்கை செய்ய, சரிபார்க்க	to check, to audit, to check up on	grupo	alternativoj	prononco
level	pasto	ஒரு பேஸ்ட், ஒரு மாவு	a paste, a dough	grupo	alternativoj	prononco
level	rektangulo	செவ்வகம், ஒரு செவ்வகம்	rectangle, a rectangle	grupo	alternativoj	prononco
level	falsa	பொய், போலி, போலி, போலி, போலி	false, counterfeit, fake, forged, spurious	grupo	alternativoj	prononco
level	ŝerci	கேலி செய்ய, கேலி செய்ய	to joke, to jest	grupo	alternativoj	prononco
level	problemo	ஒரு பிரச்சனை, ஒரு பிரச்சனை	a problem, a trouble	grupo	alternativoj	prononco
level	kulturi	கலாச்சாரத்திற்கு (மண், நிலம்)	to culture (soil, land)	grupo	alternativoj	prononco
level	lernejo	ஒரு பள்ளி, ஒரு கற்றல் இடம்	a school, a learning place	grupo	alternativoj	prononco
level	manĝejo	சாப்பிடும் இடம், உணவகம், சாப்பாட்டு அறை, கேன்டீன்	an eating place, a restaurant, a dining room, a canteen	grupo	alternativoj	prononco
level	flago	ஒரு கொடி, ஒரு பதாகை	a flag, a banner	grupo	alternativoj	prononco
level	universala	உலகளாவிய, பொது, உலகம் முழுவதும்	universal, general, worldwide	grupo	alternativoj	prononco
level	vendejo	ஒரு கடை, ஒரு கடை	a store, a shop	grupo	alternativoj	prononco
level	parko	ஒரு பூங்கா	a park	grupo	alternativoj	prononco
level	kesto	ஒரு மார்பு, ஒரு பெட்டி, ஒரு வழக்கு	a chest, a box, a case	grupo	alternativoj	prononco
level	preĝejo	ஒரு தேவாலயம், ஒரு கிர்க்	a church, a kirk	grupo	alternativoj	prononco
level	ataki	தாக்க	to attack	grupo	alternativoj	prononco
level	fako	ஒரு கிளை, ஒரு ஒழுக்கம், ஒரு சிறப்பு, ஒரு பெட்டி	a branch, a discipline, a specialty, a compartment	grupo	alternativoj	prononco
level	librovendejo	ஒரு புத்தகக் கடை, ஒரு புத்தகக் கடை	a bookshop, a bookstore	grupo	alternativoj	prononco
level	fama	பிரபலமான	famous	grupo	alternativoj	prononco
level	kafejo	ஒரு கஃபே, ஒரு காபி கடை	a cafe, a coffee shop	grupo	alternativoj	prononco
level	kuseno	ஒரு குஷன், ஒரு வீசுதல் தலையணை	a cushion, a throw pillow	grupo	alternativoj	prononco
level	desegni	வடிவமைக்க, வரைய, வரைய	to design, to delineate, to draw	grupo	alternativoj	prononco
level	konveni	பொருத்தமானது, பொருத்தமானது	to be appropriate, to be suitable	grupo	alternativoj	prononco
level	akceptejo	ஒரு வரவேற்பு மேசை	a reception desk	grupo	alternativoj	prononco
level	necesejo	ஒரு கழிப்பறை, ஒரு கழிப்பறை	a toilet, a restroom	grupo	alternativoj	prononco
level	sporto	விளையாட்டு, ஒரு விளையாட்டு	sport, a sport	grupo	alternativoj	prononco
level	fridujo	ஒரு குளிர்சாதன பெட்டி, ஒரு குளிர்சாதன பெட்டி	a fridge, a refrigerator	grupo	alternativoj	prononco
level	rubujo	ஒரு குப்பைத் தொட்டி, ஒரு தொட்டி, ஒரு குப்பைத் தொட்டி	a trash bin, a bin, a trash can	grupo	alternativoj	prononco
level	defendi	பாதுகாக்க	to defend	grupo	alternativoj	prononco
level	eduki	கல்வி கற்பதற்கு	to educate	grupo	alternativoj	prononco
level	hejti	சூடு, சூடு	to heat up, to warm up	grupo	alternativoj	prononco
level	listo	ஒரு பட்டியல்	a list	grupo	alternativoj	prononco
level	kondiĉo	ஒரு நிபந்தனை	a condition	grupo	alternativoj	prononco
level	poste	பின்னர், பின்னர், அடுத்தது	later, afterwards, next	grupo	alternativoj	prononco
level	brakumi	அணைத்துக்கொள், அணைத்துக்கொள்	to embrace, to hug	grupo	alternativoj	prononco
level	ĝoja	மகிழ்ச்சி, மகிழ்ச்சி, மகிழ்ச்சி	joyfull, glad, happy	grupo	alternativoj	prononco
level	malvarmumo	சளி (பிடித்தது)	a cold (caught)	grupo	alternativoj	prononco
level	salono	ஒரு உட்காரும் அறை, ஒரு லவுஞ்ச், ஒரு வரவேற்புரை	a sitting room, a lounge, a salon	grupo	alternativoj	prononco
level	konsisti	கொண்டிருக்கும்	to consist	grupo	alternativoj	prononco
level	hejme	வீட்டில்	at home	grupo	alternativoj	prononco
level	spezo	ஒரு விற்றுமுதல்	a turnover	grupo	alternativoj	prononco
level	kalendaro	ஒரு காலண்டர்	a calendar	grupo	alternativoj	prononco
level	imagi	கற்பனை செய்ய	to imagine	grupo	alternativoj	prononco
level	fidela	விசுவாசமான, நம்பகமான	faithful, trustworthy	grupo	alternativoj	prononco
level	partopreni	பங்கேற்க, பங்கேற்க	to participate, to take part	grupo	alternativoj	prononco
level	kastelo	ஒரு கோட்டை, ஒரு கோட்டை	a castle, a citadel	grupo	alternativoj	prononco
level	-op-	(பின்னொட்டு) எண்களில் ஒரு குழு	(suffix)  a group in numbers	grupo	alternativoj	prononco
level	ĉeesti	கலந்து கொள்ள, இருக்க வேண்டும்	to attend, to be present at	grupo	alternativoj	prononco
level	televido	தொலைக்காட்சி, தொலைக்காட்சி	TV, television	grupo	alternativoj	prononco
level	studento	ஒரு மாணவர் (பல்கலைக்கழகம்)	a student (university)	grupo	alternativoj	prononco
level	impreso	ஒரு எண்ணம்	an impression	grupo	alternativoj	prononco
level	pupo	ஒரு பொம்மை, ஒரு பொம்மை	a doll, a puppet	grupo	alternativoj	prononco
level	konstanta	நிலையான, தொடர்ச்சியான, நிரந்தர	constant, continual, permanent	grupo	alternativoj	prononco
level	ebena	பிளாட், கூட, விமானம், நிலை	flat, even, plane, level	grupo	alternativoj	prononco
level	jaraĝa	~ வயது	~ years old	grupo	alternativoj	prononco
level	blovi	ஊதுவதற்காக	to blow	grupo	alternativoj	prononco
level	konfesi	ஒப்புக்கொள்ள, ஒப்புக்கொள்ள	to confess, to admit	grupo	alternativoj	prononco
level	ekstere	வெளியில், வெளிநாட்டில்	outside, abroad	grupo	alternativoj	prononco
level	remi	வரிசையாக	to row	grupo	alternativoj	prononco
level	kaserolo	ஒரு பாத்திரம், ஒரு பாத்திரம், ஒரு பாத்திரம்	a casserole, a pan, a saucepan	grupo	alternativoj	prononco
level	gepatroj	(இருவரும்) பெற்றோர்	(both) parents	grupo	alternativoj	prononco
level	geedziĝi	திருமணம் செய்ய, திருமணம் செய்ய	to get married, to marry	grupo	alternativoj	prononco
level	vundo	ஒரு காயம், ஒரு காயம்	a wound, an injury	grupo	alternativoj	prononco
level	scienco	அறிவியல், ஒரு அறிவியல்	science, a science	grupo	alternativoj	prononco
level	monero	ஒரு நாணயம்	a coin	grupo	alternativoj	prononco
level	kompari	ஒப்பிடுவதற்கு	to compare	grupo	alternativoj	prononco
level	arko	ஒரு வளைவு (வளைவு)	an arc (of a curve)	grupo	alternativoj	prononco
level	sperta	அனுபவம் வாய்ந்த, நிபுணர்	experienced, expert	grupo	alternativoj	prononco
level	sankta	புனிதமான, புனிதமான	holy, sacred	grupo	alternativoj	prononco
level	lavujo	ஒரு வாஷ்பேசின்	a washbasin	grupo	alternativoj	prononco
level	trajno	ஒரு ரயில்	a train	grupo	alternativoj	prononco
level	domaĝo	ஒரு பரிதாபம், வருந்தத்தக்க ஒன்று	a pity, something regrettable	grupo	alternativoj	prononco
level	akra	கூர்மையான, சிராய்ப்பு	sharp, abrasive	grupo	alternativoj	prononco
level	meriti	தகுதி, தகுதி, தகுதி	to deserve, to merit, to be worthy of	grupo	alternativoj	prononco
level	ekparoli	பேச ஆரம்பிக்க	to start speaking	grupo	alternativoj	prononco
level	ekscii	தெரிந்துகொள்ள, உணர, கற்றுக்கொள்ள	to get to know, to realise, to learn	grupo	alternativoj	prononco
level	semo	ஒரு விதை	a seed	grupo	alternativoj	prononco
level	reveni	திரும்பி வர, திரும்ப	to come back, to return	grupo	alternativoj	prononco
level	lupo	ஒரு ஓநாய்	a wolf	grupo	alternativoj	prononco
level	elefanto	ஒரு யானை	an elephant	grupo	alternativoj	prononco
level	karoto	ஒரு கேரட்	a carrot	grupo	alternativoj	prononco
level	haŭto	தோல், ஒரு தோல்	skin, a skin	grupo	alternativoj	prononco
level	palaco	ஒரு அரண்மனை	a palace	grupo	alternativoj	prononco
level	eksidi	உட்கார வேண்டும்	to get sit down	grupo	alternativoj	prononco
level	mamo	ஒரு மார்பகம் (ஒரு பெண்ணின்), மார்பகம்	a breast (of a woman), boob	grupo	alternativoj	prononco
level	urso	ஒரு கரடி	a bear	grupo	alternativoj	prononco
level	vulpo	ஒரு நரி	a fox	grupo	alternativoj	prononco
level	kuracisto	ஒரு (மருத்துவ) மருத்துவர், ஒரு மருத்துவர்	a (medical) doctor, a physician	grupo	alternativoj	prononco
level	kurteno	ஒரு திரை, ஒரு திரை, ஒரு முக்காடு	a curtain, a screen, a veil	grupo	alternativoj	prononco
level	venki	ஜெயிக்க, ஜெயிக்க, ஜெயிக்க, ஜெயிக்க	to conquer, to conquest, to win, to overcome	grupo	alternativoj	prononco
level	soldato	ஒரு இராணுவ வீரன்	a soldier	grupo	alternativoj	prononco
level	trunko	ஒரு தண்டு, ஒரு தண்டு, ஒரு உடற்பகுதி	a trunk, a shaft, a torso	grupo	alternativoj	prononco
level	ŝtelisto	ஒரு திருடன்	a thief	grupo	alternativoj	prononco
level	miksi	கலக்க, கலக்க, கலக்க	to mix, to blend, to shuffle	grupo	alternativoj	prononco
level	preciza	துல்லியமான, துல்லியமான	precise, accurate	grupo	alternativoj	prononco
level	instruisto	ஒரு ஆசிரியர், ஒரு பயிற்றுவிப்பாளர்	a teacher, an instructor	grupo	alternativoj	prononco
level	tedi	சலிப்படைய	to bore	grupo	alternativoj	prononco
level	gaso	வாயு	gas	grupo	alternativoj	prononco
level	fervora	ஆர்வமுள்ள, ஆர்வமுள்ள, ஆர்வமுள்ள, உணர்ச்சிவசப்பட்ட	earnest, eager, fervent, impassioned	grupo	alternativoj	prononco
level	diablo	ஒரு பிசாசு	a devil	grupo	alternativoj	prononco
level	densa	அடர்த்தியான, தடித்த, செறிவூட்டப்பட்ட	dense, thick, concentrated	grupo	alternativoj	prononco
level	stranga	விசித்திரமான, ஒற்றைப்படை, விசித்திரமான	strange, odd, peculiar	grupo	alternativoj	prononco
