A.et content.tsv
Level	Esperanto	et	en-us	Grupo	Alternativoj	Pronoco
level	falis el la mano	kukkus käest	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	lauale, lauale	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	see kukkus lauale	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	palus vabandust	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	otsis viit raamatut	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	vabandust, ma otsisin oma raamatut.	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	aga sa tead hästi	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	pole minu laual	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	sinu raamatuid pole minu laual	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	jälle andis, tagastas	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	tagastage kiri mulle	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	sai hea õppetunni	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	edasi pesi, sõi enam	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	enam ei loe	will no longer read	grupo	alternativoj	prononco
level	ankaŭ mi ricevis	sain ka	I also received	grupo	alternativoj	prononco
level	devas fermi	peab sulgema	has to close	grupo	alternativoj	prononco
level	mi devas bone fermi	Pean hästi sulgema	I have to close well	grupo	alternativoj	prononco
level	bone fermis la pordon	sulges ukse tihedalt	closed the door tightly	grupo	alternativoj	prononco
level	trankvila, trankviliĝu	rahune, rahune maha	calm, calm down	grupo	alternativoj	prononco
level	aŭdis sed ne aŭskultis	kuulnud, aga ei kuulanud	heard but did not listen	grupo	alternativoj	prononco
level	aŭdis trankvilan sonon	kuulis rahulikku häält	heard a calm sound	grupo	alternativoj	prononco
level	ĉe mi estis kvar poŝoj	minul on 4 taskut	at me, there are 4 pockets	grupo	alternativoj	prononco
level	dek tagoj post la lasta leciono	kümme päeva pärast viimast õppetundi	ten days after the last lesson	grupo	alternativoj	prononco
level	inter la du tabloj	kahe laua vahele	between the two tables	grupo	alternativoj	prononco
level	tri leteroj, ses paperoj	kolm tähte, kuus paberit	three letters, six papers	grupo	alternativoj	prononco
level	de kapo ĝis piedo	pealaest jalani	from head to foot	grupo	alternativoj	prononco
level	kvar, kvara, kvaropo, kvarono	neli, neljas, kvartett, veerand	four, fourth, a quartet, a quarter	grupo	alternativoj	prononco
level	kien iris la triopo?	kuhu kolmik läks	where did the trio go	grupo	alternativoj	prononco
level	kvin fingroj en ambaŭaj manoj	viis sõrme mõlemas käes	five fingers in both hands	grupo	alternativoj	prononco
level	si mem, sia poŝo	ise, oma tasku	by oneself, one's own pocket	grupo	alternativoj	prononco
level	meti, kunmeti, kunmetaĵo	panema, kokku panema, ühend	put, put together, a compound	grupo	alternativoj	prononco
level	metis en sian poŝon	oma taskusse pista	put in one's own pocket	grupo	alternativoj	prononco
level	du cent nacioj en la mondo	kakssada riiki maailmas	two hundred nations in the world	grupo	alternativoj	prononco
level	prenis, forprenis	võttis, võttis ära	took, took away	grupo	alternativoj	prononco
level	prenis sep el siaj naŭ libroj	võttis enda üheksast raamatust välja seitse	took seven out of his own nine books	grupo	alternativoj	prononco
level	lasi, forlasita	lahkuma, mahajäetud	to leave, abandoned	grupo	alternativoj	prononco
level	lasu min sola kaj trankvila	jäta mind rahule ja rahu	leave me alone and calm	grupo	alternativoj	prononco
level	mil ok cent ok dek sep	tuhat kaheksasada kaheksakümmend seitse (1887)	thousand eight hundred and eighty seven (1887)	grupo	alternativoj	prononco
level	taso da teo	tass teed	a cup of tea	grupo	alternativoj	prononco
level	oni lavis ok tasojn	keegi pesi kaheksa tassi ära	somebody washed eight cups	grupo	alternativoj	prononco
level	du mil dek naŭ	kaks tuhat üheksateist (2019)	two thousand nineteen (2019)	grupo	alternativoj	prononco
level	li lavis sin	ta pesi ennast	he washed himself	grupo	alternativoj	prononco
level	sia korpo, sia propra posedo	oma keha, enda omand	one's body, one's own possession	grupo	alternativoj	prononco
level	sur la tablo, la kato dormis	laua peal, kass magas	on the table, the cat slept	grupo	alternativoj	prononco
level	la kato saltis sur la tablon	kass hüppas lauale	the cat jumped onto the table	grupo	alternativoj	prononco
level	en la halo, en la halon	saalis, saali	in the hall, into the hall	grupo	alternativoj	prononco
level	enfalis en lian manon	sattus tema kätte	fell into his hand	grupo	alternativoj	prononco
level	labori, ellabori	töötada, täpsustada	to work, to elaborate	grupo	alternativoj	prononco
level	ellabori por tiu libro	et seda raamatut täpsustada	to elaborate for that book	grupo	alternativoj	prononco
level	scias, scivolas, scivolo	teab, tahab teada, uudishimu	knows, wants to know, curiosity	grupo	alternativoj	prononco
level	dulingva, dulingveco	kakskeelsus, kakskeelsus	bilingual, bilingualism	grupo	alternativoj	prononco
level	scivolas pri trilingva lernanto	imestab kolmkeelset õppijat	wonders about a trilingual learner	grupo	alternativoj	prononco
level	iris, reiris	läks, tuli tagasi	went, returned	grupo	alternativoj	prononco
level	la katoj reiris al siaj domoj	kassid pöördusid tagasi oma (oma)kodudesse	the cats returned to their (own) homes	grupo	alternativoj	prononco
level	en la sako, en la sakon	kotti, kotti	in the bag, into the bag	grupo	alternativoj	prononco
level	enmetu ĝin en vian sakon	pane see oma kotti	put it into your bag	grupo	alternativoj	prononco
level	piedo, piediras, piediranto	jalg, kõnnib, jalakäija	a foot, walks, a pedestrian	grupo	alternativoj	prononco
level	dek-tage ili piediris	kümme päeva nad kõndisid	for ten days, they walked	grupo	alternativoj	prononco
level	preni, elpreni	võtma, välja võtma	to take, to take out	grupo	alternativoj	prononco
level	belaj floroj, prenis belajn florojn	ilusad lilled, võttis ilusad lilled	beautiful flowers, took beautiful flowers	grupo	alternativoj	prononco
level	li elprenis nur belajn florojn	ta võttis välja ainult ilusad lilled	he took out only beautiful flowers	grupo	alternativoj	prononco
level	malfermis, sed tuj fermis	lahti, aga kohe kinni	opened, but immediately closed	grupo	alternativoj	prononco
level	malfermis internacian kunvenon	avas rahvusvahelise kohtumise	opened an international meeting	grupo	alternativoj	prononco
level	eldonis kaj disdonis	avaldatud ja levitatud	published and distributed	grupo	alternativoj	prononco
level	la eldonisto eldonis dudek tri librojn	kirjastus andis välja kakskümmend kolm raamatut	the publisher published twenty-three books	grupo	alternativoj	prononco
level	revenis kaj revidis sian filon	tuli tagasi ja nägi jälle oma poega	returned and saw one's own son again	grupo	alternativoj	prononco
level	en la jaro dumil dudek tri	aastal kaks tuhat kakskümmend kolm (2023)	in the year two thousand and twenty three (2023)	grupo	alternativoj	prononco
level	sinjoro eniris la vendejon	poodi sisenes (sisse) härrasmees	a gentleman entered (into) the store	grupo	alternativoj	prononco
level	la vendejo de aŭtoj	autode pood	the store of cars	grupo	alternativoj	prononco
level	tie li vidas sinjorinon	seal näeb ta naist	there he sees a lady	grupo	alternativoj	prononco
level	karaj gesinjoroj	kallid daamid ja härrad	dear ladies and gentlemen	grupo	alternativoj	prononco
level	tio plaĉis al mi	see meeldis mulle (see meeldib mulle)	that pleased me (I like that)	grupo	alternativoj	prononco
level	la sinjorino plaĉis al li	daam meeldis talle (talle meeldis see daam)	the lady pleased him (he liked the lady)	grupo	alternativoj	prononco
level	vidis la belan sinjorinon	nägi ilusat naist	saw the beautiful lady	grupo	alternativoj	prononco
level	kiu plaĉis al li?	kes talle meeldis? (kes talle meeldis?)	who pleased him? (whom did he like?)	grupo	alternativoj	prononco
level	la virino, kiu plaĉis al mi	naine, kes mulle meeldis	the woman, who pleased me	grupo	alternativoj	prononco
level	tiu, kiu eniris la domon	see, kes majja sisenes	the one who entered the house	grupo	alternativoj	prononco
level	la viro, kiu donacis ĝin	mees, kes selle annetas	the man who donated it	grupo	alternativoj	prononco
level	li donacis ringon al lia edzino	ta kinkis oma naisele sõrmuse	he gave a ring to his wife	grupo	alternativoj	prononco
level	la ringo plaĉis al ŝi	talle meeldis sõrmus	she liked the ring	grupo	alternativoj	prononco
level	la edzino, al kiu la ringo plaĉis	naine, kellele sõrmus meeldis	the wife who liked the ring	grupo	alternativoj	prononco
level	vendisto laboras en la vendejo	kaupluses töötab müüja	a salesman works in the store	grupo	alternativoj	prononco
level	vendisto de aŭtoj	autode müüja	a salesman of cars	grupo	alternativoj	prononco
level	la sinjoro demandis al la vendisto	küsis härra müüjalt	the gentleman asked the salesman	grupo	alternativoj	prononco
level	kiu aŭto plaĉas al vi?	milline auto sulle meeldib?	which car do you like?	grupo	alternativoj	prononco
level	kiun aŭton vi elektos?	millise auto sa valiksid?	which car will you choose?	grupo	alternativoj	prononco
level	mi elektis tiun aŭton	Valisin selle auto	I chose that car	grupo	alternativoj	prononco
level	ĝi estas pli bona	see on parem	it is better	grupo	alternativoj	prononco
level	pli bona ol ĉi tio	parem kui see	better than this	grupo	alternativoj	prononco
level	plej bona el ili	parim neist	best of them	grupo	alternativoj	prononco
level	estas la plej bona	on parim	is the best	grupo	alternativoj	prononco
level	kiu aŭto estas la plej bona?	milline auto on parim?	which car is the best?	grupo	alternativoj	prononco
level	tiu ĉi aŭto estas pli bona	see auto on parem	this car is better	grupo	alternativoj	prononco
level	tiu ĉi estas la plej bona	see üks on parim	this one is the best	grupo	alternativoj	prononco
level	vidis ĉiujn aŭtojn	nägin kõiki autosid	saw all the cars	grupo	alternativoj	prononco
level	la plej bona el ĉiuj	parim kõigist	the best of all	grupo	alternativoj	prononco
level	ĉu ĝi estas rapida?	kas see on kiire?	is it fast?	grupo	alternativoj	prononco
level	pli rapida ol aliaj	kiiremini kui teised	faster than others	grupo	alternativoj	prononco
level	estas ankaŭ forta	on ka tugev	is also strong	grupo	alternativoj	prononco
level	ho jes, kompreneble!	oh jah, muidugi!	oh yes, of course!	grupo	alternativoj	prononco
level	estas tre forta	on väga tugev	is very strong	grupo	alternativoj	prononco
level	certe ĝi estas forta	kindlasti on see tugev	certainly it is strong	grupo	alternativoj	prononco
level	estas ankaŭ multekosta	on ka kallis	is also expensive	grupo	alternativoj	prononco
level	la plej multekosta el ĉiuj	kõige kallim üldse	the most expensive of all	grupo	alternativoj	prononco
level	malmultekosta sed forta	odav, kuid tugev	cheap but strong	grupo	alternativoj	prononco
level	bedaŭras kaj bedaŭrindas	kahetseb ja haletseb (tasub kahetseda)	feels sorry and is pityful (worth feeling sorry)	grupo	alternativoj	prononco
level	bedaŭrinde mi ne aĉetos	kahjuks ei osta	unfortunately I will not buy	grupo	alternativoj	prononco
level	estas bedaŭrinda afero	on kahetsusväärne asi	is an unfortunate thing	grupo	alternativoj	prononco
level	li aĉetis novan aŭton	ta ostis uue auto	he bought a new car	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	sest mul pole raha	because I do not have money	grupo	alternativoj	prononco
level	mia malnova aŭto	minu vana auto	my old car	grupo	alternativoj	prononco
level	la plej malmultekosta el ĉiuj	kõige odavam	the cheapest of all	grupo	alternativoj	prononco
level	mi veturos tien	Ma sõidan sinna	I'll drive there	grupo	alternativoj	prononco
level	ankoraŭ veturos per ĝi	sõidab ikka sellega	will still drive with it	grupo	alternativoj	prononco
level	dum la tuta tago	terve päeva	all day long	grupo	alternativoj	prononco
level	dum li diris tion	kui ta seda ütles	while he said that	grupo	alternativoj	prononco
level	li denove rigardis ŝin	ta vaatas teda uuesti	he looked at her again	grupo	alternativoj	prononco
level	sed la vendisto diris	aga müüja ütles	but the salesman said	grupo	alternativoj	prononco
level	estus pli bone, ke ~	oleks parem, kui ~	it would be better that ~	grupo	alternativoj	prononco
level	rigardu tiun ĉi sinjorinon	vaata seda daami	look at this lady	grupo	alternativoj	prononco
level	ankaŭ tio estas tre multekosta	see on ka väga kallis	that is also very expensive	grupo	alternativoj	prononco
level	mi estas ŝia edzo	Olen tema abikaasa	I am her husband	grupo	alternativoj	prononco
level	kiom via vojaĝo kostis?	palju su reis maksma läks?	how much did your trip cost?	grupo	alternativoj	prononco
level	aŭskultu la kanton de via edzino	kuula oma naise laulu	listen to your wife's song	grupo	alternativoj	prononco
level	ne forgesu, ke ĝi tre multe kostas	ärge unustage, et see maksab palju	don’t forget that it costs a lot	grupo	alternativoj	prononco
level	li helpis la vendiston dum du horoj	ta aitas müüjat kaks tundi	he helped the salesman for two hours	grupo	alternativoj	prononco
level	jam pli ol tri jaroj	rohkem kui kolm aastat	for more than three years	grupo	alternativoj	prononco
level	kovri, kovrilo, malkovri	katta, katta, paljastada (avastada)	cover, cover, uncover (discover)	grupo	alternativoj	prononco
level	la kialon li ankoraŭ ne malkovris	põhjust pole ta veel avastanud	the reason he has not yet discovered	grupo	alternativoj	prononco
level	kial vi komencis sendi leterojn?	miks sa kirju saatma hakkasid?	why did you start sending letters?	grupo	alternativoj	prononco
level	dum ok monatoj li vivis tie	kaheksa kuud elas ta seal	for eight months he lived there	grupo	alternativoj	prononco
level	ne havis tempon por aŭskulti	polnud aega kuulata	didn't have time to listen	grupo	alternativoj	prononco
level	la aŭto estis jam plena	auto oli juba täis	the car was already full	grupo	alternativoj	prononco
level	kion vi manĝas?	mida sa sööd	what are you eating	grupo	alternativoj	prononco
level	kia estas la vetero?	kuidas ilm on?	what's the weather like?	grupo	alternativoj	prononco
level	kian aŭton vi havas?	mis auto sul on?	what kind of car do you have?	grupo	alternativoj	prononco
level	kiaj estis ŝiaj leteroj?	millised olid tema kirjad?	what were her letters like?	grupo	alternativoj	prononco
level	kie ni estas?	kus me oleme?	where are we?	grupo	alternativoj	prononco
level	kien vi iras?	kuhu sa lähed?	where are you going to?	grupo	alternativoj	prononco
level	al kiu vi donis ĝin?	kellele sa selle kinkisid?	to whom did you give it?	grupo	alternativoj	prononco
level	la viro, kun kiu vi vojaĝis	mees, kellega sa reisisid	the man whom you traveled with	grupo	alternativoj	prononco
level	pli granda ol la aŭto	suurem kui auto	bigger than the car	grupo	alternativoj	prononco
level	la plej alta el tiuj homoj	kõige pikem neist inimestest	the tallest of those people	grupo	alternativoj	prononco
level	li sidis dum la manĝo	ta istus õhtusöögil	he was sitting at dinner	grupo	alternativoj	prononco
level	ŝi skribas dum li legas	ta kirjutab, kui ta loeb	she writes while he reads	grupo	alternativoj	prononco
level	ĉi tie, en ĉi tiu ĉambro	siin, selles toas	here, in this room	grupo	alternativoj	prononco
level	tiu ĉi sinjoro	see härrasmees	this gentleman	grupo	alternativoj	prononco
level	aŭskultinda novaĵo	kuulamist väärt uudis	a news worth listening	grupo	alternativoj	prononco
level	la libro estas vere leginda	raamat on tõesti lugemist väärt	the book is really worth reading	grupo	alternativoj	prononco
level	bedaŭra afero	õnnetu asi	an unfortunate thing	grupo	alternativoj	prononco
level	bedaŭrinde, mi ne povas	kahjuks ma ei saa	unfortunately, I can't	grupo	alternativoj	prononco
level	nedankinde. estis mia plezuro	Palun. see oli minu rõõm	you are welcome. it was my pleasure	grupo	alternativoj	prononco
level	eta belulino ege belas	väike ilus tüdruk on väga ilus	small pretty girl is very beautiful	grupo	alternativoj	prononco
level	ĉiuj amikoj amas ŝin	kõik sõbrad armastavad teda	all friends love her	grupo	alternativoj	prononco
level	antaŭ tri monatoj	kolm kuud tagasi	three months ago	grupo	alternativoj	prononco
level	okazis malbono al ŝi	temaga juhtus midagi halba	something bad happened to her	grupo	alternativoj	prononco
level	ŝi falis pro aŭto	ta kukkus auto tõttu	she fell because of a car	grupo	alternativoj	prononco
level	malsaniĝis kaj temperaturo altiĝis	jäi haigeks ja temperatuur tõusis	became ill and temperature rose	grupo	alternativoj	prononco
level	patrino diris, ke ŝi devas ripozi	ema ütles, et peaks puhkama	mother said she should rest	grupo	alternativoj	prononco
level	ŝi devas resti hejme	ta peab koju jääma	she has to stay home	grupo	alternativoj	prononco
level	ŝi vokos doktoron	ta helistab arstile	she will call a doctor	grupo	alternativoj	prononco
level	je la naŭa horo	kell üheksa	at nine o'clock	grupo	alternativoj	prononco
level	matene venis je la oka	hommikul tuli kell kaheksa	in the morning came at eight o'clock	grupo	alternativoj	prononco
level	je la sepa morgaŭ vespere	homme õhtul kell seitse	at seven tomorrow evening	grupo	alternativoj	prononco
level	montris liajn manojn	näitas oma käsi	showed his hands	grupo	alternativoj	prononco
level	vesto, vestiĝas	kleit, läheb riidesse	dress, is getting dressed	grupo	alternativoj	prononco
level	vestiĝu kaj varmigu vian korpon	pane riidesse ja soojenda oma keha	get dressed and warm your body	grupo	alternativoj	prononco
level	hejme tuj malvestis kaj duŝis	kodus kohe riidest lahti ja duši all	at home immediately undressed and showered	grupo	alternativoj	prononco
level	doktoro rigardis ĉion	arst vaatas kõike	a doctor looked at everything	grupo	alternativoj	prononco
level	bone rigardis kaj fine diris	vaatas põhjalikult ja ütles lõpuks	looked throughly and finally said	grupo	alternativoj	prononco
level	unu semajnon restu hejme	jääda nädalaks koju	stay home for a week	grupo	alternativoj	prononco
level	deziras, ke vi estu trankvila	tahab, et sa oleksid rahulik	wants you to be calm	grupo	alternativoj	prononco
level	post unu semajno	ühe nädala pärast	after one week	grupo	alternativoj	prononco
level	vi fartos pli bone	tunned end paremini	you will feel better	grupo	alternativoj	prononco
level	trinku multe da teo	juua palju teed	drink plenty of tea	grupo	alternativoj	prononco
level	venos por revidi vin	tuleb sind uuesti vaatama	will come to see you again	grupo	alternativoj	prononco
level	ankaŭ li estu trankvila	las ta olla ka rahulik	let him be calm too	grupo	alternativoj	prononco
level	sana homo, sanulo	terve mees, terve inimene	healthy man, healthy person	grupo	alternativoj	prononco
level	zorgis pri si mem	hoolitses enda eest	took care of oneself	grupo	alternativoj	prononco
level	tuta afero tuje utilis al mi	kogu asi oli mulle korraga kasulik	the whole thing was useful to me at once	grupo	alternativoj	prononco
level	rimarkis, ke teruraĵo proksimas	märkasin, et lähedal on kohutav asi	noticed that horrible thing is near	grupo	alternativoj	prononco
level	petis tuj rimarki ĝin	palus seda kohe tähele panna	asked to notice it immediately	grupo	alternativoj	prononco
level	pensis, ke tio ne necesas	arvas, et see pole vajalik	thought that was not necessary	grupo	alternativoj	prononco
level	loĝis proksime, kaj tio utilis	elas lähedal ja see oli kasulik	lived nearby, and that was useful	grupo	alternativoj	prononco
level	nia lando hodiaŭ teruriĝis	meie riik on täna hirmunud	our country became terrified today	grupo	alternativoj	prononco
level	karaj infanoj el ĉiuj familioj	kallid lapsed kõigist peredest	dear children from all families	grupo	alternativoj	prononco
level	unu fojon hieraŭ, du fojojn morgaŭ	üks kord eile, kaks korda homme	once yesterday, twice tomorrow	grupo	alternativoj	prononco
level	hodiaŭ familioj bezonas infanojn	tänapäeval vajavad pered lapsi	today families need children	grupo	alternativoj	prononco
level	esperis, ke li fartos bone morgaŭ	lootis, et ta saab homme terveks	hoped he would be well tomorrow	grupo	alternativoj	prononco
level	li fartis ege trankvila	ta tundis (on olnud) väga rahulik	he was feeling (has been) very calm	grupo	alternativoj	prononco
level	tri etuloj altigis la monton	kolm väikest tõstsid mäe üles	three little ones raised the mountain	grupo	alternativoj	prononco
level	gravuloj ne petis helpon	tähtsad inimesed abi ei palunud	important people did not ask for help	grupo	alternativoj	prononco
level	piediris tien por helpi	kõndis sinna appi	walked there to help	grupo	alternativoj	prononco
level	restu hejme se temperaturo altas	jääge koju, kui temperatuur on kõrge	stay home if temperature is high	grupo	alternativoj	prononco
level	temperaturo restis simila hodiaŭ	temperatuur püsis täna sarnane	temperature remained similar today	grupo	alternativoj	prononco
level	voku la doktoron je la naŭa	helista arstile kell üheksa	call the doctor at nine	grupo	alternativoj	prononco
level	montru ĝin al via doktoro	näidake seda oma arstile	show it to your doctor	grupo	alternativoj	prononco
level	por montri vian piedon	oma jalga näidata	to show your foot	grupo	alternativoj	prononco
level	vestu ĉi tiun ĉemizon	kanna seda särki	wear this shirt	grupo	alternativoj	prononco
level	semajnfine ĉio trankviliĝos	nädalavahetusel rahuneb kõik maha	on the weekend everything will calm down	grupo	alternativoj	prononco
level	sub la te-taso kion vi trovis?	mida sa leidsid teetassi alt?	under the tea-cup what did you find?	grupo	alternativoj	prononco
level	mi deziras matenan teon	Ma tahan hommikuteed	I want morning tea	grupo	alternativoj	prononco
level	esperis trankvilan vesperon	lootis rahulikku õhtut	hoped for a quiet evening	grupo	alternativoj	prononco
level	deziras, ke vi lernu	tahab, et sa õpiksid	wants that you learn	grupo	alternativoj	prononco
level	insistis, ke mi iru	nõudis, et ma läheksin	insisted that I go	grupo	alternativoj	prononco
level	je kioma horo?	mis kell?	at what hour?	grupo	alternativoj	prononco
level	je la sesa, li venos	kell kuus ta tuleb	at six he will come	grupo	alternativoj	prononco
level	la libreto estis ĉarma	libreto oli võluv	the libretto was charming	grupo	alternativoj	prononco
level	estu trankvila	ole vaikselt	be quiet	grupo	alternativoj	prononco
level	li estu trankvila	las ta vaikib	let him be quiet	grupo	alternativoj	prononco
level	ankaŭ li	tema ka	he too	grupo	alternativoj	prononco
level	mi deziras	ma tahan (soov)	I want (desire)	grupo	alternativoj	prononco
level	mi deziras, ke ~	Soovin (soovin), et ~	I wish (desire) that ~	grupo	alternativoj	prononco
level	ke vi lernu	et sa õpid	that you learn	grupo	alternativoj	prononco
level	mi deziras, ke vi lernu	Ma tahan, et sa õpiksid	I want you to learn	grupo	alternativoj	prononco
level	patro insistas	isa nõuab	father insists	grupo	alternativoj	prononco
level	patro insistas, ke ~	isa nõuab, et ~	father insists that ~	grupo	alternativoj	prononco
level	ke mi iru	et ma lähen	that I go	grupo	alternativoj	prononco
level	patro insistas, ke mi iru	isa nõuab, et ma läheksin	father insists that I go	grupo	alternativoj	prononco
level	je kioma horo	mis kell	at what hour	grupo	alternativoj	prononco
level	je kioma horo vi venos?	mis kell sa tuled?	what time do you come?	grupo	alternativoj	prononco
level	je la kvina	kell viis)	at five (o'clock)	grupo	alternativoj	prononco
level	je la kvina horo	kell viis	at five o'clock	grupo	alternativoj	prononco
level	kiel li fartas?	kuidas tal läheb?	how does he doing?	grupo	alternativoj	prononco
level	kiel vi fartis lastatempe?	kuidas sul viimasel ajal läinud on?	how have you been lately?	grupo	alternativoj	prononco
level	etaj libroj belas	väikesed raamatud on ilusad	little books are beautiful	grupo	alternativoj	prononco
level	libreto, belaj libroj	vihik, ilusad raamatud	a booklet, beautiful books	grupo	alternativoj	prononco
level	bela, beleta, belega	ilus, natuke ilus, väga ilus	beautiful, a little pretty, very beautiful	grupo	alternativoj	prononco
level	varma, varmeta, varmega	soe, leige, väga kuum	warm, lukewarm, very hot	grupo	alternativoj	prononco
level	librego, libreto	suur raamat, vihik	a big book, a booklet	grupo	alternativoj	prononco
level	bona, bonega, bonege	hea, suurepärane, hästi	good, great, well	grupo	alternativoj	prononco
level	riĉa, riĉiĝi, riĉulo	rikas, saa rikkaks, rikas inimene	rich, become rich, a rich person	grupo	alternativoj	prononco
level	trankvila, trankviliĝi, trankviliĝu	rahunema, rahunema, rahunema	calm, to calm down, calm down	grupo	alternativoj	prononco
level	sana, resaniĝi, resaniĝis	terve, terveks saama, terveks saanud	healthy, to become healed, became healed	grupo	alternativoj	prononco
level	edzo, edziĝo, geedziĝis	abikaasa, abielu, abielus	a husband, marriage, married	grupo	alternativoj	prononco
level	leterportisto	kirjapostiljon	a letter postman	grupo	alternativoj	prononco
level	hejmlando	kodumaa	a homeland	grupo	alternativoj	prononco
level	iom, iomete	natuke, natuke	somewhat, a little	grupo	alternativoj	prononco
level	ni bonege vespermanĝis	meil oli suurepärane õhtusöök	we had a great dinner	grupo	alternativoj	prononco
level	espereble, prizorgu vin	loodetavasti hoolitsege enda eest	hopefully, take care of yourself	grupo	alternativoj	prononco
level	mi zorgis pri la altkvalita loĝejo	Mulle meeldis kvaliteetne eluase	I cared about the high-quality housing	grupo	alternativoj	prononco
level	pripensu dufoje, multfoje	mõtle kaks korda, mitu korda	think twice, many times	grupo	alternativoj	prononco
level	kiu deprenis la libreton?	kes vihiku maha võttis?	who took down the booklet?	grupo	alternativoj	prononco
level	kato, kiu nomiĝas Cezaro	kass nimega Caesar	a cat named Caesar	grupo	alternativoj	prononco
level	kuko, kiu estas sur la tablo	kook, mis on laual	a cake which is on the table	grupo	alternativoj	prononco
level	manĝu kukon, kiu estas sur la tablo	süüa kooki, mis on laual	eat a cake that is on the table	grupo	alternativoj	prononco
level	fariĝis varmega kaj ruĝiĝis	muutus kuumaks ja punastas	became hot and blushed	grupo	alternativoj	prononco
level	patro volas, ke lia infano manĝu	isa tahab, et tema laps sööks	a father wants his child to eat	grupo	alternativoj	prononco
level	en malgranda ĉambro	väikeses toas	in a small room	grupo	alternativoj	prononco
level	ni loĝas en ~	me elame ~	we live in ~	grupo	alternativoj	prononco
level	mi fariĝis maltrankvila	Muutusin ärevaks	I became anxious	grupo	alternativoj	prononco
level	tiam, kiam mi vidis vin	sel ajal, kui ma sind nägin	at that time when I saw you	grupo	alternativoj	prononco
level	ĉiuj rimarkis tion	kõik märkasid seda	everyone noticed that	grupo	alternativoj	prononco
level	tion, ke ŝi estas belega	see, et ta on ilus	the fact that she is beautiful	grupo	alternativoj	prononco
level	ĉu vi deziras, ke ~ ?	kas sa tahad seda ~? (deziri)	do you want that ~ ? (deziri)	grupo	alternativoj	prononco
level	ke mi montru al vi	et ma võin teile näidata	that I may show you	grupo	alternativoj	prononco
level	ĉu vi deziras, ke mi montru?	tahad ma näitan?	do you want me to show?	grupo	alternativoj	prononco
level	mian plej novan libron	minu uusim raamat (eesmärk)	my newest book (objective)	grupo	alternativoj	prononco
level	morgaŭ matene, kion vi volas?	homme hommikul, mida sa tahad?	tomorrow morning, what do you want?	grupo	alternativoj	prononco
level	matenmanĝis malfrue	hommikusöök oli hilja	had breakfast late	grupo	alternativoj	prononco
level	kiam Marko alvenos?	millal Mark tuleb?	when will Mark arrive?	grupo	alternativoj	prononco
level	je la kvina aŭ je la oka horo	kell viis või kaheksa	at five or eight o'clock	grupo	alternativoj	prononco
level	kiam vi rimarkis, ke ~ ?	millal sa seda märkasid ~ ?	when did you notice that ~ ?	grupo	alternativoj	prononco
level	la tuta familio nomas min bonfarulo	kogu pere kutsub mind heategijaks	the whole family calls me a benefactor	grupo	alternativoj	prononco
level	utila por vi	teile kasulik	useful for you	grupo	alternativoj	prononco
level	ĉu la libreto estis utila?	kas brošüürist oli kasu?	was the booklet useful?	grupo	alternativoj	prononco
level	tiu libreto, kiun mi sendis	brošüüri, mille saatsin	the booklet, which I sent	grupo	alternativoj	prononco
level	matene dormis tre longe	hommikul magas kaua	in the morning slept for a long time	grupo	alternativoj	prononco
level	kiam li vidis la sunon	kui ta päikest nägi	when he saw the sun	grupo	alternativoj	prononco
level	subite li eksaltis	järsku hüppas ta püsti	suddenly he jumped up	grupo	alternativoj	prononco
level	li estis ĉiam frua	ta oli alati vara	he was always early	grupo	alternativoj	prononco
level	ĉiam li malfruas	ta jääb alati hiljaks	he is always late	grupo	alternativoj	prononco
level	tiam, kiam li devas iri	sel ajal, kui ta peab minema	at that time, when he has to go	grupo	alternativoj	prononco
level	iri al la lernejo	kooli minna	to go to the school	grupo	alternativoj	prononco
level	li scias, ke ~	ta teab, et ~	he knows, that ~	grupo	alternativoj	prononco
level	li scias tion, ke ~	ta teab tõsiasja, et ~	he knows the fact, that ~	grupo	alternativoj	prononco
level	tion, ke la instruisto malŝatas abelon	see, et õpetaja vihkab mesilasi	the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias tion, ke la instruisto malŝatas abelon	teab tõsiasja, et õpetaja vihkab mesilasi	knows the fact that the teacher hates bees	grupo	alternativoj	prononco
level	scias, ke la instruisto malŝatas tion	teab, et õpetaja vihkab seda	knows that the teacher hates that	grupo	alternativoj	prononco
