B.el content.tsv
Level	Esperanto	el	en-us	Grupo	Alternativoj	Pronoco
level	preskaŭ ĉiuj	σχεδόν όλοι	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	και σχεδόν όλοι θα μιλούν Εσπεράντο	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	δεν μιλάει καλά	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	εντάξει, αλλά δεν μιλάω καλά εσπεράντο	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	δεν πειράζει	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	είναι δυνατόν να λάβω μέρος στο ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	να λάβει μέρος σε μαθήματα Εσπεράντο εκεί	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	συνήθως	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	συνήθως υπάρχουν δύο επίπεδα	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	άνθρωποι που είχαν ήδη μάθει τη γλώσσα	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	ένα για αρχάριους	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	και το άλλο για όσους έχουν ήδη μάθει τη γλώσσα	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	τζεσ, τι;	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	είπες &quot;συνήθως&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	Ω, το IJK συμβαίνει κάθε χρόνο	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	κάθε φορά σε άλλη χώρα	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	για αυτό το λόγο, κάθε IJK είναι διαφορετικό	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	αλλά υπάρχουν και προγράμματα	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	προγράμματα που επιστρέφουν συχνά	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	αλλά υπάρχουν και προγράμματα που επιστρέφουν συχνά	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	για παράδειγμα	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	για παράδειγμα, είναι σχεδόν πάντα δυνατό να παίζετε αθλήματα και χαρτιά	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	να μιλάμε με φίλους όλη τη νύχτα	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	να τραγουδούν γύρω από τη φωτιά και να χορεύουν	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	να συμμετέχει σε συναυλίες και ούτω καθεξής	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	Λοιπόν, μπορώ να το κάνω και στο σπίτι	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	σωστά, αλλά	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	αλλά το σημαντικό κατά τη διάρκεια του IJK είναι ~	but the important thing during IJK is ~	grupo	alternativoj	prononco
level	venas de multaj diversaj landoj	προέρχεται από πολλές διαφορετικές χώρες	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	είναι ότι οι συμμετέχοντες προέρχονται από διαφορετικές χώρες	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	εξαιτίας αυτού του μείγματος διαφορετικών ανθρώπων	because of that mix of different people	grupo	alternativoj	prononco
level	estas bona etoso, kiu tre plaĉas al mi	είναι μια καλή ατμόσφαιρα που μου αρέσει πολύ	it's a good atmosphere that I like very much	grupo	alternativoj	prononco
level	bone, sonas interese	εντάξει, ακούγεται ενδιαφέρον	all right, sounds like interest	grupo	alternativoj	prononco
level	mi pripensos	θα σκεφτώ	I will think about	grupo	alternativoj	prononco
level	certe	σίγουρα	for sure	grupo	alternativoj	prononco
level	tamen, problemo estas ~	ωστόσο, ένα πρόβλημα είναι ~	however, a problem is ~	grupo	alternativoj	prononco
level	tiom da mono	τόσα χρήματα	that much money	grupo	alternativoj	prononco
level	mi ne havas tiom da mono nun	Δεν έχω τόσα χρήματα αυτή τη στιγμή	I don't have that much money right now	grupo	alternativoj	prononco
level	problemo estas ke mi ne havas tiom da mono	το πρόβλημα είναι ότι δεν έχω τόσα χρήματα	problem is I don't have that much money	grupo	alternativoj	prononco
level	mi komprenas, sed ne estus multe-koste	Καταλαβαίνω, αλλά δεν θα κοστίσει πολύ	I understand, but it wouldn't cost much	grupo	alternativoj	prononco
level	ne estus multe-koste, mia-krede	δεν θα ήταν πολύ ακριβό, πιστεύω	it would not be much expensive, I believe	grupo	alternativoj	prononco
level	tabelo de kotizo de programeroj	πίνακα τελών προγραμμάτων	a table of fees of programs	grupo	alternativoj	prononco
level	jen, se vi rigardas la kotiztabelon	δηλαδή αν κοιτάξετε τον πίνακα μετοχών/προμηθειών	that is, if you look at the share/fees table	grupo	alternativoj	prononco
level	la kotiztabelo de la IJK-invitilo	ο πίνακας μετοχών/τελών της πρόσκλησης IJK	the share/fees table of IJK-invitation	grupo	alternativoj	prononco
level	vi vidas, ke ~	βρίσκεις ότι ~	you find that ~	grupo	alternativoj	prononco
level	temas pri entute nur 50 eŭroj	είναι μόνο 50 ευρώ συνολικά	it's only 50 euros in total	grupo	alternativoj	prononco
level	vi vidas, ke por vi temas pri entute nur 50 eŭroj	βλέπεις ότι για σένα είναι μόνο 50 ευρώ συνολικά	you see that for you it's only 50 euros in total	grupo	alternativoj	prononco
level	se ni dormas surplanke	αν κοιμηθούμε στο πάτωμα	if we sleep on the floor	grupo	alternativoj	prononco
level	en ordo	εντάξει	all right	grupo	alternativoj	prononco
level	bone, tio sonas en ordo	καλά, ακούγεται μια χαρά	well, that sounds fine	grupo	alternativoj	prononco
level	sed kio pri la vojaĝo	αλλά τι γίνεται με το ταξίδι	but what about the travel	grupo	alternativoj	prononco
level	trajno kostus ĉirkaŭ 70 eŭrojn	ένα τρένο θα κόστιζε περίπου 70 ευρώ	a train would cost around 70 euros	grupo	alternativoj	prononco
level	ĉu tio eblus por vi?	θα ήταν δυνατό για εσάς;	would that be possible for you?	grupo	alternativoj	prononco
level	espereble	ελπίζω	hopefully	grupo	alternativoj	prononco
level	sed daŭrus sufiĉe longe per trajno	αλλά θα διαρκούσε αρκετά με το τρένο	but would last long enough by train	grupo	alternativoj	prononco
level	jes, sed ni povas halti en unu aŭ du urboj	ναι, αλλά μπορούμε να σταματήσουμε σε μία ή δύο πόλεις	yes, but we can stop in one or two cities	grupo	alternativoj	prononco
level	dum la vojo	στην πορεία	along the way	grupo	alternativoj	prononco
level	kaj la tranoktado?	και η διανυκτέρευση;	and the night stay?	grupo	alternativoj	prononco
level	ĉu vi pagus por ĝi?	θα το πλήρωνες;	would you pay for it?	grupo	alternativoj	prononco
level	ne, ne mi, sed ne estas problemo	όχι εγώ, αλλά δεν είναι πρόβλημα	no, not me, but it's not a problem	grupo	alternativoj	prononco
level	ĉu vere, ke tio ne estas problemo?	είναι αλήθεια ότι αυτό δεν είναι πρόβλημα;	is it really that this is not a problem?	grupo	alternativoj	prononco
level	kiel vi planas solvi tion?	πώς σκοπεύετε να το λύσετε;	how do you plan to solve that?	grupo	alternativoj	prononco
level	montris la oran kronon	έδειξε το χρυσό στέμμα	showed the golden crown	grupo	alternativoj	prononco
level	nu, mi baldaŭ montros al vi	Λοιπόν, θα σας δείξω σύντομα	well, I will show you soon	grupo	alternativoj	prononco
level	sed unue pli da teo	αλλά πρώτα περισσότερο τσάι	but first more tea	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas?	θέλεις και εσύ;	do you want too?	grupo	alternativoj	prononco
level	jes, dankon	ναι ευχαριστώ	yes, thank you	grupo	alternativoj	prononco
level	en la sama kafejo	στο ίδιο καφενείο	in the same cafe'	grupo	alternativoj	prononco
level	io daŭras, daŭrigas tion	κάτι συνεχίζεται, συνεχίζει (κάνει) αυτό	something goes on, keeps (doing) that on	grupo	alternativoj	prononco
level	plano, plani, planado	σχέδιο, σχέδιο, προγραμματισμός	a plan, to plan, planning	grupo	alternativoj	prononco
level	ŝi kaj li daŭrigas la planadon	αυτή και αυτός συνεχίζουν τον σχεδιασμό	she and he continue the planning	grupo	alternativoj	prononco
level	bonvolu, jen via teo	παρακαλώ, ορίστε το τσάι σας	please, here's your tea	grupo	alternativoj	prononco
level	mi dume rigardis la invitilon	εν τω μεταξύ κοίταξα την πρόσκληση	meanwhile I looked at the invitation	grupo	alternativoj	prononco
level	rigardis la invitilon por IJK	κοίταξε την πρόσκληση της IJK	looked at the invitation of IJK	grupo	alternativoj	prononco
level	mi multon komprenas, sed ne ĉion	Καταλαβαίνω πολλά, αλλά όχι όλα	I understand much, but not all	grupo	alternativoj	prononco
level	bone bone, nur demandu	εντάξει εντάξει, απλά ρώτα	all right all right, just ask	grupo	alternativoj	prononco
level	jen la aferoj	εδώ είναι τα πράγματα	here are the things	grupo	alternativoj	prononco
level	klaraj aferoj	ξεκάθαρα πράγματα	clear things	grupo	alternativoj	prononco
level	la aferoj kiuj estas malklaraj	τα πράγματα που προκαλούν σύγχυση	the things that are confusing	grupo	alternativoj	prononco
level	estas malklaraj por mi	μου προκαλούν σύγχυση	are confusing to me	grupo	alternativoj	prononco
level	aliĝi, aliĝilo	για να εγγραφείτε, μια φόρμα εγγραφής	to join, a registration form	grupo	alternativoj	prononco
level	TEJO (la organizo)	Η Παγκόσμια Οργάνωση Νεολαίας Εσπεράντο	The World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo (la TEJO-birdo)	Pepo, ένα πουλί που αντιπροσωπεύει το TEJO	Pepo, a bird that represents the TEJO	grupo	alternativoj	prononco
level	loĝi, loĝejo	να μείνεις, ένα μέρος για να μείνεις (ένα κατάλυμα)	to stay, a place to stay (a lodging)	grupo	alternativoj	prononco
level	amasloĝejo	ένα κατάλυμα για μαζικούς ανθρώπους	a lodging for mass people	grupo	alternativoj	prononco
level	aliĝilo estas ilo por al-iĝi	μια φόρμα εγγραφής είναι ένα εργαλείο εγγραφής	a registration form is a tool for registering	grupo	alternativoj	prononco
level	aliĝilo en kiu vi skribas vian nomon, adreson ktp	μια φόρμα μέλους στην οποία γράφετε το όνομα, τη διεύθυνσή σας κ.λπ	a membership form in which you write your name, address, etc	grupo	alternativoj	prononco
level	longa, mallongigo	μακρύ, συντομογραφία	long, an abbreviation	grupo	alternativoj	prononco
level	mallongigo de Tutmonda Esperantista Junulara Organizo	συντομογραφία του Παγκόσμιου Οργανισμού Εσπεράντο Νεολαίας	an abbreviation of the World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo estas la amuza birdo de TEJO	Ο Pepo είναι το αστείο πουλί του TEJO	Pepo is the funny bird of TEJO	grupo	alternativoj	prononco
level	amasloĝejo estas ejo kie amaso de homoj loĝas	ένα μαζικό κατάλυμα είναι ένα μέρος όπου μένουν πολλοί άνθρωποι	a mass-lodging is a place where a lot of people stay	grupo	alternativoj	prononco
level	dormo, dormigilo, dormosako	έναν ύπνο, ένα υπνωτικό χάπι, έναν υπνόσακο	a sleep, a sleeping pill, a sleeping bag	grupo	alternativoj	prononco
level	kutime oni bezonas dormosakon tie	συνήθως χρειάζεται κάποιος υπνόσακος εκεί	usually one needs a sleeping bag there	grupo	alternativoj	prononco
level	vi klarigis tro rapide	εξήγησες πολύ γρήγορα	you explained too quickly	grupo	alternativoj	prononco
level	mi ne kaptis ĉion	Δεν τα πρόλαβα όλα	I didn't catch everything	grupo	alternativoj	prononco
level	ne tre gravas	δεν είναι τόσο σημαντικό	is not that important	grupo	alternativoj	prononco
level	mi pensas ke ne tre gravas nun	Νομίζω ότι δεν είναι πολύ σημαντικό τώρα	I think it's not very important now	grupo	alternativoj	prononco
level	poste ni povas pli paroli	αργότερα μπορούμε να μιλήσουμε περισσότερο	later we can talk more	grupo	alternativoj	prononco
level	pli paroli pri la IJK-invitilo	περισσότερα για να μιλήσουμε για την πρόσκληση του IJK	more to talk about the IJK invitation	grupo	alternativoj	prononco
level	do, vi volas plani la vojaĝon nun, ĉu?	έτσι θέλετε να προγραμματίσετε το ταξίδι τώρα, σωστά;	so you want to plan the travel now, right?	grupo	alternativoj	prononco
level	jes, volonte	ναι, ευχαρίστως	yes, gladly	grupo	alternativoj	prononco
level	tiel vi vidos ke ~	οπότε θα δεις ότι ~	so you will see that ~	grupo	alternativoj	prononco
level	kostos tiom multe	θα κοστίσει τόσο πολύ	will cost that much	grupo	alternativoj	prononco
level	vidos ke la vojaĝo ne kostos tiom multe	θα δει ότι το ταξίδι δεν θα κοστίσει τόσο πολύ	will see that the travel will not cost that much	grupo	alternativoj	prononco
level	mi volas scii	Θέλω να ξέρω	I want to know	grupo	alternativoj	prononco
level	mi scivolas pri ~	Θέλω να μάθω για το ~	I want to know about ~	grupo	alternativoj	prononco
level	kiel vi solvos la tranoktadon	πώς θα λύσετε τη νυχτερινή παραμονή	how you will solve the night-staying	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	γιατί δεν έχω λεφτά	because I don't have money	grupo	alternativoj	prononco
level	junulara gastejo	έναν ξενώνα νέων	a youth hostel	grupo	alternativoj	prononco
level	havas monon por hotelo aŭ junulargastejo	έχει χρήματα για ξενοδοχείο ή ξενώνα νέων	has money for a hotel or a youth-hostel	grupo	alternativoj	prononco
level	jen la solvo!	εδώ είναι η λύση	here's the solution	grupo	alternativoj	prononco
level	pasporto	ένα διαβατήριο	a passport	grupo	alternativoj	prononco
level	Pasporta Servo	Υπηρεσία Διαβατηρίων, Διαμονή Εσπεραντιστών στο Σπίτι	Passport Service, Esperantists' Home Stay	grupo	alternativoj	prononco
level	libreto kun la nomo "Pasporta Servo"	βιβλιάριο με την επωνυμία «Υπηρεσία Διαβατηρίων»	booklet with the name "Passport Service"	grupo	alternativoj	prononco
level	servo por kio?	υπηρεσία για τι;	service for what?	grupo	alternativoj	prononco
level	por homoj kiel ni	για ανθρώπους σαν εμάς	for people like us	grupo	alternativoj	prononco
level	sperti, spertulo	να βιώσει, ειδικός	to experience, an expert	grupo	alternativoj	prononco
level	homoj kiuj ŝatas vojaĝi kaj sperti landojn	άτομα που τους αρέσει να ταξιδεύουν και να βιώνουν χώρες	people who like to travel and experience countries	grupo	alternativoj	prononco
level	enspezi kaj elspezi	να κερδίζεις και να ξοδεύεις	to earn and to spend	grupo	alternativoj	prononco
level	sen elspezi multe da mono	χωρίς να ξοδέψετε πολλά χρήματα	without spending a lot of money	grupo	alternativoj	prononco
level	servo, la servo, tiu servo	μια υπηρεσία, η υπηρεσία, αυτή η υπηρεσία	a service, the service, that service	grupo	alternativoj	prononco
level	bone, kaj kiel funkcias tiu servo?	Λοιπόν, και πώς λειτουργεί αυτή η υπηρεσία;	well, and how does that service work?	grupo	alternativoj	prononco
level	mi vidas ke en la libreto estas ~	Βλέπω ότι στο βιβλιάριο υπάρχει ~	I see that in the booket there is ~	grupo	alternativoj	prononco
level	multe da adresoj	πολλές διευθύνσεις	lots of addresses	grupo	alternativoj	prononco
level	estas multe da adresoj de pluraj landoj	υπάρχουν πολλές διευθύνσεις από πολλές χώρες	there are many addresses from several countries	grupo	alternativoj	prononco
level	ĝuste, jes!	σωστά, ναι!	right, yes!	grupo	alternativoj	prononco
level	je via dispono	στη διάθεσή σας	at your disposal	grupo	alternativoj	prononco
level	ili ĉiuj	όλοι αυτοί, όλοι τους	they all, all of them	grupo	alternativoj	prononco
level	fakte ili ĉiuj estas je via dispono!	στην πραγματικότητα είναι όλα στη διάθεσή σας!	in fact they are all at your disposal!	grupo	alternativoj	prononco
level	signifis, signifo	εννοείται, νόημα	meant, meaning	grupo	alternativoj	prononco
level	"je mia dispono", kion signifas tio?	«στη διάθεσή μου», τι σημαίνει αυτό;	"at my disposal", what does that mean?	grupo	alternativoj	prononco
level	signifas ke ~	σημαίνει ότι ~	means that ~	grupo	alternativoj	prononco
level	gasti, gasto, gastigi	να φιλοξενήσει, έναν καλεσμένο, να φιλοξενήσει έναν καλεσμένο	to guest, a guest, to host a guest	grupo	alternativoj	prononco
level	estas preta, pretas, pretiĝu!	είναι έτοιμο, είναι έτοιμο, ετοιμαστείτε!	is ready, is prepared, get ready!	grupo	alternativoj	prononco
level	homoj ĉe tiuj adresoj pretas gastigi vin	άτομα σε αυτές τις διευθύνσεις είναι έτοιμα να σας φιλοξενήσουν	people at those addresses are ready to host you	grupo	alternativoj	prononco
level	koni, konata, konatiĝi	to know (ένα πρόσωπο), γνωστός, να γίνει γνωστός	to know (a person), known, to get to be known	grupo	alternativoj	prononco
level	kaj helpi vin konatiĝi kun ilia regiono	και θα σας βοηθήσουν να εξοικειωθείτε με την περιοχή τους	and help you get acquainted with their region	grupo	alternativoj	prononco
level	signifas ke homoj pretas gastigi vin kaj helpi	σημαίνει ότι οι άνθρωποι είναι πρόθυμοι να σας φιλοξενήσουν και να σας βοηθήσουν	means people are willing to host you and help	grupo	alternativoj	prononco
level	sonas interese!	ακούγεται ενδιαφέρον!	sounds interesting!	grupo	alternativoj	prononco
level	do	Έτσι	so	grupo	alternativoj	prononco
level	oni loĝas en la hejmo de aliaj Esperantistoj, ĉu?	κάποιος μένει στο σπίτι άλλων Εσπεραντιστών, σωστά;	somebody stays in the home of other Esperantists, right?	grupo	alternativoj	prononco
level	pluraj spertoj per Pasporta Servo	αρκετές εμπειρίες με την Υπηρεσία Διαβατηρίων	several experiences with Passport Service	grupo	alternativoj	prononco
level	mi havis plurajn interesajn spertojn	Είχα αρκετές ενδιαφέρουσες εμπειρίες	I had several interesting experiences	grupo	alternativoj	prononco
level	mi uzis ĝin en tri kontinentoj	Το έχω χρησιμοποιήσει σε τρεις ηπείρους	I have used it on three continents	grupo	alternativoj	prononco
level	malbone funkcias	(αυτό) λειτουργεί άσχημα	(it) works poorly	grupo	alternativoj	prononco
level	kaj ĝis nun funkciis tre bone	και μέχρι στιγμής (αυτό) έχει δουλέψει πολύ καλά	and so far (it) has worked very well	grupo	alternativoj	prononco
level	bonege! kien ni iru?	εξαιρετική! που πάμε?	great! where are we going?	grupo	alternativoj	prononco
level	do, mia plano estas ke ni ~	λοιπόν, το σχέδιό μου είναι ότι εμείς ~	so, my plan is that we ~	grupo	alternativoj	prononco
level	venas, alvenis	έρχεται, έφτασε	comes, arrived	grupo	alternativoj	prononco
level	post sukcesa vojaĝo	μετά από ένα επιτυχημένο ταξίδι	after a successful trip	grupo	alternativoj	prononco
level	post uzado de Pasporta Servo en du urboj	μετά τη χρήση της Υπηρεσίας Διαβατηρίων σε δύο πόλεις	after using Passport Service in two cities	grupo	alternativoj	prononco
level	ili alvenas post sukcesa vojaĝo	φτάνουν μετά από ένα επιτυχημένο ταξίδι	they arrive after a successful trip	grupo	alternativoj	prononco
level	jen, vidu!	ιδού, κοίτα!	behold, look!	grupo	alternativoj	prononco
level	tie estas granda Esperanto-flago	υπάρχει μια μεγάλη σημαία της Εσπεράντο εκεί	there's a big Esperanto flag over there	grupo	alternativoj	prononco
level	ŝildo kun la teksto "Bonvenon al IJK!"	μια πινακίδα με το κείμενο &quot;Καλώς ήρθατε στο IJK!&quot;	a sign with the text "Welcome to IJK!"	grupo	alternativoj	prononco
level	jes, kaj sub ĝi estas ~	ναι, και από κάτω υπάρχει ~	yes, and below it there is ~	grupo	alternativoj	prononco
level	hu ra!	Ζήτω!	Hooray!	grupo	alternativoj	prononco
level	ni do finfine alvenis	έτσι επιτέλους φτάσαμε	so we finally arrived	grupo	alternativoj	prononco
level	mi estas tre laca kaj malsata	Είμαι πολύ κουρασμένος και πεινασμένος	I am very tired and hungry	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas ~	πιστεύεις ότι μπορούμε ~ ;	do you think we can ~ ?	grupo	alternativoj	prononco
level	manĝi ion	να φάει κάτι	to eat something	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas tuj ion manĝi?	νομίζεις ότι μπορούμε να φάμε κάτι αμέσως;	do you think we can eat something right away?	grupo	alternativoj	prononco
level	mi dubas pri tio	αμφιβάλλω γι 'αυτό	I doubt that	grupo	alternativoj	prononco
level	unue ni devas akceptiĝi	πρέπει πρώτα να είμαστε αποδεκτοί	we must first be accepted	grupo	alternativoj	prononco
level	devas akceptiĝi ĉe la akceptejo	πρέπει να γίνει δεκτό στη ρεσεψιόν	must be accepted at the reception desk	grupo	alternativoj	prononco
level	kaj tio povas daŭri longe	και αυτό μπορεί να διαρκέσει πολύ	and that can last a long time	grupo	alternativoj	prononco
level	daŭri longe miasperte	να διαρκέσει πολύ από την εμπειρία μου	to last long in my experience	grupo	alternativoj	prononco
level	ho ve!	Αλίμονο!	alas!	grupo	alternativoj	prononco
level	ĉu tio estas la vico por la akceptejo?	αυτή είναι η γραμμή για την υποδοχή;	is that the line for the reception?	grupo	alternativoj	prononco
level	mi timas ke jes	φοβάμαι πως ναι	I'm afraid so	grupo	alternativoj	prononco
level	ne estas tute perfekte fari ~	to do ~ δεν είναι εντελώς τέλειο	to do ~ is not totally perfect	grupo	alternativoj	prononco
level	tute perfekte alveni vespere	είναι εντελώς τέλειο για να φτάσετε το βράδυ	is totally perfect to arrive in the evening	grupo	alternativoj	prononco
level	ni povas babili kun homoj	μπορούμε να συνομιλήσουμε με ανθρώπους	we can chat with people	grupo	alternativoj	prononco
level	sed ni povas babili kun homoj en la vico	αλλά μπορούμε να συνομιλήσουμε με άτομα στη σειρά	but we can chat with people in line	grupo	alternativoj	prononco
level	jen, mi vidas amikon de rusio!	ιδού, βλέπω έναν φίλο της Ρωσίας!	behold, I see a friend of Russia!	grupo	alternativoj	prononco
level	mi estas malsata, mi volas manĝi	Πεινάω, θέλω να φάω	I'm hungry, I want to eat	grupo	alternativoj	prononco
level	post ĉirkaŭ 2 horoj	μετά από περίπου 2 ώρες	after about 2 hours	grupo	alternativoj	prononco
level	en la vico kun novaj kaj malnovaj amikoj	σε ευθυγράμμιση με νέους και παλιούς φίλους	in line with new and old friends	grupo	alternativoj	prononco
level	LKK (Loka Kongresa Komitato)	τοπική επιτροπή συνεδρίου	local congress commitee	grupo	alternativoj	prononco
level	LKK-ano	μέλος της τοπικής επιτροπής του συνεδρίου	a member in the local congress commitee	grupo	alternativoj	prononco
level	bonvenon, kiu vi estas?	καλως ηρθες ποιος εισαι	welcome, who are you?	grupo	alternativoj	prononco
level	de kiu lando?	Απο ποιά χώρα?	from which country?	grupo	alternativoj	prononco
level	ĉu vi antaŭpagis?	προπληρωσες?	did you prepay?	grupo	alternativoj	prononco
level	bonvolu montri	Δείξε σε παρακαλώ	please show	grupo	alternativoj	prononco
level	se jes, bonvolu montri la kvitancon	Εάν ναι, δείξτε την απόδειξη	if so, please show the receipt	grupo	alternativoj	prononco
level	ĉu vi estas TEJO-membro?	είσαι μέλος του TEJO;	are you a member of TEJO?	grupo	alternativoj	prononco
level	membriĝi ĉe la budo	για να γίνετε μέλος σε ένα περίπτερο	to become a member at a booth	grupo	alternativoj	prononco
level	se ne, vi povas membriĝi ĉe la venonta budo	Εάν όχι, μπορείτε να συμμετάσχετε στο επόμενο περίπτερο	if not, you can join at the next booth	grupo	alternativoj	prononco
level	jen kvitancoj de antaŭpagoj	εδώ είναι οι αποδείξεις προκαταβολών	here are receipts of advance payments	grupo	alternativoj	prononco
level	membrokartoj kaj niaj pasportoj	κάρτες μέλους και τα διαβατήριά μας	membership cards and our passports	grupo	alternativoj	prononco
level	tre bone	πολύ καλά	very good	grupo	alternativoj	prononco
level	do, mi vidas ke vi loĝos en amasloĝejo	Έτσι, βλέπω ότι θα ζήσετε σε ένα μαζικό κατάλυμα (χώρος συντριβής)	so, I see you will live in a mass-lodging (crash space)	grupo	alternativoj	prononco
level	kaj manĝos en la junulargastejo	και θα φάει στον ξενώνα νέων	and will eat in the youth hostel	grupo	alternativoj	prononco
level	ĉu ĝustas tiuj informoj?	είναι σωστές αυτές οι πληροφορίες;	are those information correct?	grupo	alternativoj	prononco
level	jes, perfekte	ναι τέλειο	yes, perfect	grupo	alternativoj	prononco
level	sako kun programo, mapo ktp	μια τσάντα με πρόγραμμα, χάρτη κ.λπ	a bag with program, map etc	grupo	alternativoj	prononco
level	vi povas pagi kaj ricevi sakon kun programo, mapo ktp	μπορείτε να πληρώσετε και να λάβετε μια τσάντα με πρόγραμμα, χάρτη κ.λπ	you can pay and receive a bag with program, map etc	grupo	alternativoj	prononco
level	ĉe la ruĝa budo, tie	στο κόκκινο περίπτερο, εκεί	at the red booth, there	grupo	alternativoj	prononco
level	bone, dankon	καλά ευχαριστώ	good, thank you	grupo	alternativoj	prononco
level	aspektas laca sed sana	φαίνεται κουρασμένος αλλά υγιής	looks tired but healthy	grupo	alternativoj	prononco
level	tiuj personoj vere aspektis lacaj	αυτοί οι άνθρωποι φαίνονταν πραγματικά κουρασμένοι	those people really looked tired	grupo	alternativoj	prononco
level	kaj ne estis tre afablaj	και δεν ήταν πολύ ευγενικοί	and were not very kind	grupo	alternativoj	prononco
level	vi pravas	έχεις δίκιο	you are right	grupo	alternativoj	prononco
level	sed memoru ke ~	αλλά να θυμάσαι ότι ~	but remember that ~	grupo	alternativoj	prononco
level	laboras dum ok horoj	εργάζονται για 8 ώρες	are working for 8 hours	grupo	alternativoj	prononco
level	la LKK laboras jam dum eble ok horoj	το ΛΚΚ δουλεύει ίσως οκτώ ώρες	the LKK has been working for maybe eight hours	grupo	alternativoj	prononco
level	sen multe da paŭzoj	χωρίς πολλή παύση	without much pause	grupo	alternativoj	prononco
level	sed memoru ke la LKK laboras sen paŭzoj	αλλά να θυμάστε ότι το LKK λειτουργεί χωρίς διακοπές	but remember that the LKK works without breaks	grupo	alternativoj	prononco
level	babilema dum la semajno	κουβεντούλα κατά τη διάρκεια της εβδομάδας	chatty during the week	grupo	alternativoj	prononco
level	mi certas ke ~	Είμαι σίγουρος ότι ~	I'm sure that ~	grupo	alternativoj	prononco
level	mi certas ke ili estos pli afablaj	Είμαι σίγουρος ότι θα είναι πιο ευγενικοί	I'm sure they'll be kinder	grupo	alternativoj	prononco
level	ili estos pli afablaj kaj babilemaj	θα είναι πιο ευγενικοί και πιο ομιλητικοί	they will be kinder and more talkative	grupo	alternativoj	prononco
level	ni trovu ĝin	ας το βρούμε	let's find it	grupo	alternativoj	prononco
level	bone, nun ni trovu la amasloĝejon	Λοιπόν, τώρα ας βρούμε το μέρος του μαζικού καταλύματος	well, now let's find the mass-lodging place	grupo	alternativoj	prononco
level	kaj poste mi ŝatus ion manĝi	και μετά θα ήθελα κάτι να φάω	and then I would like something to eat	grupo	alternativoj	prononco
level	ĉu vi vidis la knabinon ĉe la TEJO-budo?	είδες το κορίτσι στο περίπτερο της TEJO;	did you see the girl at the TEJO booth?	grupo	alternativoj	prononco
level	jes, kio pri ŝi?	ναι, τι γίνεται με αυτήν;	yes, what about her?	grupo	alternativoj	prononco
level	ĉu vi konas ŝin?	Τη γνωρίζεις?	do you know her?	grupo	alternativoj	prononco
level	bedaŭrinde ne	Δυστυχώς όχι	unfortunately no	grupo	alternativoj	prononco
level	sed ŝi estas ege bela, ĉu ne?	αλλά είναι πολύ όμορφη, έτσι δεν είναι;	but she's very pretty, isn't she?	grupo	alternativoj	prononco
