B.no content.tsv
Level	Esperanto	no	en-us	Grupo	Alternativoj	Pronoco
level	mi pripensos	jeg vil tenke meg om	I will think about	grupo	alternativoj	prononco
level	certe	Helt sikkert	for sure	grupo	alternativoj	prononco
level	tamen, problemo estas ~	et problem er imidlertid ~	however, a problem is ~	grupo	alternativoj	prononco
level	tiom da mono	så mye penger	that much money	grupo	alternativoj	prononco
level	mi ne havas tiom da mono nun	Jeg har ikke så mye penger akkurat nå	I don't have that much money right now	grupo	alternativoj	prononco
level	problemo estas ke mi ne havas tiom da mono	problemet er at jeg ikke har så mye penger	problem is I don't have that much money	grupo	alternativoj	prononco
level	mi komprenas, sed ne estus multe-koste	Jeg forstår, men det ville ikke koste mye	I understand, but it wouldn't cost much	grupo	alternativoj	prononco
level	ne estus multe-koste, mia-krede	det ville ikke vært mye dyrt, tror jeg	it would not be much expensive, I believe	grupo	alternativoj	prononco
level	tabelo de kotizo de programeroj	en tabell over programavgifter	a table of fees of programs	grupo	alternativoj	prononco
level	jen, se vi rigardas la kotiztabelon	altså hvis du ser på aksje-/gebyrtabellen	that is, if you look at the share/fees table	grupo	alternativoj	prononco
level	la kotiztabelo de la IJK-invitilo	andels-/gebyrtabellen til IJK-invitasjonen	the share/fees table of IJK-invitation	grupo	alternativoj	prononco
level	vi vidas, ke ~	du finner at ~	you find that ~	grupo	alternativoj	prononco
level	temas pri entute nur 50 eŭroj	det er bare 50 euro totalt	it's only 50 euros in total	grupo	alternativoj	prononco
level	vi vidas, ke por vi temas pri entute nur 50 eŭroj	du ser at for deg er det bare 50 euro totalt	you see that for you it's only 50 euros in total	grupo	alternativoj	prononco
level	se ni dormas surplanke	hvis vi sover på gulvet	if we sleep on the floor	grupo	alternativoj	prononco
level	en ordo	greit	all right	grupo	alternativoj	prononco
level	bone, tio sonas en ordo	vel, det høres greit ut	well, that sounds fine	grupo	alternativoj	prononco
level	sed kio pri la vojaĝo	men hva med reisen	but what about the travel	grupo	alternativoj	prononco
level	trajno kostus ĉirkaŭ 70 eŭrojn	et tog ville koste rundt 70 euro	a train would cost around 70 euros	grupo	alternativoj	prononco
level	ĉu tio eblus por vi?	ville det vært mulig for deg?	would that be possible for you?	grupo	alternativoj	prononco
level	espereble	forhåpentligvis	hopefully	grupo	alternativoj	prononco
level	sed daŭrus sufiĉe longe per trajno	men ville vare lenge nok med tog	but would last long enough by train	grupo	alternativoj	prononco
level	jes, sed ni povas halti en unu aŭ du urboj	ja, men vi kan stoppe i en eller to byer	yes, but we can stop in one or two cities	grupo	alternativoj	prononco
level	dum la vojo	langs veien	along the way	grupo	alternativoj	prononco
level	kaj la tranoktado?	og overnatting?	and the night stay?	grupo	alternativoj	prononco
level	ĉu vi pagus por ĝi?	vil du betale for det?	would you pay for it?	grupo	alternativoj	prononco
level	ne, ne mi, sed ne estas problemo	nei, ikke meg, men det er ikke noe problem	no, not me, but it's not a problem	grupo	alternativoj	prononco
level	ĉu vere, ke tio ne estas problemo?	er det virkelig at dette ikke er et problem?	is it really that this is not a problem?	grupo	alternativoj	prononco
level	kiel vi planas solvi tion?	hvordan har du tenkt å løse det?	how do you plan to solve that?	grupo	alternativoj	prononco
level	montris la oran kronon	viste den gyldne kronen	showed the golden crown	grupo	alternativoj	prononco
level	nu, mi baldaŭ montros al vi	vel, jeg skal vise deg snart	well, I will show you soon	grupo	alternativoj	prononco
level	sed unue pli da teo	men først mer te	but first more tea	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas?	vil du også?	do you want too?	grupo	alternativoj	prononco
level	jes, dankon	Ja takk	yes, thank you	grupo	alternativoj	prononco
level	en la sama kafejo	på samme kafé'	in the same cafe'	grupo	alternativoj	prononco
level	io daŭras, daŭrigas tion	noe skjer, fortsetter (gjør) det	something goes on, keeps (doing) that on	grupo	alternativoj	prononco
level	plano, plani, planado	en plan, å planlegge, planlegging	a plan, to plan, planning	grupo	alternativoj	prononco
level	ŝi kaj li daŭrigas la planadon	hun og han fortsetter planleggingen	she and he continue the planning	grupo	alternativoj	prononco
level	bonvolu, jen via teo	vær så snill, her er teen din	please, here's your tea	grupo	alternativoj	prononco
level	mi dume rigardis la invitilon	imens så jeg på invitasjonen	meanwhile I looked at the invitation	grupo	alternativoj	prononco
level	rigardis la invitilon por IJK	så på invitasjonen til IJK	looked at the invitation of IJK	grupo	alternativoj	prononco
level	mi multon komprenas, sed ne ĉion	Jeg forstår mye, men ikke alt	I understand much, but not all	grupo	alternativoj	prononco
level	bone bone, nur demandu	ok ok, bare spør	all right all right, just ask	grupo	alternativoj	prononco
level	jen la aferoj	her er tingene	here are the things	grupo	alternativoj	prononco
level	klaraj aferoj	klare ting	clear things	grupo	alternativoj	prononco
level	la aferoj kiuj estas malklaraj	tingene som er forvirrende	the things that are confusing	grupo	alternativoj	prononco
level	estas malklaraj por mi	er forvirrende for meg	are confusing to me	grupo	alternativoj	prononco
level	aliĝi, aliĝilo	for å bli med, et registreringsskjema	to join, a registration form	grupo	alternativoj	prononco
level	TEJO (la organizo)	Verdens esperanto ungdomsorganisasjon	The World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo (la TEJO-birdo)	Pepo, en fugl som representerer TEJO	Pepo, a bird that represents the TEJO	grupo	alternativoj	prononco
level	loĝi, loĝejo	å bo, et sted å bo (et overnattingssted)	to stay, a place to stay (a lodging)	grupo	alternativoj	prononco
level	amasloĝejo	et overnattingssted for massefolk	a lodging for mass people	grupo	alternativoj	prononco
level	aliĝilo estas ilo por al-iĝi	et registreringsskjema er et verktøy for registrering	a registration form is a tool for registering	grupo	alternativoj	prononco
level	aliĝilo en kiu vi skribas vian nomon, adreson ktp	et medlemsskjema der du skriver navn, adresse osv	a membership form in which you write your name, address, etc	grupo	alternativoj	prononco
level	longa, mallongigo	lang, en forkortelse	long, an abbreviation	grupo	alternativoj	prononco
level	mallongigo de Tutmonda Esperantista Junulara Organizo	en forkortelse av World Esperanto Youth Organization	an abbreviation of the World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo estas la amuza birdo de TEJO	Pepo er den morsomme fuglen til TEJO	Pepo is the funny bird of TEJO	grupo	alternativoj	prononco
level	amasloĝejo estas ejo kie amaso de homoj loĝas	en masse-losji er et sted hvor mange mennesker bor	a mass-lodging is a place where a lot of people stay	grupo	alternativoj	prononco
level	dormo, dormigilo, dormosako	en søvn, en sovepille, en sovepose	a sleep, a sleeping pill, a sleeping bag	grupo	alternativoj	prononco
level	kutime oni bezonas dormosakon tie	vanligvis trenger man en sovepose der	usually one needs a sleeping bag there	grupo	alternativoj	prononco
level	vi klarigis tro rapide	du forklarte for raskt	you explained too quickly	grupo	alternativoj	prononco
level	mi ne kaptis ĉion	Jeg fikk ikke med meg alt	I didn't catch everything	grupo	alternativoj	prononco
level	ne tre gravas	er ikke så viktig	is not that important	grupo	alternativoj	prononco
level	mi pensas ke ne tre gravas nun	Jeg tror det ikke er så veldig viktig nå	I think it's not very important now	grupo	alternativoj	prononco
level	poste ni povas pli paroli	senere kan vi snakke mer	later we can talk more	grupo	alternativoj	prononco
level	pli paroli pri la IJK-invitilo	mer for å snakke om IJK-invitasjonen	more to talk about the IJK invitation	grupo	alternativoj	prononco
level	do, vi volas plani la vojaĝon nun, ĉu?	så du vil planlegge reisen nå, ikke sant?	so you want to plan the travel now, right?	grupo	alternativoj	prononco
level	jes, volonte	ja gjerne	yes, gladly	grupo	alternativoj	prononco
level	tiel vi vidos ke ~	så du vil se at ~	so you will see that ~	grupo	alternativoj	prononco
level	kostos tiom multe	vil koste så mye	will cost that much	grupo	alternativoj	prononco
level	vidos ke la vojaĝo ne kostos tiom multe	vil se at reisen ikke vil koste så mye	will see that the travel will not cost that much	grupo	alternativoj	prononco
level	mi volas scii	jeg vil vite	I want to know	grupo	alternativoj	prononco
level	mi scivolas pri ~	Jeg vil vite om ~	I want to know about ~	grupo	alternativoj	prononco
level	kiel vi solvos la tranoktadon	hvordan du vil løse overnattingen	how you will solve the night-staying	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	fordi jeg ikke har penger	because I don't have money	grupo	alternativoj	prononco
level	junulara gastejo	et ungdomsherberge	a youth hostel	grupo	alternativoj	prononco
level	havas monon por hotelo aŭ junulargastejo	har penger til et hotell eller et vandrerhjem	has money for a hotel or a youth-hostel	grupo	alternativoj	prononco
level	jen la solvo!	her er løsningen	here's the solution	grupo	alternativoj	prononco
level	pasporto	et pass	a passport	grupo	alternativoj	prononco
level	Pasporta Servo	Passtjeneste, esperantistenes hjemmeopphold	Passport Service, Esperantists' Home Stay	grupo	alternativoj	prononco
level	libreto kun la nomo "Pasporta Servo"	hefte med navnet &quot;Passtjeneste&quot;	booklet with the name "Passport Service"	grupo	alternativoj	prononco
level	servo por kio?	tjeneste for hva?	service for what?	grupo	alternativoj	prononco
level	por homoj kiel ni	for folk som oss	for people like us	grupo	alternativoj	prononco
level	sperti, spertulo	å oppleve, en ekspert	to experience, an expert	grupo	alternativoj	prononco
level	homoj kiuj ŝatas vojaĝi kaj sperti landojn	folk som liker å reise og oppleve land	people who like to travel and experience countries	grupo	alternativoj	prononco
level	enspezi kaj elspezi	å tjene og å bruke	to earn and to spend	grupo	alternativoj	prononco
level	sen elspezi multe da mono	uten å bruke mye penger	without spending a lot of money	grupo	alternativoj	prononco
level	servo, la servo, tiu servo	en tjeneste, tjenesten, den tjenesten	a service, the service, that service	grupo	alternativoj	prononco
level	bone, kaj kiel funkcias tiu servo?	vel, og hvordan fungerer den tjenesten?	well, and how does that service work?	grupo	alternativoj	prononco
level	mi vidas ke en la libreto estas ~	Jeg ser at det i heftet står ~	I see that in the booket there is ~	grupo	alternativoj	prononco
level	multe da adresoj	mange adresser	lots of addresses	grupo	alternativoj	prononco
level	estas multe da adresoj de pluraj landoj	det er mange adresser fra flere land	there are many addresses from several countries	grupo	alternativoj	prononco
level	ĝuste, jes!	riktig, ja!	right, yes!	grupo	alternativoj	prononco
level	je via dispono	til din disposisjon	at your disposal	grupo	alternativoj	prononco
level	ili ĉiuj	de alle, alle sammen	they all, all of them	grupo	alternativoj	prononco
level	fakte ili ĉiuj estas je via dispono!	faktisk er de alle til din disposisjon!	in fact they are all at your disposal!	grupo	alternativoj	prononco
level	signifis, signifo	ment, mening	meant, meaning	grupo	alternativoj	prononco
level	"je mia dispono", kion signifas tio?	&quot;til min disposisjon&quot;, hva betyr det?	"at my disposal", what does that mean?	grupo	alternativoj	prononco
level	signifas ke ~	betyr at ~	means that ~	grupo	alternativoj	prononco
level	gasti, gasto, gastigi	å gjest, en gjest, å være vert for en gjest	to guest, a guest, to host a guest	grupo	alternativoj	prononco
level	estas preta, pretas, pretiĝu!	er klar, er forberedt, gjør deg klar!	is ready, is prepared, get ready!	grupo	alternativoj	prononco
level	homoj ĉe tiuj adresoj pretas gastigi vin	folk på disse adressene er klare til å være vert for deg	people at those addresses are ready to host you	grupo	alternativoj	prononco
level	koni, konata, konatiĝi	å kjenne (en person), kjent, å bli kjent	to know (a person), known, to get to be known	grupo	alternativoj	prononco
level	kaj helpi vin konatiĝi kun ilia regiono	og hjelpe deg med å bli kjent med regionen deres	and help you get acquainted with their region	grupo	alternativoj	prononco
level	signifas ke homoj pretas gastigi vin kaj helpi	betyr at folk er villige til å være vert for deg og hjelpe	means people are willing to host you and help	grupo	alternativoj	prononco
level	sonas interese!	høres interessant ut!	sounds interesting!	grupo	alternativoj	prononco
level	do	så	so	grupo	alternativoj	prononco
level	oni loĝas en la hejmo de aliaj Esperantistoj, ĉu?	noen blir i hjemmet til andre esperantister, ikke sant?	somebody stays in the home of other Esperantists, right?	grupo	alternativoj	prononco
level	pluraj spertoj per Pasporta Servo	flere erfaringer med Passport Service	several experiences with Passport Service	grupo	alternativoj	prononco
level	mi havis plurajn interesajn spertojn	Jeg hadde flere interessante opplevelser	I had several interesting experiences	grupo	alternativoj	prononco
level	mi uzis ĝin en tri kontinentoj	Jeg har brukt den på tre kontinenter	I have used it on three continents	grupo	alternativoj	prononco
level	malbone funkcias	(det) fungerer dårlig	(it) works poorly	grupo	alternativoj	prononco
level	kaj ĝis nun funkciis tre bone	og så langt har (det) fungert veldig bra	and so far (it) has worked very well	grupo	alternativoj	prononco
level	bonege! kien ni iru?	flott! hvor skal vi?	great! where are we going?	grupo	alternativoj	prononco
level	do, mia plano estas ke ni ~	så planen min er at vi ~	so, my plan is that we ~	grupo	alternativoj	prononco
level	venas, alvenis	kommer, kommet	comes, arrived	grupo	alternativoj	prononco
level	post sukcesa vojaĝo	etter en vellykket tur	after a successful trip	grupo	alternativoj	prononco
level	post uzado de Pasporta Servo en du urboj	etter å ha brukt Passport Service i to byer	after using Passport Service in two cities	grupo	alternativoj	prononco
level	ili alvenas post sukcesa vojaĝo	de kommer etter en vellykket tur	they arrive after a successful trip	grupo	alternativoj	prononco
level	jen, vidu!	se, se!	behold, look!	grupo	alternativoj	prononco
level	tie estas granda Esperanto-flago	det er et stort esperanto-flagg der borte	there's a big Esperanto flag over there	grupo	alternativoj	prononco
level	ŝildo kun la teksto "Bonvenon al IJK!"	et skilt med teksten &quot;Velkommen til IJK!&quot;	a sign with the text "Welcome to IJK!"	grupo	alternativoj	prononco
level	jes, kaj sub ĝi estas ~	ja, og under den er det ~	yes, and below it there is ~	grupo	alternativoj	prononco
level	hu ra!	Hurra!	Hooray!	grupo	alternativoj	prononco
level	ni do finfine alvenis	så vi kom endelig	so we finally arrived	grupo	alternativoj	prononco
level	mi estas tre laca kaj malsata	Jeg er veldig trøtt og sulten	I am very tired and hungry	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas ~	tror du vi kan ~ ?	do you think we can ~ ?	grupo	alternativoj	prononco
level	manĝi ion	å spise noe	to eat something	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas tuj ion manĝi?	tror du vi kan spise noe med en gang?	do you think we can eat something right away?	grupo	alternativoj	prononco
level	mi dubas pri tio	jeg tviler på det	I doubt that	grupo	alternativoj	prononco
level	unue ni devas akceptiĝi	vi må først bli akseptert	we must first be accepted	grupo	alternativoj	prononco
level	devas akceptiĝi ĉe la akceptejo	må aksepteres i resepsjonen	must be accepted at the reception desk	grupo	alternativoj	prononco
level	kaj tio povas daŭri longe	og det kan vare lenge	and that can last a long time	grupo	alternativoj	prononco
level	daŭri longe miasperte	å vare lenge etter min erfaring	to last long in my experience	grupo	alternativoj	prononco
level	ho ve!	akk!	alas!	grupo	alternativoj	prononco
level	ĉu tio estas la vico por la akceptejo?	er det linjen for mottaket?	is that the line for the reception?	grupo	alternativoj	prononco
level	mi timas ke jes	jeg er redd for det	I'm afraid so	grupo	alternativoj	prononco
level	ne estas tute perfekte fari ~	å gjøre ~ er ikke helt perfekt	to do ~ is not totally perfect	grupo	alternativoj	prononco
level	tute perfekte alveni vespere	er helt perfekt å ankomme på kvelden	is totally perfect to arrive in the evening	grupo	alternativoj	prononco
level	ni povas babili kun homoj	vi kan chatte med folk	we can chat with people	grupo	alternativoj	prononco
level	sed ni povas babili kun homoj en la vico	men vi kan chatte med folk i kø	but we can chat with people in line	grupo	alternativoj	prononco
level	jen, mi vidas amikon de rusio!	se, jeg ser en venn av Russland!	behold, I see a friend of Russia!	grupo	alternativoj	prononco
level	mi estas malsata, mi volas manĝi	Jeg er sulten, jeg vil spise	I'm hungry, I want to eat	grupo	alternativoj	prononco
level	post ĉirkaŭ 2 horoj	etter ca 2 timer	after about 2 hours	grupo	alternativoj	prononco
level	en la vico kun novaj kaj malnovaj amikoj	på linje med nye og gamle venner	in line with new and old friends	grupo	alternativoj	prononco
level	LKK (Loka Kongresa Komitato)	lokal kongresskomité	local congress commitee	grupo	alternativoj	prononco
level	LKK-ano	medlem i den lokale kongresskomiteen	a member in the local congress commitee	grupo	alternativoj	prononco
level	bonvenon, kiu vi estas?	velkommen, hvem er du?	welcome, who are you?	grupo	alternativoj	prononco
level	de kiu lando?	fra hvilket land?	from which country?	grupo	alternativoj	prononco
level	ĉu vi antaŭpagis?	betalte du på forhånd?	did you prepay?	grupo	alternativoj	prononco
level	bonvolu montri	Vennligst vis	please show	grupo	alternativoj	prononco
level	se jes, bonvolu montri la kvitancon	Vis i så fall kvitteringen	if so, please show the receipt	grupo	alternativoj	prononco
level	ĉu vi estas TEJO-membro?	er du medlem av TEJO?	are you a member of TEJO?	grupo	alternativoj	prononco
level	membriĝi ĉe la budo	å bli medlem på en stand	to become a member at a booth	grupo	alternativoj	prononco
level	se ne, vi povas membriĝi ĉe la venonta budo	hvis ikke kan du bli med på neste stand	if not, you can join at the next booth	grupo	alternativoj	prononco
level	jen kvitancoj de antaŭpagoj	her er kvitteringer på forskuddsbetalinger	here are receipts of advance payments	grupo	alternativoj	prononco
level	membrokartoj kaj niaj pasportoj	medlemskort og våre pass	membership cards and our passports	grupo	alternativoj	prononco
level	tre bone	veldig bra	very good	grupo	alternativoj	prononco
level	do, mi vidas ke vi loĝos en amasloĝejo	så jeg ser at du kommer til å bo i en massehytte (krasjplass)	so, I see you will live in a mass-lodging (crash space)	grupo	alternativoj	prononco
level	kaj manĝos en la junulargastejo	og skal spise på ungdomsherberget	and will eat in the youth hostel	grupo	alternativoj	prononco
level	ĉu ĝustas tiuj informoj?	er disse opplysningene korrekte?	are those information correct?	grupo	alternativoj	prononco
level	jes, perfekte	ja, perfekt	yes, perfect	grupo	alternativoj	prononco
level	sako kun programo, mapo ktp	en pose med program, kart mm	a bag with program, map etc	grupo	alternativoj	prononco
level	vi povas pagi kaj ricevi sakon kun programo, mapo ktp	du kan betale og motta en pose med program, kart mm	you can pay and receive a bag with program, map etc	grupo	alternativoj	prononco
level	ĉe la ruĝa budo, tie	ved den røde boden, der	at the red booth, there	grupo	alternativoj	prononco
level	bone, dankon	bra takk	good, thank you	grupo	alternativoj	prononco
level	aspektas laca sed sana	ser sliten ut, men sunn	looks tired but healthy	grupo	alternativoj	prononco
level	tiuj personoj vere aspektis lacaj	disse menneskene så virkelig slitne ut	those people really looked tired	grupo	alternativoj	prononco
level	kaj ne estis tre afablaj	og var ikke veldig snille	and were not very kind	grupo	alternativoj	prononco
level	vi pravas	du har rett	you are right	grupo	alternativoj	prononco
level	sed memoru ke ~	men husk at ~	but remember that ~	grupo	alternativoj	prononco
level	laboras dum ok horoj	jobber i 8 timer	are working for 8 hours	grupo	alternativoj	prononco
level	la LKK laboras jam dum eble ok horoj	LKK har jobbet i kanskje åtte timer	the LKK has been working for maybe eight hours	grupo	alternativoj	prononco
level	sen multe da paŭzoj	uten mye pause	without much pause	grupo	alternativoj	prononco
level	sed memoru ke la LKK laboras sen paŭzoj	men husk at LKK fungerer uten pauser	but remember that the LKK works without breaks	grupo	alternativoj	prononco
level	babilema dum la semajno	snakkesalig i løpet av uken	chatty during the week	grupo	alternativoj	prononco
level	mi certas ke ~	Jeg er sikker på at ~	I'm sure that ~	grupo	alternativoj	prononco
level	mi certas ke ili estos pli afablaj	Jeg er sikker på at de blir snillere	I'm sure they'll be kinder	grupo	alternativoj	prononco
level	ili estos pli afablaj kaj babilemaj	de vil være snillere og mer pratsomme	they will be kinder and more talkative	grupo	alternativoj	prononco
level	ni trovu ĝin	la oss finne den	let's find it	grupo	alternativoj	prononco
level	bone, nun ni trovu la amasloĝejon	vel, la oss nå finne masseovernattingsstedet	well, now let's find the mass-lodging place	grupo	alternativoj	prononco
level	kaj poste mi ŝatus ion manĝi	og så vil jeg ha noe å spise	and then I would like something to eat	grupo	alternativoj	prononco
level	ĉu vi vidis la knabinon ĉe la TEJO-budo?	så du jenta på TEJO-standen?	did you see the girl at the TEJO booth?	grupo	alternativoj	prononco
level	jes, kio pri ŝi?	ja, hva med henne?	yes, what about her?	grupo	alternativoj	prononco
level	ĉu vi konas ŝin?	kjenner du henne?	do you know her?	grupo	alternativoj	prononco
level	bedaŭrinde ne	dessverre ikke	unfortunately no	grupo	alternativoj	prononco
level	sed ŝi estas ege bela, ĉu ne?	men hun er veldig pen, er hun ikke?	but she's very pretty, isn't she?	grupo	alternativoj	prononco
level	mi konsentas	jeg er enig	I agree	grupo	alternativoj	prononco
level	tamen ne bone komprenas	forstår imidlertid ikke godt	however does not understand well	grupo	alternativoj	prononco
level	mi konsentas tamen ne komprenas	Jeg er enig, men jeg forstår ikke	I agree but I don't understand	grupo	alternativoj	prononco
level	ĉu al vi plaĉas inoj?	liker du kvinner?	do you like females?	grupo	alternativoj	prononco
level	jes, mi volis diri al vi antaŭe	ja, jeg vil fortelle deg det før	yes, I want tell you before	grupo	alternativoj	prononco
level	sed ial ne faris	men av en eller annen grunn ikke	but for some reason did not	grupo	alternativoj	prononco
level	virinoj plaĉas al mi pli ol viroj	virinoj plaĉas al mi pli ol viroj	virinoj plaĉas al mi pli ol viroj	grupo	alternativoj	prononco
level	aspekte ktp	aspekt osv	aspect etc	grupo	alternativoj	prononco
level	ĉu, ĉu vi estas ?	er du, er du?	are you, are you?	grupo	alternativoj	prononco
level	jes, mi estas samseksemulo	ja, jeg er homofil	yes, I am a homosexual	grupo	alternativoj	prononco
level	oni ankaŭ povas diri lesbo	man kan også si lesbisk	one can also say lesbian	grupo	alternativoj	prononco
level	bone, mi tute ne sciis	vel, jeg visste ikke i det hele tatt	well, I didn't know at all	grupo	alternativoj	prononco
level	sed mi ĝojas ke vi diris	men jeg er glad du sa	but I'm glad you said	grupo	alternativoj	prononco
level	fakte mi ankaŭ ĝojas ke vi estas samseksemulo	faktisk er jeg glad for at du er homofil	in fact I am glad that you are a homosexual	grupo	alternativoj	prononco
level	vi estas la plej afabla kaj agrabla lesbo	du er den snilleste og fineste lesbiske	you are the kindest and nicest lesbian	grupo	alternativoj	prononco
level	la plej agrabla lesbo kiun mi konas	den fineste lesbiske jeg vet om	the nicest lesbian I know	grupo	alternativoj	prononco
level	dankon! ĉu vi konas aliajn?	Takk skal du ha! kjenner du andre?	thank you! do you know others?	grupo	alternativoj	prononco
level	sed kiel vi scias tion?	men hvordan vet du det?	but how do you know that?	grupo	alternativoj	prononco
level	tiu knabino preferas virojn!	den jenta foretrekker menn!	that girl prefers men!	grupo	alternativoj	prononco
level	ĉiukaze mi kredas ke tiu knabino preferas virojn!	i alle fall tror jeg at jenta foretrekker menn!	in any case I believe that girl prefer men!	grupo	alternativoj	prononco
level	tiu knabino pri kiu vi parolis	den jenta du snakket om	that girl whom you were talking about	grupo	alternativoj	prononco
level	ni vidos	vi får se	we'll see	grupo	alternativoj	prononco
level	en la amasloĝejo	på masseovernattingsstedet (en krasjplass)	in the mass lodging place (a crash space)	grupo	alternativoj	prononco
level	bonan matenon!	god morgen!	good morning!	grupo	alternativoj	prononco
level	ĉu vi bone dormis?	sov du godt?	did you sleep well?	grupo	alternativoj	prononco
level	apenaŭ vidas	ser knapt	hardly see	grupo	alternativoj	prononco
level	male, mi apenaŭ dormis	tvert imot fikk jeg nesten ikke sove	on the contrary, I could hardly sleep	grupo	alternativoj	prononco
level	sed kial?	men hvorfor?	but why?	grupo	alternativoj	prononco
level	eble vi estis nervoza pri via unua IJK-tago?	kanskje du var nervøs for din første IJK-dag?	maybe you were nervous about your first IJK day?	grupo	alternativoj	prononco
level	ne vere	ikke egentlig	not really	grupo	alternativoj	prononco
level	la tutan nokton, dum la tuta nokto	hele natten, hele natten lang	all night, all night long	grupo	alternativoj	prononco
level	tre laŭte ronkis	snorket veldig høyt	snored very loudly	grupo	alternativoj	prononco
level	simple iu tre laŭte ronkis la tutan nokton	bare noen snorket veldig høyt hele natten	just someone snored very loudly all night	grupo	alternativoj	prononco
level	ne ĝenu min	ikke bry meg	don't bother me	grupo	alternativoj	prononco
level	kaj tio ege ĝenis min	og det plaget meg veldig	and that bothered me greatly	grupo	alternativoj	prononco
level	ĉu vi ne aŭdis tion?	hørte du ikke det	didn't you hear that	grupo	alternativoj	prononco
level	tute ne, mi profunde dormis	ikke i det hele tatt, jeg sov dypt	not at all, I slept deeply	grupo	alternativoj	prononco
level	ĉu mi forgesis diri al vi ke ~?	glemte jeg å fortelle deg det ~?	did I forget to tell you that ~?	grupo	alternativoj	prononco
level	orelo, ŝtopi, orelŝtopiloj	øre, å plugge, ørepropper	ear, to plug, ear plugs	grupo	alternativoj	prononco
level	indas uzi orelŝtopilojn	det er verdt å bruke ørepropper	it is worth using earplugs	grupo	alternativoj	prononco
level	indas uzi ~	er verdt å bruke ~	is worth using ~	grupo	alternativoj	prononco
level	diris al vi ke indas uzi orelŝtopilojn	fortalte deg at det er verdt å bruke ørepropper	told you it's worth using earplugs	grupo	alternativoj	prononco
level	kiam vi dormas en amasloĝejo	når du sover på et masseovernatting (ulykkessted)	when you sleep at a mass lodging (crash place)	grupo	alternativoj	prononco
level	evidente jes	åpenbart ja	obviously yes	grupo	alternativoj	prononco
level	ho, kompatinda Kaĉjo!	å, stakkars Katty!	oh, poor Katty!	grupo	alternativoj	prononco
level	pri kiu vi parolas?	hvem snakker du om?	who are you talking about?	grupo	alternativoj	prononco
level	pri vi	om deg	about you	grupo	alternativoj	prononco
level	karesi, karesa nomo, karesnomo	å kjærtegne, kjærtegne navn, kallenavn	to caress, caressing name, nickname	grupo	alternativoj	prononco
level	per -ĉjo aŭ -njo eblas krei karesnomojn en Esperanto	med -ĉjo eller -njo er det mulig å lage kallenavn på esperanto	with -ĉjo or -njo, it is possible to create nicknames in Esperanto	grupo	alternativoj	prononco
level	ha, jes, mi iam legis pri tio	ah, ja, jeg leste om det en gang	ah, yes, I once read about it	grupo	alternativoj	prononco
level	kaj vi do estus Injo?	og da ville du vært Injo?	and then you would be Injo?	grupo	alternativoj	prononco
level	se vi volas iri tien	hvis du vil gå dit	if you want go there	grupo	alternativoj	prononco
level	kioma horo estas nun?	hva er klokken nå?	what time is it now?	grupo	alternativoj	prononco
level	jam estas kvin minutoj antaŭ la deka	klokken er allerede fem minutter i ti	it's already five minutes to ten	grupo	alternativoj	prononco
level	kvin minutoj antaŭ la deka, aŭ naŭa kvindek kvin	fem minutter før ti, eller ni femtifem	five minutes before ten, or nine fifty-five	grupo	alternativoj	prononco
level	trafis aŭ maltrafis?	truffet eller savnet?	hit or missed?	grupo	alternativoj	prononco
level	vi maltrafis la matenmanĝon	du gikk glipp av frokost	you missed breakfast	grupo	alternativoj	prononco
level	o, fek!	å, shit!	oh, shit!	grupo	alternativoj	prononco
level	ĉu vi estas sata?	er du fornøyd ?	are you satisfied ?	grupo	alternativoj	prononco
level	kaj mi kiu estas ege malsata	og jeg som er ekstremt sulten	and I who am extremely hungry	grupo	alternativoj	prononco
level	se vi hastos	hvis du skynder deg	if you hurry	grupo	alternativoj	prononco
level	povas almenaŭ trafi la malfermon	kan i det minste treffe åpningen	can at least hit the opening	grupo	alternativoj	prononco
level	la malfermo de la kongreso	åpningen av kongressen	the opening of the congress	grupo	alternativoj	prononco
level	vi povas almenaŭ trafi la malfermon de la kongreso	du kan i det minste treffe åpningen av stevnet	you can at least hit the opening of the convention	grupo	alternativoj	prononco
level	kiam ĝi estos?	når blir det?	when will it be?	grupo	alternativoj	prononco
level	je kvarono post la deka	klokken kvart over ti	at a quarter past ten	grupo	alternativoj	prononco
level	ĝi daŭros horon	det vil vare en time	it will last an hour	grupo	alternativoj	prononco
level	kaj je la dek dua eblos manĝi	og klokken tolv vil det være mulig å spise	and at twelve it will be possible to eat	grupo	alternativoj	prononco
level	bele mi antaŭĝojas	vakkert jeg gleder meg	beautifully I'm looking forward to it	grupo	alternativoj	prononco
level	diru, kio okazas dum la malfermo?	fortell meg, hva skjer under åpningen?	tell me, what happens during the opening?	grupo	alternativoj	prononco
level	ĉu ĝi estas vizitinda entute?	er det verdt et besøk i det hele tatt?	is it worth visiting at all?	grupo	alternativoj	prononco
level	laŭ mi jes	etter min mening ja	in my opinion yes	grupo	alternativoj	prononco
