C.de content.tsv
Level	Esperanto	de	en-us	Grupo	Alternativoj	Pronoco
level	junulo	ein junger Mensch, Jugendlicher	a young person, youngster	grupo	alternativoj	prononco
level	lano	eine Wolle	a wool	grupo	alternativoj	prononco
level	ombro	ein Schatten	a shadow	grupo	alternativoj	prononco
level	maljunulo	ein alter Mensch	an old person	grupo	alternativoj	prononco
level	ĉesi	aufhören, aufhören	to cease, to stop	grupo	alternativoj	prononco
level	raporti	etwas melden	to report	grupo	alternativoj	prononco
level	golulo	ein Torwart	a goalkeeper	grupo	alternativoj	prononco
level	sceno	eine Szene	a scene	grupo	alternativoj	prononco
level	objekto	ein Gegenstand, ein Artikel, eine Sache	an object, an article, a thing	grupo	alternativoj	prononco
level	preĝi	beten	to pray	grupo	alternativoj	prononco
level	limo	eine Grenze, eine Grenze, eine Grenze	a limit, a border, a boundary	grupo	alternativoj	prononco
level	krimulo	ein Krimineller	a criminal	grupo	alternativoj	prononco
level	krei	erschaffen	to create	grupo	alternativoj	prononco
level	fonto	eine Quelle, eine Quelle, ein Brunnen	a source, a spring, a fountain	grupo	alternativoj	prononco
level	kravato	eine Krawatte	a necktie	grupo	alternativoj	prononco
level	flui	fließen	to flow	grupo	alternativoj	prononco
level	kudri	nähen, nähen	to sew, to stitch	grupo	alternativoj	prononco
level	intenci	beabsichtigen	to intend	grupo	alternativoj	prononco
level	konservi	sparen, konservieren, behalten	to save, to conserve, to keep	grupo	alternativoj	prononco
level	ial	aus irgendeinem Grund	for some reason	grupo	alternativoj	prononco
level	obei	gehorchen	to obey	grupo	alternativoj	prononco
level	filino	eine Tochter	a daughter	grupo	alternativoj	prononco
level	fulmo	ein Blitz, eine Taschenlampe	a lightning, a flashlight	grupo	alternativoj	prononco
level	junulino	eine junge Frau, eine junge weibliche Person	a young woman, a young female person	grupo	alternativoj	prononco
level	knabino	ein Mädchen, ein Mädchen	a girl, a lass	grupo	alternativoj	prononco
level	leĝo	ein Gesetz, eine Regel	a law, a rule	grupo	alternativoj	prononco
level	simila	ähnlich, gleich	similar, alike	grupo	alternativoj	prononco
level	edzino	eine Ehefrau	a wife	grupo	alternativoj	prononco
level	globo	Globus, ein Globus, eine Kugel, eine Kugel	globe, a globe, a ball, a sphere	grupo	alternativoj	prononco
level	kulpa	schuldig	guilty	grupo	alternativoj	prononco
level	svelta	schlank, schlank	slim, slender	grupo	alternativoj	prononco
level	ombrelo	ein Regenschirm	an umbrella	grupo	alternativoj	prononco
level	ordinara	gewöhnlich, üblich, üblich	ordinary, common, usual	grupo	alternativoj	prononco
level	plaĉi (al ~)	gefallen, gefallen (~)	to please, to be pleasing (to ~)	grupo	alternativoj	prononco
level	regiono	eine Region	a region	grupo	alternativoj	prononco
level	danci	tanzen	to dance	grupo	alternativoj	prononco
level	kompati	Mitleid haben, Mitleid empfinden	to have compassion for, to feel pity for	grupo	alternativoj	prononco
level	kruĉo	ein Glas, ein Topf, ein Krug, ein Krug, ein Krug	a jar, a pot,a jug, a cruse, a pitcher	grupo	alternativoj	prononco
level	reĝo	König, ein König	king, a king	grupo	alternativoj	prononco
level	animo	eine Seele	a soul	grupo	alternativoj	prononco
level	religio	eine Religion	a religion	grupo	alternativoj	prononco
level	ŝtato	ein Staat, eine Nation	a state, a nation	grupo	alternativoj	prononco
level	komuniki	kommunizieren	to communicate	grupo	alternativoj	prononco
level	promesi	Versprechen	to promise	grupo	alternativoj	prononco
level	noti	notieren, aufschreiben	to note, to write down	grupo	alternativoj	prononco
level	daŭrigi	verlängern, fortfahren, aufrechterhalten, aufrechterhalten	to prolong, to proceed, to sustain, to maintain	grupo	alternativoj	prononco
level	ĝui	zu genießen	to enjoy	grupo	alternativoj	prononco
level	sekve	deshalb, folglich, also	therefore, consequently, thus	grupo	alternativoj	prononco
level	peza	schwer, belastend	heavy, burdensome	grupo	alternativoj	prononco
level	aranĝi	arrangieren	to arrange	grupo	alternativoj	prononco
level	teruro	ein Schrecken, eine Angst, ein Schrecken	a terror, fear, fright	grupo	alternativoj	prononco
level	mastro	ein Meister, ein Besitzer, ein Chef	a master, an owner, a boss	grupo	alternativoj	prononco
level	magazeno	Lagerhaus, ein Kaufhaus	warehouse, a department store	grupo	alternativoj	prononco
level	amuzi	amüsieren, unterhalten	to amuse, to entertain	grupo	alternativoj	prononco
level	ofico	ein Amt (Pflicht, Aufgabe), Funktion, Job	an office (duty, task), function, job	grupo	alternativoj	prononco
level	metro	ein Meter	a meter	grupo	alternativoj	prononco
level	vasta	riesig, weitläufig, geräumig	vast, extensive, spacious	grupo	alternativoj	prononco
level	dorso	Rücken (des Körpers)	back (of body)	grupo	alternativoj	prononco
level	brusto	Brust, eine Brust, eine Brust (Körper)	breast, a breast, a chest (body)	grupo	alternativoj	prononco
level	estimi	wertschätzen, respektieren	to esteem, to respect	grupo	alternativoj	prononco
level	trafi	schlagen, schlagen, rüberlaufen	to hit, to strike, to run accross	grupo	alternativoj	prononco
level	kopii	Kopieren	to copy	grupo	alternativoj	prononco
level	senco	eine Bedeutung, ein Sinn	a meaning, a sense	grupo	alternativoj	prononco
level	sumo	eine Summe (von Zahlen)	a sum (of numbers)	grupo	alternativoj	prononco
level	foresti	abwesend sein, weg sein, vermisst werden	to be absent, to be away, to be missing	grupo	alternativoj	prononco
level	gvidanto	ein Anführer, ein Führer	a leader, a guide	grupo	alternativoj	prononco
level	Esperanto	Esperanto, jemand, der hofft	Esperanto, someone who hopes	grupo	alternativoj	prononco
level	manĝante	während dem Essen	while eating	grupo	alternativoj	prononco
level	plano	ein Plan	a plan	grupo	alternativoj	prononco
level	prepari	vorbereiten	to prepare	grupo	alternativoj	prononco
level	spirito	Geist, ein Geist	spirit, a spirit	grupo	alternativoj	prononco
level	hotelo	ein Hotel	a hotel	grupo	alternativoj	prononco
level	ripeti	wiederholen	to repeat	grupo	alternativoj	prononco
level	parolante	beim Sprechen	while speaking	grupo	alternativoj	prononco
level	pendi	hängen, hängen	to hang, to droop	grupo	alternativoj	prononco
level	serioza	ernst	serious	grupo	alternativoj	prononco
level	klini	sich beugen, neigen, neigen	to bend, to tilt, to incline	grupo	alternativoj	prononco
level	moki	sich lustig machen, verspotten, verspotten	to make fun of, to mock, to scoff at	grupo	alternativoj	prononco
level	membro	ein Mitglied	a member	grupo	alternativoj	prononco
level	greno	Getreide (Mais, Reis, Weizen), ein Korn	grain (corn, rice, wheat), a grain	grupo	alternativoj	prononco
level	kriante	schreien, weinen	shouting, crying	grupo	alternativoj	prononco
level	truo	ein Loch, ein Bau	a hole, a burrow	grupo	alternativoj	prononco
level	supozi	annehmen, vermuten, vermuten	to suppose, to guess, to presume	grupo	alternativoj	prononco
level	malpli	weniger, weniger	less, fewer	grupo	alternativoj	prononco
level	sekvanta	folgende, nächste	following, next	grupo	alternativoj	prononco
level	spiri	atmen	to breathe	grupo	alternativoj	prononco
level	trinkinte	nach dem Trinken	after having drink	grupo	alternativoj	prononco
level	lango	eine Zunge	a tongue	grupo	alternativoj	prononco
level	biero	Bier, Ale, ein Bier	beer, ale, a beer	grupo	alternativoj	prononco
level	bileto	ein Ticket, eine Rechnung	a ticket, a bill	grupo	alternativoj	prononco
level	precipe	hauptsächlich, hauptsächlich, hauptsächlich, vor allem	chiefly, mainly, principally, above all	grupo	alternativoj	prononco
level	elektro	Elektrizität	electricity	grupo	alternativoj	prononco
level	korbo	ein Korb	a basket	grupo	alternativoj	prononco
level	ŝlosi	abschließen	to lock	grupo	alternativoj	prononco
level	sendinto	ein Absender (jemand, der gesendet hat)	a sender (someone who has sent)	grupo	alternativoj	prononco
level	triangulo	Dreieck, ein Dreieck	triangle, a triangle	grupo	alternativoj	prononco
level	odori	riechen, einen Geruch abgeben, stinken	to smell, to give off an odour, to reek	grupo	alternativoj	prononco
level	kurso	ein Kurs, eine Klasse	a course, a class	grupo	alternativoj	prononco
level	supre	oben, oben, oben	above, on top, overhead	grupo	alternativoj	prononco
level	lernanto	ein Student, ein Lernender	a student, a learner	grupo	alternativoj	prononco
level	verko	ein (schriftliches) Werk	a work (of writing)	grupo	alternativoj	prononco
level	lernantino	eine weibliche Lernende (Studentin)	a female learner (student)	grupo	alternativoj	prononco
level	venonta	kommend, als nächstes	upcoming, next	grupo	alternativoj	prononco
level	jupo	ein Rock	a skirt	grupo	alternativoj	prononco
level	kuzo	ein Cousin (männlich)	a cousin (male)	grupo	alternativoj	prononco
level	aŭtobuso	ein Bus (=buso)	a bus (=buso)	grupo	alternativoj	prononco
level	kvadrato	ein Quadrat	a square	grupo	alternativoj	prononco
level	produkto	Ein Produkt	a product	grupo	alternativoj	prononco
level	produkti	produzieren, ertragen	to produce, to bear	grupo	alternativoj	prononco
level	banko	eine Bank	a bank	grupo	alternativoj	prononco
level	donaco	ein Geschenk, ein Geschenk	a gift, a present	grupo	alternativoj	prononco
level	gardi	bewachen, bewahren, betreuen	to guard, to keep, to look after	grupo	alternativoj	prononco
level	fiksa	Fest	fixed	grupo	alternativoj	prononco
level	volonte	bereitwillig (von Herzen)	willingly (from heart)	grupo	alternativoj	prononco
level	laŭta	laut	loud	grupo	alternativoj	prononco
level	fadeno	ein Thread	a thread	grupo	alternativoj	prononco
level	gusto	ein Geschmack	a taste	grupo	alternativoj	prononco
level	leginte	nach dem Lesen	after reading	grupo	alternativoj	prononco
level	enironte	während ich gerade eintreten wollte	while about to enter	grupo	alternativoj	prononco
level	dato	Datum, ein Datum	date, a date	grupo	alternativoj	prononco
level	fundo	unten, Fundament	bottom, foundation	grupo	alternativoj	prononco
level	radiko	eine Wurzel	a root	grupo	alternativoj	prononco
level	bonvole -u	bitte (~u)	please (~u)	grupo	alternativoj	prononco
level	signifo	eine Bedeutung, eine Bedeutung	a meaning, a significance	grupo	alternativoj	prononco
level	fiksi	fixieren, befestigen	to fix, to fasten	grupo	alternativoj	prononco
level	vana	eitel, nutzlos	vain, useless	grupo	alternativoj	prononco
level	vaporo	Dampf, Dampf	steam, vapor	grupo	alternativoj	prononco
level	rakonto	eine Erzählung, eine Geschichte	a narrative, a story	grupo	alternativoj	prononco
level	bonvolu -i	bitte (~i)	please (~i)	grupo	alternativoj	prononco
level	figuro	eine Figur, ein Bild, ein Bild	a figure, a picture, an image	grupo	alternativoj	prononco
level	arĝento	Silber	silver	grupo	alternativoj	prononco
level	ĝirafo	eine Giraffe	a giraffe	grupo	alternativoj	prononco
level	ĉarma	charmant	charming	grupo	alternativoj	prononco
level	rulo	eine Rolle, ein Lauf	a roll, a run	grupo	alternativoj	prononco
level	gitaro	Eine Gitarre	a guitar	grupo	alternativoj	prononco
level	miliardo	eine Billion	a billion	grupo	alternativoj	prononco
level	eterna	ewig, ewig	eternal, everlasting	grupo	alternativoj	prononco
level	ĵurnalo (tag-)	eine Zeitung	a newspaper	grupo	alternativoj	prononco
level	memoro	eine Erinnerung	a memory	grupo	alternativoj	prononco
level	ruli	rollen, ein Programm ausführen	to roll, to run a program	grupo	alternativoj	prononco
level	larmo	Träne, eine Träne	tear, a tear	grupo	alternativoj	prononco
level	inko	eine Tinte	an ink	grupo	alternativoj	prononco
level	majstro	Meister, ein Maestro, ein Meister (der eigenen Kunst)	Master, a maestro, a master (of one's art)	grupo	alternativoj	prononco
level	leono	ein Löwe	a lion	grupo	alternativoj	prononco
level	tiom da ~	so viel von ~, so viel von ~, so viele von ~	so much of ~, that much of ~, that many of ~	grupo	alternativoj	prononco
level	ventro	Bauch, Bauch, Bauch	belly, abdomen, tummy	grupo	alternativoj	prononco
level	placo	ein Platz, ein Platz	a squre, a plaza	grupo	alternativoj	prononco
level	fidi	vertrauen, glauben an	to trust, to have faith in	grupo	alternativoj	prononco
level	iom da ~	kleine Menge ~, einige	small amount of ~, some	grupo	alternativoj	prononco
level	babili	plaudern, plappern, plaudern	to chat, to babble, to chatter	grupo	alternativoj	prononco
level	kavo	eine Höhle, eine Höhle	a cave, a cavity	grupo	alternativoj	prononco
level	ioma	einigermaßen, einige	of some amout, some	grupo	alternativoj	prononco
level	ŝultro	eine Schulter	a shoulder	grupo	alternativoj	prononco
level	adiaŭ	Auf Wiedersehen, auf Wiedersehen, auf Wiedersehen	goodbye, adieu, farewell	grupo	alternativoj	prononco
level	rezigni	resignieren, aufgeben, kapitulieren, aufgeben	to resign, to give up, to surrender, to abandon	grupo	alternativoj	prononco
level	sekreto	ein Geheimnis	a secret	grupo	alternativoj	prononco
level	droni	ertrinken	to drown	grupo	alternativoj	prononco
level	celi	zielen, zielen, beabsichtigen	to aim, to target, to intend	grupo	alternativoj	prononco
level	restoracio	ein Restaurant	a restaurant	grupo	alternativoj	prononco
level	turo	ein Turm	a tower	grupo	alternativoj	prononco
level	sablo	Sand, ein Sand	sand, a sand	grupo	alternativoj	prononco
level	tondro	ein Donner	a thunder	grupo	alternativoj	prononco
level	ies	jemandes	someone's	grupo	alternativoj	prononco
level	tapiŝo	ein Teppich, ein Vorleger	a carpet, a rug	grupo	alternativoj	prononco
level	bezonata	benötigt, benötigt, gewollt	needed, required, wanted	grupo	alternativoj	prononco
level	ilustrita	illustriert	illustrated	grupo	alternativoj	prononco
level	razi	rasieren	to shave	grupo	alternativoj	prononco
level	standardo	ein Banner, eine Flagge	a banner, a flag	grupo	alternativoj	prononco
level	mentono	Kinn, ein Kinn	chin, a chin	grupo	alternativoj	prononco
level	valizo	ein Koffer, eine Reisetasche	a suitcase, a valise	grupo	alternativoj	prononco
level	okupata	(sein) beschäftigt, beschäftigt	(being) occupied, busy	grupo	alternativoj	prononco
level	suko	Saft, ein Saft	juice, a sap	grupo	alternativoj	prononco
level	komunumo	eine Gemeinschaft	a community	grupo	alternativoj	prononco
level	fontano	eine Fontäne	a fountain	grupo	alternativoj	prononco
level	konato	eine bekannte Person, ein Bekannter	a person known, an aquaintance	grupo	alternativoj	prononco
level	okupita	(war) beschäftigt, beschäftigt, verlobt	(having been) occupied, busy, engaged	grupo	alternativoj	prononco
level	esti okupita	beschäftigt sein, beteiligt sein, sich engagieren	to be occupied, to be involved, to engage upon	grupo	alternativoj	prononco
level	pino	eine Kiefer	a pine tree	grupo	alternativoj	prononco
level	konstruota	(wird) gebaut	(will be) constructed	grupo	alternativoj	prononco
level	kaptita	(wurde) gefangen, gefangen	(having been) caught, captive	grupo	alternativoj	prononco
level	kaptota	(wird) gefangen genommen	(will be) captured	grupo	alternativoj	prononco
level	rezulti	dazu führen	to result	grupo	alternativoj	prononco
level	kaptito	ein Gefangener (wurde gefangen)	a prisoner (had been caught)	grupo	alternativoj	prononco
level	komputi	berechnen	to compute	grupo	alternativoj	prononco
level	batite	nachdem er geschlagen wurde	after (having been) beaten	grupo	alternativoj	prononco
level	kovrita	bedeckt	covered	grupo	alternativoj	prononco
level	teatro	ein Theater	a theatre	grupo	alternativoj	prononco
level	sezono	Jahreszeit, eine Jahreszeit	season, a season	grupo	alternativoj	prononco
level	kelnero	ein Kellner	a waiter	grupo	alternativoj	prononco
level	tabelo	eine Tabelle, eine Tabellierung, ein Index	a table, a tabulation, an index	grupo	alternativoj	prononco
level	publiko	öffentliche, öffentliche Leute	public, public people	grupo	alternativoj	prononco
level	apogi	unterstützen, aufrechterhalten	to support, to uphold	grupo	alternativoj	prononco
level	distri	ablenken, ablenken, unterhalten	to distract, to divert, to entertain	grupo	alternativoj	prononco
level	patrino	eine Mutter	a mother	grupo	alternativoj	prononco
level	distanco	ein Abstand	a distance	grupo	alternativoj	prononco
level	aparte	getrennt, getrennt	apart, separately	grupo	alternativoj	prononco
level	originala	Original	original	grupo	alternativoj	prononco
level	bicikli	Fahrrad fahren, Fahrrad fahren	to bicycle, to ride a bike	grupo	alternativoj	prononco
level	regulo	eine Regel, eine Vorschrift	a rule, a regulation	grupo	alternativoj	prononco
level	troa	übertrieben, unangemessen	excessive, undue	grupo	alternativoj	prononco
level	tre agrable!	sehr schön!	very nice!	grupo	alternativoj	prononco
level	balanci	schwingen, schaukeln	to swing, to rock	grupo	alternativoj	prononco
level	ŝtrumpo	Ein Strumpf	a stocking	grupo	alternativoj	prononco
level	kontroli	prüfen, auditieren, überprüfen	to check, to audit, to check up on	grupo	alternativoj	prononco
level	pasto	eine Paste, ein Teig	a paste, a dough	grupo	alternativoj	prononco
level	rektangulo	Rechteck, ein Rechteck	rectangle, a rectangle	grupo	alternativoj	prononco
level	falsa	falsch, gefälscht, falsch, gefälscht, unecht	false, counterfeit, fake, forged, spurious	grupo	alternativoj	prononco
level	ŝerci	scherzen, scherzen	to joke, to jest	grupo	alternativoj	prononco
level	problemo	ein Problem, ein Problem	a problem, a trouble	grupo	alternativoj	prononco
level	kulturi	zur Kultur (Boden, Land)	to culture (soil, land)	grupo	alternativoj	prononco
level	lernejo	eine Schule, ein Lernort	a school, a learning place	grupo	alternativoj	prononco
level	manĝejo	ein Speiselokal, ein Restaurant, ein Speisesaal, eine Kantine	an eating place, a restaurant, a dining room, a canteen	grupo	alternativoj	prononco
level	flago	eine Fahne, ein Banner	a flag, a banner	grupo	alternativoj	prononco
level	universala	universell, allgemein, weltweit	universal, general, worldwide	grupo	alternativoj	prononco
level	vendejo	ein Laden, ein Geschäft	a store, a shop	grupo	alternativoj	prononco
level	parko	ein Park	a park	grupo	alternativoj	prononco
level	kesto	eine Truhe, eine Kiste, ein Koffer	a chest, a box, a case	grupo	alternativoj	prononco
level	preĝejo	eine Kirche, eine Kirche	a church, a kirk	grupo	alternativoj	prononco
level	ataki	angreifen	to attack	grupo	alternativoj	prononco
level	fako	eine Branche, eine Disziplin, eine Spezialität, ein Fach	a branch, a discipline, a specialty, a compartment	grupo	alternativoj	prononco
level	librovendejo	eine Buchhandlung, eine Buchhandlung	a bookshop, a bookstore	grupo	alternativoj	prononco
level	fama	berühmt	famous	grupo	alternativoj	prononco
level	kafejo	ein Café, ein Café	a cafe, a coffee shop	grupo	alternativoj	prononco
level	kuseno	ein Kissen, ein Wurfkissen	a cushion, a throw pillow	grupo	alternativoj	prononco
level	desegni	entwerfen, abgrenzen, zeichnen	to design, to delineate, to draw	grupo	alternativoj	prononco
level	konveni	angemessen sein, geeignet sein	to be appropriate, to be suitable	grupo	alternativoj	prononco
level	akceptejo	eine Rezeption	a reception desk	grupo	alternativoj	prononco
level	necesejo	eine Toilette, eine Toilette	a toilet, a restroom	grupo	alternativoj	prononco
level	sporto	Sport, ein Sport	sport, a sport	grupo	alternativoj	prononco
level	fridujo	ein Kühlschrank, ein Kühlschrank	a fridge, a refrigerator	grupo	alternativoj	prononco
level	rubujo	ein Mülleimer, ein Mülleimer, ein Mülleimer	a trash bin, a bin, a trash can	grupo	alternativoj	prononco
level	defendi	zu verteidigen	to defend	grupo	alternativoj	prononco
level	eduki	ausbilden	to educate	grupo	alternativoj	prononco
level	hejti	aufheizen, aufwärmen	to heat up, to warm up	grupo	alternativoj	prononco
level	listo	eine Liste	a list	grupo	alternativoj	prononco
level	kondiĉo	ein Zustand	a condition	grupo	alternativoj	prononco
level	poste	später, danach, als nächstes	later, afterwards, next	grupo	alternativoj	prononco
level	brakumi	umarmen, umarmen	to embrace, to hug	grupo	alternativoj	prononco
level	ĝoja	freudig, froh, glücklich	joyfull, glad, happy	grupo	alternativoj	prononco
level	malvarmumo	eine Erkältung (erwischt)	a cold (caught)	grupo	alternativoj	prononco
level	salono	ein Wohnzimmer, eine Lounge, ein Salon	a sitting room, a lounge, a salon	grupo	alternativoj	prononco
level	konsisti	zu bestehen	to consist	grupo	alternativoj	prononco
level	hejme	zu Hause	at home	grupo	alternativoj	prononco
level	spezo	ein Umsatz	a turnover	grupo	alternativoj	prononco
level	kalendaro	ein Kalender	a calendar	grupo	alternativoj	prononco
level	imagi	vorstellen	to imagine	grupo	alternativoj	prononco
level	fidela	treu, vertrauenswürdig	faithful, trustworthy	grupo	alternativoj	prononco
level	partopreni	teilnehmen, teilnehmen	to participate, to take part	grupo	alternativoj	prononco
level	kastelo	eine Burg, eine Zitadelle	a castle, a citadel	grupo	alternativoj	prononco
level	-op-	(Suffix) eine Gruppe in Zahlen	(suffix)  a group in numbers	grupo	alternativoj	prononco
level	ĉeesti	dabei sein, dabei sein	to attend, to be present at	grupo	alternativoj	prononco
level	televido	Fernsehen, Fernsehen	TV, television	grupo	alternativoj	prononco
level	studento	ein Student (Universität)	a student (university)	grupo	alternativoj	prononco
level	impreso	ein Eindruck	an impression	grupo	alternativoj	prononco
level	pupo	eine Puppe, eine Marionette	a doll, a puppet	grupo	alternativoj	prononco
level	konstanta	konstant, kontinuierlich, dauerhaft	constant, continual, permanent	grupo	alternativoj	prononco
level	ebena	flach, eben, eben, eben	flat, even, plane, level	grupo	alternativoj	prononco
level	jaraĝa	~ Jahre alt	~ years old	grupo	alternativoj	prononco
level	blovi	Blasen	to blow	grupo	alternativoj	prononco
level	konfesi	gestehen, zugeben	to confess, to admit	grupo	alternativoj	prononco
level	ekstere	draußen, im Ausland	outside, abroad	grupo	alternativoj	prononco
level	remi	Rudern	to row	grupo	alternativoj	prononco
level	kaserolo	eine Kasserolle, eine Pfanne, ein Topf	a casserole, a pan, a saucepan	grupo	alternativoj	prononco
level	gepatroj	(beide Eltern	(both) parents	grupo	alternativoj	prononco
level	geedziĝi	heiraten, heiraten	to get married, to marry	grupo	alternativoj	prononco
level	vundo	eine Wunde, eine Verletzung	a wound, an injury	grupo	alternativoj	prononco
level	scienco	Wissenschaft, eine Wissenschaft	science, a science	grupo	alternativoj	prononco
level	monero	eine Münze	a coin	grupo	alternativoj	prononco
level	kompari	vergleichen	to compare	grupo	alternativoj	prononco
level	arko	ein Bogen (einer Kurve)	an arc (of a curve)	grupo	alternativoj	prononco
level	sperta	erfahren, Experte	experienced, expert	grupo	alternativoj	prononco
level	sankta	heilig, heilig	holy, sacred	grupo	alternativoj	prononco
level	lavujo	ein Waschbecken	a washbasin	grupo	alternativoj	prononco
level	trajno	ein Zug	a train	grupo	alternativoj	prononco
level	domaĝo	schade, etwas Bedauerliches	a pity, something regrettable	grupo	alternativoj	prononco
level	akra	scharf, abrasiv	sharp, abrasive	grupo	alternativoj	prononco
level	meriti	verdienen, verdienen, würdig sein	to deserve, to merit, to be worthy of	grupo	alternativoj	prononco
level	ekparoli	anfangen zu sprechen	to start speaking	grupo	alternativoj	prononco
level	ekscii	kennenlernen, erkennen, lernen	to get to know, to realise, to learn	grupo	alternativoj	prononco
level	semo	ein Samen	a seed	grupo	alternativoj	prononco
level	reveni	zurückkommen, zurückkehren	to come back, to return	grupo	alternativoj	prononco
level	lupo	ein Wolf	a wolf	grupo	alternativoj	prononco
level	elefanto	ein Elefant	an elephant	grupo	alternativoj	prononco
level	karoto	eine Karotte	a carrot	grupo	alternativoj	prononco
level	haŭto	Haut, eine Haut	skin, a skin	grupo	alternativoj	prononco
level	palaco	ein Palast	a palace	grupo	alternativoj	prononco
level	eksidi	sich hinsetzen	to get sit down	grupo	alternativoj	prononco
level	mamo	eine Brust (einer Frau), boob	a breast (of a woman), boob	grupo	alternativoj	prononco
level	urso	ein Bär	a bear	grupo	alternativoj	prononco
level	vulpo	ein Fuchs	a fox	grupo	alternativoj	prononco
level	kuracisto	ein (medizinischer) Arzt, ein Arzt	a (medical) doctor, a physician	grupo	alternativoj	prononco
level	kurteno	ein Vorhang, ein Schirm, ein Schleier	a curtain, a screen, a veil	grupo	alternativoj	prononco
level	venki	erobern, erobern, gewinnen, überwinden	to conquer, to conquest, to win, to overcome	grupo	alternativoj	prononco
level	soldato	ein Soldat	a soldier	grupo	alternativoj	prononco
level	trunko	ein Rumpf, ein Schaft, ein Torso	a trunk, a shaft, a torso	grupo	alternativoj	prononco
level	ŝtelisto	ein Dieb	a thief	grupo	alternativoj	prononco
level	miksi	mischen, mischen, mischen	to mix, to blend, to shuffle	grupo	alternativoj	prononco
level	preciza	präzise, genau	precise, accurate	grupo	alternativoj	prononco
level	instruisto	ein Lehrer, ein Ausbilder	a teacher, an instructor	grupo	alternativoj	prononco
level	tedi	langweilen	to bore	grupo	alternativoj	prononco
level	gaso	Gas	gas	grupo	alternativoj	prononco
level	fervora	ernst, eifrig, inbrünstig, leidenschaftlich	earnest, eager, fervent, impassioned	grupo	alternativoj	prononco
level	diablo	ein Teufel	a devil	grupo	alternativoj	prononco
level	densa	dicht, dick, konzentriert	dense, thick, concentrated	grupo	alternativoj	prononco
level	stranga	seltsam, seltsam, eigenartig	strange, odd, peculiar	grupo	alternativoj	prononco
level	savi	retten, retten	to save, to rescue	grupo	alternativoj	prononco
level	vico	drehen, eine Wendung (in einer Reihenfolge)	turn, a turn (in a sequence)	grupo	alternativoj	prononco
level	kilometro	ein Kilometer	a kilometer	grupo	alternativoj	prononco
level	puni	bestrafen	to punish	grupo	alternativoj	prononco
level	prunto	ein Darlehen	a loan	grupo	alternativoj	prononco
level	planto	Pflanze, eine Pflanze	plant, a plant	grupo	alternativoj	prononco
level	praktiko	üben, eine Praxis	practice, a practice	grupo	alternativoj	prononco
level	kune	zusammen	together	grupo	alternativoj	prononco
level	temperaturo	Temperatur	temperature	grupo	alternativoj	prononco
level	nepo	ein Enkel	a grandson	grupo	alternativoj	prononco
level	kunveni	zusammenkommen, zusammenkommen, sich treffen	to convene, to gather, to meet	grupo	alternativoj	prononco
level	tono	ein Ton	a tone	grupo	alternativoj	prononco
level	plata	Wohnung	flat	grupo	alternativoj	prononco
level	ekskursi	einen Ausflug machen, ein Picknick machen, einen Ausflug machen	to excurse, to go on a picnic, to jaunt	grupo	alternativoj	prononco
level	ripari	reparieren, reparieren	to repair, to fix	grupo	alternativoj	prononco
level	dramo	ein Drama	a drama	grupo	alternativoj	prononco
level	sovaĝa	wild, wild	savage, wild	grupo	alternativoj	prononco
level	progresi	Fortschritte machen	to progress	grupo	alternativoj	prononco
level	sonĝo	ein Traum	a dream	grupo	alternativoj	prononco
level	legomo	Gemüse	a vegetable	grupo	alternativoj	prononco
level	proksimuma	ungefähr	approximate	grupo	alternativoj	prononco
level	mapo	eine Karte	a map	grupo	alternativoj	prononco
level	foje (iu foje)	manchmal (manchmal)	sometimes (some times)	grupo	alternativoj	prononco
level	aŭtoritato	eine Autorität	an authority	grupo	alternativoj	prononco
level	distribui	verteilen	to distribute	grupo	alternativoj	prononco
level	distingi	zu unterscheiden	to distinguish	grupo	alternativoj	prononco
level	speciala	besonders	special	grupo	alternativoj	prononco
level	boli	Kochen	to boil	grupo	alternativoj	prononco
level	osto	ein Knochen	a bone	grupo	alternativoj	prononco
level	rekomendi	zu empfehlen	to recommend	grupo	alternativoj	prononco
level	postmorgaŭ	übermorgen	the day after tomorrow	grupo	alternativoj	prononco
level	komplezi	verpflichten, freundlich sein, einen Gefallen tun	to oblige, to be kind as to, to do a favor	grupo	alternativoj	prononco
level	ĝentila	sanft, höflich, höflich, wohlerzogen	gentle, polite, courteous, well-mannered	grupo	alternativoj	prononco
level	komforta	komfortabel	comfortable	grupo	alternativoj	prononco
level	strio	ein Streifen, ein Strahl	a stripe, a ray	grupo	alternativoj	prononco
level	tolo	eine Leinwand, ein Tuch, ein Leinen	a canvas, a cloth, a linen	grupo	alternativoj	prononco
level	ŝnuro	ein Seil, eine Sehne, eine Schnur	a rope, a chord, a string	grupo	alternativoj	prononco
level	imperio	ein Imperium	an empire	grupo	alternativoj	prononco
level	ĉemizo	ein Hemd	a shirt	grupo	alternativoj	prononco
level	anaso	eine Ente	a duck	grupo	alternativoj	prononco
level	organo	eine Orgel, eine Rezension, ein offizielles Bulletin	an organ, a review, an official bulletin	grupo	alternativoj	prononco
level	longe	lange, für eine lange Zeit	long, for a long time	grupo	alternativoj	prononco
level	biskvito	ein Keks, ein Keks, ein Cracker	a biscuit, a cookie, a cracker	grupo	alternativoj	prononco
level	panjo	Mama, eine Mama, Mama	mom, a mom, mommy	grupo	alternativoj	prononco
