B.et content.tsv
Level	Esperanto	et	en-us	Grupo	Alternativoj	Pronoco
level	venas de multaj diversaj landoj	tuleb paljudest erinevatest riikidest	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	on see, et osalejad on pärit erinevatest riikidest	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	erinevate inimeste segu tõttu	because of that mix of different people	grupo	alternativoj	prononco
level	estas bona etoso, kiu tre plaĉas al mi	see on hea õhkkond, mis mulle väga meeldib	it's a good atmosphere that I like very much	grupo	alternativoj	prononco
level	bone, sonas interese	hästi, kõlab nagu huvi	all right, sounds like interest	grupo	alternativoj	prononco
level	mi pripensos	ma mõtlen	I will think about	grupo	alternativoj	prononco
level	certe	kindlasti	for sure	grupo	alternativoj	prononco
level	tamen, problemo estas ~	aga probleem on ~	however, a problem is ~	grupo	alternativoj	prononco
level	tiom da mono	nii palju raha	that much money	grupo	alternativoj	prononco
level	mi ne havas tiom da mono nun	Mul pole praegu nii palju raha	I don't have that much money right now	grupo	alternativoj	prononco
level	problemo estas ke mi ne havas tiom da mono	probleem on selles, et mul pole nii palju raha	problem is I don't have that much money	grupo	alternativoj	prononco
level	mi komprenas, sed ne estus multe-koste	Saan aru, aga see ei maksaks palju	I understand, but it wouldn't cost much	grupo	alternativoj	prononco
level	ne estus multe-koste, mia-krede	see poleks väga kallis, ma usun	it would not be much expensive, I believe	grupo	alternativoj	prononco
level	tabelo de kotizo de programeroj	programmide tasude tabel	a table of fees of programs	grupo	alternativoj	prononco
level	jen, se vi rigardas la kotiztabelon	ehk kui vaadata aktsia/tasude tabelit	that is, if you look at the share/fees table	grupo	alternativoj	prononco
level	la kotiztabelo de la IJK-invitilo	IJK-kutse aktsia/tasude tabel	the share/fees table of IJK-invitation	grupo	alternativoj	prononco
level	vi vidas, ke ~	leiad, et ~	you find that ~	grupo	alternativoj	prononco
level	temas pri entute nur 50 eŭroj	see on kokku ainult 50 eurot	it's only 50 euros in total	grupo	alternativoj	prononco
level	vi vidas, ke por vi temas pri entute nur 50 eŭroj	sa näed, et sinu jaoks on see kokku ainult 50 eurot	you see that for you it's only 50 euros in total	grupo	alternativoj	prononco
level	se ni dormas surplanke	kui me magame põrandal	if we sleep on the floor	grupo	alternativoj	prononco
level	en ordo	hästi	all right	grupo	alternativoj	prononco
level	bone, tio sonas en ordo	noh, see kõlab hästi	well, that sounds fine	grupo	alternativoj	prononco
level	sed kio pri la vojaĝo	aga kuidas on reisimisega	but what about the travel	grupo	alternativoj	prononco
level	trajno kostus ĉirkaŭ 70 eŭrojn	rong maksaks umbes 70 eurot	a train would cost around 70 euros	grupo	alternativoj	prononco
level	ĉu tio eblus por vi?	kas see oleks sinu jaoks võimalik?	would that be possible for you?	grupo	alternativoj	prononco
level	espereble	loodetavasti	hopefully	grupo	alternativoj	prononco
level	sed daŭrus sufiĉe longe per trajno	aga rongiga jätkuks piisavalt kauaks	but would last long enough by train	grupo	alternativoj	prononco
level	jes, sed ni povas halti en unu aŭ du urboj	jah, aga me võime peatuda ühes või kahes linnas	yes, but we can stop in one or two cities	grupo	alternativoj	prononco
level	dum la vojo	tee peal	along the way	grupo	alternativoj	prononco
level	kaj la tranoktado?	ja ööbimine?	and the night stay?	grupo	alternativoj	prononco
level	ĉu vi pagus por ĝi?	kas sa maksaksid selle eest?	would you pay for it?	grupo	alternativoj	prononco
level	ne, ne mi, sed ne estas problemo	ei, mitte mina, aga see pole probleem	no, not me, but it's not a problem	grupo	alternativoj	prononco
level	ĉu vere, ke tio ne estas problemo?	kas see tõesti pole probleem?	is it really that this is not a problem?	grupo	alternativoj	prononco
level	kiel vi planas solvi tion?	kuidas kavatsete seda lahendada?	how do you plan to solve that?	grupo	alternativoj	prononco
level	montris la oran kronon	näitas kuldset krooni	showed the golden crown	grupo	alternativoj	prononco
level	nu, mi baldaŭ montros al vi	noh, ma näitan teile varsti	well, I will show you soon	grupo	alternativoj	prononco
level	sed unue pli da teo	aga kõigepealt rohkem teed	but first more tea	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas?	tahad ka?	do you want too?	grupo	alternativoj	prononco
level	jes, dankon	jah aitäh	yes, thank you	grupo	alternativoj	prononco
level	en la sama kafejo	samas kohvikus&quot;	in the same cafe'	grupo	alternativoj	prononco
level	io daŭras, daŭrigas tion	midagi läheb edasi, jätkab (teeb) seda	something goes on, keeps (doing) that on	grupo	alternativoj	prononco
level	plano, plani, planado	plaan, planeerima, planeerima	a plan, to plan, planning	grupo	alternativoj	prononco
level	ŝi kaj li daŭrigas la planadon	tema ja tema jätkavad planeerimist	she and he continue the planning	grupo	alternativoj	prononco
level	bonvolu, jen via teo	palun, siin on sinu tee	please, here's your tea	grupo	alternativoj	prononco
level	mi dume rigardis la invitilon	vahepeal vaatasin kutset	meanwhile I looked at the invitation	grupo	alternativoj	prononco
level	rigardis la invitilon por IJK	vaatas IJK kutset	looked at the invitation of IJK	grupo	alternativoj	prononco
level	mi multon komprenas, sed ne ĉion	Ma mõistan paljut, kuid mitte kõike	I understand much, but not all	grupo	alternativoj	prononco
level	bone bone, nur demandu	kõik korras, küsi lihtsalt	all right all right, just ask	grupo	alternativoj	prononco
level	jen la aferoj	siin on asjad	here are the things	grupo	alternativoj	prononco
level	klaraj aferoj	selged asjad	clear things	grupo	alternativoj	prononco
level	la aferoj kiuj estas malklaraj	asjad, mis segavad	the things that are confusing	grupo	alternativoj	prononco
level	estas malklaraj por mi	on minu jaoks segased	are confusing to me	grupo	alternativoj	prononco
level	aliĝi, aliĝilo	liitumiseks registreerimisvorm	to join, a registration form	grupo	alternativoj	prononco
level	TEJO (la organizo)	Ülemaailmne Esperanto Noorte Organisatsioon	The World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo (la TEJO-birdo)	Pepo, lind, kes esindab TEJO-d	Pepo, a bird that represents the TEJO	grupo	alternativoj	prononco
level	loĝi, loĝejo	ööbima, ööbimiskoht (majutuskoht)	to stay, a place to stay (a lodging)	grupo	alternativoj	prononco
level	amasloĝejo	öömaja massilistele inimestele	a lodging for mass people	grupo	alternativoj	prononco
level	aliĝilo estas ilo por al-iĝi	registreerimisvorm on registreerimise tööriist	a registration form is a tool for registering	grupo	alternativoj	prononco
level	aliĝilo en kiu vi skribas vian nomon, adreson ktp	liikmeankeet, kuhu kirjutad oma nime, aadressi jne	a membership form in which you write your name, address, etc	grupo	alternativoj	prononco
level	longa, mallongigo	pikk, lühend	long, an abbreviation	grupo	alternativoj	prononco
level	mallongigo de Tutmonda Esperantista Junulara Organizo	Maailma Esperanto Noorte Organisatsiooni lühend	an abbreviation of the World Esperanto Youth Organization	grupo	alternativoj	prononco
level	Pepo estas la amuza birdo de TEJO	Pepo on TEJO naljakas lind	Pepo is the funny bird of TEJO	grupo	alternativoj	prononco
level	amasloĝejo estas ejo kie amaso de homoj loĝas	ühismajutus on koht, kus ööbib palju inimesi	a mass-lodging is a place where a lot of people stay	grupo	alternativoj	prononco
level	dormo, dormigilo, dormosako	uni, unerohi, magamiskott	a sleep, a sleeping pill, a sleeping bag	grupo	alternativoj	prononco
level	kutime oni bezonas dormosakon tie	tavaliselt on sinna magamiskotti vaja	usually one needs a sleeping bag there	grupo	alternativoj	prononco
level	vi klarigis tro rapide	sa seletasid liiga kiiresti	you explained too quickly	grupo	alternativoj	prononco
level	mi ne kaptis ĉion	Ma ei saanud kõigest aru	I didn't catch everything	grupo	alternativoj	prononco
level	ne tre gravas	pole nii oluline	is not that important	grupo	alternativoj	prononco
level	mi pensas ke ne tre gravas nun	Ma arvan, et see pole praegu eriti oluline	I think it's not very important now	grupo	alternativoj	prononco
level	poste ni povas pli paroli	hiljem saame pikemalt rääkida	later we can talk more	grupo	alternativoj	prononco
level	pli paroli pri la IJK-invitilo	rohkem rääkida IJK kutsest	more to talk about the IJK invitation	grupo	alternativoj	prononco
level	do, vi volas plani la vojaĝon nun, ĉu?	nii et sa tahad reisi kohe planeerida, eks?	so you want to plan the travel now, right?	grupo	alternativoj	prononco
level	jes, volonte	jah, hea meelega	yes, gladly	grupo	alternativoj	prononco
level	tiel vi vidos ke ~	nii et sa näed, et ~	so you will see that ~	grupo	alternativoj	prononco
level	kostos tiom multe	läheb nii palju maksma	will cost that much	grupo	alternativoj	prononco
level	vidos ke la vojaĝo ne kostos tiom multe	vaatan, et reis nii palju maksma ei lähe	will see that the travel will not cost that much	grupo	alternativoj	prononco
level	mi volas scii	Ma tahan teada	I want to know	grupo	alternativoj	prononco
level	mi scivolas pri ~	Ma tahan ~ kohta teada	I want to know about ~	grupo	alternativoj	prononco
level	kiel vi solvos la tranoktadon	kuidas lahendate ööbimise	how you will solve the night-staying	grupo	alternativoj	prononco
level	ĉar mi ne havas monon	sest mul pole raha	because I don't have money	grupo	alternativoj	prononco
level	junulara gastejo	noortehostel	a youth hostel	grupo	alternativoj	prononco
level	havas monon por hotelo aŭ junulargastejo	on raha hotelli või noortehotelli jaoks	has money for a hotel or a youth-hostel	grupo	alternativoj	prononco
level	jen la solvo!	siin on lahendus	here's the solution	grupo	alternativoj	prononco
level	pasporto	passi	a passport	grupo	alternativoj	prononco
level	Pasporta Servo	Passiteenus, esperantistide kodumajutus	Passport Service, Esperantists' Home Stay	grupo	alternativoj	prononco
level	libreto kun la nomo "Pasporta Servo"	brošüür nimega &quot;Passiteenus&quot;	booklet with the name "Passport Service"	grupo	alternativoj	prononco
level	servo por kio?	teenus mille eest?	service for what?	grupo	alternativoj	prononco
level	por homoj kiel ni	meiesugustele inimestele	for people like us	grupo	alternativoj	prononco
level	sperti, spertulo	kogema, asjatundja	to experience, an expert	grupo	alternativoj	prononco
level	homoj kiuj ŝatas vojaĝi kaj sperti landojn	inimesed, kellele meeldib reisida ja riike kogeda	people who like to travel and experience countries	grupo	alternativoj	prononco
level	enspezi kaj elspezi	teenida ja kulutada	to earn and to spend	grupo	alternativoj	prononco
level	sen elspezi multe da mono	ilma palju raha kulutamata	without spending a lot of money	grupo	alternativoj	prononco
level	servo, la servo, tiu servo	teenus, teenus, see teenus	a service, the service, that service	grupo	alternativoj	prononco
level	bone, kaj kiel funkcias tiu servo?	noh, ja kuidas see teenus töötab?	well, and how does that service work?	grupo	alternativoj	prononco
level	mi vidas ke en la libreto estas ~	Näen, et vihikus on ~	I see that in the booket there is ~	grupo	alternativoj	prononco
level	multe da adresoj	palju aadresse	lots of addresses	grupo	alternativoj	prononco
level	estas multe da adresoj de pluraj landoj	seal on palju aadresse mitmest riigist	there are many addresses from several countries	grupo	alternativoj	prononco
level	ĝuste, jes!	õige, jah!	right, yes!	grupo	alternativoj	prononco
level	je via dispono	Teie käsutuses	at your disposal	grupo	alternativoj	prononco
level	ili ĉiuj	nad kõik, kõik nad	they all, all of them	grupo	alternativoj	prononco
level	fakte ili ĉiuj estas je via dispono!	tegelikult on need kõik teie käsutuses!	in fact they are all at your disposal!	grupo	alternativoj	prononco
level	signifis, signifo	tähendas, tähendas	meant, meaning	grupo	alternativoj	prononco
level	"je mia dispono", kion signifas tio?	&quot;minu käsutuses&quot;, mida see tähendab?	"at my disposal", what does that mean?	grupo	alternativoj	prononco
level	signifas ke ~	tähendab, et ~	means that ~	grupo	alternativoj	prononco
level	gasti, gasto, gastigi	külalisele, külalisele, külalist võõrustama	to guest, a guest, to host a guest	grupo	alternativoj	prononco
level	estas preta, pretas, pretiĝu!	on valmis, on valmis, valmistuge!	is ready, is prepared, get ready!	grupo	alternativoj	prononco
level	homoj ĉe tiuj adresoj pretas gastigi vin	inimesed nendel aadressidel on valmis teid vastu võtma	people at those addresses are ready to host you	grupo	alternativoj	prononco
level	koni, konata, konatiĝi	tundma (isikut), tuntud, tundma õppima	to know (a person), known, to get to be known	grupo	alternativoj	prononco
level	kaj helpi vin konatiĝi kun ilia regiono	ja aitab teil nende piirkonnaga tutvuda	and help you get acquainted with their region	grupo	alternativoj	prononco
level	signifas ke homoj pretas gastigi vin kaj helpi	tähendab, et inimesed on valmis teid võõrustama ja aitama	means people are willing to host you and help	grupo	alternativoj	prononco
level	sonas interese!	kõlab huvitavalt!	sounds interesting!	grupo	alternativoj	prononco
level	do	nii	so	grupo	alternativoj	prononco
level	oni loĝas en la hejmo de aliaj Esperantistoj, ĉu?	keegi jääb teiste esperantistide koju, eks?	somebody stays in the home of other Esperantists, right?	grupo	alternativoj	prononco
level	pluraj spertoj per Pasporta Servo	mitmeid kogemusi passiteenusega	several experiences with Passport Service	grupo	alternativoj	prononco
level	mi havis plurajn interesajn spertojn	Sain mitmeid huvitavaid kogemusi	I had several interesting experiences	grupo	alternativoj	prononco
level	mi uzis ĝin en tri kontinentoj	Olen seda kasutanud kolmel kontinendil	I have used it on three continents	grupo	alternativoj	prononco
level	malbone funkcias	(see) töötab halvasti	(it) works poorly	grupo	alternativoj	prononco
level	kaj ĝis nun funkciis tre bone	ja siiani (see) on väga hästi toiminud	and so far (it) has worked very well	grupo	alternativoj	prononco
level	bonege! kien ni iru?	suurepärane! kuhu me läheme?	great! where are we going?	grupo	alternativoj	prononco
level	do, mia plano estas ke ni ~	nii, minu plaan on, et me ~	so, my plan is that we ~	grupo	alternativoj	prononco
level	venas, alvenis	tuleb, saabus	comes, arrived	grupo	alternativoj	prononco
level	post sukcesa vojaĝo	pärast edukat reisi	after a successful trip	grupo	alternativoj	prononco
level	post uzado de Pasporta Servo en du urboj	pärast passiteenuse kasutamist kahes linnas	after using Passport Service in two cities	grupo	alternativoj	prononco
level	ili alvenas post sukcesa vojaĝo	nad saabuvad pärast edukat reisi	they arrive after a successful trip	grupo	alternativoj	prononco
level	jen, vidu!	vaata, vaata!	behold, look!	grupo	alternativoj	prononco
level	tie estas granda Esperanto-flago	seal on suur esperanto lipp	there's a big Esperanto flag over there	grupo	alternativoj	prononco
level	ŝildo kun la teksto "Bonvenon al IJK!"	silt tekstiga &quot;Tere tulemast IJK-sse!&quot;	a sign with the text "Welcome to IJK!"	grupo	alternativoj	prononco
level	jes, kaj sub ĝi estas ~	jah, ja selle all on ~	yes, and below it there is ~	grupo	alternativoj	prononco
level	hu ra!	Hurraa!	Hooray!	grupo	alternativoj	prononco
level	ni do finfine alvenis	nii et lõpuks jõudsime kohale	so we finally arrived	grupo	alternativoj	prononco
level	mi estas tre laca kaj malsata	Olen väga väsinud ja näljane	I am very tired and hungry	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas ~	kas sa arvad, et saame ~ ?	do you think we can ~ ?	grupo	alternativoj	prononco
level	manĝi ion	midagi süüa	to eat something	grupo	alternativoj	prononco
level	ĉu vi pensas ke ni povas tuj ion manĝi?	kas sa arvad, et saame kohe midagi süüa?	do you think we can eat something right away?	grupo	alternativoj	prononco
level	mi dubas pri tio	ma kahtlen selles	I doubt that	grupo	alternativoj	prononco
level	unue ni devas akceptiĝi	kõigepealt tuleb meid aktsepteerida	we must first be accepted	grupo	alternativoj	prononco
level	devas akceptiĝi ĉe la akceptejo	tuleb vastuvõtulauas vastu võtta	must be accepted at the reception desk	grupo	alternativoj	prononco
level	kaj tio povas daŭri longe	ja see võib kesta kaua	and that can last a long time	grupo	alternativoj	prononco
level	daŭri longe miasperte	minu kogemuse järgi kaua kestma	to last long in my experience	grupo	alternativoj	prononco
level	ho ve!	paraku!	alas!	grupo	alternativoj	prononco
level	ĉu tio estas la vico por la akceptejo?	kas see on vastuvõtu järjekord?	is that the line for the reception?	grupo	alternativoj	prononco
level	mi timas ke jes	ma kardan küll	I'm afraid so	grupo	alternativoj	prononco
level	ne estas tute perfekte fari ~	teha ~ ei ole täiesti täiuslik	to do ~ is not totally perfect	grupo	alternativoj	prononco
level	tute perfekte alveni vespere	on täiesti ideaalne õhtul kohale jõudmiseks	is totally perfect to arrive in the evening	grupo	alternativoj	prononco
level	ni povas babili kun homoj	saame inimestega vestelda	we can chat with people	grupo	alternativoj	prononco
level	sed ni povas babili kun homoj en la vico	aga me saame inimestega järjekorras vestelda	but we can chat with people in line	grupo	alternativoj	prononco
level	jen, mi vidas amikon de rusio!	vaata, ma näen Venemaa sõpra!	behold, I see a friend of Russia!	grupo	alternativoj	prononco
level	mi estas malsata, mi volas manĝi	Ma olen näljane, ma tahan süüa	I'm hungry, I want to eat	grupo	alternativoj	prononco
level	post ĉirkaŭ 2 horoj	umbes 2 tunni pärast	after about 2 hours	grupo	alternativoj	prononco
level	en la vico kun novaj kaj malnovaj amikoj	koos uute ja vanade sõpradega	in line with new and old friends	grupo	alternativoj	prononco
level	LKK (Loka Kongresa Komitato)	kohalik kongressi komitee	local congress commitee	grupo	alternativoj	prononco
level	LKK-ano	kohaliku kongressi komitee liige	a member in the local congress commitee	grupo	alternativoj	prononco
level	bonvenon, kiu vi estas?	tere tulemast, kes sa oled?	welcome, who are you?	grupo	alternativoj	prononco
level	de kiu lando?	millisest riigist?	from which country?	grupo	alternativoj	prononco
level	ĉu vi antaŭpagis?	kas sa ette maksid?	did you prepay?	grupo	alternativoj	prononco
level	bonvolu montri	palun näita	please show	grupo	alternativoj	prononco
level	se jes, bonvolu montri la kvitancon	kui jah, siis palun näidake kviitungit	if so, please show the receipt	grupo	alternativoj	prononco
level	ĉu vi estas TEJO-membro?	kas sa oled TEJO liige?	are you a member of TEJO?	grupo	alternativoj	prononco
level	membriĝi ĉe la budo	boksis liikmeks astuda	to become a member at a booth	grupo	alternativoj	prononco
level	se ne, vi povas membriĝi ĉe la venonta budo	kui ei, siis saad liituda järgmises boksis	if not, you can join at the next booth	grupo	alternativoj	prononco
level	jen kvitancoj de antaŭpagoj	siin on ettemaksete kviitungid	here are receipts of advance payments	grupo	alternativoj	prononco
level	membrokartoj kaj niaj pasportoj	liikmekaardid ja meie passid	membership cards and our passports	grupo	alternativoj	prononco
level	tre bone	väga hea	very good	grupo	alternativoj	prononco
level	do, mi vidas ke vi loĝos en amasloĝejo	nii et ma näen, et elate ühismajas (avariiruumis)	so, I see you will live in a mass-lodging (crash space)	grupo	alternativoj	prononco
level	kaj manĝos en la junulargastejo	ja sööb noortemajas	and will eat in the youth hostel	grupo	alternativoj	prononco
level	ĉu ĝustas tiuj informoj?	kas need andmed on õiged?	are those information correct?	grupo	alternativoj	prononco
level	jes, perfekte	jah, täiuslik	yes, perfect	grupo	alternativoj	prononco
level	sako kun programo, mapo ktp	kott programmi, kaardi vms	a bag with program, map etc	grupo	alternativoj	prononco
level	vi povas pagi kaj ricevi sakon kun programo, mapo ktp	saab maksta ja saada koti koos programmi, kaardi jms	you can pay and receive a bag with program, map etc	grupo	alternativoj	prononco
level	ĉe la ruĝa budo, tie	punase putka juures, seal	at the red booth, there	grupo	alternativoj	prononco
level	bone, dankon	hästi Aitäh sulle	good, thank you	grupo	alternativoj	prononco
level	aspektas laca sed sana	tundub väsinud, kuid terve	looks tired but healthy	grupo	alternativoj	prononco
level	tiuj personoj vere aspektis lacaj	need inimesed nägid tõesti väsinud välja	those people really looked tired	grupo	alternativoj	prononco
level	kaj ne estis tre afablaj	ja polnud eriti lahked	and were not very kind	grupo	alternativoj	prononco
level	vi pravas	Sul on õigus	you are right	grupo	alternativoj	prononco
level	sed memoru ke ~	aga pidage meeles, et ~	but remember that ~	grupo	alternativoj	prononco
level	laboras dum ok horoj	töötavad 8 tundi	are working for 8 hours	grupo	alternativoj	prononco
level	la LKK laboras jam dum eble ok horoj	LKK on töötanud ehk kaheksa tundi	the LKK has been working for maybe eight hours	grupo	alternativoj	prononco
level	sen multe da paŭzoj	ilma suurema pausita	without much pause	grupo	alternativoj	prononco
level	sed memoru ke la LKK laboras sen paŭzoj	kuid pidage meeles, et LKK töötab ilma pausideta	but remember that the LKK works without breaks	grupo	alternativoj	prononco
level	babilema dum la semajno	jutukas nädala sees	chatty during the week	grupo	alternativoj	prononco
level	mi certas ke ~	Olen kindel, et ~	I'm sure that ~	grupo	alternativoj	prononco
level	mi certas ke ili estos pli afablaj	Olen kindel, et nad on lahkemad	I'm sure they'll be kinder	grupo	alternativoj	prononco
level	ili estos pli afablaj kaj babilemaj	nad on lahkemad ja jutukamad	they will be kinder and more talkative	grupo	alternativoj	prononco
level	ni trovu ĝin	leiame selle	let's find it	grupo	alternativoj	prononco
level	bone, nun ni trovu la amasloĝejon	noh, nüüd otsime ühismajutuskoha	well, now let's find the mass-lodging place	grupo	alternativoj	prononco
level	kaj poste mi ŝatus ion manĝi	ja siis tahaks midagi süüa	and then I would like something to eat	grupo	alternativoj	prononco
level	ĉu vi vidis la knabinon ĉe la TEJO-budo?	kas sa nägid tüdrukut TEJO boksis?	did you see the girl at the TEJO booth?	grupo	alternativoj	prononco
level	jes, kio pri ŝi?	jah, aga tema?	yes, what about her?	grupo	alternativoj	prononco
level	ĉu vi konas ŝin?	Kas sa tunned teda?	do you know her?	grupo	alternativoj	prononco
level	bedaŭrinde ne	kahjuks ei	unfortunately no	grupo	alternativoj	prononco
level	sed ŝi estas ege bela, ĉu ne?	aga ta on väga ilus, kas pole?	but she's very pretty, isn't she?	grupo	alternativoj	prononco
level	mi konsentas	ma nõustun	I agree	grupo	alternativoj	prononco
level	tamen ne bone komprenas	ei saa aga hästi aru	however does not understand well	grupo	alternativoj	prononco
level	mi konsentas tamen ne komprenas	Nõustun aga ei saa aru	I agree but I don't understand	grupo	alternativoj	prononco
level	ĉu al vi plaĉas inoj?	kas sulle meeldivad naised?	do you like females?	grupo	alternativoj	prononco
level	jes, mi volis diri al vi antaŭe	jah, ma tahan sulle enne öelda	yes, I want tell you before	grupo	alternativoj	prononco
level	sed ial ne faris	aga millegipärast ei teinud	but for some reason did not	grupo	alternativoj	prononco
level	virinoj plaĉas al mi pli ol viroj	virinoj plaĉas al mi pli ol viroj	virinoj plaĉas al mi pli ol viroj	grupo	alternativoj	prononco
level	aspekte ktp	aspekt jne	aspect etc	grupo	alternativoj	prononco
level	ĉu, ĉu vi estas ?	kas sa oled, kas oled?	are you, are you?	grupo	alternativoj	prononco
level	jes, mi estas samseksemulo	jah, ma olen homoseksuaal	yes, I am a homosexual	grupo	alternativoj	prononco
level	oni ankaŭ povas diri lesbo	võib öelda ka lesbi	one can also say lesbian	grupo	alternativoj	prononco
level	bone, mi tute ne sciis	no ma ei teadnud üldse	well, I didn't know at all	grupo	alternativoj	prononco
level	sed mi ĝojas ke vi diris	aga mul on hea meel, et sa ütlesid	but I'm glad you said	grupo	alternativoj	prononco
level	fakte mi ankaŭ ĝojas ke vi estas samseksemulo	tegelikult on mul hea meel, et sa homoseksuaal oled	in fact I am glad that you are a homosexual	grupo	alternativoj	prononco
level	vi estas la plej afabla kaj agrabla lesbo	sa oled kõige lahkem ja toredam lesbi	you are the kindest and nicest lesbian	grupo	alternativoj	prononco
level	la plej agrabla lesbo kiun mi konas	kõige toredam lesbi, keda tean	the nicest lesbian I know	grupo	alternativoj	prononco
level	dankon! ĉu vi konas aliajn?	aitäh! kas sa tead teisi?	thank you! do you know others?	grupo	alternativoj	prononco
level	sed kiel vi scias tion?	aga kust sa seda tead?	but how do you know that?	grupo	alternativoj	prononco
level	tiu knabino preferas virojn!	see tüdruk eelistab mehi!	that girl prefers men!	grupo	alternativoj	prononco
level	ĉiukaze mi kredas ke tiu knabino preferas virojn!	igal juhul usun, et tüdruk eelistab mehi!	in any case I believe that girl prefer men!	grupo	alternativoj	prononco
level	tiu knabino pri kiu vi parolis	see tüdruk, kellest sa rääkisid	that girl whom you were talking about	grupo	alternativoj	prononco
level	ni vidos	me näeme	we'll see	grupo	alternativoj	prononco
level	en la amasloĝejo	massimajutuskohas (avariiruum)	in the mass lodging place (a crash space)	grupo	alternativoj	prononco
level	bonan matenon!	Tere hommikust!	good morning!	grupo	alternativoj	prononco
level	ĉu vi bone dormis?	Kas sa magasid hästi?	did you sleep well?	grupo	alternativoj	prononco
level	apenaŭ vidas	vaevalt näha	hardly see	grupo	alternativoj	prononco
level	male, mi apenaŭ dormis	vastupidi, ma ei saanud peaaegu magada	on the contrary, I could hardly sleep	grupo	alternativoj	prononco
level	sed kial?	aga miks?	but why?	grupo	alternativoj	prononco
level	eble vi estis nervoza pri via unua IJK-tago?	äkki olite oma esimese IJK-päeva pärast närvis?	maybe you were nervous about your first IJK day?	grupo	alternativoj	prononco
level	ne vere	mitte päris	not really	grupo	alternativoj	prononco
level	la tutan nokton, dum la tuta nokto	terve öö, terve öö	all night, all night long	grupo	alternativoj	prononco
level	tre laŭte ronkis	norskas väga valjult	snored very loudly	grupo	alternativoj	prononco
level	simple iu tre laŭte ronkis la tutan nokton	lihtsalt keegi norskas terve öö väga kõvasti	just someone snored very loudly all night	grupo	alternativoj	prononco
level	ne ĝenu min	ära sega mind	don't bother me	grupo	alternativoj	prononco
level	kaj tio ege ĝenis min	ja see häiris mind väga	and that bothered me greatly	grupo	alternativoj	prononco
level	ĉu vi ne aŭdis tion?	kas sa ei kuulnud seda	didn't you hear that	grupo	alternativoj	prononco
level	tute ne, mi profunde dormis	üldse mitte, magasin sügavalt	not at all, I slept deeply	grupo	alternativoj	prononco
level	ĉu mi forgesis diri al vi ke ~?	kas ma unustasin sulle öelda, et ~?	did I forget to tell you that ~?	grupo	alternativoj	prononco
level	orelo, ŝtopi, orelŝtopiloj	kõrv, toppima, kõrvatropid	ear, to plug, ear plugs	grupo	alternativoj	prononco
level	indas uzi orelŝtopilojn	tasub kasutada kõrvatroppe	it is worth using earplugs	grupo	alternativoj	prononco
level	indas uzi ~	tasub kasutada ~	is worth using ~	grupo	alternativoj	prononco
level	diris al vi ke indas uzi orelŝtopilojn	ütles, et tasub kõrvatroppe kasutada	told you it's worth using earplugs	grupo	alternativoj	prononco
level	kiam vi dormas en amasloĝejo	kui magate ühismajas (avariikoht)	when you sleep at a mass lodging (crash place)	grupo	alternativoj	prononco
level	evidente jes	ilmselgelt jah	obviously yes	grupo	alternativoj	prononco
level	ho, kompatinda Kaĉjo!	oh, vaene Katty!	oh, poor Katty!	grupo	alternativoj	prononco
level	pri kiu vi parolas?	kellest sa räägid?	who are you talking about?	grupo	alternativoj	prononco
level	pri vi	sinust	about you	grupo	alternativoj	prononco
level	karesi, karesa nomo, karesnomo	paitama, paitav nimi, hüüdnimi	to caress, caressing name, nickname	grupo	alternativoj	prononco
level	per -ĉjo aŭ -njo eblas krei karesnomojn en Esperanto	-ĉjo või -njo abil on võimalik esperantokeelseid hüüdnimesid luua	with -ĉjo or -njo, it is possible to create nicknames in Esperanto	grupo	alternativoj	prononco
level	ha, jes, mi iam legis pri tio	ah, jah, ma kunagi lugesin sellest	ah, yes, I once read about it	grupo	alternativoj	prononco
level	kaj vi do estus Injo?	ja siis oleksid sina Injo?	and then you would be Injo?	grupo	alternativoj	prononco
level	se vi volas iri tien	kui tahad sinna minna	if you want go there	grupo	alternativoj	prononco
level	kioma horo estas nun?	mis kell on praegu?	what time is it now?	grupo	alternativoj	prononco
level	jam estas kvin minutoj antaŭ la deka	kell on juba viis minutit kümneni	it's already five minutes to ten	grupo	alternativoj	prononco
level	kvin minutoj antaŭ la deka, aŭ naŭa kvindek kvin	viis minutit enne kümmet või üheksat viiskümmend viis	five minutes before ten, or nine fifty-five	grupo	alternativoj	prononco
level	trafis aŭ maltrafis?	tabas või jäi vahele?	hit or missed?	grupo	alternativoj	prononco
level	vi maltrafis la matenmanĝon	sul jäi hommikusöök vahele	you missed breakfast	grupo	alternativoj	prononco
level	o, fek!	oh, kurat!	oh, shit!	grupo	alternativoj	prononco
level	ĉu vi estas sata?	Kas sa oled rahul ?	are you satisfied ?	grupo	alternativoj	prononco
level	kaj mi kiu estas ege malsata	ja mina, kes olen väga näljane	and I who am extremely hungry	grupo	alternativoj	prononco
level	se vi hastos	kui kiirustad	if you hurry	grupo	alternativoj	prononco
